timestamp string,wind direction,wind speed
202201010000,189.0,3.1
202201010100,195.0,3.5
202201010200,216.0,4.1
202201010300,219.0,4.7
202201010500,216.0,3.7
202201010600,217.0,2.5
202201010700,236.0,3.0
202201010800,249.0,2.3
202201010900,228.0,1.6
202201011000,196.0,1.8
202201011100,229.0,1.8
202201011200,178.0,1.0
202201011300,162.0,1.4
202201011400,178.0,1.3
202201011500,166.0,1.3
202201011600,139.0,0.9
202201011700,83.0,0.7
202201011800,12.0,2.0
202201011900,337.0,2.2
202201012000,29.0,1.3
202201012100,3.0,0.3
202201012200,147.0,0.9
202201012300,168.0,1.4
202201020000,167.0,1.6
202201020100,165.0,3.3
202201020200,156.0,3.3
202201020300,203.0,1.6
202201020400,290.0,2.1
202201020500,224.0,1.0
202201020600,210.0,1.6
202201020700,270.0,3.0
202201020800,310.0,3.6
202201020900,288.0,4.3
202201021000,292.0,3.9
202201021100,272.0,3.1
202201021200,288.0,3.9
202201021300,294.0,4.2
202201021400,339.0,2.3
202201021500,330.0,2.7
202201021600,352.0,2.8
202201021700,343.0,1.9
202201021900,340.0,2.8
202201022000,341.0,2.7
202201022100,3.0,2.6
202201022200,13.0,2.8
202201022300,1.0,2.6
202201030000,10.0,2.7
202201030100,16.0,3.0
202201030200,19.0,3.0
202201030300,16.0,2.9
202201030400,17.0,3.2
202201030500,17.0,3.1
202201030600,13.0,3.0
202201030700,1.0,2.7
202201030800,344.0,2.2
202201030900,340.0,2.3
202201031000,336.0,2.5
202201031100,340.0,2.7
202201031200,349.0,2.3
202201031300,350.0,1.4
202201031400,346.0,1.4
202201031500,352.0,2.0
202201031600,2.0,1.8
202201031700,355.0,2.1
202201031800,343.0,1.8
202201031900,314.0,1.6
202201032000,302.0,1.4
202201032100,293.0,1.5
202201032200,305.0,0.2
202201032300,143.0,0.5
202201040000,31.0,0.1
202201040100,324.0,0.5
202201040200,127.0,0.6
202201040300,273.0,1.0
202201040400,309.0,1.3
202201040500,267.0,0.5
202201040600,106.0,0.3
202201040700,170.0,0.5
202201040800,145.0,0.6
202201040900,126.0,1.2
202201041000,129.0,1.2
202201041100,106.0,1.2
202201041200,107.0,1.1
202201041300,123.0,0.9
202201041400,142.0,1.7
202201041500,180.0,2.0
202201041600,189.0,2.9
202201041700,179.0,2.9
202201041800,181.0,3.2
202201042000,184.0,4.8
202201042100,177.0,4.3
202201042200,175.0,4.4
202201042300,174.0,3.2
202201050000,165.0,3.7
202201050100,180.0,4.4
202201050200,178.0,5.2
202201050300,188.0,5.8
202201050400,194.0,6.2
202201050500,192.0,6.5
202201050600,207.0,5.1
202201050700,218.0,6.5
202201050800,222.0,7.3
202201050900,219.0,6.9
202201051000,218.0,6.1
202201051100,213.0,5.4
202201051200,215.0,5.8
202201051300,225.0,6.7
202201051400,231.0,5.9
202201051500,238.0,6.4
202201051600,246.0,7.2
202201051700,244.0,8.2
202201051800,255.0,7.4
202201051900,259.0,7.1
202201052000,253.0,6.8
202201052200,253.0,8.0
202201060000,271.0,5.7
202201060100,295.0,4.8
202201060200,295.0,4.6
202201060300,299.0,5.3
202201060400,298.0,5.9
202201060500,302.0,4.9
202201060600,294.0,4.7
202201060700,303.0,3.9
202201060800,303.0,3.7
202201061000,296.0,3.2
202201061100,322.0,1.7
202201061200,333.0,1.6
202201061300,335.0,1.4
202201061400,343.0,1.7
202201061500,328.0,1.1
202201061600,319.0,1.2
202201061700,313.0,1.5
202201061800,301.0,1.8
202201061900,302.0,2.2
202201062000,301.0,2.9
202201062100,304.0,3.1
202201062200,307.0,3.1
202201062300,303.0,2.8
202201070000,300.0,3.6
202201070100,300.0,3.4
202201070200,297.0,3.6
202201070300,297.0,3.3
202201070400,291.0,2.8
202201070500,287.0,3.0
202201070600,294.0,3.7
202201070700,298.0,2.6
202201070800,310.0,3.2
202201070900,306.0,2.7
202201071000,304.0,3.5
202201071100,283.0,3.2
202201071200,265.0,2.6
202201071300,267.0,2.0
202201071400,257.0,2.4
202201071500,276.0,2.6
202201071600,265.0,3.7
202201071700,236.0,2.8
202201071800,238.0,2.4
202201071900,227.0,2.0
202201072000,222.0,1.4
202201072100,209.0,1.1
202201072200,200.0,0.7
202201072300,125.0,0.6
202201080000,117.0,0.6
202201080100,141.0,1.0
202201080200,118.0,1.2
202201080300,119.0,1.7
202201080400,116.0,1.8
202201080500,114.0,1.7
202201080600,109.0,1.8
202201080700,119.0,2.2
202201080800,101.0,1.9
202201080900,112.0,1.9
202201081000,113.0,1.5
202201081100,109.0,1.9
202201081200,119.0,1.7
202201081300,115.0,1.7
202201081400,115.0,1.8
202201081500,134.0,2.3
202201081600,136.0,2.6
202201081700,170.0,3.3
202201081800,185.0,2.9
202201081900,182.0,3.3
202201082000,175.0,3.5
202201082100,174.0,3.9
202201082200,159.0,3.3
202201082300,157.0,2.5
202201090000,160.0,2.1
