timestamp string,wind direction,wind speed
202201010003,275.0,2.7
202201010033,238.0,1.8
202201010103,262.0,3.1
202201010133,251.0,2.7
202201010233,228.0,3.1
202201010303,233.0,3.6
202201010333,223.0,1.3
202201010403,233.0,1.8
202201010433,240.0,3.1
202201010503,205.0,2.7
202201010533,270.0,2.2
202201010603,292.0,1.3
202201010633,226.0,0.9
202201010703,311.0,1.3
202201010733,285.0,0.4
202201010803,0.0,0.4
202201010833,,0.0
202201010903,,0.0
202201010933,251.0,0.9
202201011003,262.0,0.9
202201011033,255.0,1.3
202201011103,,0.0
202201011133,,0.0
202201011203,190.0,0.4
202201011233,239.0,0.4
202201011303,,0.0
202201011333,,0.0
202201011403,134.0,0.9
202201011433,171.0,0.9
202201011503,246.0,0.4
202201011533,205.0,0.9
202201011603,96.0,0.4
202201011633,138.0,0.4
202201011703,337.0,0.4
202201011733,1.0,1.3
202201011803,359.0,2.7
202201011833,20.0,0.9
202201011903,22.0,0.9
202201011933,28.0,1.3
202201012003,142.0,0.4
202201012033,,0.0
202201012103,228.0,0.4
202201012133,147.0,0.4
202201012203,136.0,0.9
202201012233,186.0,0.4
202201012303,,0.0
202201012333,211.0,1.3
202201020003,219.0,0.4
202201020033,187.0,3.6
202201020103,136.0,2.7
202201020133,226.0,3.6
202201020203,260.0,1.3
202201020233,232.0,0.9
202201020303,354.0,0.4
202201020333,,0.0
202201020403,261.0,0.9
202201020433,,0.0
202201020503,259.0,0.4
202201020533,238.0,0.9
202201020603,6.0,1.8
202201020633,334.0,0.4
202201020703,323.0,3.1
202201020733,349.0,0.9
202201020803,350.0,0.9
202201020833,301.0,2.2
202201020903,311.0,1.8
202201020933,354.0,0.9
202201021003,345.0,1.3
202201021033,353.0,1.3
202201021103,345.0,1.3
202201021133,13.0,3.1
202201021203,350.0,1.8
202201021233,0.0,1.8
202201021333,323.0,1.8
202201021403,353.0,1.3
202201021433,2.0,1.8
202201021503,313.0,2.2
202201021533,358.0,1.8
202201021603,4.0,1.3
202201021633,354.0,1.8
202201021703,354.0,2.2
202201021733,352.0,2.7
202201021803,33.0,0.4
202201021833,5.0,2.7
202201021903,30.0,0.9
202201021933,337.0,2.2
202201022003,34.0,2.7
202201022033,10.0,3.1
202201022103,20.0,3.1
202201022133,340.0,2.2
202201022203,36.0,1.8
202201022233,345.0,1.3
202201022303,2.0,1.3
202201022333,12.0,1.3
202201030003,39.0,0.9
202201030033,57.0,3.1
202201030103,62.0,1.3
202201030133,17.0,2.7
202201030203,43.0,1.3
202201030233,72.0,1.3
202201030303,32.0,2.7
202201030333,24.0,1.8
202201030403,17.0,3.6
202201030433,11.0,2.7
202201030503,3.0,2.7
202201030533,40.0,2.7
202201030603,38.0,2.7
202201030633,6.0,2.2
202201030703,15.0,2.7
202201030733,354.0,1.3
202201030803,18.0,1.8
202201030833,341.0,1.3
202201030903,50.0,3.1
202201030933,22.0,1.8
202201031003,14.0,1.8
202201031033,350.0,2.2
202201031103,19.0,0.9
202201031133,2.0,1.3
202201031203,347.0,1.3
202201031233,,0.0
202201031303,331.0,0.9
202201031333,1.0,1.3
202201031403,36.0,2.2
202201031433,46.0,1.3
202201031503,98.0,0.9
202201031533,29.0,0.9
202201031603,57.0,1.3
202201031633,348.0,1.8
202201031703,15.0,1.3
202201031733,42.0,1.8
202201031803,355.0,1.8
202201031903,81.0,0.9
202201031933,9.0,1.8
202201032003,317.0,0.4
202201032033,359.0,0.9
202201032133,221.0,0.4
202201032203,,0.0
202201032233,183.0,0.4
202201032303,,0.0
202201032333,,0.0
202201040003,284.0,0.4
202201040033,342.0,0.9
202201040103,,0.0
202201040133,,0.0
202201040203,,0.0
202201040233,,0.0
202201040303,,0.0
202201040403,,0.0
202201040433,,0.0
202201040503,,0.0
202201040533,148.0,0.4
202201040603,131.0,0.4
202201040633,127.0,0.4
202201040703,,0.0
202201040733,,0.0
202201040803,,0.0
202201040833,128.0,0.4
202201040903,142.0,0.9
202201040933,144.0,0.4
202201041003,145.0,0.9
202201041033,129.0,0.4
202201041103,139.0,0.4
202201041133,,0.0
202201041203,,0.0
202201041233,,0.0
202201041303,,0.0
202201041333,135.0,0.4
202201041403,,0.0
202201041433,191.0,1.3
202201041503,173.0,1.8
202201041533,185.0,1.8
202201041603,191.0,2.2
202201041633,184.0,1.8
202201041703,251.0,1.8
202201041733,212.0,1.8
202201041803,257.0,1.8
202201041833,226.0,1.3
202201041903,153.0,1.8
202201041933,195.0,3.6
202201042003,261.0,2.2
