timestamp string,wind direction,wind speed
202201010004,180.0,0.4
202201010009,180.0,0.9
202201010014,,0.0
202201010019,,0.0
202201010024,158.0,0.4
202201010029,158.0,0.9
202201010034,180.0,1.3
202201010039,180.0,1.8
202201010044,180.0,1.3
202201010049,,0.0
202201010054,180.0,1.3
202201010059,158.0,0.9
202201010104,,0.0
202201010109,,0.0
202201010114,,0.0
202201010119,,0.0
202201010124,,0.0
202201010129,,0.0
202201010134,,0.0
202201010139,180.0,0.4
202201010144,180.0,0.9
202201010149,158.0,0.4
202201010154,180.0,2.2
202201010159,180.0,0.9
202201010204,180.0,0.9
202201010209,180.0,0.9
202201010214,180.0,1.3
202201010219,180.0,2.2
202201010224,158.0,0.9
202201010229,180.0,1.3
202201010234,180.0,0.4
202201010239,180.0,1.8
202201010244,,0.0
202201010249,180.0,1.3
202201010254,158.0,0.4
202201010259,180.0,0.4
202201010304,180.0,1.8
202201010309,180.0,0.9
202201010314,180.0,1.3
202201010319,180.0,0.4
202201010324,180.0,0.4
202201010329,180.0,1.3
202201010334,180.0,0.4
202201010339,180.0,1.3
202201010344,158.0,0.9
202201010349,158.0,1.8
202201010354,158.0,1.8
202201010359,180.0,2.2
202201010404,203.0,1.3
202201010409,180.0,1.8
202201010414,180.0,1.3
202201010419,158.0,1.8
202201010424,180.0,1.3
202201010429,158.0,1.3
202201010434,180.0,2.2
202201010439,,0.0
202201010444,180.0,0.9
202201010449,180.0,1.8
202201010454,180.0,2.2
202201010459,203.0,2.2
202201010504,180.0,2.2
202201010509,180.0,2.2
202201010514,180.0,1.8
202201010519,180.0,1.8
202201010524,180.0,2.2
202201010529,158.0,1.8
202201010534,180.0,2.7
202201010539,203.0,1.3
202201010544,158.0,0.9
202201010549,180.0,2.7
202201010554,,0.0
202201010559,158.0,2.7
202201010604,180.0,2.2
202201010609,180.0,2.2
202201010614,158.0,1.8
202201010619,180.0,2.7
202201010624,180.0,2.7
202201010629,180.0,1.8
202201010634,180.0,2.7
202201010639,180.0,3.1
202201010644,203.0,1.3
202201010649,180.0,3.1
202201010654,203.0,2.7
202201010659,180.0,2.2
202201010704,180.0,2.7
202201010709,180.0,3.6
202201010714,203.0,2.7
202201010719,180.0,1.3
202201010724,180.0,2.2
202201010729,180.0,2.2
202201010734,203.0,4.0
202201010739,225.0,2.2
202201010744,203.0,2.2
202201010749,180.0,3.1
202201010754,180.0,3.1
202201010804,180.0,2.2
202201010809,203.0,1.8
202201010814,158.0,0.9
202201010819,203.0,2.2
202201010824,180.0,2.2
202201010829,203.0,2.7
202201010834,203.0,2.2
202201010844,203.0,2.2
202201010849,180.0,2.2
202201010854,203.0,1.8
202201010904,203.0,0.9
202201010909,203.0,2.2
202201010914,203.0,3.6
202201010919,180.0,1.8
202201010934,180.0,0.9
202201010939,180.0,1.8
202201010944,180.0,1.8
