timestamp string,wind direction,wind speed
202201010001,,0.0
202201010005,,0.0
202201010011,,0.0
202201010016,,0.0
202201010021,,0.0
202201010025,,0.0
202201010031,,0.0
202201010036,244.0,0.4
202201010040,,0.0
202201010046,,0.0
202201010050,,0.0
202201010055,,0.0
202201010101,,0.0
202201010105,,0.0
202201010110,238.0,0.4
202201010116,269.0,0.4
202201010120,186.0,0.4
202201010125,195.0,0.4
202201010131,248.0,0.4
202201010135,229.0,0.4
202201010140,,0.0
202201010146,,0.0
202201010150,,0.0
202201010155,,0.0
202201010202,,0.0
202201010205,,0.0
202201010211,,0.0
202201010217,,0.0
202201010220,,0.0
202201010225,,0.0
202201010231,111.0,0.4
202201010235,0.0,0.4
202201010241,,0.0
202201010247,,0.0
202201010250,,0.0
202201010255,,0.0
202201010301,,0.0
202201010305,,0.0
202201010310,,0.0
202201010316,,0.0
202201010321,,0.0
202201010325,,0.0
202201010335,,0.0
202201010340,,0.0
202201010346,,0.0
202201010350,,0.0
202201010401,,0.0
202201010405,,0.0
202201010410,,0.0
202201010417,,0.0
202201010420,,0.0
202201010425,,0.0
202201010431,,0.0
202201010435,,0.0
202201010440,,0.0
202201010446,,0.0
202201010450,,0.0
202201010455,,0.0
202201010502,,0.0
202201010505,,0.0
202201010511,269.0,0.4
202201010516,271.0,0.4
202201010520,209.0,0.9
202201010525,251.0,1.3
202201010535,212.0,1.8
202201010540,205.0,1.3
202201010546,185.0,1.3
202201010550,156.0,1.8
202201010556,207.0,1.3
202201010601,278.0,1.8
202201010606,259.0,1.3
202201010611,266.0,2.2
202201010616,257.0,1.3
202201010620,237.0,1.8
202201010625,261.0,1.3
202201010632,243.0,2.2
202201010635,188.0,0.9
202201010640,255.0,1.3
202201010646,197.0,2.2
202201010650,271.0,1.8
202201010655,98.0,1.8
202201010701,274.0,2.2
202201010705,199.0,1.8
202201010710,217.0,1.8
202201010717,286.0,1.3
202201010720,260.0,1.3
202201010725,247.0,2.2
202201010731,200.0,1.3
202201010746,271.0,1.8
202201010750,186.0,2.7
202201010755,276.0,2.7
202201010801,277.0,3.1
202201010805,208.0,1.8
202201010810,265.0,2.7
202201010816,170.0,1.8
202201010820,210.0,2.2
202201010835,268.0,1.8
202201010840,182.0,3.1
202201010851,243.0,1.8
202201010855,248.0,1.8
202201010901,278.0,2.7
202201010905,155.0,3.1
202201010910,187.0,2.7
202201010916,273.0,2.7
202201010920,271.0,2.7
202201010926,276.0,4.5
202201010931,229.0,3.6
202201010935,288.0,3.1
202201010940,278.0,2.7
202201010947,236.0,3.1
202201010950,266.0,2.2
202201010955,288.0,3.1
202201011002,240.0,1.8
202201011005,241.0,2.2
202201011010,274.0,2.7
202201011016,255.0,2.7
202201011020,241.0,2.7
202201011025,263.0,2.7
202201011031,245.0,2.7
202201011035,288.0,2.7
202201011041,281.0,2.7
202201011050,238.0,3.1
202201011055,243.0,3.1
202201011102,225.0,2.2
202201011105,264.0,2.2
202201011110,275.0,3.1
202201011116,288.0,1.8
202201011120,259.0,2.2
202201011125,264.0,1.3
202201011135,200.0,3.1
202201011140,223.0,1.8
202201011146,260.0,1.3
202201011150,251.0,1.8
202201011155,221.0,2.2
202201011202,274.0,2.2
202201011205,265.0,2.2
202201011210,245.0,1.8
202201011215,181.0,2.2
202201011220,354.0,1.8
202201011225,205.0,1.8
202201011231,196.0,1.8
202201011235,243.0,2.7
202201011246,249.0,1.8
202201011250,240.0,2.7
202201011255,269.0,1.3
202201011302,222.0,1.8
202201011305,240.0,1.3
202201011310,245.0,1.3
202201011316,281.0,1.3
202201011320,257.0,1.3
202201011325,238.0,2.2
202201011332,255.0,0.4
202201011335,215.0,0.9
202201011340,242.0,0.4
202201011346,234.0,0.9
202201011350,230.0,0.9
202201011355,263.0,0.9
202201011401,263.0,1.8
202201011405,165.0,1.3
202201011410,170.0,1.8
202201011416,274.0,2.2
202201011420,243.0,1.8
202201011425,295.0,2.2
202201011431,243.0,2.2
202201011435,269.0,2.7
202201011446,274.0,2.2
202201011501,277.0,3.1
202201011505,269.0,2.2
202201011510,269.0,2.7
202201011516,168.0,2.7
202201011520,274.0,2.7
202201011526,273.0,3.6
202201011532,281.0,3.1
202201011535,244.0,3.1
202201011540,116.0,2.7
202201011546,253.0,2.7
202201011550,243.0,3.1
202201011555,286.0,4.0
202201011605,160.0,4.0
202201011610,238.0,4.0
202201011617,290.0,3.6
202201011620,254.0,2.7
202201011625,280.0,4.0
202201011631,290.0,3.1
202201011635,255.0,4.5
202201011640,175.0,3.6
202201011646,227.0,3.6
202201011650,182.0,3.6
202201011655,280.0,3.6
202201011701,165.0,3.1
202201011705,247.0,4.5
202201011710,272.0,3.6
202201011716,205.0,3.6
202201011720,233.0,4.5
202201011725,262.0,3.1
202201011731,281.0,3.6
202201011735,269.0,4.9
202201011740,217.0,5.8
202201011746,269.0,5.4
202201011750,266.0,5.4
202201011803,264.0,4.0
202201011816,246.0,3.1
202201011820,251.0,4.0
202201011825,257.0,5.4
202201011835,290.0,4.0
202201011840,233.0,3.6
202201011846,266.0,4.9
202201011850,213.0,3.1
202201011856,271.0,4.0
202201011901,260.0,5.8
202201011910,134.0,3.6
202201011918,264.0,4.0
202201011920,219.0,4.5
202201011925,262.0,4.5
202201011932,277.0,6.3
202201011935,295.0,4.5
202201011940,234.0,5.4
202201011946,242.0,4.0
202201011950,266.0,4.5
202201011955,240.0,3.6
202201012001,237.0,2.7
202201012005,32.0,2.2
202201012010,23.0,2.2
202201012017,304.0,0.4
202201012020,,0.0
202201012025,347.0,0.4
202201012031,359.0,0.4
202201012035,353.0,0.4
202201012040,278.0,0.4
202201012046,20.0,0.4
202201012050,101.0,0.4
202201012055,,0.0
202201012102,,0.0
202201012105,,0.0
202201012110,,0.0
202201012116,,0.0
202201012120,,0.0
202201012125,,0.0
202201012131,,0.0
202201012135,,0.0
202201012140,,0.0
202201012146,,0.0
202201012150,63.0,0.4
202201012155,,0.0
202201012202,,0.0
202201012205,,0.0
202201012211,,0.0
202201012216,,0.0
202201012220,342.0,0.4
202201012225,,0.0
202201012231,237.0,0.4
202201012235,0.0,0.4
202201012240,34.0,0.4
202201012247,,0.0
202201012255,,0.0
202201012303,,0.0
202201012305,,0.0
202201012310,,0.0
202201012320,,0.0
202201012325,,0.0
202201012332,,0.0
202201012336,86.0,0.4
202201012340,,0.0
202201012347,,0.0
202201012350,,0.0
202201012355,,0.0
202201020002,,0.0
202201020005,,0.0
202201020010,,0.0
202201020018,,0.0
202201020025,,0.0
202201020031,,0.0
202201020035,,0.0
202201020040,,0.0
202201020046,,0.0
202201020050,,0.0
