timestamp string,wind direction,wind speed
202212140100,271.0,0.4
202212140115,269.0,0.4
202212140130,269.0,0.4
202212140145,,0.0
202212140200,260.0,0.4
202212140215,,0.0
202212140230,,0.0
202212140245,,0.0
202212140300,,0.0
202212140330,,0.0
202212140345,,0.0
202212140400,,0.0
202212140415,,0.0
202212140430,,0.0
202212140445,,0.0
202212140500,,0.0
202212140519,,0.0
202212140531,,0.0
202212140602,,0.0
202212140630,,0.0
202212140645,,0.0
202212140715,,0.0
202212140730,,0.0
202212140745,,0.0
202212140800,,0.0
202212140815,,0.0
202212140830,,0.0
202212140845,,0.0
202212140900,,0.0
202212140915,,0.0
202212140930,,0.0
202212140945,,0.0
202212141000,,0.0
202212141015,,0.0
202212141030,257.0,0.9
202212141045,260.0,1.3
202212141100,263.0,0.9
202212141115,0.0,0.4
202212141130,260.0,0.4
202212141145,279.0,0.9
202212141200,270.0,0.9
202212141215,279.0,1.3
202212141230,252.0,0.4
202212141245,263.0,0.9
202212141301,218.0,0.4
202212141315,,0.0
202212141331,,0.0
202212141345,,0.0
202212141400,169.0,0.4
202212141415,294.0,0.9
202212141430,269.0,0.9
202212141445,271.0,0.9
202212141500,259.0,0.4
202212141515,,0.0
202212141530,,0.0
202212141600,262.0,0.4
202212141615,,0.0
202212141630,,0.0
202212141645,278.0,0.4
202212141700,281.0,0.9
202212141715,281.0,1.3
202212141730,274.0,0.4
202212141745,348.0,0.4
202212141803,286.0,0.9
202212141815,290.0,1.3
202212141830,277.0,0.9
202212141845,284.0,0.9
202212141900,284.0,1.3
202212141930,274.0,1.8
202212141945,279.0,1.3
202212142000,257.0,1.3
202212142015,305.0,0.9
202212142030,248.0,0.9
202212142045,304.0,0.4
202212142100,13.0,0.4
202212142115,279.0,0.9
202212142130,266.0,1.3
202212142145,273.0,1.3
202212142200,279.0,1.3
202212142215,272.0,1.3
202212142230,275.0,0.9
202212142245,271.0,0.9
202212142300,273.0,0.9
202212142315,277.0,1.3
202212142330,279.0,1.3
202212142345,340.0,1.8
202212150000,350.0,0.9
202212150233,256.0,0.9
202212150250,285.0,1.3
202212150301,0.0,0.4
202212150345,0.0,0.4
202212150400,324.0,0.9
202212150416,289.0,0.4
202212150432,40.0,0.4
202212150445,87.0,0.9
202212150500,342.0,0.9
202212150515,290.0,0.4
202212150530,22.0,0.4
202212150545,0.0,0.9
202212150600,50.0,1.8
202212150616,9.0,1.3
202212150631,0.0,0.9
202212150646,352.0,1.3
202212150700,309.0,1.3
202212150715,24.0,0.9
202212150730,284.0,3.1
202212150745,283.0,2.7
202212150800,323.0,3.1
202212150815,304.0,1.8
202212150830,346.0,2.2
202212150845,109.0,2.2
202212150900,261.0,1.3
202212150915,327.0,0.9
202212150930,329.0,2.7
202212150945,255.0,1.8
202212151000,22.0,2.2
202212151015,0.0,1.8
202212151030,19.0,2.7
202212151045,313.0,1.8
202212151115,,0.0
202212151130,325.0,0.4
202212151145,19.0,0.4
202212151200,355.0,1.3
202212151215,284.0,1.8
202212151230,0.0,0.9
202212151245,9.0,0.4
202212151300,351.0,0.9
202212151315,316.0,3.1
202212151330,59.0,1.8
202212151345,30.0,1.3
202212151400,76.0,3.1
202212151415,46.0,2.7
202212151430,38.0,1.8
202212151445,66.0,1.3
202212151500,186.0,0.4
202212151515,257.0,0.9
202212151530,41.0,0.4
202212151545,0.0,1.8
202212151600,291.0,1.8
202212151615,32.0,1.8
202212151630,352.0,0.9
202212151645,334.0,1.3
202212151700,9.0,0.9
202212151715,28.0,1.8
202212151730,37.0,0.9
202212151745,352.0,0.9
202212151800,109.0,1.3
202212151815,19.0,0.9
202212151830,28.0,1.3
202212151846,338.0,0.4
202212151900,67.0,0.9
202212151915,73.0,1.3
202212151930,24.0,1.3
202212151945,117.0,1.3
202212152000,352.0,1.3
202212152015,50.0,1.3
202212152030,19.0,0.9
202212152100,22.0,0.9
202212152130,27.0,0.4
202212152145,,0.0
202212152200,18.0,0.4
202212152215,11.0,0.9
202212152245,0.0,0.4
202212152300,,0.0
202212152315,,0.0
202212152330,,0.0
202212152345,,0.0
202212160000,,0.0
202212160015,,0.0
202212160030,276.0,0.4
