timestamp string,wind direction,wind speed
202201010015,0.0,0.0
202201010035,0.0,0.0
202201010055,0.0,0.0
202201010115,0.0,0.0
202201010135,0.0,0.0
202201010155,30.0,1.5
202201010215,0.0,0.0
202201010235,0.0,0.0
202201010255,0.0,0.0
202201010315,0.0,0.0
202201010335,0.0,0.0
202201010355,50.0,1.5
202201010415,0.0,0.0
202201010435,0.0,0.0
202201010455,0.0,0.0
202201010515,0.0,0.0
202201010535,70.0,1.5
202201010555,0.0,0.0
202201010615,80.0,2.1
202201010635,0.0,0.0
202201010655,60.0,2.1
202201010715,0.0,0.0
202201010735,0.0,0.0
202201010755,90.0,1.5
202201010815,0.0,0.0
202201010835,20.0,2.1
202201010855,70.0,2.6
202201010915,0.0,0.0
202201010935,50.0,2.1
202201010955,0.0,0.0
202201011015,0.0,0.0
202201011055,60.0,1.5
202201011115,,1.5
202201011135,0.0,0.0
202201011155,0.0,0.0
202201011215,0.0,0.0
202201011235,0.0,0.0
202201011255,0.0,0.0
202201011315,0.0,0.0
202201011335,0.0,0.0
202201011355,0.0,0.0
202201011415,0.0,0.0
202201011435,0.0,0.0
202201011515,0.0,0.0
202201011535,0.0,0.0
202201011555,0.0,0.0
202201011615,,2.6
202201011635,,3.1
202201011655,240.0,3.6
202201011715,260.0,3.1
202201011735,260.0,4.1
202201011755,270.0,5.1
202201011815,270.0,5.1
202201011835,290.0,3.6
202201011855,280.0,4.1
202201011915,250.0,3.1
202201011935,260.0,4.1
202201011955,270.0,3.6
202201012015,280.0,4.6
202201012035,270.0,5.1
202201012055,270.0,3.6
202201012115,,2.6
202201012135,310.0,2.6
202201012155,,2.1
202201012215,280.0,2.6
202201012235,270.0,3.1
202201012255,290.0,2.6
202201012315,0.0,0.0
202201012335,300.0,3.6
202201012355,290.0,2.1
202201020015,310.0,2.1
202201020035,0.0,0.0
202201020055,0.0,0.0
202201020115,0.0,0.0
202201020135,0.0,0.0
202201020155,70.0,2.1
202201020235,0.0,0.0
202201020255,0.0,0.0
202201020315,250.0,1.5
202201020335,,1.5
202201020355,0.0,0.0
202201020415,0.0,0.0
202201020435,,1.5
202201020455,100.0,2.6
202201020515,0.0,0.0
202201020535,300.0,4.6
202201020555,,2.1
202201020615,260.0,4.1
202201020635,210.0,3.1
202201020655,0.0,0.0
202201020715,310.0,5.7
202201020735,,2.1
202201020755,0.0,0.0
202201020815,0.0,0.0
202201020835,0.0,0.0
202201020855,0.0,0.0
202201020915,0.0,0.0
202201020955,0.0,0.0
202201021035,0.0,0.0
202201021055,0.0,0.0
202201021115,0.0,0.0
202201021135,250.0,2.1
202201021155,0.0,0.0
202201021215,240.0,2.1
202201021235,0.0,0.0
202201021255,290.0,2.1
202201021315,0.0,0.0
202201021335,,1.5
202201021355,0.0,0.0
202201021415,290.0,1.5
202201021435,280.0,2.6
202201021455,300.0,2.6
