timestamp string,wind direction,wind speed
202201010015,200.0,4.1
202201010035,200.0,4.1
202201010055,210.0,3.6
202201010115,210.0,4.1
202201010135,220.0,3.6
202201010155,210.0,4.6
202201010215,220.0,4.6
202201010235,220.0,4.6
202201010255,230.0,4.6
202201010315,240.0,4.6
202201010335,250.0,8.2
202201010355,230.0,7.7
202201010415,230.0,8.7
202201010435,230.0,5.1
202201010455,250.0,8.2
202201010515,240.0,6.7
202201010535,270.0,6.7
202201010555,260.0,5.1
202201010615,250.0,2.6
202201010635,230.0,2.1
202201010655,200.0,2.1
202201010715,200.0,1.5
202201010735,200.0,2.1
202201010755,190.0,3.1
202201010815,170.0,2.6
202201010835,180.0,2.6
202201010855,170.0,3.6
202201010915,210.0,2.1
202201010935,190.0,1.5
202201010955,0.0,0.0
202201011015,0.0,0.0
202201011035,0.0,0.0
202201011055,0.0,0.0
202201011115,0.0,0.0
202201011135,280.0,1.5
202201011155,250.0,1.5
202201011215,220.0,1.5
202201011235,0.0,0.0
202201011255,190.0,1.5
202201011315,0.0,0.0
202201011335,210.0,2.1
202201011355,130.0,2.6
202201011415,160.0,3.6
202201011435,180.0,3.1
202201011455,230.0,2.1
202201011515,0.0,0.0
202201011535,0.0,0.0
202201011555,120.0,1.5
202201011615,250.0,2.1
202201011635,120.0,1.5
202201011655,0.0,0.0
202201011715,340.0,3.1
202201011735,340.0,2.6
202201011755,350.0,3.1
202201011815,340.0,3.1
202201011835,20.0,3.1
202201011915,330.0,2.6
202201011935,340.0,3.1
202201011955,330.0,3.1
202201012015,330.0,3.6
202201012035,330.0,3.1
202201012055,340.0,4.1
202201012115,,2.6
202201012135,10.0,1.5
202201012155,40.0,2.1
202201012215,0.0,0.0
202201012235,0.0,0.0
202201012255,0.0,0.0
202201012315,0.0,0.0
202201012335,0.0,0.0
202201012355,0.0,0.0
202201020015,210.0,1.5
202201020035,0.0,0.0
202201020055,190.0,2.1
202201020115,170.0,2.6
202201020135,160.0,2.1
202201020155,150.0,1.5
202201020215,170.0,2.6
202201020235,180.0,3.6
202201020255,150.0,5.7
202201020315,140.0,6.7
202201020335,150.0,6.7
202201020355,140.0,5.1
202201020415,160.0,3.6
202201020435,240.0,2.6
202201020455,230.0,2.1
202201020515,210.0,1.5
202201020535,0.0,0.0
202201020555,0.0,0.0
202201020615,220.0,1.5
202201020635,250.0,2.6
202201020655,260.0,2.1
202201020715,250.0,3.1
202201020735,270.0,3.1
202201020755,250.0,4.1
202201020815,240.0,3.6
202201020835,240.0,3.6
202201020855,250.0,3.6
202201020915,250.0,4.1
202201020935,240.0,4.1
202201020955,240.0,4.1
202201021015,310.0,5.7
202201021035,300.0,3.1
202201021055,290.0,3.6
202201021115,290.0,5.1
202201021135,290.0,3.1
202201021155,280.0,2.6
202201021215,290.0,3.1
202201021235,300.0,3.1
202201021255,290.0,3.1
202201021335,300.0,4.6
202201021355,320.0,3.6
202201021415,330.0,4.6
202201021435,320.0,5.7
202201021455,340.0,5.1
202201021515,340.0,3.6
202201021535,330.0,5.1
202201021555,320.0,4.6
202201021615,340.0,4.6
202201021635,330.0,4.6
202201021655,330.0,4.1
202201021715,310.0,5.7
202201021735,320.0,5.7
202201021755,320.0,5.1
202201021815,330.0,4.1
202201021835,330.0,4.1
202201021855,330.0,3.6
202201021915,330.0,4.1
202201021935,330.0,4.1
202201022015,340.0,4.6
202201022035,350.0,4.1
202201022055,,4.1
202201022115,,5.1
202201022135,,5.1
202201022155,10.0,4.1
202201022215,,3.6
202201022235,350.0,3.6
202201022255,350.0,3.6
202201022315,10.0,4.1
202201022335,10.0,4.1
202201022355,20.0,4.6
202201030015,,4.6
202201030035,,5.1
202201030055,10.0,3.6
202201030115,10.0,3.1
202201030135,10.0,4.6
202201030155,10.0,4.1
202201030215,10.0,4.1
202201030235,10.0,5.1
202201030255,20.0,6.2
202201030315,10.0,6.2
202201030335,10.0,4.6
202201030355,10.0,6.2
202201030435,10.0,5.7
202201030455,10.0,5.1
202201030515,20.0,5.1
202201030535,10.0,5.7
202201030555,20.0,3.6
202201030615,30.0,6.2
202201030635,10.0,6.2
202201030655,10.0,7.7
202201030715,,6.7
202201030735,10.0,7.2
202201030755,10.0,7.2
