timestamp string,wind direction,wind speed
202201010015,190.0,3.1
202201010035,190.0,2.6
202201010055,190.0,2.6
202201010115,180.0,2.6
202201010135,190.0,2.1
202201010155,190.0,2.6
202201010215,190.0,3.1
202201010235,190.0,3.6
202201010255,210.0,3.6
202201010315,210.0,3.6
202201010335,210.0,4.1
202201010355,210.0,4.1
202201010415,220.0,3.6
202201010435,210.0,3.6
202201010455,220.0,4.1
202201010535,220.0,2.6
202201010555,210.0,3.1
202201010615,210.0,3.6
202201010635,210.0,2.6
202201010655,210.0,3.1
202201010715,210.0,3.6
202201010735,210.0,3.6
202201010755,210.0,4.1
202201010835,210.0,3.1
202201010855,200.0,4.1
202201010915,210.0,4.1
202201010935,210.0,4.6
202201010955,210.0,4.6
202201011015,210.0,4.1
202201011035,220.0,3.6
202201011055,220.0,4.6
202201011115,210.0,3.6
202201011135,220.0,3.1
202201011155,220.0,3.1
202201011215,220.0,4.1
202201011235,220.0,4.1
202201011255,220.0,4.1
202201011315,220.0,4.1
202201011335,220.0,5.7
202201011355,220.0,5.1
202201011455,220.0,4.6
202201011515,220.0,5.1
202201011535,220.0,5.1
202201011555,240.0,5.1
202201011615,230.0,5.7
202201011635,210.0,4.6
202201011655,220.0,5.1
202201011715,210.0,6.2
202201011735,230.0,7.2
202201011755,220.0,6.2
202201011815,210.0,6.2
202201011835,230.0,6.7
202201011855,220.0,5.1
202201011915,230.0,6.2
202201011935,,
202201011955,220.0,4.6
202201012015,220.0,6.7
202201012035,,
202201012055,230.0,4.6
202201012115,220.0,6.7
202201012135,220.0,7.2
202201012155,210.0,5.1
202201012215,210.0,5.1
202201012235,210.0,4.6
202201012255,200.0,4.6
202201012315,200.0,3.6
202201012335,190.0,3.6
202201012355,190.0,4.6
202201020015,190.0,4.6
202201020035,200.0,4.6
202201020055,200.0,5.1
202201020115,210.0,5.7
202201020135,200.0,4.6
202201020155,200.0,5.7
202201020215,210.0,6.7
202201020255,210.0,5.1
202201020315,210.0,5.7
202201020335,210.0,5.1
202201020355,200.0,5.7
202201020415,210.0,4.6
202201020435,220.0,5.1
202201020455,220.0,6.7
202201020515,230.0,5.7
202201020535,210.0,7.2
202201020615,220.0,6.7
202201020635,210.0,6.2
202201020655,200.0,7.2
202201020715,210.0,7.2
202201020735,220.0,6.2
202201020755,220.0,6.2
202201020815,220.0,4.6
202201020835,220.0,5.1
202201020855,,
202201020915,220.0,5.7
202201020935,220.0,5.7
202201020955,230.0,5.7
202201021015,230.0,4.1
202201021035,220.0,4.6
202201021055,,
202201021115,210.0,4.1
202201021135,210.0,4.1
202201021155,220.0,4.6
202201021215,220.0,4.1
202201021235,210.0,4.1
202201021255,210.0,4.1
202201021315,210.0,4.1
202201021335,200.0,4.6
202201021355,200.0,4.1
202201021415,210.0,4.1
