timestamp string,wind direction,wind speed
202201010015,190.0,3.6
202201010035,180.0,4.1
202201010055,0.0,0.0
202201010115,0.0,0.0
202201010135,190.0,3.6
202201010215,0.0,0.0
202201010235,200.0,3.6
202201010315,0.0,0.0
202201010335,0.0,0.0
202201010355,0.0,0.0
202201010415,0.0,0.0
202201010515,190.0,2.1
202201010535,180.0,3.6
202201010615,220.0,6.2
202201010635,210.0,3.6
202201010655,0.0,0.0
202201010715,190.0,2.6
202201010735,0.0,0.0
202201010755,0.0,0.0
202201010815,0.0,0.0
202201010835,120.0,1.5
202201010855,0.0,0.0
202201010915,90.0,1.5
202201010935,180.0,1.5
202201011015,0.0,0.0
202201011035,0.0,0.0
202201011055,30.0,1.5
202201011115,30.0,1.5
202201011135,0.0,0.0
202201011155,0.0,0.0
202201011215,30.0,1.5
202201011235,0.0,0.0
202201011255,10.0,2.1
202201011315,340.0,2.1
202201011335,0.0,0.0
202201011355,40.0,2.6
202201011415,80.0,2.6
202201011435,80.0,2.1
202201011455,90.0,4.1
202201011515,120.0,3.1
202201011535,130.0,3.1
202201011555,150.0,3.6
202201011615,140.0,4.1
202201011635,140.0,4.6
202201011655,160.0,4.6
202201011715,180.0,7.2
202201011735,190.0,9.8
202201011755,200.0,13.9
202201011815,,
202201012240,0.0,0.0
202201012255,0.0,0.0
202201012315,110.0,2.1
202201012335,0.0,0.0
202201012355,150.0,3.1
202201020015,140.0,1.5
202201020035,120.0,3.6
202201020055,150.0,2.6
202201020115,100.0,2.6
202201020135,110.0,2.1
202201020155,0.0,0.0
202201020215,0.0,0.0
202201020235,120.0,3.1
202201020255,110.0,3.1
202201020315,140.0,4.1
202201020335,150.0,3.1
202201020355,160.0,3.1
202201020415,0.0,0.0
202201020435,160.0,3.1
202201020455,180.0,2.1
202201020515,0.0,0.0
202201020535,0.0,0.0
202201020555,0.0,0.0
202201020615,0.0,0.0
202201020635,0.0,0.0
202201020655,0.0,0.0
202201020715,260.0,1.5
202201020735,0.0,0.0
202201020755,240.0,2.1
202201020815,240.0,2.1
202201020835,250.0,2.1
202201020855,0.0,0.0
202201020915,0.0,0.0
202201020935,0.0,0.0
202201020955,230.0,2.1
202201021035,300.0,3.1
202201021055,0.0,0.0
202201021115,300.0,1.5
202201021135,0.0,0.0
202201021155,0.0,0.0
202201021215,290.0,1.5
202201021240,0.0,0.0
202201021255,0.0,0.0
202201021315,0.0,0.0
202201021335,0.0,0.0
202201021415,0.0,0.0
202201021435,0.0,0.0
202201021455,0.0,0.0
202201021515,0.0,0.0
202201021535,0.0,0.0
202201021555,0.0,0.0
202201021615,0.0,0.0
202201021635,0.0,0.0
202201021735,300.0,2.6
202201021755,0.0,0.0
202201021815,0.0,0.0
202201021835,0.0,0.0
202201021855,0.0,0.0
202201021915,0.0,0.0
202201021935,0.0,0.0
202201021955,0.0,0.0
202201022035,0.0,0.0
202201022055,0.0,0.0
202201022115,0.0,0.0
202201022135,0.0,0.0
202201022155,350.0,1.5
202201022235,340.0,1.5
202201022255,,2.6
202201022315,0.0,0.0
202201022335,350.0,3.1
202201022355,,3.1
202201030015,,4.6
202201030035,0.0,0.0
202201030055,0.0,0.0
202201030115,,1.5
202201030135,0.0,0.0
202201030155,10.0,4.1
202201030215,0.0,0.0
202201030235,0.0,0.0
202201030255,20.0,4.6
202201030315,,2.6
202201030335,0.0,0.0
202201030355,,1.5
202201030415,0.0,0.0
202201030435,0.0,0.0
202201030515,10.0,3.6
202201030535,,4.1
202201030555,350.0,3.1
202201030615,10.0,3.1
202201030635,0.0,0.0
202201030655,340.0,4.6
202201030715,340.0,5.7
202201030735,350.0,5.1
202201030755,340.0,4.1
202201030815,350.0,4.6
202201030835,350.0,4.1
202201030855,340.0,3.6
202201030915,340.0,5.7
202201030955,350.0,4.1
202201031015,330.0,4.6
202201031035,340.0,3.1
202201031055,340.0,3.6
202201031135,340.0,3.1
202201031155,340.0,3.1
202201031215,330.0,5.1
202201031235,330.0,6.2
202201031255,330.0,4.6
202201031315,320.0,3.6
202201031335,340.0,4.1
202201031355,330.0,5.1
202201031415,350.0,5.1
202201031455,340.0,4.6
202201031515,340.0,3.1
202201031535,10.0,4.1
202201031555,350.0,3.6
202201031615,350.0,5.1
202201031655,350.0,3.1
202201031715,0.0,0.0
202201031735,340.0,1.5
202201031755,310.0,2.1
202201031815,350.0,1.5
202201031835,0.0,0.0
202201031855,350.0,2.6
202201031915,330.0,1.5
202201031935,320.0,1.5
202201031955,0.0,0.0
202201032015,340.0,2.1
202201032035,310.0,1.5
