timestamp string,wind direction,wind speed
202201010015,0.0,0.0
202201010035,0.0,0.0
202201010055,0.0,0.0
202201010115,0.0,0.0
202201010135,0.0,0.0
202201010155,0.0,0.0
202201010215,0.0,0.0
202201010235,0.0,0.0
202201010255,180.0,2.1
202201010315,180.0,1.5
202201010335,210.0,1.5
202201010355,200.0,3.1
202201010415,190.0,4.1
202201010435,200.0,2.1
202201010455,200.0,4.1
202201010515,190.0,3.6
202201010535,200.0,3.6
202201010555,200.0,3.6
202201010615,200.0,5.1
202201010635,200.0,4.6
202201010655,200.0,5.1
202201010715,190.0,4.6
202201010735,200.0,5.1
202201010755,190.0,4.1
202201010815,190.0,4.1
202201010835,200.0,4.1
202201010855,200.0,4.1
202201010915,200.0,3.1
202201010935,210.0,5.1
202201010955,210.0,5.1
202201011015,190.0,5.1
202201011035,210.0,4.1
202201011055,200.0,3.6
202201011115,200.0,4.6
202201011135,210.0,3.1
202201011155,200.0,3.1
202201011215,200.0,2.6
202201011235,200.0,2.6
202201011255,190.0,2.6
202201011315,190.0,2.6
202201011335,200.0,3.1
202201011355,190.0,3.6
202201011415,200.0,3.1
202201011435,180.0,3.6
202201011455,190.0,4.1
202201011515,190.0,4.6
202201011535,200.0,4.6
202201011555,210.0,6.2
202201011615,210.0,4.1
202201011635,200.0,6.7
202201011655,200.0,6.7
202201011715,200.0,6.7
202201011735,200.0,7.2
202201011755,220.0,5.7
202201011815,220.0,8.2
202201011835,220.0,5.7
202201011855,200.0,7.2
202201011915,210.0,7.2
202201011935,210.0,6.7
202201011955,210.0,7.2
202201012035,200.0,6.2
202201012055,200.0,5.7
202201012115,190.0,4.6
202201012135,200.0,5.1
202201012155,200.0,5.1
202201012215,190.0,4.6
202201012235,190.0,2.6
202201012255,190.0,3.1
202201012315,200.0,5.1
202201012335,170.0,3.6
202201012355,170.0,3.6
202201020015,190.0,6.2
202201020035,200.0,5.7
202201020055,190.0,6.2
202201020115,190.0,5.1
202201020135,200.0,6.2
202201020155,200.0,7.2
202201020215,200.0,7.2
202201020235,200.0,6.7
202201020255,210.0,6.2
202201020315,200.0,5.7
202201020335,200.0,6.2
202201020355,200.0,6.2
202201020415,200.0,8.2
202201020455,200.0,5.7
202201020515,200.0,7.7
202201020535,200.0,7.2
202201020555,200.0,7.7
202201020615,200.0,6.2
202201020655,220.0,6.2
202201020715,200.0,4.6
202201020735,210.0,8.7
202201020755,210.0,7.2
202201020815,210.0,5.1
202201020835,210.0,7.2
202201020855,210.0,4.6
202201020915,210.0,5.7
202201020935,200.0,6.7
202201020955,270.0,5.7
202201021015,310.0,9.3
202201021035,300.0,2.6
202201021055,340.0,4.1
202201021115,10.0,2.1
202201021135,0.0,0.0
202201021155,220.0,1.5
202201021215,0.0,0.0
202201021235,0.0,0.0
202201021255,0.0,0.0
202201021335,0.0,0.0
202201021355,0.0,0.0
