timestamp string,wind direction,wind speed
202201010000,0.0,0.0
202201010005,0.0,0.0
202201010010,0.0,0.0
202201010015,0.0,0.0
202201010020,0.0,0.0
202201010025,0.0,0.0
202201010030,0.0,0.0
202201010035,0.0,0.0
202201010040,260.0,1.5
202201010045,0.0,0.0
202201010050,250.0,2.1
202201010053,250.0,2.1
202201010100,240.0,1.5
202201010105,240.0,1.5
202201010110,0.0,0.0
202201010115,0.0,0.0
202201010125,0.0,0.0
202201010130,0.0,0.0
202201010135,0.0,0.0
202201010140,250.0,1.5
202201010145,0.0,0.0
202201010150,0.0,0.0
202201010153,0.0,0.0
202201010155,0.0,0.0
202201010200,250.0,1.5
202201010205,230.0,1.5
202201010210,250.0,2.1
202201010215,240.0,2.6
202201010220,230.0,2.1
202201010225,210.0,2.1
202201010230,220.0,3.1
202201010235,230.0,2.6
202201010240,220.0,3.1
202201010245,220.0,3.1
202201010250,220.0,2.6
202201010253,220.0,2.1
202201010255,230.0,2.1
202201010300,230.0,2.6
202201010305,240.0,2.6
202201010310,250.0,2.6
202201010320,240.0,2.1
202201010325,240.0,2.1
202201010330,230.0,2.6
202201010335,230.0,2.6
202201010340,210.0,3.6
202201010345,220.0,2.6
202201010350,230.0,4.1
202201010353,220.0,3.6
202201010355,210.0,3.6
202201010400,210.0,3.1
202201010405,220.0,3.1
202201010410,210.0,4.1
202201010415,220.0,3.6
202201010420,220.0,3.6
202201010425,210.0,3.6
202201010430,210.0,3.1
202201010435,210.0,3.6
202201010440,210.0,4.1
202201010445,210.0,4.1
202201010450,220.0,4.6
202201010453,210.0,3.6
202201010455,210.0,4.1
202201010500,210.0,4.6
202201010502,210.0,3.6
202201010505,220.0,3.1
202201010510,230.0,3.6
202201010515,220.0,2.6
202201010520,220.0,4.6
202201010525,210.0,3.6
202201010530,220.0,3.1
202201010535,230.0,3.1
202201010540,220.0,3.6
202201010545,220.0,3.1
202201010550,230.0,3.6
202201010553,210.0,3.1
202201010555,230.0,3.1
202201010605,200.0,3.1
202201010610,210.0,2.6
202201010615,210.0,3.1
202201010620,210.0,3.6
202201010625,210.0,3.1
202201010630,210.0,5.7
202201010635,210.0,4.6
202201010640,210.0,5.7
202201010645,210.0,5.1
202201010650,210.0,3.6
202201010653,220.0,3.6
202201010655,220.0,4.1
202201010700,220.0,5.1
202201010705,220.0,3.6
202201010710,220.0,4.6
202201010715,220.0,3.6
202201010720,220.0,4.1
202201010725,210.0,3.6
202201010730,210.0,4.1
202201010735,210.0,3.6
202201010740,210.0,3.1
202201010745,210.0,4.6
202201010750,230.0,4.1
202201010753,220.0,3.6
202201010755,220.0,3.1
202201010800,220.0,4.6
202201010805,230.0,4.1
202201010810,220.0,3.1
202201010815,220.0,4.6
202201010820,220.0,2.6
202201010825,220.0,5.1
202201010830,230.0,3.6
202201010835,230.0,3.1
202201010840,240.0,4.1
202201010845,220.0,4.6
202201010850,220.0,4.1
202201010853,210.0,4.1
202201010855,220.0,4.6
202201010900,220.0,3.6
202201010905,220.0,5.1
202201010910,220.0,3.1
202201010915,220.0,5.1
202201010920,220.0,5.7
202201010925,220.0,3.6
202201010930,220.0,3.1
202201010935,220.0,3.6
202201010940,220.0,4.6
202201010945,230.0,4.1
202201010950,210.0,3.6
202201010953,230.0,5.1
202201010955,230.0,3.6
202201011000,220.0,3.1
202201011005,230.0,3.1
202201011010,220.0,2.6
202201011015,220.0,2.6
202201011020,220.0,3.1
202201011025,230.0,2.6
202201011030,220.0,3.1
202201011035,210.0,2.6
202201011040,210.0,2.6
202201011045,200.0,2.6
202201011050,210.0,2.6
202201011053,220.0,3.1
202201011100,210.0,2.6
202201011105,210.0,3.1
202201011110,220.0,3.6
202201011115,210.0,3.6
202201011120,220.0,3.6
202201011125,200.0,2.6
202201011130,230.0,3.1
202201011135,220.0,3.6
202201011140,220.0,3.6
202201011145,230.0,3.1
202201011150,220.0,3.6
202201011153,230.0,2.6
202201011155,210.0,3.1
202201011200,210.0,2.6
202201011205,210.0,4.1
202201011210,210.0,3.1
202201011215,200.0,3.1
202201011220,200.0,2.6
202201011225,210.0,3.1
202201011230,200.0,4.1
202201011235,220.0,2.6
202201011240,220.0,3.1
202201011245,210.0,3.1
202201011250,230.0,3.6
202201011253,220.0,4.1
202201011255,210.0,3.1
202201011305,210.0,3.1
202201011310,200.0,3.6
202201011315,200.0,3.6
202201011320,210.0,3.6
202201011325,210.0,2.6
202201011330,210.0,3.1
202201011335,220.0,2.6
202201011340,210.0,2.6
202201011345,220.0,3.1
202201011353,220.0,4.6
202201011355,220.0,5.7
202201011400,200.0,4.6
202201011405,210.0,4.1
202201011409,220.0,5.7
202201011410,210.0,6.2
202201011415,230.0,6.7
202201011420,220.0,5.7
202201011425,210.0,4.6
202201011430,220.0,5.1
202201011435,210.0,5.1
202201011440,220.0,7.2
202201011445,230.0,6.7
202201011450,220.0,6.2
202201011453,210.0,5.7
202201011455,220.0,5.1
202201011500,210.0,5.1
202201011505,220.0,6.7
202201011510,200.0,6.2
202201011515,210.0,6.7
202201011520,200.0,4.1
202201011525,220.0,5.1
202201011530,220.0,6.2
202201011535,220.0,6.2
202201011537,220.0,6.7
202201011540,220.0,6.2
202201011545,220.0,6.7
202201011550,210.0,5.7
202201011553,220.0,7.7
202201011555,220.0,7.7
202201011600,210.0,8.2
202201011605,220.0,8.7
202201011610,220.0,4.6
202201011615,230.0,6.7
202201011620,230.0,6.2
202201011625,230.0,5.7
202201011630,220.0,5.7
202201011635,220.0,6.7
202201011640,220.0,8.2
202201011650,220.0,6.7
202201011653,230.0,7.2
202201011655,220.0,6.7
202201011700,220.0,6.2
202201011705,220.0,6.7
202201011710,220.0,6.7
202201011715,230.0,7.7
202201011720,220.0,7.7
202201011725,220.0,8.2
202201011730,220.0,8.7
202201011735,220.0,8.7
202201011745,210.0,7.2
202201011750,220.0,8.7
202201011753,220.0,5.7
202201011755,220.0,5.1
202201011800,220.0,5.7
202201011805,220.0,5.1
202201011810,230.0,6.2
202201011815,230.0,7.2
202201011820,220.0,7.2
202201011825,220.0,7.7
202201011830,230.0,8.2
202201011835,220.0,11.3
202201011840,220.0,8.2
202201011845,210.0,7.7
202201011850,210.0,5.1
202201011853,210.0,7.2
202201011855,200.0,8.7
202201011900,220.0,8.2
202201011905,210.0,7.2
202201011910,220.0,6.2
202201011915,200.0,6.2
202201011920,200.0,7.7
202201011925,230.0,6.7
202201011930,220.0,4.6
202201011935,210.0,4.1
202201011940,210.0,5.7
202201011945,210.0,7.2
202201011950,210.0,4.6
202201011953,210.0,7.2
202201011955,200.0,4.6
202201012000,210.0,5.1
202201012005,200.0,3.6
202201012010,190.0,5.1
202201012015,190.0,5.7
202201012020,200.0,6.2
202201012025,210.0,6.2
202201012030,210.0,5.7
202201012035,210.0,4.6
202201012040,200.0,5.1
202201012045,200.0,4.6
202201012050,200.0,6.2
202201012053,210.0,6.7
202201012055,200.0,6.7
202201012100,210.0,7.2
202201012105,210.0,6.7
202201012110,210.0,6.2
202201012115,210.0,6.2
202201012120,200.0,7.2
202201012125,200.0,6.7
202201012130,200.0,6.2
202201012135,220.0,5.1
202201012140,210.0,3.1
202201012141,210.0,3.6
202201012145,210.0,3.6
202201012149,220.0,2.6
202201012150,220.0,3.1
202201012153,210.0,3.6
202201012155,200.0,2.1
202201012200,200.0,2.6
202201012205,190.0,2.1
202201012210,200.0,1.5
202201012215,190.0,2.1
202201012220,200.0,4.1
202201012225,210.0,4.1
202201012230,210.0,4.6
202201012235,200.0,5.1
202201012240,200.0,5.1
202201012245,210.0,5.7
202201012253,220.0,5.7
202201012255,210.0,4.1
202201012300,210.0,6.2
202201012305,210.0,5.7
202201012310,200.0,6.2
202201012315,200.0,5.7
202201012320,190.0,5.7
202201012325,200.0,6.2
202201012330,190.0,4.6
202201012335,200.0,5.7
202201012340,200.0,5.1
202201012345,200.0,6.2
202201012350,190.0,5.1
202201012353,200.0,6.2
202201012355,200.0,5.7
202201020000,190.0,6.7
202201020005,200.0,7.2
202201020010,200.0,6.7
202201020015,190.0,7.2
202201020020,200.0,7.7
202201020025,200.0,5.7
202201020030,200.0,6.7
202201020035,200.0,6.2
202201020040,200.0,6.2
202201020045,210.0,5.1
202201020050,200.0,6.7
202201020053,220.0,7.7
202201020055,210.0,5.7
202201020100,200.0,6.2
202201020105,200.0,6.7
202201020110,200.0,6.7
202201020115,200.0,8.7
202201020120,190.0,6.2
202201020125,210.0,6.2
202201020130,210.0,8.2
202201020135,200.0,7.2
202201020140,210.0,11.3
202201020145,220.0,7.2
202201020150,200.0,8.2
202201020153,230.0,8.7
202201020155,210.0,8.7
202201020200,210.0,7.7
202201020205,200.0,6.7
202201020210,210.0,6.2
202201020215,210.0,6.7
202201020220,210.0,6.2
202201020225,220.0,7.7
202201020230,220.0,7.2
202201020235,210.0,6.7
202201020240,210.0,6.7
202201020245,210.0,7.2
202201020250,210.0,8.7
202201020253,210.0,6.2
202201020255,200.0,7.2
202201020300,210.0,6.7
202201020305,210.0,8.7
202201020310,220.0,6.7
202201020315,220.0,6.7
202201020320,220.0,7.7
202201020325,210.0,7.7
202201020330,220.0,8.2
202201020335,210.0,7.7
202201020340,220.0,7.7
202201020345,210.0,7.2
202201020350,210.0,8.2
202201020353,220.0,8.7
202201020355,200.0,8.2
202201020400,200.0,9.3
202201020405,210.0,9.8
202201020410,210.0,6.7
202201020415,210.0,7.2
202201020420,210.0,9.3
202201020425,210.0,9.8
202201020430,220.0,6.2
202201020435,210.0,9.3
202201020440,210.0,9.8
202201020445,220.0,9.8
202201020450,220.0,8.2
202201020453,210.0,6.7
202201020455,210.0,7.7
202201020500,220.0,7.7
202201020505,220.0,7.7
202201020510,210.0,8.2
202201020515,210.0,7.7
202201020520,210.0,8.2
202201020525,200.0,7.7
202201020530,210.0,6.7
202201020535,210.0,7.2
202201020540,210.0,8.2
202201020550,210.0,7.7
202201020555,230.0,8.7
202201020600,220.0,8.2
202201020605,210.0,6.2
202201020610,210.0,6.7
202201020615,210.0,8.2
202201020620,210.0,7.7
202201020625,220.0,7.7
202201020628,220.0,8.7
202201020630,220.0,9.3
202201020635,210.0,7.7
202201020636,220.0,7.2
202201020640,220.0,8.2
202201020645,220.0,7.7
202201020653,220.0,8.2
202201020655,230.0,8.2
202201020700,220.0,7.2
202201020705,230.0,7.7
202201020708,230.0,5.7
202201020710,220.0,5.7
202201020715,220.0,7.2
202201020720,220.0,5.7
202201020725,220.0,5.7
202201020730,220.0,6.2
202201020735,230.0,8.7
202201020740,230.0,6.7
202201020745,240.0,6.2
202201020749,260.0,6.2
202201020750,250.0,6.7
202201020753,230.0,6.2
202201020755,230.0,6.7
202201020759,230.0,8.2
202201020800,230.0,7.7
202201020805,230.0,8.2
202201020810,230.0,7.2
202201020815,220.0,5.7
202201020820,230.0,5.1
202201020825,230.0,7.2
202201020830,240.0,7.2
202201020835,260.0,5.7
202201020840,290.0,8.2
202201020843,270.0,10.3
202201020845,270.0,11.3
202201020846,280.0,10.8
202201020850,280.0,8.2
202201020853,290.0,7.2
202201020855,290.0,6.2
202201020900,260.0,5.1
202201020902,260.0,5.1
202201020905,250.0,5.7
202201020908,240.0,4.1
202201020910,230.0,4.6
202201020915,230.0,4.6
202201020920,200.0,4.1
202201020922,210.0,4.6
202201020925,200.0,4.1
202201020930,220.0,2.6
202201020935,230.0,2.6
202201020940,220.0,2.1
202201020945,210.0,2.6
202201020950,200.0,2.6
202201020951,200.0,2.6
202201020953,200.0,2.6
202201020955,200.0,2.6
202201021000,190.0,2.6
202201021005,180.0,2.6
202201021010,190.0,2.1
202201021015,190.0,2.1
202201021020,210.0,2.1
202201021025,210.0,2.1
202201021029,0.0,0.0
202201021030,0.0,0.0
202201021035,300.0,1.5
202201021037,270.0,1.5
202201021040,240.0,1.5
202201021044,220.0,1.5
202201021045,210.0,1.5
202201021050,210.0,2.1
202201021053,220.0,2.6
202201021055,210.0,2.6
202201021100,260.0,2.1
202201021105,0.0,0.0
202201021110,180.0,2.1
202201021115,190.0,2.1
202201021120,170.0,2.1
202201021125,100.0,1.5
202201021130,0.0,0.0
202201021135,0.0,0.0
202201021140,240.0,1.5
202201021145,150.0,1.5
202201021146,150.0,1.5
202201021150,0.0,0.0
202201021153,210.0,1.5
202201021155,0.0,0.0
202201021200,0.0,0.0
202201021205,300.0,2.1
202201021210,270.0,2.1
202201021215,250.0,1.5
202201021220,240.0,2.1
202201021225,260.0,2.1
202201021230,270.0,3.1
202201021235,260.0,3.1
202201021240,250.0,2.6
202201021250,250.0,2.6
202201021253,230.0,2.6
202201021255,210.0,1.5
202201021300,210.0,1.5
202201021305,220.0,2.1
202201021310,220.0,2.1
202201021315,240.0,2.6
202201021320,250.0,3.1
202201021325,230.0,1.5
202201021330,260.0,1.5
202201021335,0.0,0.0
202201021340,230.0,2.1
202201021345,280.0,1.5
202201021350,0.0,0.0
202201021353,0.0,0.0
202201021355,0.0,0.0
202201021400,140.0,1.5
202201021405,0.0,0.0
202201021410,280.0,1.5
202201021415,0.0,0.0
202201021420,270.0,1.5
202201021425,0.0,0.0
202201021430,210.0,1.5
202201021435,160.0,1.5
202201021440,100.0,3.1
202201021445,100.0,1.5
202201021450,270.0,1.5
202201021453,270.0,1.5
202201021455,270.0,1.5
202201021500,0.0,0.0
202201021505,220.0,1.5
202201021510,0.0,0.0
202201021520,0.0,0.0
202201021525,0.0,0.0
202201021530,0.0,0.0
202201021535,0.0,0.0
202201021540,130.0,1.5
202201021545,120.0,1.5
202201021550,0.0,0.0
202201021553,0.0,0.0
202201021555,0.0,0.0
202201021600,190.0,2.1
202201021605,0.0,0.0
202201021610,0.0,0.0
202201021615,90.0,1.5
202201021625,0.0,0.0
202201021630,80.0,2.6
202201021635,80.0,1.5
202201021640,290.0,2.1
202201021645,0.0,0.0
202201021650,0.0,0.0
202201021653,0.0,0.0
202201021655,0.0,0.0
202201021705,80.0,1.5
202201021710,0.0,0.0
202201021715,80.0,1.5
202201021720,0.0,0.0
202201021725,60.0,1.5
202201021730,40.0,2.1
202201021735,20.0,1.5
202201021740,50.0,1.5
202201021745,300.0,1.5
202201021750,40.0,1.5
202201021753,0.0,0.0
202201021755,60.0,2.1
202201021800,0.0,0.0
202201021801,0.0,0.0
202201021805,0.0,0.0
202201021810,0.0,0.0
202201021815,0.0,0.0
202201021820,290.0,2.1
202201021825,270.0,2.6
202201021830,230.0,1.5
202201021832,240.0,2.6
202201021840,260.0,1.5
202201021845,0.0,0.0
202201021846,220.0,1.5
202201021850,230.0,2.1
202201021853,240.0,2.1
202201021855,240.0,2.6
202201021900,230.0,2.1
202201021905,250.0,2.1
202201021910,320.0,2.6
202201021915,300.0,1.5
202201021920,0.0,0.0
202201021925,340.0,1.5
202201021930,340.0,1.5
202201021935,340.0,3.1
202201021944,,3.1
202201021945,350.0,3.6
202201021950,350.0,3.6
202201021953,330.0,2.6
202201021955,350.0,2.1
202201022005,340.0,1.5
202201022010,20.0,2.6
202201022020,10.0,3.1
202201022025,0.0,0.0
