timestamp string,wind direction,wind speed
202201010015,170.0,2.1
202201010035,170.0,1.5
202201010055,160.0,2.1
202201010115,170.0,1.5
202201010135,180.0,2.1
202201010155,190.0,3.1
202201010215,200.0,3.6
202201010235,200.0,3.1
202201010255,200.0,3.6
202201010315,210.0,4.1
202201010335,210.0,5.1
202201010355,210.0,4.1
202201010415,210.0,4.6
202201010435,210.0,4.6
202201010455,210.0,4.1
202201010515,220.0,5.1
202201010535,220.0,5.7
202201010555,220.0,4.6
202201010615,210.0,4.1
202201010635,200.0,3.6
202201010655,200.0,4.1
202201010715,210.0,3.6
202201010735,210.0,4.1
202201010755,210.0,4.1
202201010815,220.0,3.6
202201010835,220.0,5.7
202201010855,220.0,4.1
202201010915,220.0,4.6
202201010955,230.0,5.7
202201011015,230.0,4.6
202201011035,230.0,5.1
202201011055,230.0,4.1
202201011115,220.0,4.1
202201011135,220.0,4.6
202201011155,220.0,3.6
202201011215,210.0,4.1
202201011235,210.0,4.6
202201011315,210.0,5.1
202201011335,210.0,4.6
202201011355,210.0,4.1
202201011415,220.0,5.7
202201011435,220.0,5.7
202201011455,220.0,5.1
202201011535,220.0,7.2
202201011555,240.0,5.7
202201011635,230.0,8.7
202201011655,230.0,7.7
202201011715,230.0,8.2
202201011755,240.0,9.8
202201011815,220.0,7.2
202201011835,230.0,10.3
202201011855,230.0,11.8
202201011915,240.0,5.7
202201011935,230.0,6.7
202201011955,220.0,10.3
202201012015,220.0,8.7
202201012035,220.0,6.7
202201012055,220.0,7.7
202201012115,220.0,5.7
202201012135,210.0,6.2
202201012155,200.0,7.2
202201012215,210.0,7.7
202201012235,200.0,6.2
202201012255,210.0,6.2
202201012315,210.0,6.2
202201012335,210.0,6.2
202201012355,220.0,5.1
202201020015,220.0,6.2
202201020035,220.0,8.7
202201020055,220.0,6.7
202201020115,210.0,5.7
202201020135,220.0,6.7
202201020155,220.0,9.8
202201020215,230.0,6.7
202201020235,220.0,7.2
202201020255,220.0,9.3
202201020335,240.0,6.7
202201020355,240.0,10.8
202201020455,230.0,6.2
202201020515,230.0,7.2
202201020535,250.0,6.7
202201020555,310.0,6.2
202201020615,260.0,6.7
202201020635,290.0,7.2
202201020655,300.0,4.6
202201020735,260.0,2.6
202201020755,260.0,2.1
202201020815,310.0,2.6
202201020835,300.0,4.1
202201020855,300.0,4.6
202201020915,320.0,3.1
202201020935,310.0,3.6
202201020955,320.0,2.1
202201021015,320.0,1.5
202201021035,310.0,2.6
202201021115,320.0,3.1
202201021135,320.0,3.6
202201021155,320.0,2.6
202201021215,320.0,2.1
202201021235,310.0,2.1
202201021315,320.0,3.6
202201021335,350.0,1.5
202201021355,0.0,0.0
202201021415,330.0,2.1
202201021435,320.0,1.5
202201021455,340.0,2.6
202201021515,10.0,1.5
202201021535,0.0,0.0
202201021555,0.0,0.0
202201021615,0.0,0.0
202201021635,0.0,0.0
202201021655,350.0,2.1
202201021715,330.0,2.6
202201021735,340.0,4.1
202201021755,320.0,4.6
202201021815,350.0,4.1
202201021835,350.0,7.2
202201021855,330.0,4.6
202201021915,350.0,6.2
202201021935,330.0,4.6
202201021955,10.0,5.1
202201022015,10.0,5.1
202201022035,10.0,4.1
202201022055,10.0,5.1
202201022115,20.0,3.6
202201022155,340.0,4.1
202201022215,340.0,4.1
202201022235,10.0,4.6
202201022255,10.0,4.6
202201022315,10.0,4.6
202201022335,30.0,5.1
202201022355,10.0,4.1
202201030015,,5.1
202201030035,,4.6
202201030055,350.0,2.6
202201030135,320.0,5.1
202201030155,320.0,5.7
202201030215,320.0,6.2
202201030235,320.0,4.1
202201030255,330.0,6.7
202201030315,340.0,7.7
202201030335,330.0,7.2
202201030355,340.0,4.1
202201030415,340.0,5.7
202201030435,340.0,5.7
202201030455,350.0,5.7
202201030515,330.0,6.7
202201030535,330.0,6.7
202201030555,320.0,6.7
202201030615,320.0,7.7
202201030635,330.0,9.3
202201030655,330.0,8.2
202201030715,340.0,8.2
202201030735,330.0,7.2
202201030755,330.0,6.7
202201030815,350.0,6.2
202201030835,340.0,6.2
202201030855,340.0,6.2
202201030915,340.0,8.7
202201030935,350.0,9.3
202201030955,350.0,8.7
202201031015,340.0,9.8
202201031035,350.0,9.3
202201031055,350.0,8.2
202201031115,350.0,7.7
202201031135,,8.2
202201031155,350.0,9.8
202201031215,,9.8
202201031235,,9.3
202201031255,350.0,6.7
202201031315,350.0,8.7
202201031335,350.0,5.7
202201031355,,7.7
202201031415,,6.2
202201031435,350.0,8.2
202201031455,350.0,7.2
202201031515,,5.1
202201031535,,6.2
202201031555,,6.7
202201031615,350.0,5.1
202201031655,,4.6
202201031715,10.0,4.6
202201031735,20.0,6.2
202201031755,10.0,5.1
202201031815,10.0,4.6
202201031835,10.0,5.1
202201031855,10.0,4.6
202201031915,350.0,4.1
202201031935,10.0,3.6
202201031955,,3.6
202201032015,10.0,4.6
202201032035,10.0,3.1
202201032055,20.0,2.1
202201032115,20.0,2.6
202201032135,350.0,3.6
202201032155,10.0,2.6
202201032215,20.0,2.6
202201032235,10.0,2.6
202201032255,10.0,3.6
202201032315,10.0,3.1
202201032335,20.0,3.1
202201032355,20.0,3.1
202201040015,30.0,3.6
202201040035,,3.6
202201040055,30.0,3.1
202201040115,10.0,2.6
202201040135,50.0,3.1
202201040155,40.0,2.1
202201040215,20.0,3.1
202201040235,20.0,2.6
202201040255,10.0,2.6
202201040315,,2.6
202201040335,,3.1
202201040355,10.0,2.6
202201040415,10.0,2.1
202201040435,30.0,2.6
202201040455,30.0,2.1
202201040535,80.0,1.5
202201040615,30.0,2.1
202201040735,60.0,1.5
202201040755,80.0,1.5
202201040815,0.0,0.0
202201040835,70.0,1.5
202201040855,50.0,2.6
202201040915,60.0,1.5
202201040935,70.0,1.5
202201040955,0.0,0.0
202201041015,0.0,0.0
202201041030,0.0,0.0
202201041055,0.0,0.0
202201041115,90.0,1.5
202201041135,110.0,2.1
202201041155,0.0,0.0
202201041215,120.0,1.5
202201041255,110.0,1.5
202201041315,110.0,2.1
202201041335,0.0,0.0
202201041355,0.0,0.0
202201041415,150.0,1.5
202201041435,140.0,1.5
202201041455,140.0,2.1
202201041515,130.0,1.5
202201041535,130.0,2.1
202201041555,150.0,3.6
202201041615,150.0,3.6
202201041635,170.0,3.1
202201041655,170.0,2.6
202201041715,190.0,3.6
202201041735,180.0,4.1
202201041755,170.0,4.6
202201041815,190.0,3.1
202201041835,190.0,3.6
202201041855,200.0,6.2
202201041915,190.0,5.7
202201041935,180.0,5.1
202201041955,170.0,4.1
202201042015,170.0,4.1
202201042035,180.0,4.6
202201042055,180.0,4.6
202201042115,180.0,5.7
202201042135,170.0,4.1
202201042155,200.0,5.1
202201042215,180.0,5.7
202201042235,170.0,3.1
202201042255,170.0,2.6
202201042315,170.0,2.1
202201042335,170.0,2.6
202201042355,190.0,2.1
202201050015,190.0,2.1
202201050035,180.0,2.1
202201050055,170.0,2.1
202201050115,160.0,2.1
202201050135,160.0,2.1
202201050155,170.0,2.1
202201050215,180.0,3.1
202201050235,180.0,2.6
202201050255,170.0,2.6
202201050315,190.0,2.1
202201050335,170.0,2.6
202201050355,160.0,2.6
202201050415,180.0,2.6
202201050435,170.0,3.1
202201050455,170.0,3.1
202201050515,170.0,2.6
202201050535,170.0,2.6
202201050555,170.0,2.6
202201050615,170.0,2.6
202201050635,180.0,2.1
202201050655,210.0,2.6
202201050715,220.0,3.1
202201050735,220.0,4.1
202201050755,230.0,3.1
202201050815,220.0,3.1
202201050835,200.0,2.1
202201050855,220.0,2.1
202201050915,200.0,2.6
202201050935,210.0,1.5
202201050955,190.0,2.6
202201051015,200.0,2.6
202201051035,200.0,2.6
202201051055,190.0,2.6
202201051115,190.0,2.6
202201051135,190.0,3.1
202201051155,190.0,2.6
202201051215,190.0,3.1
202201051235,200.0,1.5
202201051250,200.0,2.1
202201051315,0.0,0.0
202201051335,0.0,0.0
202201051355,170.0,1.5
202201051415,180.0,2.1
202201051455,200.0,2.1
202201051515,240.0,3.6
202201051535,240.0,4.1
202201051555,250.0,4.1
202201051615,260.0,4.1
202201051635,260.0,4.1
202201051655,260.0,3.6
202201051715,260.0,2.6
202201051735,270.0,2.6
202201051755,260.0,3.6
202201051815,290.0,3.6
202201051855,310.0,3.1
202201051915,280.0,2.1
202201051935,310.0,3.1
202201051955,290.0,2.6
202201052015,270.0,2.6
202201052035,270.0,3.1
202201052055,270.0,2.6
202201052115,250.0,3.1
202201052135,260.0,2.1
202201052155,0.0,0.0
202201052215,250.0,1.5
202201052235,0.0,0.0
202201052255,0.0,0.0
202201052315,250.0,1.5
202201052335,0.0,0.0
202201052355,0.0,0.0
202201060015,280.0,1.5
202201060035,0.0,0.0
202201060055,0.0,0.0
202201060115,0.0,0.0
202201060135,0.0,0.0
202201060155,0.0,0.0
202201060215,0.0,0.0
202201060235,0.0,0.0
202201060255,0.0,0.0
202201060315,0.0,0.0
202201060335,0.0,0.0
202201060355,0.0,0.0
202201060415,0.0,0.0
202201060435,0.0,0.0
202201060455,0.0,0.0
202201060515,0.0,0.0
202201060535,0.0,0.0
202201060555,0.0,0.0
202201060615,0.0,0.0
202201060635,0.0,0.0
202201060655,40.0,2.1
202201060715,60.0,2.6
202201060735,60.0,2.1
202201060755,40.0,2.1
202201060815,60.0,2.1
202201060835,0.0,0.0
202201060855,40.0,1.5
202201060915,80.0,1.5
202201060935,100.0,2.1
202201060955,90.0,2.1
202201061015,0.0,0.0
202201061035,40.0,2.6
202201061055,50.0,2.6
202201061115,80.0,1.5
202201061135,80.0,1.5
202201061215,0.0,0.0
202201061235,110.0,2.1
202201061255,110.0,3.1
202201061315,120.0,4.6
202201061335,120.0,4.1
202201061355,120.0,3.6
202201061415,130.0,3.6
202201061435,130.0,3.1
202201061455,130.0,2.6
202201061515,0.0,0.0
202201061555,50.0,2.6
202201061615,80.0,1.5
202201061635,100.0,3.1
202201061655,120.0,2.1
202201061715,0.0,0.0
202201061735,0.0,0.0
202201061755,0.0,0.0
202201061815,40.0,1.5
202201061835,350.0,2.1
202201061855,350.0,3.1
202201061915,340.0,4.6
202201061935,350.0,3.6
202201061955,340.0,3.6
202201062015,340.0,5.7
202201062035,330.0,5.1
202201062055,350.0,5.1
202201062115,340.0,5.1
202201062135,350.0,3.6
202201062155,340.0,2.6
202201062215,350.0,4.1
202201062235,350.0,4.1
202201062255,,4.1
202201062315,340.0,5.1
202201062335,340.0,5.1
202201062355,350.0,5.7
202201070015,,6.7
202201070035,,5.1
202201070055,350.0,7.2
202201070115,350.0,7.2
202201070135,,6.2
202201070155,10.0,7.2
202201070215,,4.1
202201070235,350.0,5.1
202201070315,350.0,4.6
202201070335,350.0,5.1
202201070355,,4.1
202201070415,350.0,4.6
202201070435,20.0,3.6
202201070455,350.0,3.1
202201070515,50.0,1.5
202201070535,350.0,5.1
202201070555,10.0,5.7
202201070615,350.0,3.1
202201070635,10.0,2.6
202201070655,330.0,4.6
202201070715,350.0,4.1
202201070735,350.0,4.1
202201070755,330.0,4.6
202201070815,340.0,6.2
202201070835,340.0,3.6
202201070855,320.0,4.1
202201070935,340.0,2.6
202201070955,10.0,4.6
202201071015,,4.1
202201071035,20.0,4.6
202201071055,10.0,4.6
202201071115,340.0,4.1
202201071135,,4.6
202201071155,10.0,4.1
202201071215,20.0,4.1
202201071235,10.0,5.1
202201071255,,4.1
202201071315,,5.1
202201071335,20.0,4.1
202201071355,10.0,4.1
202201071415,30.0,3.6
202201071435,20.0,3.6
202201071455,20.0,2.6
202201071515,30.0,4.1
202201071535,40.0,3.6
202201071555,40.0,3.1
202201071615,30.0,3.1
202201071635,50.0,4.1
202201071655,60.0,3.6
202201071715,50.0,3.1
202201071735,80.0,3.1
202201071755,60.0,1.5
202201071815,20.0,2.1
202201071835,40.0,1.5
202201071855,70.0,2.6
202201071910,0.0,0.0
202201071935,340.0,2.1
202201071955,30.0,2.1
202201072015,0.0,0.0
202201072035,0.0,0.0
202201072055,30.0,2.6
202201072115,,1.5
202201072135,0.0,0.0
202201072155,330.0,2.6
202201072215,,2.1
202201072235,,2.6
202201072255,10.0,1.5
202201072315,20.0,1.5
202201072335,0.0,0.0
202201072355,30.0,2.1
202201080015,40.0,1.5
202201080035,60.0,2.1
202201080055,60.0,2.6
202201080115,50.0,2.6
202201080135,60.0,1.5
202201080155,60.0,1.5
202201080215,0.0,0.0
202201080235,90.0,1.5
202201080255,90.0,1.5
202201080315,90.0,1.5
202201080335,90.0,1.5
202201080355,80.0,1.5
202201080435,110.0,1.5
202201080455,120.0,1.5
202201080515,100.0,2.1
202201080535,110.0,2.1
202201080555,120.0,2.1
202201080615,100.0,2.6
202201080635,90.0,1.5
202201080655,110.0,2.6
202201080715,100.0,2.6
202201080735,100.0,2.1
202201080755,110.0,2.1
202201080815,110.0,2.1
202201080835,110.0,2.1
202201080855,110.0,4.1
202201080915,110.0,2.6
202201081015,120.0,2.1
202201081035,110.0,2.6
202201081055,110.0,2.1
202201081115,110.0,2.1
202201081135,110.0,2.1
202201081155,110.0,2.1
202201081215,110.0,1.5
202201081235,120.0,2.1
202201081255,120.0,2.1
202201081315,120.0,2.1
202201081335,130.0,3.1
202201081355,120.0,3.6
202201081415,130.0,3.6
202201081455,130.0,2.6
202201081515,130.0,2.6
202201081535,120.0,3.6
202201081555,140.0,3.6
202201081615,140.0,2.6
202201081635,130.0,3.6
202201081655,150.0,4.1
202201081715,130.0,2.6
202201081735,140.0,3.1
202201081755,180.0,2.6
202201081815,140.0,2.6
202201081835,160.0,3.1
202201081855,130.0,4.1
202201081915,170.0,4.6
202201081935,160.0,3.1
202201081955,150.0,5.1
202201082015,160.0,3.1
202201082035,170.0,4.1
202201082055,140.0,4.1
202201082115,150.0,3.1
202201082135,160.0,5.7
202201082155,150.0,5.7
202201082215,160.0,4.1
202201082235,150.0,3.1
202201082315,150.0,3.1
202201082330,140.0,2.6
202201082355,150.0,3.1
202201090015,140.0,3.6
202201090035,140.0,3.1
202201090055,140.0,3.6
202201090115,130.0,3.6
202201090135,130.0,2.6
202201090215,140.0,4.6
202201090235,150.0,4.1
202201090255,150.0,3.1
202201090315,150.0,4.6
202201090335,140.0,4.1
202201090355,130.0,2.6
202201090415,140.0,1.5
202201090435,110.0,2.6
202201090515,120.0,1.5
202201090535,160.0,2.6
202201090555,140.0,2.6
202201090635,130.0,3.1
202201090655,150.0,2.6
202201090715,160.0,2.1
202201090735,140.0,2.6
202201090755,150.0,4.1
202201090815,160.0,3.1
202201090835,160.0,4.6
202201090855,160.0,3.1
202201090915,160.0,3.6
202201090935,160.0,3.1
202201090955,150.0,3.1
202201091015,160.0,3.6
202201091035,150.0,3.6
202201091055,150.0,3.6
202201091115,140.0,1.5
202201091135,160.0,4.1
202201091155,160.0,3.1
202201091215,150.0,2.6
202201091235,160.0,4.1
202201091255,170.0,4.1
202201091315,160.0,3.1
202201091335,160.0,4.6
202201091355,160.0,2.6
202201091415,160.0,2.6
202201091435,160.0,3.6
202201091455,170.0,3.6
202201091515,170.0,2.1
202201091535,180.0,4.1
202201091555,190.0,2.6
202201091615,180.0,2.6
202201091635,170.0,2.1
202201091655,180.0,2.6
202201091715,180.0,3.1
202201091735,180.0,3.6
202201091755,180.0,4.1
202201091815,180.0,3.1
202201091835,280.0,1.5
202201091855,260.0,2.6
202201091915,200.0,2.6
202201091935,230.0,2.1
202201091955,240.0,3.6
202201092015,240.0,3.6
202201092035,240.0,4.1
202201092055,260.0,3.6
202201092115,240.0,2.1
202201092135,240.0,2.6
