timestamp string,wind direction,wind speed
202201010000,190.0,3.6
202201010005,190.0,4.6
202201010010,190.0,4.1
202201010015,190.0,3.6
202201010020,190.0,4.1
202201010025,190.0,3.6
202201010030,190.0,4.1
202201010035,190.0,4.1
202201010040,180.0,3.6
202201010045,190.0,4.1
202201010050,190.0,4.1
202201010052,190.0,4.1
202201010055,190.0,4.6
202201010100,190.0,4.6
202201010105,190.0,4.6
202201010110,200.0,3.6
202201010115,190.0,3.6
202201010120,200.0,4.1
202201010125,200.0,3.1
202201010130,200.0,3.6
202201010135,200.0,3.6
202201010140,200.0,4.1
202201010145,200.0,4.1
202201010150,200.0,3.6
202201010152,210.0,4.1
202201010155,210.0,3.6
202201010200,210.0,4.1
202201010205,210.0,3.1
202201010210,210.0,3.6
202201010215,220.0,2.6
202201010220,210.0,3.1
202201010230,200.0,3.1
202201010235,200.0,3.1
202201010240,200.0,3.1
202201010245,200.0,3.1
202201010250,210.0,2.6
202201010255,210.0,2.1
202201010300,220.0,2.6
202201010305,220.0,2.1
202201010315,0.0,0.0
202201010320,0.0,0.0
202201010325,0.0,0.0
202201010330,0.0,0.0
202201010335,0.0,0.0
202201010340,190.0,1.5
202201010345,180.0,1.5
202201010350,0.0,0.0
202201010355,0.0,0.0
202201010400,0.0,0.0
202201010405,0.0,0.0
202201010410,0.0,0.0
202201010415,0.0,0.0
202201010420,0.0,0.0
202201010425,220.0,2.1
202201010430,0.0,0.0
202201010435,0.0,0.0
202201010440,0.0,0.0
202201010445,0.0,0.0
202201010450,0.0,0.0
202201010452,0.0,0.0
202201010455,0.0,0.0
202201010500,0.0,0.0
202201010505,150.0,2.1
202201010510,180.0,1.5
202201010515,0.0,0.0
202201010520,340.0,1.5
202201010525,0.0,0.0
202201010530,0.0,0.0
202201010535,0.0,0.0
202201010540,0.0,0.0
202201010544,0.0,0.0
202201010545,0.0,0.0
202201010552,0.0,0.0
202201010555,0.0,0.0
202201010600,0.0,0.0
202201010605,180.0,2.1
202201010607,180.0,1.5
202201010626,0.0,0.0
202201010630,0.0,0.0
202201010635,230.0,2.1
202201010638,260.0,1.5
202201010640,0.0,0.0
202201010645,0.0,0.0
202201010650,0.0,0.0
202201010652,0.0,0.0
202201010655,0.0,0.0
