timestamp string,wind direction,wind speed
202201010015,0.0,0.0
202201010035,0.0,0.0
202201010055,0.0,0.0
202201010135,180.0,1.5
202201010155,180.0,1.5
202201010215,190.0,1.5
202201010235,0.0,0.0
202201010255,0.0,0.0
202201010355,0.0,0.0
202201010415,0.0,0.0
202201010435,200.0,2.1
202201010455,220.0,3.1
202201010515,200.0,3.6
202201010555,220.0,3.6
202201010615,220.0,2.6
202201010635,220.0,3.6
202201010655,210.0,2.6
202201010715,210.0,2.6
202201010735,230.0,3.6
202201010755,210.0,2.6
202201010815,200.0,4.1
202201010835,230.0,2.6
202201010855,230.0,2.6
202201010935,230.0,2.1
202201011015,220.0,2.1
202201011035,200.0,2.6
202201011055,230.0,1.5
202201011115,0.0,0.0
202201011135,210.0,2.1
202201011155,200.0,1.5
202201011215,220.0,2.6
202201011235,210.0,2.6
202201011255,230.0,2.6
202201011315,210.0,2.6
202201011335,220.0,4.1
202201011355,230.0,2.1
202201011415,210.0,2.1
202201011435,200.0,3.1
202201011455,210.0,3.6
202201011515,200.0,3.1
202201011535,210.0,2.1
202201011555,220.0,3.1
202201011615,210.0,5.1
202201011635,210.0,3.1
202201011655,230.0,4.1
202201011715,210.0,5.1
202201011735,200.0,4.1
202201011755,210.0,4.6
202201011815,230.0,5.1
202201011835,220.0,3.1
202201011855,210.0,4.6
202201011915,190.0,3.1
202201011955,210.0,4.1
202201012015,220.0,6.2
202201012035,200.0,4.6
202201012055,190.0,4.6
202201012115,200.0,2.6
202201012135,190.0,3.1
202201012155,170.0,2.1
202201012215,200.0,2.1
202201012235,170.0,3.1
202201012255,190.0,3.6
202201012355,200.0,3.1
202201020015,200.0,4.1
202201020035,190.0,5.1
202201020055,210.0,4.1
202201020135,200.0,6.2
202201020155,190.0,4.6
202201020215,210.0,4.1
202201020235,200.0,5.7
202201020255,210.0,6.2
202201020315,210.0,6.2
202201020335,220.0,6.2
202201020415,220.0,4.1
202201020435,200.0,5.7
202201020455,210.0,4.6
202201020535,220.0,5.1
202201020555,220.0,5.7
202201020615,210.0,4.6
202201020635,210.0,4.1
202201020655,220.0,5.7
202201020715,210.0,4.6
202201020735,210.0,3.1
202201020755,200.0,2.6
202201020815,210.0,4.1
202201020835,210.0,4.6
202201020855,220.0,5.7
202201020915,220.0,2.6
202201020935,270.0,2.1
202201020955,280.0,3.1
202201021015,0.0,0.0
202201021035,0.0,0.0
202201021055,0.0,0.0
202201021115,0.0,0.0
202201021135,0.0,0.0
202201021155,0.0,0.0
202201021215,0.0,0.0
202201021235,0.0,0.0
202201021255,0.0,0.0
202201021315,0.0,0.0
202201021335,0.0,0.0
202201021355,0.0,0.0
202201021415,160.0,1.5
202201021435,0.0,0.0
202201021455,0.0,0.0
202201021515,0.0,0.0
202201021535,0.0,0.0
202201021555,190.0,2.1
202201021615,0.0,0.0
202201021635,250.0,1.5
