timestamp string,wind direction,wind speed
202201010010,0.0,0.0
202201010030,0.0,0.0
202201010050,0.0,0.0
202201010110,0.0,0.0
202201010130,0.0,0.0
202201010150,0.0,0.0
202201010210,320.0,2.1
202201010230,330.0,2.6
202201010250,0.0,0.0
202201010310,320.0,1.5
202201010330,320.0,1.5
202201010350,330.0,3.1
202201010410,330.0,2.1
202201010430,320.0,2.6
202201010450,320.0,2.6
202201010530,320.0,2.6
202201010550,320.0,3.1
202201010610,300.0,2.6
202201010630,300.0,3.6
202201010650,310.0,2.1
202201010710,320.0,3.6
202201010730,320.0,3.6
202201010750,320.0,3.1
202201010830,330.0,2.6
202201010850,310.0,2.6
202201010910,300.0,2.6
202201010930,320.0,2.1
202201010950,320.0,2.6
202201011010,330.0,2.1
202201011030,330.0,2.1
202201011050,330.0,2.6
202201011110,310.0,2.1
202201011130,330.0,2.6
202201011150,330.0,2.1
202201011210,320.0,2.6
202201011250,330.0,3.1
202201011310,300.0,1.5
202201011330,310.0,1.5
202201011350,320.0,2.6
202201011410,310.0,3.1
202201011430,320.0,3.1
202201011450,310.0,3.1
202201011510,330.0,4.6
202201011530,330.0,5.1
202201011550,330.0,5.7
202201011610,320.0,4.1
202201011650,320.0,2.6
202201011710,320.0,3.6
202201011730,320.0,4.1
202201011755,300.0,3.6
202201011810,300.0,2.6
202201011830,300.0,3.1
202201011850,300.0,3.6
202201011910,300.0,3.6
202201011930,310.0,2.6
202201011950,310.0,2.6
202201012030,320.0,4.1
202201012050,330.0,2.6
202201012110,330.0,5.1
202201012130,320.0,3.6
202201012150,310.0,3.1
202201012210,320.0,3.1
202201012230,320.0,3.6
202201012250,330.0,3.6
202201012310,330.0,4.6
202201012330,320.0,3.1
202201020010,330.0,5.7
202201020030,330.0,4.6
202201020110,320.0,4.1
202201020130,330.0,4.1
202201020150,330.0,5.1
202201020210,320.0,5.1
202201020250,330.0,6.2
202201020310,320.0,5.7
202201020330,330.0,4.6
202201020350,320.0,4.1
202201020410,320.0,5.1
202201020430,320.0,5.1
202201020450,320.0,4.1
202201020510,310.0,3.6
202201020530,320.0,5.7
202201020550,320.0,3.6
202201020610,320.0,4.6
202201020630,320.0,4.6
202201020650,320.0,4.6
202201020710,320.0,3.1
202201020730,300.0,4.1
202201020750,320.0,3.1
202201020810,310.0,3.1
202201020830,310.0,3.6
202201020850,320.0,5.1
202201020910,320.0,5.1
202201020930,310.0,3.6
202201020950,310.0,4.1
202201021010,320.0,3.1
202201021030,310.0,3.6
202201021050,300.0,3.6
202201021110,290.0,7.7
202201021130,320.0,2.1
202201021150,310.0,1.5
202201021210,280.0,3.1
202201021230,300.0,2.1
202201021250,310.0,1.5
202201021310,320.0,1.5
202201021350,330.0,4.1
202201021410,330.0,4.6
202201021430,320.0,2.1
202201021450,290.0,1.5
202201021510,340.0,3.1
202201021530,340.0,4.6
202201021550,320.0,3.6
202201021610,310.0,2.6
202201021630,290.0,1.5
202201021650,280.0,2.1
202201021710,320.0,2.6
202201021730,340.0,4.6
202201021750,280.0,2.1
202201021810,290.0,2.1
202201021830,290.0,2.6
202201021850,340.0,1.5
202201021910,320.0,2.1
202201021930,10.0,1.5
202201021950,10.0,2.6
202201022010,,1.5
202201022050,340.0,1.5
202201022110,340.0,1.5
202201022130,0.0,0.0
202201022150,0.0,0.0
202201022210,0.0,0.0
202201022230,0.0,0.0
202201022250,0.0,0.0
202201022310,0.0,0.0
202201022330,20.0,2.6
202201022350,0.0,0.0
202201030010,0.0,0.0
202201030030,0.0,0.0
202201030050,0.0,0.0
202201030110,0.0,0.0
202201030130,70.0,2.1
202201030150,30.0,2.1
202201030210,40.0,1.5
202201030230,,1.5
202201030250,0.0,0.0
202201030310,70.0,2.1
202201030330,30.0,1.5
202201030350,30.0,2.6
202201030410,60.0,1.5
202201030430,0.0,0.0
202201030450,70.0,3.1
202201030510,50.0,3.1
202201030530,280.0,5.7
202201030550,280.0,2.1
202201030610,290.0,2.1
202201030630,300.0,3.1
202201030650,280.0,7.7
202201030710,280.0,7.7
202201030730,290.0,9.3
202201030750,280.0,7.2
202201030810,280.0,7.2
202201030830,290.0,9.8
202201030850,290.0,9.3
202201030910,290.0,9.8
202201030930,290.0,11.3
202201030950,300.0,9.8
202201031010,300.0,8.7
202201031030,290.0,6.7
202201031050,300.0,6.7
202201031110,310.0,8.7
202201031130,300.0,7.7
202201031150,300.0,7.7
202201031210,300.0,5.1
202201031230,300.0,5.7
202201031250,300.0,7.7
202201031310,300.0,6.2
202201031330,300.0,8.2
202201031350,310.0,6.7
202201031410,310.0,5.7
202201031430,300.0,6.7
202201031450,310.0,6.7
202201031510,310.0,5.1
202201031530,320.0,5.7
202201031550,310.0,5.7
202201031610,300.0,5.1
202201031630,310.0,6.2
202201031650,300.0,5.1
202201031710,310.0,4.1
202201031730,300.0,3.6
202201031750,300.0,8.2
202201031810,300.0,5.7
202201031830,320.0,4.1
202201031850,330.0,5.1
202201031910,320.0,4.6
202201031930,,4.6
202201031950,300.0,5.1
202201032010,320.0,4.6
202201032030,320.0,4.6
202201032050,300.0,6.2
202201032110,300.0,4.6
202201032130,300.0,4.6
202201032150,330.0,4.1
202201032210,310.0,4.1
202201032230,290.0,4.1
202201032250,320.0,4.1
202201032350,300.0,4.6
202201040010,300.0,2.6
202201040030,300.0,2.6
202201040050,290.0,2.1
202201040110,310.0,2.1
202201040130,320.0,1.5
202201040150,320.0,1.5
202201040210,300.0,1.5
202201040230,0.0,0.0
202201040250,330.0,1.5
