timestamp string,wind direction,wind speed
202201010015,190.0,1.5
202201010035,0.0,0.0
202201010055,180.0,2.1
202201010135,200.0,2.1
202201010155,200.0,3.6
202201010215,210.0,2.6
202201010235,220.0,3.1
202201010255,210.0,2.6
202201010315,220.0,2.1
202201010335,0.0,0.0
202201010355,180.0,1.5
202201010415,190.0,2.1
202201010435,0.0,0.0
202201010455,0.0,0.0
202201010515,170.0,1.5
202201010535,170.0,2.1
202201010555,170.0,1.5
202201010615,170.0,2.1
202201010635,180.0,2.6
202201010655,200.0,2.6
202201010735,180.0,2.1
202201010755,190.0,2.6
202201010815,200.0,3.6
202201010835,200.0,4.6
202201010855,200.0,3.6
202201010915,220.0,4.6
202201010935,230.0,5.1
202201010955,230.0,5.7
202201011015,230.0,5.7
202201011035,230.0,6.2
202201011055,220.0,6.2
202201011115,220.0,5.1
202201011135,220.0,4.6
202201011155,220.0,5.7
202201011215,210.0,4.1
202201011235,210.0,4.6
202201011315,210.0,4.6
202201011335,210.0,5.1
202201011355,210.0,5.7
202201011415,220.0,6.7
202201011435,210.0,5.7
202201011455,220.0,5.7
202201011515,210.0,5.7
202201011535,220.0,8.2
202201011555,220.0,7.7
202201011615,220.0,7.2
202201011635,230.0,9.3
202201011655,210.0,6.7
202201011715,220.0,8.2
202201011735,230.0,8.7
202201011755,220.0,9.3
202201011815,220.0,8.2
202201011835,220.0,9.3
202201011855,220.0,5.7
202201011915,220.0,5.1
202201011935,210.0,5.7
202201011955,210.0,6.7
202201012015,200.0,6.7
202201012035,210.0,6.7
202201012055,210.0,7.2
202201012115,220.0,6.7
202201012135,210.0,9.3
202201012155,210.0,7.7
202201012215,220.0,7.2
202201012235,210.0,6.7
202201012255,210.0,7.7
202201012315,210.0,7.2
202201012355,200.0,3.6
202201020015,200.0,5.1
202201020035,200.0,6.2
202201020055,190.0,5.1
202201020115,200.0,4.6
202201020135,200.0,5.7
202201020155,190.0,5.7
202201020215,200.0,5.7
202201020235,200.0,5.7
202201020255,200.0,7.2
202201020315,200.0,6.2
202201020335,200.0,6.7
202201020355,210.0,8.2
202201020415,200.0,6.7
202201020435,210.0,6.2
202201020455,200.0,5.1
202201020515,210.0,6.7
202201020535,210.0,7.2
202201020555,200.0,7.2
202201020615,220.0,6.2
202201020635,210.0,7.7
202201020655,210.0,7.7
202201020715,200.0,7.2
202201020735,220.0,7.7
202201020755,230.0,8.7
202201020815,230.0,7.2
202201020835,220.0,10.8
202201020855,210.0,8.7
202201020915,210.0,7.2
202201020935,200.0,6.2
202201020955,280.0,8.7
202201021015,210.0,3.6
202201021035,210.0,3.6
202201021055,220.0,3.6
202201021115,240.0,1.5
202201021135,0.0,0.0
202201021155,190.0,1.5
202201021215,210.0,2.1
202201021235,270.0,1.5
202201021255,200.0,2.6
202201021315,220.0,1.5
202201021335,180.0,2.6
202201021415,200.0,3.6
202201021435,210.0,3.1
202201021455,220.0,3.6
202201021515,240.0,4.1
202201021535,190.0,4.1
202201021555,0.0,0.0
202201021615,200.0,2.6
202201021635,240.0,3.1
202201021655,170.0,2.1
202201021715,250.0,5.7
202201021735,230.0,3.6
202201021755,200.0,3.1
202201021815,210.0,3.6
202201021835,210.0,2.1
202201021855,250.0,2.1
202201021915,220.0,4.1
202201021935,220.0,4.1
202201021955,270.0,2.6
202201022015,240.0,1.5
202201022035,0.0,0.0
202201022055,120.0,2.1
202201022115,0.0,0.0
202201022135,110.0,1.5
202201022155,0.0,0.0
202201022215,130.0,2.1
202201022235,120.0,2.1
202201022255,200.0,2.1
202201022315,160.0,2.6
202201022335,180.0,1.5
202201022355,0.0,0.0
202201030015,140.0,1.5
202201030035,140.0,1.5
202201030055,0.0,0.0
202201030115,160.0,3.1
202201030135,160.0,1.5
202201030155,150.0,2.6
202201030215,150.0,4.1
202201030235,150.0,1.5
202201030255,150.0,1.5
202201030315,160.0,1.5
202201030335,130.0,1.5
202201030355,120.0,1.5
202201030415,100.0,1.5
202201030435,0.0,0.0
202201030455,90.0,2.6
202201030515,80.0,2.6
202201030555,100.0,2.6
202201030615,0.0,0.0
202201030635,60.0,3.6
202201030655,330.0,3.6
202201030735,20.0,4.1
202201030755,30.0,5.1
202201030815,30.0,4.6
202201030835,30.0,4.6
202201030935,40.0,8.2
202201030955,40.0,11.3
202201031015,40.0,11.8
202201031035,20.0,9.8
202201031055,10.0,10.8
202201031115,,10.8
