timestamp string,wind direction,wind speed
202201010035,200.0,1.5
202201010055,180.0,2.1
202201010115,180.0,3.1
202201010135,180.0,2.6
202201010155,180.0,2.6
202201010215,190.0,2.1
202201010235,170.0,1.5
202201010255,180.0,3.1
202201010315,180.0,2.1
202201010355,200.0,2.6
202201010415,210.0,3.1
202201010435,220.0,3.6
202201010455,230.0,3.1
202201010515,220.0,3.1
202201010535,230.0,3.6
202201010555,210.0,3.6
202201010615,230.0,4.1
202201010635,210.0,3.6
202201010655,230.0,5.1
202201010715,230.0,5.1
202201010735,240.0,5.7
202201010755,230.0,5.1
202201010815,230.0,4.6
202201010835,240.0,4.6
202201010855,240.0,5.7
202201010915,240.0,5.7
202201010935,240.0,4.6
202201010955,240.0,6.7
202201011015,230.0,5.1
202201011035,230.0,5.7
202201011055,230.0,4.6
202201011115,230.0,6.7
202201011135,230.0,5.7
202201011155,230.0,5.1
202201011215,230.0,4.1
202201011235,230.0,4.6
202201011255,230.0,4.6
202201011315,230.0,4.6
202201011435,220.0,3.6
202201011455,230.0,5.1
202201011515,230.0,5.1
202201011535,230.0,4.1
202201011555,230.0,5.7
202201011615,230.0,7.7
202201011635,240.0,5.7
202201011655,240.0,6.7
202201011715,240.0,7.2
202201011735,230.0,5.1
202201011755,240.0,6.7
202201011815,240.0,8.7
202201011835,230.0,7.7
202201011855,220.0,4.1
202201011915,230.0,5.1
202201011935,220.0,5.7
202201011955,210.0,4.6
202201012015,220.0,5.7
202201012035,220.0,6.2
202201012055,220.0,6.2
202201012115,220.0,5.7
202201012135,230.0,4.6
202201012155,230.0,5.1
202201012215,220.0,4.1
202201012235,210.0,3.1
202201012255,210.0,3.6
202201012315,210.0,4.1
202201012355,210.0,3.6
202201020015,200.0,4.1
202201020055,200.0,3.6
202201020115,210.0,3.6
202201020135,210.0,4.1
202201020155,220.0,6.7
202201020215,220.0,6.7
202201020235,220.0,5.1
202201020255,220.0,5.7
202201020315,220.0,5.1
202201020335,220.0,5.7
202201020355,230.0,6.2
202201020415,230.0,8.2
202201020435,210.0,6.2
202201020455,220.0,5.1
202201020515,220.0,6.7
202201020535,220.0,8.2
202201020555,230.0,7.2
202201020615,220.0,7.2
202201020635,220.0,6.2
202201020655,230.0,8.2
202201020715,220.0,7.7
202201020735,230.0,6.2
202201020755,230.0,7.2
202201020815,230.0,8.2
202201020835,230.0,7.2
202201020855,220.0,4.6
202201020915,230.0,7.7
202201020935,240.0,6.7
202201020955,220.0,6.7
202201021015,220.0,6.2
202201021035,220.0,4.6
202201021055,230.0,5.7
202201021115,230.0,7.2
202201021135,240.0,6.7
202201021155,240.0,7.2
202201021215,260.0,7.2
202201021235,270.0,5.7
202201021255,250.0,4.6
202201021315,250.0,3.6
202201021335,250.0,3.1
202201021355,270.0,3.1
202201021415,220.0,1.5
202201021435,230.0,2.6
202201021455,220.0,3.1
202201021515,210.0,2.6
202201021555,210.0,2.6
202201021655,230.0,3.6
202201021715,240.0,3.1
202201021735,230.0,3.1
202201021815,280.0,4.1
202201021835,260.0,2.6
202201021855,290.0,1.5
202201021915,260.0,3.1
202201021935,260.0,2.1
202201021955,260.0,4.1
202201022035,200.0,1.5
202201022055,230.0,1.5
202201022115,0.0,0.0
202201022135,140.0,2.1
202201022155,150.0,1.5
202201022215,190.0,2.1
202201022235,0.0,0.0
202201022255,0.0,0.0
202201022315,0.0,0.0
202201022335,0.0,0.0
202201022355,0.0,0.0
202201030015,140.0,1.5
202201030035,0.0,0.0
202201030055,0.0,0.0
202201030115,0.0,0.0
202201030135,150.0,2.1
202201030155,0.0,0.0
202201030215,140.0,2.1
202201030235,160.0,2.6
202201030255,150.0,2.6
202201030335,0.0,0.0
202201030355,130.0,2.1
202201030415,130.0,4.1
202201030435,120.0,2.1
202201030455,140.0,3.6
202201030515,140.0,3.1
202201030535,140.0,2.6
202201030555,140.0,4.6
202201030615,150.0,5.1
202201030635,150.0,5.1
202201030655,160.0,5.1
202201030715,150.0,3.6
202201030735,170.0,3.6
202201030755,170.0,3.6
202201030815,180.0,3.1
202201030835,150.0,2.1
202201030855,230.0,8.7
202201030915,230.0,9.3
202201030935,240.0,13.9
202201030955,240.0,13.4
202201031015,240.0,12.3
202201031035,250.0,9.3
202201031155,270.0,5.1
202201031215,290.0,5.1
202201031235,330.0,7.7
202201031255,330.0,9.8
202201031315,340.0,8.2
202201031335,330.0,7.2
202201031355,320.0,6.2
202201031415,320.0,7.2
202201031435,320.0,7.7
202201031455,330.0,8.2
202201031515,330.0,6.7
202201031535,340.0,5.1
202201031555,340.0,6.2
202201031615,340.0,2.6
202201031635,320.0,5.1
202201031655,340.0,6.2
202201031715,350.0,5.7
202201031735,330.0,5.7
202201031755,,6.7
202201031815,10.0,4.6
202201031835,340.0,5.1
202201031855,330.0,5.1
202201031915,20.0,4.1
202201031935,330.0,4.6
202201031955,330.0,4.6
202201032035,340.0,5.7
202201032055,350.0,4.6
202201032115,340.0,3.6
202201032135,340.0,3.1
202201032155,330.0,2.1
202201032215,350.0,2.1
202201032235,350.0,2.1
202201032255,,2.1
202201032315,350.0,1.5
202201032335,0.0,0.0
202201032355,10.0,1.5
202201040015,,3.1
202201040035,10.0,2.1
202201040055,,2.6
202201040155,20.0,2.6
202201040215,40.0,2.6
202201040235,50.0,3.1
202201040255,50.0,3.1
202201040315,50.0,2.6
202201040335,50.0,3.1
202201040355,50.0,3.1
202201040415,50.0,3.1
202201040435,50.0,3.6
202201040455,60.0,3.6
202201040515,50.0,3.1
202201040535,50.0,3.1
202201040555,60.0,3.1
202201040615,50.0,2.6
202201040635,40.0,2.1
202201040655,0.0,0.0
202201040715,20.0,1.5
202201040735,30.0,1.5
202201040755,40.0,1.5
202201040815,40.0,2.1
202201040855,40.0,1.5
202201040935,50.0,2.6
202201041115,60.0,2.1
202201041155,90.0,2.1
202201041215,0.0,0.0
202201041235,80.0,1.5
202201041255,0.0,0.0
202201041315,0.0,0.0
202201041335,130.0,1.5
202201041355,120.0,2.6
202201041415,110.0,2.1
202201041435,130.0,2.6
202201041455,120.0,3.1
202201041515,110.0,2.6
202201041535,100.0,1.5
202201041555,80.0,2.1
202201041615,120.0,1.5
202201041635,0.0,0.0
202201041655,110.0,3.1
