timestamp string,wind direction,wind speed
202201010015,210.0,5.1
202201010035,210.0,6.2
202201010055,190.0,5.1
202201010115,190.0,4.6
202201010135,180.0,3.6
202201010155,200.0,3.6
202201010215,190.0,4.1
202201010235,180.0,2.6
202201010255,220.0,2.6
202201010335,220.0,8.2
202201010355,210.0,7.2
202201010435,200.0,6.2
202201010515,200.0,6.7
202201010535,200.0,6.2
202201010555,210.0,7.7
202201010615,220.0,7.2
202201010630,220.0,5.7
202201010655,220.0,5.1
202201010715,210.0,5.7
202201010735,210.0,5.7
202201010755,230.0,3.6
202201010815,230.0,3.6
202201010835,250.0,3.6
202201010855,250.0,3.1
202201010915,330.0,1.5
202201010935,310.0,7.7
202201010955,350.0,5.1
202201011015,350.0,5.7
202201011035,340.0,5.7
202201011055,,6.2
202201011115,350.0,4.6
202201011135,,5.1
202201011155,,5.1
202201011215,,4.6
202201011235,20.0,2.6
202201011255,,3.6
202201011315,,5.7
202201011335,,5.1
202201011355,10.0,4.6
202201011415,30.0,4.6
202201011435,10.0,4.1
202201011455,,3.1
202201011530,10.0,4.1
202201011555,10.0,3.1
202201011615,10.0,3.1
202201011635,10.0,3.1
202201011655,50.0,3.1
202201011715,30.0,2.1
202201011735,0.0,0.0
202201011755,80.0,2.1
202201011815,90.0,1.5
202201011835,100.0,2.6
202201011855,0.0,0.0
202201011915,130.0,3.1
202201011935,160.0,3.1
202201011957,220.0,2.1
202201012015,290.0,2.6
202201012055,310.0,3.6
202201012115,300.0,3.1
202201012135,310.0,3.6
202201012155,340.0,4.1
202201012215,,3.6
202201012235,30.0,2.6
202201012255,20.0,3.1
202201012315,20.0,3.6
202201012335,10.0,3.1
202201012355,10.0,2.1
202201020015,330.0,5.1
202201020035,320.0,5.1
202201020055,330.0,5.7
202201020115,340.0,7.2
202201020135,350.0,4.1
202201020155,,5.7
202201020215,,6.2
202201020235,,6.2
202201020255,350.0,6.2
202201020315,350.0,6.7
202201020335,350.0,4.6
202201020355,350.0,5.1
202201020415,350.0,4.1
202201020435,350.0,5.7
202201020455,350.0,5.1
