timestamp string,wind direction,wind speed
202201010015,230.0,3.6
202201010035,240.0,3.1
202201010055,220.0,2.6
202201010115,220.0,2.6
202201010135,220.0,2.6
202201010155,220.0,2.1
202201010215,200.0,2.6
202201010235,220.0,3.1
202201010255,220.0,4.1
202201010315,220.0,4.1
202201010335,220.0,5.1
202201010355,220.0,4.1
202201010415,230.0,5.1
202201010435,230.0,3.6
202201010455,230.0,3.6
202201010515,220.0,3.1
202201010535,220.0,3.6
202201010555,220.0,3.6
202201010615,230.0,4.1
202201010635,230.0,2.6
202201010655,230.0,4.1
202201010715,240.0,3.1
202201010735,240.0,3.1
202201010755,230.0,2.1
202201010815,240.0,1.5
202201010835,230.0,1.5
202201010855,240.0,1.5
202201010915,220.0,2.1
202201010935,220.0,1.5
202201010955,240.0,2.6
202201011015,220.0,2.1
202201011035,230.0,2.6
202201011055,210.0,2.6
202201011115,210.0,1.5
202201011135,230.0,2.6
202201011155,0.0,0.0
202201011215,0.0,0.0
202201011235,230.0,2.1
202201011255,230.0,2.1
202201011315,270.0,2.1
202201011335,0.0,0.0
202201011355,0.0,0.0
202201011415,0.0,0.0
202201011435,190.0,1.5
202201011455,0.0,0.0
202201011515,0.0,0.0
202201011535,0.0,0.0
202201011555,30.0,3.6
202201011615,50.0,2.6
202201011635,0.0,0.0
202201011655,10.0,2.1
202201011715,350.0,2.1
202201011755,340.0,1.5
202201011815,0.0,0.0
202201011835,40.0,2.1
202201011855,60.0,2.6
202201011935,80.0,2.6
202201011955,0.0,0.0
202201012015,110.0,1.5
202201012035,160.0,1.5
202201012055,100.0,1.5
202201012115,160.0,2.1
202201012135,150.0,2.6
202201012235,170.0,2.1
202201012255,180.0,1.5
202201012315,170.0,2.1
202201012335,170.0,4.1
202201012355,180.0,3.1
202201020015,230.0,2.1
202201020035,0.0,0.0
202201020055,0.0,0.0
202201020115,250.0,2.1
202201020135,220.0,2.1
202201020155,0.0,0.0
202201020215,0.0,0.0
202201020235,320.0,1.5
202201020255,0.0,0.0
202201020315,0.0,0.0
202201020335,300.0,4.1
202201020355,290.0,2.6
202201020415,280.0,3.6
202201020435,300.0,2.6
202201020455,300.0,2.1
202201020515,290.0,1.5
202201020535,0.0,0.0
202201020555,290.0,2.6
202201020615,0.0,0.0
202201020635,290.0,2.1
202201020655,290.0,2.6
202201020715,280.0,2.6
202201020735,260.0,4.6
202201020755,280.0,5.1
202201020815,290.0,2.6
202201020835,290.0,2.6
202201020855,290.0,4.1
202201020915,280.0,3.6
202201020935,290.0,4.1
202201020955,290.0,4.1
202201021015,270.0,5.1
202201021035,280.0,4.1
202201021055,300.0,4.6
202201021115,290.0,3.1
202201021135,300.0,3.1
202201021155,290.0,3.1
202201021215,290.0,2.6
202201021235,320.0,3.1
202201021255,290.0,2.6
202201021315,290.0,2.1
202201021335,290.0,4.1
202201021355,310.0,3.1
202201021415,310.0,2.6
202201021435,320.0,3.1
202201021455,320.0,3.6
202201021515,320.0,3.1
202201021535,330.0,2.6
202201021555,340.0,3.1
202201021615,330.0,2.1
202201021635,320.0,2.1
202201021655,320.0,1.5
202201021715,330.0,2.6
202201021735,320.0,1.5
202201021755,320.0,4.1
202201021815,10.0,2.6
202201021835,310.0,3.1
202201021855,340.0,3.1
202201021915,10.0,3.6
202201021935,340.0,3.1
202201021955,20.0,4.1
202201022015,20.0,4.1
202201022035,50.0,3.6
202201022055,30.0,3.1
202201022115,10.0,2.1
202201022135,20.0,2.6
202201022215,350.0,1.5
202201022235,10.0,3.6
202201022255,10.0,3.1
202201022315,20.0,4.1
202201022335,,3.6
202201022355,,2.6
202201030035,10.0,4.1
202201030055,30.0,4.1
202201030115,,4.6
202201030135,20.0,4.6
202201030155,40.0,3.1
202201030215,10.0,4.6
202201030235,30.0,4.6
202201030255,,2.6
202201030315,20.0,3.1
202201030335,,2.6
202201030355,10.0,3.1
202201030415,,3.6
202201030435,,4.6
202201030455,10.0,4.1
202201030515,20.0,3.1
202201030535,,5.7
202201030555,10.0,5.7
202201030615,,3.1
202201030655,10.0,2.6
202201030715,,2.6
202201030735,20.0,3.6
202201030755,,3.1
202201030815,,3.6
202201030835,350.0,3.6
202201030855,,3.1
202201030915,,1.5
202201030935,10.0,2.6
202201030955,,3.1
202201031015,,2.1
202201031035,10.0,1.5
202201031055,0.0,0.0
202201031115,30.0,1.5
202201031135,0.0,0.0
202201031155,70.0,1.5
202201031215,70.0,2.6
202201031235,40.0,2.1
202201031255,20.0,1.5
202201031315,0.0,0.0
202201031335,40.0,1.5
202201031355,0.0,0.0
202201031415,0.0,0.0
202201031435,70.0,1.5
202201031455,0.0,0.0
202201031515,0.0,0.0
202201031535,0.0,0.0
202201031555,0.0,0.0
202201031615,100.0,1.5
202201031635,0.0,0.0
202201031655,0.0,0.0
202201031715,0.0,0.0
202201031735,0.0,0.0
202201031755,0.0,0.0
202201031815,0.0,0.0
202201031835,250.0,1.5
202201031855,240.0,2.1
202201031915,230.0,1.5
202201031935,210.0,1.5
202201031955,0.0,0.0
202201032015,240.0,2.1
202201032055,0.0,0.0
202201032115,240.0,1.5
202201032135,220.0,2.1
202201032155,210.0,1.5
202201032215,230.0,1.5
202201032235,0.0,0.0
202201032255,0.0,0.0
202201032315,0.0,0.0
202201032335,0.0,0.0
202201032355,0.0,0.0
202201040035,0.0,0.0
202201040055,0.0,0.0
202201040135,0.0,0.0
202201040155,250.0,2.1
202201040215,220.0,1.5
202201040235,0.0,0.0
202201040255,0.0,0.0
202201040315,0.0,0.0
202201040335,0.0,0.0
202201040355,0.0,0.0
202201040415,0.0,0.0
202201040435,0.0,0.0
202201040455,0.0,0.0
202201040515,0.0,0.0
202201040535,0.0,0.0
202201040555,0.0,0.0
202201040615,0.0,0.0
202201040635,0.0,0.0
202201040655,0.0,0.0
