timestamp string,wind direction,wind speed
202201010015,210.0,1.5
202201010035,220.0,2.1
202201010055,200.0,2.1
202201010115,200.0,3.1
202201010135,200.0,4.1
202201010155,190.0,4.1
202201010215,190.0,4.6
202201010235,190.0,6.7
202201010255,200.0,4.6
202201010315,200.0,4.6
202201010335,190.0,3.6
202201010355,220.0,2.6
202201010415,200.0,2.1
202201010435,180.0,3.6
202201010455,190.0,3.1
202201010515,190.0,3.6
202201010535,200.0,5.1
202201010555,210.0,5.1
202201010615,210.0,3.6
202201010635,220.0,3.6
202201010655,210.0,2.6
202201010715,220.0,3.6
202201010735,220.0,1.5
202201010755,220.0,3.1
202201010815,220.0,3.1
202201010835,220.0,2.6
202201010855,230.0,2.1
202201010915,200.0,2.6
202201010935,210.0,2.6
202201010955,190.0,3.1
202201011015,210.0,3.1
202201011035,220.0,2.1
202201011055,350.0,4.6
202201011115,350.0,4.6
202201011135,,4.6
202201011155,10.0,3.6
202201011215,,3.1
202201011235,,4.1
202201011255,,6.2
202201011315,,4.6
202201011335,,3.1
202201011355,,2.1
202201011415,10.0,3.1
202201011435,30.0,1.5
202201011455,20.0,3.6
202201011515,,3.6
202201011535,,3.6
202201011555,320.0,1.5
202201011615,10.0,3.6
202201011635,330.0,1.5
202201011655,,1.5
202201011715,,2.1
202201011735,,1.5
202201011755,40.0,1.5
202201011815,0.0,0.0
202201011835,0.0,0.0
202201011855,0.0,0.0
202201011915,160.0,1.5
202201011935,180.0,1.5
202201011955,170.0,2.6
202201012015,190.0,2.1
202201012035,0.0,0.0
202201012055,300.0,1.5
202201012115,0.0,0.0
202201012135,0.0,0.0
202201012155,0.0,0.0
202201012215,310.0,1.5
202201012235,,1.5
202201012255,0.0,0.0
202201012315,,1.5
202201012335,0.0,0.0
202201012355,340.0,2.1
202201020015,300.0,2.6
202201020035,290.0,2.1
202201020055,320.0,1.5
202201020115,330.0,4.1
202201020135,340.0,5.1
202201020155,340.0,5.1
202201020215,350.0,4.6
202201020235,340.0,1.5
202201020335,340.0,4.1
202201020355,330.0,4.6
202201020415,340.0,4.1
202201020435,330.0,3.1
202201020455,330.0,3.1
202201020515,310.0,3.1
202201020535,320.0,2.6
202201020555,300.0,3.6
202201020615,310.0,2.6
202201020635,310.0,2.6
202201020655,300.0,2.6
202201020715,310.0,2.1
202201020735,330.0,4.6
202201020815,310.0,4.6
202201020835,300.0,4.1
202201020855,310.0,4.1
202201020915,310.0,4.6
202201020935,320.0,3.6
202201020955,320.0,2.6
202201021015,320.0,4.1
202201021035,320.0,5.1
202201021055,300.0,3.1
202201021115,330.0,4.6
202201021135,320.0,3.6
202201021155,320.0,4.1
202201021215,320.0,4.1
202201021235,320.0,3.1
202201021255,300.0,4.1
202201021315,330.0,4.6
202201021335,330.0,5.7
202201021355,330.0,5.1
202201021415,320.0,4.6
202201021435,330.0,4.6
202201021455,330.0,4.6
202201021515,350.0,4.1
202201021535,330.0,4.1
202201021555,340.0,4.1
202201021615,320.0,4.6
202201021635,320.0,3.6
202201021655,330.0,2.6
202201021715,330.0,2.6
202201021735,320.0,3.1
202201021755,320.0,4.1
202201021815,320.0,3.6
202201021835,310.0,3.6
202201021855,330.0,4.1
202201021915,320.0,2.6
202201021935,340.0,3.1
202201021955,330.0,3.6
202201022015,320.0,2.6
202201022035,330.0,4.6
202201022055,330.0,4.1
202201022115,330.0,4.1
202201022135,330.0,3.1
202201022155,340.0,4.1
202201022215,330.0,5.1
202201022235,340.0,4.6
202201022255,340.0,4.6
202201022315,340.0,3.6
202201022335,340.0,5.1
202201022355,340.0,4.6
202201030015,340.0,4.1
202201030035,330.0,4.6
202201030115,320.0,2.6
202201030135,320.0,3.6
202201030155,320.0,3.6
202201030215,320.0,2.6
202201030235,330.0,4.1
202201030255,320.0,3.6
202201030315,330.0,4.1
202201030335,320.0,3.6
202201030355,330.0,4.6
202201030415,330.0,4.6
202201030435,320.0,3.1
202201030455,330.0,5.1
202201030515,320.0,4.1
202201030535,330.0,3.6
202201030555,330.0,2.6
202201030615,320.0,3.6
202201030635,330.0,3.1
202201030655,320.0,2.6
202201030715,330.0,2.1
202201030735,320.0,2.1
202201030755,320.0,2.1
202201030815,310.0,2.6
202201030835,290.0,2.6
202201030855,310.0,3.1
202201030915,330.0,2.1
202201030955,320.0,2.6
202201031015,310.0,2.1
202201031035,310.0,2.1
202201031055,340.0,3.6
202201031115,310.0,2.1
202201031135,310.0,2.1
202201031155,290.0,2.1
202201031215,290.0,1.5
202201031235,290.0,2.1
202201031255,300.0,2.1
202201031355,310.0,1.5
202201031415,0.0,0.0
202201031435,300.0,2.1
202201031515,0.0,0.0
202201031535,330.0,1.5
202201031555,280.0,1.5
202201031615,0.0,0.0
202201031635,0.0,0.0
202201031655,0.0,0.0
202201031715,0.0,0.0
202201031735,0.0,0.0
202201031755,0.0,0.0
202201031815,180.0,2.6
202201031835,240.0,2.1
202201031855,200.0,1.5
202201031915,170.0,1.5
202201031935,0.0,0.0
202201031955,260.0,2.1
202201032015,160.0,2.1
202201032035,200.0,2.1
202201032055,180.0,2.1
202201032115,190.0,1.5
202201032135,230.0,2.6
202201032155,0.0,0.0
202201032215,230.0,1.5
202201032235,0.0,0.0
202201032255,0.0,0.0
202201032315,0.0,0.0
202201032335,0.0,0.0
202201032355,0.0,0.0
202201040015,0.0,0.0
202201040035,0.0,0.0
202201040055,0.0,0.0
202201040115,0.0,0.0
202201040135,0.0,0.0
202201040155,0.0,0.0
202201040215,0.0,0.0
202201040235,0.0,0.0
202201040255,0.0,0.0
202201040315,0.0,0.0
202201040355,150.0,1.5
202201040415,0.0,0.0
202201040435,0.0,0.0
202201040455,0.0,0.0
202201040515,0.0,0.0
202201040535,0.0,0.0
202201040555,0.0,0.0
202201040615,0.0,0.0
202201040635,0.0,0.0
202201040655,0.0,0.0
202201040715,0.0,0.0
202201040735,170.0,2.1
202201040755,170.0,2.1
202201040835,170.0,3.1
202201040855,180.0,3.1
202201040915,180.0,3.6
202201040935,190.0,3.1
202201040955,190.0,2.6
202201041015,170.0,2.1
202201041055,180.0,2.6
202201041115,190.0,3.1
202201041135,190.0,3.1
202201041155,170.0,2.1
202201041215,170.0,2.6
202201041235,170.0,3.1
202201041255,180.0,4.6
202201041315,170.0,4.1
202201041335,170.0,5.1
202201041355,180.0,6.2
202201041415,170.0,4.6
202201041435,160.0,5.1
202201041455,150.0,4.1
202201041515,160.0,4.6
202201041535,160.0,4.1
202201041555,160.0,4.1
202201041615,170.0,4.6
202201041635,160.0,5.1
202201041655,170.0,4.1
202201041715,150.0,4.6
202201041735,170.0,5.7
202201041755,190.0,5.1
202201041815,160.0,4.1
202201041835,160.0,4.1
202201041915,190.0,5.1
202201041935,190.0,5.7
202201041955,200.0,5.7
202201042015,190.0,6.2
202201042035,180.0,6.7
202201042055,180.0,7.2
202201042115,170.0,5.1
202201042135,180.0,5.1
202201042155,180.0,4.6
202201042215,170.0,4.1
202201042255,170.0,4.1
202201042315,160.0,3.6
202201042335,170.0,5.1
202201042355,170.0,6.2
202201050015,170.0,6.2
202201050035,170.0,5.7
202201050055,170.0,5.7
202201050135,180.0,7.7
202201050155,180.0,7.2
202201050215,190.0,7.2
202201050255,200.0,6.2
202201050315,210.0,6.7
202201050335,200.0,7.2
202201050355,200.0,6.7
202201050415,210.0,7.7
202201050435,200.0,7.7
202201050455,200.0,7.7
202201050515,200.0,8.7
202201050535,200.0,7.2
202201050555,200.0,6.7
202201050615,200.0,7.2
202201050635,200.0,5.1
202201050655,200.0,5.7
202201050715,200.0,6.2
202201050735,220.0,5.7
202201050755,210.0,4.6
202201050815,210.0,4.6
202201050835,210.0,6.7
202201050855,220.0,4.6
202201050915,220.0,5.1
202201050935,210.0,5.1
202201050955,210.0,6.2
202201051015,210.0,5.1
202201051035,220.0,6.2
202201051055,230.0,5.7
202201051115,230.0,5.1
202201051135,230.0,4.6
202201051155,220.0,4.6
202201051215,230.0,4.6
202201051235,240.0,5.1
202201051250,240.0,4.1
202201051315,280.0,4.1
202201051335,280.0,3.1
202201051355,300.0,3.1
202201051415,290.0,4.6
202201051430,280.0,3.1
202201051455,270.0,5.1
202201051515,270.0,6.2
202201051535,260.0,4.1
