timestamp string,wind direction,wind speed
202201010000,180.0,4.6
202201010020,190.0,4.1
202201010040,190.0,4.1
202201010100,190.0,4.1
202201010120,190.0,3.6
202201010140,180.0,3.6
202201010200,180.0,4.1
202201010220,180.0,4.1
202201010240,180.0,4.6
202201010300,180.0,4.6
202201010320,180.0,4.6
202201010340,180.0,4.6
202201010400,180.0,4.6
202201010420,180.0,5.1
202201010440,180.0,5.1
202201010500,190.0,5.7
202201010520,190.0,4.6
202201010540,190.0,6.2
202201010600,190.0,6.7
202201010620,190.0,5.7
202201010640,200.0,4.6
202201010700,210.0,6.2
202201010740,210.0,5.7
202201010800,210.0,8.2
202201010820,210.0,6.2
202201010840,210.0,5.1
202201010900,210.0,7.2
202201010920,210.0,6.7
202201010940,210.0,4.6
202201011000,220.0,5.1
202201011020,210.0,5.7
202201011040,200.0,5.1
202201011100,200.0,5.1
202201011120,200.0,5.1
202201011140,200.0,5.7
202201011200,200.0,5.7
202201011300,200.0,5.1
202201011320,190.0,5.7
202201011340,200.0,5.7
202201011400,200.0,6.2
202201011420,200.0,5.7
202201011440,200.0,6.2
202201011500,200.0,6.2
202201011520,200.0,6.7
202201011540,210.0,9.8
202201011620,210.0,8.7
202201011640,220.0,9.3
202201011700,220.0,8.2
202201011720,220.0,6.7
202201011740,220.0,8.7
202201011800,220.0,10.3
202201011820,230.0,8.7
202201011840,210.0,7.7
202201011900,210.0,10.3
202201011920,200.0,8.2
202201011940,220.0,11.3
202201012000,230.0,9.3
202201012020,210.0,8.7
202201012040,210.0,8.2
202201012100,200.0,7.7
202201012120,200.0,7.7
202201012140,220.0,7.7
202201012200,200.0,7.2
202201012220,190.0,5.1
202201012240,180.0,6.7
202201012300,210.0,7.7
202201012320,190.0,8.2
202201012340,320.0,7.2
202201020000,,3.1
202201020020,320.0,6.2
202201020040,340.0,6.2
202201020100,30.0,6.2
202201020120,,4.6
202201020140,30.0,5.7
202201020200,20.0,4.1
202201020220,30.0,4.6
202201020240,50.0,6.7
202201020300,60.0,6.7
202201020320,,4.1
202201020340,50.0,4.1
202201020400,40.0,2.6
202201020420,20.0,3.1
202201020440,60.0,2.1
202201020500,30.0,3.6
202201020520,90.0,2.1
202201020540,100.0,2.6
202201020600,140.0,2.6
202201020620,0.0,0.0
202201020640,0.0,0.0
202201020700,270.0,2.1
202201020720,0.0,0.0
202201020740,0.0,0.0
202201020800,270.0,2.6
202201020820,270.0,2.6
202201020840,250.0,1.5
202201020900,270.0,3.6
202201020920,0.0,0.0
202201020940,0.0,0.0
202201021000,230.0,2.1
202201021020,270.0,2.6
202201021040,,2.6
202201021100,290.0,2.1
202201021120,280.0,2.1
202201021140,0.0,0.0
202201021200,0.0,0.0
202201021220,0.0,0.0
202201021240,0.0,0.0
202201021300,280.0,1.5
202201021320,,1.5
202201021340,0.0,0.0
202201021400,0.0,0.0
202201021440,330.0,4.6
202201021500,340.0,4.1
202201021520,330.0,3.1
202201021540,350.0,4.1
202201021600,340.0,4.1
202201021620,350.0,4.6
202201021640,350.0,4.6
202201021700,350.0,5.1
202201021720,350.0,4.1
202201021800,,4.1
202201021820,350.0,4.1
202201021840,330.0,5.1
202201021900,,6.7
202201021920,,5.1
202201021940,20.0,4.6
202201022000,10.0,6.2
202201022020,350.0,5.1
202201022040,30.0,4.6
202201022100,10.0,5.1
202201022120,10.0,5.1
202201022140,10.0,5.7
202201022200,,4.6
202201022220,,6.7
202201022240,20.0,7.2
202201022300,10.0,4.6
202201022320,,5.7
202201022340,,5.1
202201030000,10.0,6.2
202201030040,,6.2
202201030120,340.0,7.2
202201030140,340.0,5.7
202201030200,340.0,5.7
202201030220,330.0,6.7
202201030240,330.0,5.7
202201030255,350.0,4.1
202201030320,330.0,5.7
202201030340,330.0,6.2
202201030400,330.0,6.2
202201030420,330.0,6.2
202201030440,320.0,7.2
202201030500,330.0,7.7
202201030520,330.0,5.7
202201030540,330.0,8.2
202201030600,,
202201030620,330.0,6.2
202201030640,330.0,7.2
202201030700,320.0,6.7
202201030720,330.0,6.2
202201030740,330.0,6.2
202201030800,330.0,6.2
202201030820,330.0,7.2
202201030840,330.0,7.7
202201030900,330.0,6.7
