timestamp string,wind direction,wind speed
202201010255,100.0,1.5
202201010315,220.0,2.1
202201010355,290.0,4.1
202201010415,210.0,1.5
202201010435,180.0,2.1
202201010455,290.0,1.5
202201010535,0.0,0.0
202201010555,0.0,0.0
202201010615,150.0,2.1
202201010635,300.0,2.1
202201010735,220.0,4.6
202201010815,230.0,6.7
202201010835,230.0,6.7
202201010915,230.0,8.2
202201010935,220.0,6.2
202201011035,230.0,7.7
202201011055,230.0,6.7
202201011115,230.0,8.2
202201011135,230.0,8.2
202201011147,230.0,7.7
202201011247,220.0,8.7
202201011347,220.0,6.2
202201011447,220.0,7.7
202201011547,220.0,7.7
202201011647,220.0,7.7
202201011747,230.0,7.7
202201011847,230.0,7.7
202201011900,230.0,9.8
202201011947,220.0,8.2
202201012047,220.0,9.3
202201012147,210.0,6.7
202201012247,200.0,7.2
202201012347,200.0,6.2
202201020047,200.0,7.7
202201020147,200.0,9.8
202201020315,200.0,10.3
202201020335,200.0,12.3
202201020355,200.0,11.8
202201020415,210.0,10.8
202201020435,210.0,11.3
202201020455,210.0,10.8
202201020535,200.0,11.3
202201020555,200.0,9.3
202201020615,210.0,10.3
202201020635,210.0,9.8
202201020655,200.0,8.7
202201020715,200.0,9.3
202201020735,210.0,9.8
202201020755,210.0,8.7
202201020835,200.0,10.8
202201020915,210.0,10.8
202201020955,250.0,10.8
202201021015,250.0,6.2
202201021035,250.0,6.7
202201021055,240.0,5.7
202201021115,220.0,6.2
202201021135,230.0,4.6
202201021147,230.0,4.6
202201021247,240.0,4.1
202201021347,210.0,4.1
202201021447,220.0,4.6
202201021547,210.0,4.6
202201021647,240.0,4.6
202201021747,230.0,5.1
202201021847,230.0,5.1
202201021947,240.0,4.6
202201022047,230.0,2.6
202201022147,250.0,2.1
202201022247,180.0,4.1
202201022347,180.0,1.5
202201030047,180.0,3.1
202201030115,170.0,4.1
202201030147,170.0,5.1
202201030255,130.0,4.1
202201030315,130.0,3.6
202201030435,90.0,3.1
202201030455,50.0,3.6
202201030535,60.0,2.6
202201030635,10.0,4.1
202201030655,60.0,4.6
202201030735,50.0,5.7
202201030755,40.0,7.7
202201030855,70.0,7.7
202201030935,70.0,6.2
202201031035,350.0,9.8
202201031115,350.0,9.8
202201031135,340.0,12.3
202201031147,350.0,14.4
