timestamp string,wind direction,wind speed
202201010015,200.0,1.5
202201010035,190.0,1.5
202201010055,200.0,2.6
202201010115,200.0,2.6
202201010135,210.0,1.5
202201010155,210.0,3.1
202201010215,230.0,2.1
202201010235,190.0,4.6
202201010255,220.0,3.1
202201010315,230.0,2.6
202201010335,220.0,3.6
202201010355,220.0,3.1
202201010415,210.0,4.1
202201010435,210.0,3.6
202201010455,220.0,3.6
202201010515,220.0,3.1
202201010535,230.0,3.1
202201010555,210.0,2.6
202201010615,220.0,3.6
202201010635,220.0,3.1
202201010655,220.0,4.1
202201010715,220.0,3.6
202201010735,220.0,3.6
202201010755,210.0,3.6
202201010815,220.0,2.6
202201010835,210.0,3.6
202201010855,230.0,3.6
202201010915,220.0,3.6
202201010935,220.0,3.6
202201010955,220.0,4.1
202201011015,220.0,3.6
202201011035,220.0,4.1
202201011055,230.0,3.6
202201011115,230.0,3.1
202201011135,230.0,3.1
202201011155,220.0,2.1
202201011215,220.0,3.1
202201011235,220.0,4.1
202201011255,220.0,3.6
202201011315,220.0,3.6
202201011335,210.0,3.1
202201011355,210.0,3.1
202201011415,220.0,4.6
202201011435,210.0,4.6
202201011455,220.0,3.6
202201011535,210.0,6.2
202201011555,200.0,4.6
202201011615,200.0,5.7
202201011635,210.0,6.2
202201011655,220.0,4.6
202201011715,230.0,4.6
202201011735,240.0,5.7
202201011755,230.0,5.7
202201011815,230.0,7.7
202201011835,240.0,7.2
202201011855,240.0,7.7
202201011915,220.0,7.2
202201011935,220.0,6.7
202201011955,230.0,5.7
202201012015,230.0,5.1
202201012035,240.0,4.1
202201012055,210.0,6.7
202201012115,220.0,8.2
202201012135,200.0,5.1
202201012155,200.0,4.6
202201012215,200.0,4.6
202201012235,210.0,5.1
202201012255,210.0,6.2
202201012315,200.0,6.2
202201012335,210.0,6.7
202201012355,210.0,7.7
202201020015,200.0,6.2
202201020035,210.0,6.2
202201020055,210.0,7.2
202201020115,210.0,10.3
202201020135,210.0,9.3
202201020155,210.0,8.7
202201020215,210.0,7.2
202201020235,210.0,7.2
202201020255,230.0,7.7
202201020315,210.0,7.7
202201020335,220.0,6.7
202201020355,220.0,6.7
202201020415,220.0,7.2
202201020435,220.0,8.2
202201020515,220.0,6.7
202201020535,220.0,6.7
202201020555,220.0,5.7
202201020615,220.0,8.2
202201020635,220.0,7.2
202201020655,230.0,6.2
202201020715,230.0,7.7
202201020735,230.0,6.7
202201020755,230.0,7.7
202201020815,230.0,5.7
202201020835,230.0,8.2
202201020855,230.0,7.2
202201020915,220.0,8.7
202201020935,220.0,8.2
202201020955,220.0,7.7
202201021015,230.0,6.2
202201021035,230.0,6.2
202201021055,220.0,5.1
202201021115,220.0,5.1
202201021135,320.0,3.6
202201021215,340.0,1.5
202201021235,240.0,1.5
202201021255,0.0,0.0
202201021315,170.0,2.1
202201021335,220.0,1.5
202201021355,0.0,0.0
202201021415,250.0,2.1
202201021435,190.0,2.1
202201021455,200.0,2.6
202201021515,170.0,3.1
202201021535,170.0,2.6
202201021555,230.0,1.5
202201021615,190.0,2.6
202201021635,210.0,2.6
202201021655,180.0,3.1
202201021715,210.0,2.6
202201021735,190.0,3.1
202201021755,180.0,2.6
202201021815,0.0,0.0
202201021835,140.0,2.6
202201021855,120.0,1.5
202201021915,110.0,2.1
202201021935,140.0,2.1
202201021955,110.0,3.1
202201022015,90.0,1.5
202201022035,80.0,1.5
202201022055,120.0,1.5
202201022115,160.0,1.5
202201022155,0.0,0.0
202201022215,0.0,0.0
202201022235,140.0,1.5
202201022255,90.0,1.5
202201022315,90.0,2.1
202201022335,0.0,0.0
202201022355,110.0,1.5
202201030015,0.0,0.0
202201030035,310.0,2.1
202201030055,60.0,1.5
202201030115,0.0,0.0
202201030135,110.0,1.5
202201030155,110.0,2.1
202201030215,80.0,2.1
202201030235,90.0,3.1
202201030255,110.0,2.6
202201030335,120.0,3.6
202201030355,120.0,3.1
202201030415,170.0,2.1
202201030435,290.0,5.7
202201030455,310.0,4.6
202201030515,300.0,3.6
202201030535,310.0,3.6
202201030555,290.0,5.7
202201030615,290.0,4.6
202201030655,270.0,6.7
202201030715,290.0,6.7
202201030735,280.0,5.1
202201030755,280.0,7.2
202201030815,270.0,5.1
202201030835,280.0,6.2
202201030855,280.0,5.7
202201030915,290.0,4.6
202201030935,280.0,5.1
202201030955,300.0,4.1
202201031015,290.0,5.7
202201031035,290.0,6.2
202201031115,290.0,6.2
202201031135,300.0,4.6
202201031155,300.0,4.6
202201031215,310.0,4.6
202201031235,310.0,6.2
202201031255,310.0,3.6
202201031315,320.0,6.7
202201031335,300.0,4.6
202201031355,300.0,6.7
202201031415,310.0,4.1
202201031435,300.0,3.6
202201031455,300.0,4.6
202201031515,300.0,3.6
202201031535,340.0,5.7
202201031555,320.0,4.6
202201031615,320.0,4.1
202201031635,330.0,4.1
202201031715,320.0,5.7
202201031735,330.0,5.7
202201031755,330.0,3.6
202201031815,340.0,6.2
202201031835,350.0,4.1
202201031855,320.0,3.1
202201031915,330.0,4.6
202201031935,340.0,3.1
202201031955,350.0,5.1
202201032015,340.0,4.1
202201032055,300.0,4.1
202201032115,340.0,2.1
202201032135,340.0,4.6
202201032155,330.0,3.6
202201032210,340.0,3.1
202201032235,350.0,3.6
202201032255,310.0,2.1
202201032315,310.0,2.1
202201032335,310.0,2.1
202201032355,300.0,1.5
202201040015,340.0,2.1
202201040035,320.0,2.1
202201040055,290.0,2.6
202201040115,330.0,2.6
202201040135,340.0,2.1
202201040155,350.0,2.6
202201040215,,2.6
202201040235,0.0,0.0
202201040255,0.0,0.0
202201040315,330.0,1.5
202201040335,310.0,1.5
202201040355,310.0,1.5
202201040415,0.0,0.0
202201040435,300.0,1.5
202201040455,330.0,1.5
202201040515,0.0,0.0
202201040535,0.0,0.0
202201040555,310.0,1.5
202201040615,320.0,1.5
202201040635,310.0,1.5
202201040655,310.0,1.5
202201040735,0.0,0.0
202201040755,0.0,0.0
202201040815,0.0,0.0
202201040835,0.0,0.0
202201040915,40.0,1.5
202201040935,60.0,2.6
202201040955,40.0,1.5
202201041015,0.0,0.0
202201041055,30.0,1.5
202201041115,50.0,2.1
202201041135,40.0,1.5
202201041155,60.0,1.5
202201041215,70.0,1.5
202201041235,70.0,2.1
202201041255,50.0,1.5
202201041315,60.0,1.5
202201041335,80.0,2.6
202201041355,100.0,3.6
202201041415,100.0,4.1
202201041435,120.0,4.1
202201041455,120.0,5.1
202201041515,140.0,4.6
202201041535,110.0,5.1
202201041555,130.0,4.6
202201041615,110.0,5.1
202201041635,110.0,4.6
202201041655,130.0,4.6
202201041715,100.0,4.6
202201041735,140.0,5.1
202201041755,120.0,5.1
202201041815,110.0,4.1
202201041835,120.0,6.2
202201041855,130.0,4.6
202201041915,110.0,5.1
202201041935,150.0,4.6
202201041955,130.0,3.6
202201042015,100.0,4.6
202201042035,100.0,4.1
202201042055,110.0,3.6
202201042115,100.0,3.6
202201042135,120.0,2.6
202201042155,130.0,3.1
202201042215,100.0,3.1
202201042235,110.0,3.1
202201042255,100.0,2.6
202201042315,80.0,1.5
202201042335,70.0,2.1
202201042355,70.0,2.1
202201050015,90.0,2.1
202201050055,80.0,2.1
202201050115,70.0,1.5
202201050135,70.0,1.5
202201050155,80.0,2.1
202201050215,90.0,2.6
