timestamp string,wind direction,wind speed
202201010056,180.0,3.1
202201010155,210.0,3.6
202201010156,210.0,3.6
202201010232,220.0,2.6
202201010256,210.0,1.5
202201010356,0.0,0.0
202201010456,0.0,0.0
202201010457,0.0,0.0
202201010459,0.0,0.0
202201010514,0.0,0.0
202201010528,160.0,1.5
202201010537,0.0,0.0
202201010556,140.0,1.5
202201010611,0.0,0.0
202201010626,220.0,2.1
202201010641,190.0,2.1
202201010644,140.0,1.5
202201010652,0.0,0.0
202201010656,0.0,0.0
202201010717,0.0,0.0
202201010722,0.0,0.0
202201010732,0.0,0.0
202201010756,170.0,1.5
202201010809,290.0,1.5
202201010824,240.0,2.1
202201010833,0.0,0.0
202201010848,,1.5
202201010856,60.0,1.5
202201010857,20.0,2.1
202201010900,60.0,2.6
202201010924,300.0,4.1
202201010925,300.0,4.6
202201010928,290.0,6.2
202201010937,270.0,4.1
202201010956,260.0,2.1
202201011011,270.0,2.6
202201011034,330.0,4.1
202201011056,300.0,2.1
202201011111,280.0,2.6
202201011126,320.0,2.6
202201011149,,1.5
202201011156,0.0,0.0
202201011201,120.0,1.5
202201011241,120.0,1.5
202201011256,130.0,3.1
202201011257,130.0,4.1
202201011356,160.0,4.1
202201011456,190.0,8.2
202201011541,210.0,10.3
202201011556,200.0,10.8
202201011614,240.0,14.4
202201011616,280.0,7.2
202201011624,330.0,6.7
202201011635,330.0,7.7
202201011640,280.0,4.6
202201011647,320.0,8.2
202201011648,340.0,7.2
202201011656,350.0,8.7
202201011711,310.0,9.3
202201011726,320.0,7.7
202201011756,320.0,5.7
202201011802,310.0,4.1
202201011832,310.0,3.1
202201011856,310.0,5.7
202201011911,300.0,5.1
202201011941,320.0,2.6
202201011956,0.0,0.0
202201012003,290.0,2.6
202201012048,270.0,2.1
202201012056,260.0,3.1
202201012126,220.0,3.1
202201012256,140.0,3.1
202201012351,140.0,3.6
202201012356,140.0,4.1
202201012357,150.0,3.6
202201020056,150.0,3.6
202201020057,150.0,3.1
202201020117,130.0,2.6
202201020132,140.0,3.1
202201020146,160.0,3.6
202201020153,160.0,3.1
202201020156,160.0,3.1
202201020208,160.0,3.1
202201020256,180.0,2.6
202201020304,180.0,3.1
202201020356,200.0,2.1
202201020456,240.0,3.1
202201020544,240.0,3.1
202201020556,240.0,3.1
202201020600,240.0,3.1
202201020619,250.0,3.1
202201020634,260.0,3.6
202201020656,250.0,4.6
202201020712,310.0,8.7
202201020742,320.0,6.7
202201020756,310.0,6.2
202201020817,310.0,6.2
202201020821,310.0,7.2
202201020845,310.0,4.6
202201020856,310.0,5.1
202201020926,310.0,5.1
202201020933,320.0,5.1
202201020935,320.0,5.1
202201020945,330.0,5.1
202201020956,340.0,4.6
202201021026,330.0,4.6
202201021041,320.0,4.1
202201021056,340.0,4.6
202201021100,340.0,4.1
202201021117,340.0,4.1
202201021143,310.0,5.7
202201021156,310.0,6.7
202201021239,310.0,3.6
202201021241,320.0,5.7
202201021254,320.0,5.7
202201021256,320.0,6.2
202201021304,320.0,6.7
202201021307,320.0,6.7
202201021337,330.0,5.1
202201021346,330.0,5.1
202201021356,320.0,5.7
202201021411,340.0,4.6
202201021441,320.0,5.7
202201021456,320.0,5.1
202201021511,320.0,5.1
202201021526,340.0,5.1
202201021541,330.0,5.7
202201021556,320.0,6.2
202201021618,310.0,4.6
202201021623,310.0,5.1
202201021638,340.0,4.6
202201021653,,5.1
202201021655,,5.7
202201021656,350.0,5.1
202201021711,330.0,5.7
202201021722,340.0,3.6
202201021733,330.0,4.1
202201021737,330.0,3.6
202201021756,330.0,5.1
202201021804,330.0,4.1
202201021819,320.0,5.1
202201021839,330.0,5.1
202201021856,340.0,4.6
202201021911,10.0,3.1
202201021917,10.0,3.6
202201021934,350.0,5.1
202201021956,330.0,5.1
202201022025,340.0,5.1
202201022029,330.0,5.7
202201022056,350.0,5.1
202201022104,350.0,4.1
202201022110,,5.1
202201022116,350.0,4.6
202201022156,350.0,6.7
202201022158,350.0,6.2
202201022209,10.0,7.7
202201022218,340.0,6.2
202201022256,350.0,7.7
202201022302,,7.2
202201022311,10.0,6.7
202201022356,350.0,6.7
202201030014,350.0,6.2
202201030030,350.0,7.2
202201030056,330.0,5.1
202201030126,320.0,7.2
202201030128,330.0,5.7
202201030156,330.0,5.7
202201030220,340.0,7.2
202201030235,340.0,6.7
202201030256,340.0,6.7
202201030356,340.0,6.7
202201030441,330.0,8.7
202201030456,330.0,8.2
202201030511,340.0,7.2
202201030556,340.0,5.7
202201030656,330.0,7.7
202201030756,330.0,6.7
202201031011,330.0,8.2
202201031056,,6.7
202201031111,,5.1
202201031156,340.0,5.1
202201031256,10.0,6.2
202201031356,330.0,4.6
202201031411,340.0,4.1
202201031426,320.0,3.6
202201031436,300.0,4.6
202201031445,330.0,4.1
202201031456,330.0,4.6
202201031556,320.0,3.1
202201031611,320.0,3.6
202201031615,330.0,3.6
202201031624,310.0,4.1
202201031639,310.0,3.1
202201031656,320.0,3.6
202201031711,300.0,3.1
202201031756,320.0,4.1
202201031811,320.0,2.1
202201031856,0.0,0.0
202201031956,0.0,0.0
