timestamp string,wind direction,wind speed
202201010015,190.0,3.1
202201010035,200.0,3.6
202201010055,200.0,3.1
202201010115,200.0,3.6
202201010135,200.0,3.6
202201010155,210.0,4.1
202201010235,210.0,4.6
202201010255,220.0,4.6
202201010315,230.0,4.1
202201010335,230.0,4.1
202201010355,230.0,5.7
202201010415,220.0,5.1
202201010435,230.0,6.2
202201010455,230.0,6.2
202201010515,220.0,5.1
202201010535,240.0,8.2
202201010555,230.0,6.7
202201010615,210.0,6.2
202201010715,210.0,3.6
202201010735,230.0,3.6
202201010835,220.0,3.1
202201010855,220.0,3.6
202201010915,220.0,3.1
202201010935,200.0,2.6
202201010955,230.0,3.6
202201011015,190.0,2.6
202201011035,230.0,3.6
202201011055,250.0,4.6
202201011115,250.0,4.6
202201011135,230.0,2.1
202201011155,0.0,0.0
202201011215,190.0,2.1
202201011235,0.0,0.0
202201011255,210.0,2.1
202201011315,190.0,2.1
202201011335,150.0,2.1
202201011355,180.0,1.5
202201011415,170.0,2.1
202201011435,220.0,2.6
202201011455,0.0,0.0
202201011515,220.0,2.1
202201011535,230.0,2.1
202201011555,190.0,1.5
202201011635,0.0,0.0
202201011655,0.0,0.0
202201011715,0.0,0.0
202201011735,0.0,0.0
202201011755,0.0,0.0
202201011815,330.0,1.5
202201011835,0.0,0.0
202201011855,,5.1
202201011915,,4.6
202201011935,320.0,2.1
202201011955,330.0,4.1
202201012015,20.0,3.1
202201012035,320.0,1.5
202201012055,320.0,1.5
202201012115,0.0,0.0
202201012135,300.0,1.5
202201012155,0.0,0.0
202201012215,0.0,0.0
202201012235,0.0,0.0
202201012255,190.0,1.5
202201012315,160.0,3.1
202201012335,200.0,1.5
202201012355,0.0,0.0
202201020035,170.0,3.6
202201020055,170.0,2.6
202201020115,180.0,2.6
202201020135,180.0,2.1
202201020155,170.0,1.5
202201020215,230.0,1.5
202201020235,290.0,2.1
202201020255,0.0,0.0
202201020315,260.0,2.1
202201020335,190.0,1.5
202201020355,250.0,2.1
202201020415,330.0,3.1
202201020515,0.0,0.0
202201020535,0.0,0.0
202201020555,0.0,0.0
202201020615,320.0,3.6
202201020635,20.0,3.1
202201020655,10.0,3.1
202201020715,40.0,3.6
202201020735,,3.6
202201020755,20.0,3.6
202201020815,350.0,3.1
202201020835,,3.6
202201020855,20.0,2.6
202201020935,40.0,1.5
202201021015,330.0,2.6
202201021035,330.0,4.1
202201021055,340.0,2.6
202201021115,330.0,3.6
202201021135,340.0,3.1
202201021155,340.0,4.1
202201021215,350.0,5.1
202201021235,,4.6
202201021255,330.0,3.1
202201021315,330.0,3.1
202201021335,350.0,4.6
202201021355,330.0,4.6
202201021415,330.0,4.6
202201021435,340.0,4.6
202201021455,340.0,3.1
202201021515,330.0,3.1
202201021535,350.0,5.7
202201021555,330.0,4.6
202201021635,340.0,5.7
202201021655,340.0,5.1
202201021715,340.0,6.2
202201021735,340.0,3.1
202201021755,330.0,4.1
202201021815,340.0,4.1
202201021835,350.0,3.6
202201021855,330.0,3.6
202201021915,340.0,4.1
202201021935,340.0,5.1
202201021955,,4.1
202201022015,,3.6
202201022035,,3.1
202201022055,350.0,4.6
202201022115,,3.6
202201022135,,4.1
202201022155,20.0,4.6
202201022215,350.0,2.6
202201022235,350.0,4.1
202201022255,,4.6
202201022335,10.0,5.1
202201022355,30.0,4.6
202201030015,20.0,5.1
202201030035,10.0,4.6
202201030055,20.0,3.6
202201030115,30.0,4.1
202201030135,20.0,5.7
202201030155,30.0,4.1
202201030215,30.0,3.1
202201030235,20.0,3.6
202201030255,20.0,3.6
202201030315,10.0,3.6
202201030335,10.0,3.6
202201030355,10.0,3.6
202201030415,30.0,3.6
202201030435,30.0,5.1
202201030455,40.0,3.6
202201030515,30.0,4.6
202201030535,20.0,4.1
202201030555,20.0,4.1
202201030615,20.0,4.1
202201030635,10.0,4.6
202201030655,20.0,4.6
202201030715,30.0,4.6
202201030735,20.0,4.6
202201030755,,4.6
202201030815,20.0,5.1
202201030835,20.0,4.6
202201030855,20.0,4.6
202201030915,,5.1
202201030935,10.0,3.6
202201030955,20.0,6.7
202201031035,,4.6
202201031055,10.0,4.1
202201031115,10.0,4.6
202201031135,350.0,6.7
202201031155,,4.6
202201031215,20.0,4.6
202201031235,,5.1
202201031255,350.0,3.1
202201031335,350.0,3.6
202201031355,350.0,3.1
202201031415,350.0,3.6
202201031435,,5.1
202201031455,10.0,5.7
202201031515,10.0,3.1
202201031535,50.0,3.6
202201031555,40.0,2.6
202201031615,10.0,2.1
202201031635,30.0,3.6
202201031655,20.0,2.6
202201031715,40.0,2.6
202201031735,340.0,3.6
202201031815,0.0,0.0
202201031835,340.0,2.1
202201031855,290.0,2.6
202201031935,,2.1
202201031955,320.0,2.1
202201032015,270.0,2.1
202201032035,270.0,1.5
202201032055,0.0,0.0
202201032135,320.0,2.1
202201032155,340.0,1.5
202201032215,280.0,1.5
202201032235,260.0,1.5
202201032255,0.0,0.0
202201032315,0.0,0.0
202201032335,0.0,0.0
202201032355,0.0,0.0
202201040015,0.0,0.0
202201040035,0.0,0.0
202201040055,230.0,1.5
202201040115,230.0,1.5
202201040135,0.0,0.0
202201040155,0.0,0.0
202201040215,0.0,0.0
202201040235,0.0,0.0
202201040255,220.0,1.5
202201040315,240.0,1.5
202201040335,230.0,1.5
202201040355,220.0,1.5
202201040415,0.0,0.0
202201040435,0.0,0.0
202201040455,0.0,0.0
202201040515,0.0,0.0
202201040535,0.0,0.0
202201040555,0.0,0.0
202201040635,0.0,0.0
202201040655,0.0,0.0
202201040715,0.0,0.0
202201040735,0.0,0.0
202201040755,0.0,0.0
202201040815,0.0,0.0
202201040835,0.0,0.0
202201040855,0.0,0.0
202201040915,0.0,0.0
202201040935,0.0,0.0
202201040955,0.0,0.0
202201041015,0.0,0.0
202201041035,0.0,0.0
202201041055,0.0,0.0
202201041115,0.0,0.0
202201041135,0.0,0.0
202201041155,150.0,1.5
202201041215,0.0,0.0
202201041235,170.0,2.1
202201041255,170.0,1.5
202201041315,0.0,0.0
202201041335,0.0,0.0
202201041355,140.0,1.5
202201041435,170.0,2.6
202201041455,180.0,2.6
202201041535,200.0,2.1
202201041555,170.0,3.6
202201041615,170.0,2.6
202201041635,170.0,3.6
202201041655,170.0,2.6
202201041715,150.0,3.1
202201041735,140.0,3.1
202201041755,200.0,4.1
202201041815,160.0,2.6
202201041835,200.0,3.6
202201041855,210.0,4.6
202201041915,160.0,4.1
202201041935,170.0,2.6
202201041955,150.0,4.1
202201042015,170.0,2.6
202201042035,170.0,4.6
202201042115,180.0,3.1
202201042135,190.0,4.1
202201042155,180.0,3.1
202201042215,190.0,2.1
202201042235,170.0,2.1
202201042255,170.0,1.5
202201042315,170.0,2.6
202201042335,170.0,2.6
202201050015,160.0,4.1
202201050035,170.0,2.6
202201050055,170.0,4.1
202201050115,180.0,4.1
202201050135,170.0,5.7
202201050155,170.0,5.7
202201050215,170.0,5.7
202201050235,180.0,6.7
202201050315,190.0,9.3
202201050355,200.0,6.7
202201050415,190.0,5.7
202201050435,190.0,4.6
202201050515,200.0,5.1
202201050535,200.0,5.7
202201050555,200.0,5.1
202201050615,210.0,6.7
202201050635,210.0,6.2
202201050715,210.0,5.1
202201050755,210.0,6.2
202201050815,210.0,6.2
202201050835,220.0,6.7
202201050855,220.0,4.6
202201050935,220.0,5.7
202201050955,220.0,6.2
202201051015,220.0,6.7
202201051035,220.0,6.7
202201051055,220.0,5.7
202201051115,220.0,6.2
202201051135,230.0,6.7
202201051155,230.0,6.7
202201051215,220.0,5.7
202201051235,230.0,6.7
202201051255,220.0,7.7
202201051315,220.0,5.7
202201051335,230.0,7.7
202201051355,230.0,8.7
202201051415,230.0,7.2
202201051435,230.0,8.7
202201051455,240.0,11.8
202201051515,240.0,8.7
202201051535,250.0,11.3
202201051555,240.0,7.7
202201051615,230.0,10.8
202201051635,240.0,10.8
202201051715,240.0,10.8
202201051735,260.0,7.7
202201051755,250.0,7.2
202201051815,250.0,11.3
202201051855,260.0,6.7
202201051915,250.0,8.7
202201051935,260.0,6.7
202201051955,250.0,8.2
202201052015,240.0,9.8
202201052035,240.0,7.7
202201052055,250.0,7.7
202201052115,240.0,10.8
202201052135,250.0,9.8
202201052155,260.0,10.3
202201052215,250.0,8.2
202201052235,250.0,9.3
202201052315,260.0,7.7
202201052335,260.0,9.3
202201052355,260.0,8.7
202201060015,270.0,8.2
202201060035,270.0,8.7
202201060055,270.0,10.3
202201060115,270.0,10.3
202201060135,270.0,6.2
202201060155,260.0,5.7
202201060215,270.0,6.7
202201060235,270.0,5.1
202201060255,280.0,6.2
202201060315,300.0,7.2
202201060335,290.0,5.1
202201060355,300.0,6.7
202201060415,280.0,7.7
202201060435,300.0,6.7
202201060455,290.0,4.1
202201060515,280.0,4.1
202201060535,290.0,4.6
202201060615,290.0,5.1
202201060635,280.0,5.1
202201060655,300.0,4.1
202201060715,290.0,5.1
202201060735,290.0,4.6
202201060755,310.0,4.6
202201060815,300.0,4.6
202201060835,310.0,3.1
202201060855,300.0,4.1
202201060915,300.0,3.1
202201060935,290.0,4.1
202201060955,310.0,4.6
202201061015,290.0,3.6
202201061035,270.0,3.6
202201061055,320.0,3.1
202201061115,280.0,2.1
202201061135,260.0,1.5
202201061155,270.0,2.6
202201061215,280.0,2.1
202201061235,260.0,2.1
202201061255,0.0,0.0
202201061315,270.0,1.5
202201061335,0.0,0.0
202201061355,0.0,0.0
202201061415,320.0,2.1
202201061435,0.0,0.0
202201061455,0.0,0.0
202201061515,270.0,1.5
202201061535,280.0,2.6
202201061555,340.0,3.1
202201061615,310.0,2.1
202201061635,330.0,3.1
202201061655,290.0,2.6
202201061715,300.0,2.6
202201061735,240.0,1.5
202201061755,250.0,2.1
202201061815,270.0,2.6
202201061835,300.0,2.1
202201061855,300.0,2.1
202201061915,310.0,2.6
202201061935,290.0,2.1
202201061955,330.0,3.6
202201062015,350.0,2.6
202201062035,340.0,2.6
202201062055,330.0,2.1
202201062115,340.0,2.1
202201062135,310.0,3.6
202201062155,320.0,2.1
202201062215,320.0,2.6
202201062235,330.0,3.1
202201062255,300.0,3.1
202201062315,300.0,2.1
202201062335,300.0,3.1
202201062355,290.0,3.1
202201070015,310.0,2.1
202201070035,300.0,3.1
202201070055,300.0,4.1
