timestamp string,wind direction,wind speed
202201010015,240.0,5.7
202201010035,230.0,7.2
202201010055,230.0,5.1
202201010135,230.0,5.7
202201010235,210.0,5.7
202201010255,230.0,3.6
202201010315,230.0,5.7
202201010335,230.0,3.6
202201010415,240.0,3.6
202201010435,240.0,3.6
202201010455,240.0,4.1
202201010515,250.0,5.1
202201010535,260.0,5.7
202201010555,250.0,4.6
202201010615,250.0,4.1
202201010635,0.0,0.0
202201010655,240.0,5.1
202201010715,250.0,2.1
202201010735,330.0,1.5
202201010755,260.0,2.1
202201010815,260.0,4.1
202201010835,250.0,4.6
202201010855,240.0,2.6
202201010915,0.0,0.0
202201010935,0.0,0.0
202201010955,240.0,2.1
202201011015,0.0,0.0
202201011035,250.0,2.1
202201011055,240.0,1.5
202201011115,230.0,4.1
202201011135,220.0,4.6
202201011155,230.0,4.6
202201011215,230.0,6.7
202201011235,240.0,7.7
202201011255,220.0,6.7
202201011315,240.0,6.7
202201011335,230.0,8.7
202201011355,230.0,6.7
202201011415,230.0,6.7
202201011435,230.0,6.2
202201011455,230.0,3.6
202201011515,230.0,5.7
202201011535,230.0,6.2
202201011555,230.0,5.7
202201011635,220.0,6.7
202201011655,230.0,5.1
202201011715,220.0,8.7
202201011735,230.0,8.2
202201011755,220.0,5.7
202201011815,220.0,9.8
202201011835,230.0,9.8
202201011855,230.0,6.2
202201011915,220.0,7.2
202201011935,220.0,6.7
202201011955,250.0,6.2
202201012015,230.0,6.7
202201012035,220.0,4.1
202201012055,230.0,5.7
202201012115,220.0,7.2
202201012135,220.0,7.2
202201012155,220.0,7.2
202201012215,230.0,5.1
202201012235,230.0,8.2
202201012255,220.0,9.3
202201012315,240.0,6.2
202201012335,230.0,7.2
202201012355,230.0,7.7
202201020015,250.0,7.2
202201020035,240.0,6.7
202201020055,220.0,4.1
202201020115,250.0,7.2
202201020135,290.0,6.2
202201020155,300.0,1.5
202201020215,320.0,3.1
202201020235,270.0,2.1
202201020255,,1.5
202201020315,0.0,0.0
202201020335,280.0,3.6
202201020355,0.0,0.0
202201020415,0.0,0.0
202201020455,20.0,1.5
202201020515,320.0,6.7
202201020535,350.0,3.6
202201020555,330.0,2.6
202201020615,30.0,1.5
202201020635,310.0,1.5
202201020655,0.0,0.0
202201020715,0.0,0.0
202201020735,110.0,2.1
202201020755,130.0,2.1
202201020815,140.0,2.1
202201020835,160.0,2.1
202201020855,0.0,0.0
202201020915,0.0,0.0
202201020935,160.0,2.1
202201020955,150.0,1.5
202201021015,290.0,2.1
202201021035,280.0,3.1
202201021055,280.0,3.1
202201021115,260.0,3.6
202201021215,250.0,3.6
202201021235,240.0,2.1
202201021255,260.0,2.1
202201021335,260.0,3.1
202201021355,250.0,2.1
202201021415,260.0,2.6
202201021435,270.0,1.5
202201021455,260.0,2.1
202201021515,270.0,2.1
202201021535,270.0,2.1
202201021555,270.0,3.1
202201021615,280.0,2.6
202201021635,260.0,4.1
202201021655,240.0,4.1
202201021715,230.0,3.6
202201021735,230.0,2.6
202201021755,250.0,4.6
202201021815,250.0,2.6
202201021835,250.0,4.6
202201021855,220.0,4.1
202201021915,240.0,4.6
202201021935,250.0,2.6
202201021955,250.0,3.6
202201022015,230.0,2.1
202201022035,250.0,3.6
202201022055,280.0,2.6
202201022135,320.0,3.6
202201022155,320.0,3.1
202201022215,340.0,6.2
202201022255,340.0,2.1
202201022315,0.0,0.0
202201022335,300.0,1.5
202201022355,0.0,0.0
202201030015,0.0,0.0
202201030035,0.0,0.0
202201030055,0.0,0.0
202201030115,0.0,0.0
202201030135,320.0,2.1
202201030155,330.0,3.1
202201030215,330.0,4.1
202201030235,350.0,2.1
202201030255,330.0,3.6
202201030315,,2.6
202201030335,340.0,4.1
202201030355,340.0,3.6
202201030415,,3.1
202201030455,350.0,2.6
202201030515,10.0,2.6
202201030535,10.0,5.1
202201030555,350.0,2.1
202201030615,,2.6
202201030655,,1.5
202201030715,350.0,2.1
202201030735,20.0,1.5
202201030755,20.0,2.6
202201030815,,2.1
202201030835,340.0,1.5
202201030855,340.0,2.6
202201030915,350.0,2.6
202201030935,340.0,3.1
202201030955,340.0,3.6
202201031015,,4.1
202201031055,340.0,4.1
202201031115,330.0,6.7
202201031135,340.0,4.6
202201031155,340.0,3.1
202201031215,330.0,4.1
202201031235,330.0,5.7
202201031255,330.0,5.1
202201031315,330.0,5.1
202201031335,330.0,3.6
202201031355,330.0,4.1
202201031415,330.0,6.7
202201031435,330.0,5.1
202201031455,340.0,4.6
202201031515,320.0,3.1
202201031555,330.0,5.1
202201031615,330.0,5.1
202201031635,330.0,3.1
202201031655,340.0,5.7
202201031715,330.0,3.6
202201031735,330.0,2.6
202201031755,340.0,5.1
202201031815,330.0,2.6
202201031835,330.0,2.1
202201031855,320.0,2.6
202201031915,320.0,2.6
202201031935,310.0,3.6
202201031955,320.0,2.6
202201032035,300.0,2.6
202201032055,330.0,3.6
202201032115,310.0,2.1
202201032135,300.0,2.1
202201032215,290.0,3.1
202201032235,320.0,2.1
202201032255,300.0,2.1
202201032315,320.0,2.6
202201032335,290.0,1.5
202201032355,310.0,2.1
202201040035,280.0,1.5
202201040055,310.0,1.5
202201040115,0.0,0.0
202201040135,300.0,2.1
202201040155,320.0,1.5
202201040215,340.0,2.6
202201040255,310.0,2.1
202201040315,340.0,2.1
202201040335,0.0,0.0
202201040355,0.0,0.0
202201040415,0.0,0.0
202201040455,0.0,0.0
202201040535,0.0,0.0
202201040555,0.0,0.0
202201040615,0.0,0.0
202201040635,0.0,0.0
202201040655,0.0,0.0
202201040715,0.0,0.0
202201040755,0.0,0.0
202201040815,60.0,1.5
202201040835,0.0,0.0
202201040855,0.0,0.0
202201040915,0.0,0.0
202201040935,0.0,0.0
202201040955,30.0,1.5
202201041015,80.0,2.1
202201041035,50.0,1.5
202201041055,80.0,1.5
202201041115,60.0,1.5
202201041135,0.0,0.0
202201041155,80.0,1.5
202201041215,60.0,2.1
202201041235,70.0,1.5
202201041255,50.0,2.6
202201041315,0.0,0.0
202201041335,0.0,0.0
202201041355,0.0,0.0
202201041415,0.0,0.0
202201041435,130.0,1.5
202201041455,120.0,3.1
202201041515,130.0,3.6
202201041535,120.0,3.1
202201041555,130.0,2.6
202201041615,130.0,2.1
202201041635,140.0,2.1
202201041655,150.0,3.6
202201041715,150.0,1.5
202201041735,140.0,3.1
202201041755,130.0,2.1
202201041815,130.0,1.5
202201041835,0.0,0.0
202201041855,0.0,0.0
202201041915,0.0,0.0
202201041935,130.0,2.1
202201041955,140.0,3.1
202201042015,140.0,3.1
202201042035,130.0,3.6
202201042055,130.0,3.1
202201042115,120.0,3.1
202201042135,130.0,3.6
202201042155,130.0,4.1
202201042215,130.0,4.1
202201042235,130.0,5.7
202201042255,130.0,3.1
202201042315,110.0,2.1
202201042335,0.0,0.0
202201042355,0.0,0.0
202201050015,140.0,1.5
202201050035,150.0,2.6
202201050055,160.0,2.6
202201050115,160.0,1.5
202201050135,160.0,2.6
202201050155,170.0,3.6
202201050215,150.0,4.1
202201050235,150.0,3.6
202201050255,160.0,1.5
202201050315,150.0,2.6
202201050335,170.0,1.5
202201050355,160.0,2.1
202201050415,160.0,3.1
202201050435,150.0,1.5
202201050515,180.0,3.1
202201050535,160.0,1.5
202201050555,170.0,3.1
202201050615,160.0,3.6
202201050635,160.0,3.1
202201050655,180.0,3.1
202201050715,180.0,3.6
202201050755,180.0,4.1
202201050815,170.0,4.6
202201050835,170.0,3.6
202201050855,170.0,2.6
202201050915,170.0,3.6
202201050935,180.0,1.5
202201050955,190.0,1.5
202201051015,250.0,2.6
202201051035,230.0,4.1
202201051055,210.0,4.6
202201051115,240.0,6.2
202201051135,230.0,5.1
202201051155,270.0,2.6
202201051215,280.0,2.6
202201051235,240.0,2.6
202201051255,290.0,3.1
202201051315,240.0,1.5
202201051335,220.0,3.1
202201051355,240.0,2.1
202201051415,210.0,2.6
202201051435,250.0,4.1
202201051455,260.0,2.1
202201051515,220.0,2.6
202201051535,220.0,7.2
202201051555,240.0,5.7
202201051615,240.0,5.1
202201051635,240.0,4.1
202201051655,0.0,0.0
202201051715,230.0,2.1
202201051735,210.0,4.1
202201051755,210.0,6.2
202201051815,210.0,5.7
202201051835,230.0,5.1
202201051855,250.0,5.7
202201051915,240.0,6.2
202201051935,230.0,5.1
202201051955,240.0,7.7
202201052015,230.0,5.7
202201052035,250.0,5.7
202201052055,250.0,4.6
202201052115,240.0,6.2
202201052135,230.0,5.7
202201052155,240.0,6.7
202201052215,250.0,5.1
202201052235,240.0,4.6
202201052255,210.0,2.1
202201052315,240.0,3.6
202201052335,230.0,5.7
202201052355,240.0,6.2
202201060015,250.0,8.2
202201060035,250.0,4.6
202201060115,250.0,5.7
202201060135,240.0,5.1
202201060155,250.0,4.1
202201060215,240.0,4.6
202201060235,240.0,5.7
202201060255,240.0,4.1
202201060315,240.0,3.1
202201060335,240.0,4.1
202201060355,250.0,4.1
202201060415,250.0,5.1
202201060435,250.0,5.1
202201060455,250.0,5.1
202201060515,250.0,4.6
202201060535,250.0,5.7
202201060555,250.0,5.1
202201060615,250.0,4.6
202201060635,240.0,3.1
202201060655,240.0,3.1
202201060715,250.0,2.6
202201060755,270.0,4.1
202201060815,260.0,4.1
202201060835,240.0,3.6
202201060855,260.0,4.1
202201060915,260.0,3.6
202201060935,260.0,3.6
202201060955,270.0,3.6
202201061015,280.0,2.6
202201061035,280.0,3.1
202201061055,310.0,2.1
202201061115,310.0,2.6
202201061135,0.0,0.0
202201061155,320.0,1.5
202201061215,310.0,2.1
202201061235,0.0,0.0
202201061255,0.0,0.0
202201061315,0.0,0.0
202201061335,0.0,0.0
202201061355,0.0,0.0
202201061415,0.0,0.0
202201061435,0.0,0.0
202201061455,0.0,0.0
202201061515,0.0,0.0
202201061535,0.0,0.0
202201061555,0.0,0.0
202201061615,0.0,0.0
202201061635,0.0,0.0
202201061655,0.0,0.0
202201061715,0.0,0.0
202201061815,0.0,0.0
202201061835,0.0,0.0
202201061855,0.0,0.0
202201061915,0.0,0.0
202201061935,0.0,0.0
202201061955,0.0,0.0
202201062015,0.0,0.0
202201062035,10.0,1.5
202201062155,60.0,2.6
202201062255,330.0,2.1
202201062315,340.0,2.6
202201062335,330.0,2.6
202201062355,330.0,2.1
202201070055,0.0,0.0
202201070115,320.0,3.1
202201070135,310.0,5.1
202201070155,310.0,5.1
202201070215,320.0,5.1
202201070235,330.0,2.6
202201070255,320.0,1.5
202201070315,300.0,2.6
202201070335,290.0,3.6
202201070355,300.0,3.1
202201070415,310.0,4.6
202201070435,320.0,5.1
202201070455,320.0,4.1
202201070515,320.0,3.1
202201070535,320.0,3.6
202201070555,320.0,4.1
202201070615,320.0,4.1
202201070635,320.0,5.1
202201070655,320.0,2.6
202201070715,310.0,3.6
202201070735,330.0,3.6
202201070755,320.0,3.6
202201070815,310.0,4.1
202201070835,310.0,2.6
202201070855,320.0,3.6
202201070915,310.0,3.1
202201070935,310.0,3.1
202201070955,320.0,3.6
202201071015,310.0,4.1
202201071035,300.0,2.6
202201071055,290.0,3.1
202201071115,300.0,3.1
202201071155,300.0,4.1
202201071215,310.0,3.1
202201071235,310.0,2.1
202201071255,300.0,2.6
202201071315,310.0,4.1
202201071335,310.0,2.6
202201071355,330.0,1.5
202201071415,290.0,2.6
202201071435,300.0,2.6
202201071515,280.0,2.6
202201071535,290.0,2.6
202201071555,270.0,2.1
202201071635,270.0,2.1
202201071715,290.0,2.6
202201071735,260.0,3.6
202201071815,310.0,2.1
202201071835,270.0,2.6
202201071855,290.0,3.6
202201071915,250.0,2.6
202201071935,270.0,3.1
202201071955,240.0,2.6
202201072015,240.0,2.1
202201072035,260.0,3.1
202201072055,260.0,2.6
202201072115,250.0,2.1
202201072135,270.0,2.6
202201072155,280.0,2.1
202201072215,300.0,1.5
202201072235,330.0,2.1
202201072255,310.0,2.6
202201072315,320.0,1.5
202201072335,330.0,3.1
202201072355,310.0,1.5
202201080015,,1.5
202201080035,0.0,0.0
202201080055,0.0,0.0
202201080115,10.0,1.5
202201080135,,2.1
202201080155,0.0,0.0
202201080235,80.0,1.5
202201080255,0.0,0.0
202201080315,0.0,0.0
202201080335,60.0,2.1
202201080355,20.0,2.1
202201080415,0.0,0.0
202201080435,0.0,0.0
202201080455,0.0,0.0
202201080515,0.0,0.0
202201080535,140.0,1.5
202201080555,0.0,0.0
202201080615,0.0,0.0
202201080635,0.0,0.0
202201080655,0.0,0.0
202201080715,0.0,0.0
202201080735,50.0,1.5
202201080755,0.0,0.0
202201080815,140.0,1.5
202201080835,10.0,1.5
202201080855,0.0,0.0
202201080915,40.0,2.6
202201080935,60.0,2.6
202201080955,30.0,2.1
202201081015,30.0,2.1
202201081035,70.0,2.6
202201081055,0.0,0.0
202201081115,50.0,2.1
202201081135,0.0,0.0
202201081155,50.0,3.1
202201081215,80.0,2.1
202201081235,30.0,1.5
202201081255,70.0,2.6
202201081315,0.0,0.0
202201081335,0.0,0.0
202201081355,0.0,0.0
202201081415,70.0,1.5
202201081435,0.0,0.0
202201081455,0.0,0.0
202201081535,0.0,0.0
202201081555,0.0,0.0
202201081615,0.0,0.0
202201081635,0.0,0.0
202201081655,0.0,0.0
202201081715,0.0,0.0
202201081735,0.0,0.0
202201081755,0.0,0.0
202201081815,130.0,1.5
