timestamp string,wind direction,wind speed
202201010015,240.0,8.2
202201010035,240.0,7.7
202201010055,240.0,7.2
202201010135,230.0,6.7
202201010235,230.0,6.2
202201010255,230.0,8.2
202201010315,230.0,6.7
202201010335,240.0,8.7
202201010355,230.0,8.7
202201010415,230.0,8.2
202201010435,240.0,9.8
202201010455,230.0,8.7
202201010515,240.0,8.2
202201010535,230.0,7.7
202201010555,230.0,7.2
202201010635,230.0,5.1
202201010655,230.0,5.1
202201010715,250.0,5.7
202201010735,210.0,4.1
202201010755,200.0,2.1
202201010815,230.0,1.5
202201010835,210.0,3.6
202201010855,220.0,3.1
202201010915,230.0,4.6
202201010935,240.0,6.2
202201010955,230.0,7.2
202201011015,230.0,8.2
202201011035,220.0,10.3
202201011055,230.0,9.8
202201011115,220.0,9.3
202201011135,230.0,7.2
202201011155,230.0,10.8
202201011215,230.0,9.8
202201011235,220.0,8.7
202201011255,230.0,10.3
202201011315,230.0,6.2
202201011335,230.0,10.3
202201011355,230.0,8.7
202201011415,220.0,8.2
202201011435,230.0,7.2
202201011455,230.0,8.2
202201011515,220.0,6.7
202201011535,230.0,7.2
202201011555,230.0,10.8
202201011615,220.0,10.3
202201011635,220.0,12.9
202201011655,230.0,8.2
202201011715,230.0,8.7
202201011755,220.0,13.4
202201011815,220.0,7.7
202201011835,200.0,11.8
202201011855,220.0,7.2
202201011935,230.0,7.7
202201011955,220.0,9.3
202201012015,220.0,10.3
202201012035,210.0,9.3
202201012055,220.0,12.9
202201012115,210.0,9.8
202201012135,210.0,10.8
202201012155,220.0,10.3
202201012235,230.0,11.3
202201012255,220.0,9.3
202201012315,220.0,11.3
202201012335,230.0,10.8
202201012355,240.0,8.7
202201020015,210.0,5.1
202201020035,290.0,5.1
202201020055,290.0,4.1
202201020115,300.0,2.6
202201020135,290.0,2.6
202201020155,340.0,2.6
202201020215,330.0,2.6
202201020235,310.0,2.6
202201020255,0.0,0.0
202201020315,,1.5
202201020335,10.0,1.5
202201020355,40.0,3.1
202201020415,30.0,4.6
202201020435,350.0,5.7
202201020455,350.0,4.1
202201020515,10.0,3.1
202201020535,10.0,3.6
202201020555,350.0,4.6
202201020615,40.0,4.1
202201020635,160.0,1.5
202201020655,100.0,2.6
202201020715,140.0,3.1
202201020735,0.0,0.0
202201020755,140.0,3.1
202201020815,160.0,4.1
202201020835,170.0,2.1
202201020855,230.0,2.6
202201020915,160.0,1.5
202201020935,250.0,2.1
202201020955,230.0,1.5
202201021015,210.0,2.6
202201021035,250.0,2.1
202201021055,250.0,2.6
202201021115,270.0,2.1
202201021135,250.0,2.6
202201021155,260.0,2.1
202201021215,250.0,2.1
202201021235,240.0,3.1
202201021315,250.0,1.5
202201021335,0.0,0.0
202201021355,240.0,1.5
202201021415,240.0,2.1
202201021435,220.0,2.1
202201021455,210.0,2.6
202201021515,230.0,2.6
202201021535,240.0,3.6
202201021555,230.0,4.1
202201021615,230.0,4.6
202201021635,240.0,4.1
202201021655,230.0,4.1
202201021715,220.0,4.1
202201021735,230.0,4.6
202201021755,230.0,4.1
202201021815,230.0,3.6
202201021835,230.0,3.1
202201021855,240.0,4.1
202201021915,240.0,5.7
202201021935,240.0,4.6
202201021955,330.0,2.6
202201022015,310.0,4.1
202201022035,300.0,2.6
202201022055,340.0,6.2
202201022115,310.0,4.1
202201022135,340.0,3.6
202201022155,340.0,1.5
202201022215,310.0,3.1
202201022235,0.0,0.0
202201022255,0.0,0.0
202201022315,340.0,1.5
202201022335,350.0,3.6
202201022355,,1.5
202201030035,,2.6
202201030055,,3.1
202201030115,330.0,2.1
202201030135,340.0,4.1
202201030155,,3.1
202201030235,350.0,3.1
202201030255,,3.6
202201030315,10.0,3.1
202201030335,,4.1
202201030355,10.0,4.1
202201030415,,4.1
202201030435,10.0,4.1
202201030455,20.0,5.7
202201030515,350.0,5.7
202201030535,,5.1
202201030555,350.0,6.2
202201030615,10.0,5.7
202201030635,10.0,4.6
202201030655,,5.7
202201030715,10.0,6.7
202201030735,,6.2
202201030755,,6.2
202201030815,350.0,6.7
202201030835,,6.7
202201030855,340.0,7.7
202201030915,340.0,7.7
202201030935,340.0,6.2
202201030955,340.0,5.7
202201031015,350.0,7.2
202201031035,340.0,4.6
202201031055,350.0,8.2
202201031115,350.0,5.7
202201031135,340.0,4.1
202201031155,340.0,4.6
202201031215,340.0,7.2
202201031235,330.0,7.7
202201031315,330.0,4.6
202201031335,350.0,5.1
202201031355,340.0,6.2
202201031415,340.0,5.7
202201031435,350.0,3.6
202201031455,330.0,5.1
202201031515,330.0,4.6
202201031535,330.0,5.1
202201031555,340.0,3.6
202201031615,330.0,2.6
202201031635,330.0,3.6
202201031655,330.0,3.1
202201031715,310.0,3.6
202201031735,340.0,3.1
202201031755,340.0,3.6
202201031815,350.0,3.6
202201031835,300.0,3.1
202201031855,300.0,3.1
202201031915,330.0,2.6
202201031935,310.0,2.6
