timestamp string,wind direction,wind speed
202201010000,180.0,4.1
202201010005,170.0,4.6
202201010010,170.0,4.6
202201010013,180.0,4.1
202201010015,180.0,4.1
202201010020,180.0,4.1
202201010025,170.0,4.6
202201010030,170.0,4.1
202201010035,170.0,4.6
202201010040,180.0,4.1
202201010045,180.0,3.1
202201010050,180.0,3.6
202201010053,190.0,3.1
202201010055,200.0,2.6
202201010100,230.0,2.1
202201010105,210.0,3.1
202201010110,210.0,3.1
202201010115,210.0,4.1
202201010120,220.0,5.1
202201010122,210.0,4.1
202201010125,220.0,5.7
202201010130,210.0,6.2
202201010135,230.0,5.1
202201010145,210.0,6.2
202201010150,200.0,5.7
202201010153,200.0,5.7
202201010155,200.0,6.2
202201010200,200.0,4.6
202201010205,210.0,5.7
202201010210,200.0,5.1
202201010215,200.0,5.7
202201010220,200.0,5.1
202201010225,190.0,4.6
202201010230,200.0,5.7
202201010235,200.0,4.6
202201010240,200.0,5.1
202201010245,200.0,5.1
202201010250,210.0,6.2
202201010253,210.0,7.2
202201010255,200.0,7.2
202201010300,200.0,6.2
202201010310,190.0,6.7
202201010315,200.0,5.1
202201010320,210.0,5.1
202201010325,200.0,5.7
202201010330,210.0,4.1
202201010335,210.0,4.6
202201010340,210.0,4.6
202201010345,210.0,4.6
202201010350,200.0,4.1
202201010353,200.0,4.1
202201010355,200.0,4.1
202201010401,190.0,6.2
202201010405,210.0,5.7
202201010410,200.0,5.1
202201010413,210.0,5.1
202201010415,210.0,6.2
202201010420,260.0,4.6
202201010423,260.0,7.2
202201010425,250.0,6.7
202201010430,240.0,6.2
202201010431,240.0,5.7
202201010435,220.0,5.7
202201010440,210.0,5.1
202201010445,220.0,5.1
202201010450,210.0,4.6
202201010453,200.0,4.6
202201010455,210.0,4.6
202201010500,210.0,4.1
202201010505,210.0,5.1
202201010510,200.0,4.1
202201010515,210.0,4.1
202201010520,220.0,3.6
202201010525,220.0,3.1
202201010530,220.0,3.6
202201010535,230.0,3.1
202201010540,230.0,2.6
202201010545,230.0,3.1
202201010550,230.0,3.1
202201010553,240.0,3.1
202201010555,240.0,3.1
202201010600,230.0,4.1
202201010605,230.0,3.1
202201010610,230.0,3.1
202201010615,220.0,2.6
202201010620,210.0,3.6
202201010625,220.0,3.1
202201010630,210.0,3.1
202201010635,210.0,3.1
202201010640,200.0,3.1
202201010645,210.0,2.6
202201010650,210.0,2.1
202201010653,230.0,1.5
202201010655,240.0,1.5
202201010700,240.0,1.5
202201010705,0.0,0.0
202201010710,200.0,1.5
202201010715,200.0,1.5
202201010720,210.0,1.5
202201010725,0.0,0.0
202201010730,0.0,0.0
202201010735,0.0,0.0
202201010740,0.0,0.0
202201010745,220.0,1.5
202201010750,230.0,2.1
202201010753,220.0,1.5
202201010755,250.0,1.5
202201010800,250.0,1.5
202201010805,240.0,1.5
202201010810,230.0,1.5
202201010815,230.0,2.1
202201010820,200.0,1.5
202201010825,200.0,2.1
202201010830,200.0,2.6
202201010835,170.0,1.5
202201010840,180.0,2.1
202201010845,180.0,2.6
202201010850,180.0,1.5
202201010853,160.0,1.5
202201010855,170.0,2.6
202201010900,180.0,2.6
202201010905,180.0,2.6
202201010910,180.0,2.6
202201010915,180.0,2.6
202201010920,180.0,3.1
202201010923,190.0,3.6
202201010925,190.0,3.6
202201010930,160.0,2.6
202201010931,160.0,3.1
202201010935,170.0,3.6
202201010940,180.0,3.6
202201010945,180.0,3.6
202201010946,180.0,3.1
202201010950,190.0,2.1
202201010953,200.0,2.1
202201010955,210.0,2.1
202201011000,230.0,2.1
202201011005,220.0,1.5
202201011006,220.0,2.1
202201011010,0.0,0.0
202201011014,190.0,1.5
202201011020,0.0,0.0
202201011025,0.0,0.0
202201011030,0.0,0.0
202201011035,0.0,0.0
202201011040,0.0,0.0
202201011045,0.0,0.0
202201011050,0.0,0.0
202201011051,250.0,1.5
202201011055,0.0,0.0
202201011100,0.0,0.0
202201011105,220.0,3.6
202201011110,240.0,2.1
202201011111,,1.5
202201011115,0.0,0.0
202201011120,0.0,0.0
202201011125,0.0,0.0
