timestamp string,wind direction,wind speed
202201030615,350.0,6.7
202201030620,350.0,6.2
202201030625,,4.6
202201030630,340.0,7.2
202201030635,350.0,6.2
202201030640,350.0,6.2
202201030645,,5.7
202201030650,340.0,5.1
202201030653,340.0,5.1
202201030655,340.0,5.7
202201030700,350.0,6.2
202201030705,340.0,5.1
202201030710,340.0,5.7
202201030715,350.0,5.1
202201030720,,4.6
202201030725,330.0,4.6
202201030735,340.0,5.1
202201030740,340.0,5.1
202201030745,350.0,4.6
202201030750,340.0,5.7
202201030753,340.0,5.1
202201030755,340.0,5.7
202201030800,330.0,6.7
202201030805,330.0,5.7
202201030810,330.0,6.7
202201030815,330.0,6.2
202201030820,330.0,6.2
202201030825,330.0,5.1
202201030830,330.0,5.7
202201030835,330.0,5.7
202201030840,330.0,6.2
202201030845,330.0,6.2
202201030850,330.0,6.7
202201030855,340.0,6.7
202201030900,340.0,5.7
202201030905,340.0,5.7
202201030910,320.0,5.7
202201030915,320.0,6.2
202201030920,310.0,5.7
202201030923,320.0,5.1
202201030925,330.0,5.1
202201030930,330.0,6.2
202201030935,320.0,5.7
202201030936,330.0,6.2
202201030940,330.0,6.2
202201030945,330.0,5.7
202201030950,330.0,6.2
202201030955,340.0,5.1
202201031000,330.0,5.1
202201031005,330.0,6.7
202201031010,330.0,4.6
202201031015,330.0,4.6
202201031020,330.0,6.2
202201031025,330.0,5.1
202201031030,330.0,5.1
202201031035,330.0,5.7
202201031045,330.0,5.1
202201031050,320.0,5.7
202201031053,340.0,5.1
202201031055,330.0,4.6
202201031100,320.0,5.7
202201031105,330.0,5.1
202201031110,340.0,5.1
202201031115,320.0,5.1
202201031117,320.0,5.7
202201031120,340.0,4.1
202201031125,330.0,5.1
202201031130,320.0,5.7
202201031135,320.0,5.1
202201031136,330.0,5.1
202201031140,330.0,5.7
202201031145,340.0,4.6
202201031150,340.0,4.6
202201031153,340.0,4.6
202201031155,340.0,4.1
202201031200,330.0,4.6
202201031205,330.0,3.6
202201031210,310.0,5.1
202201031215,320.0,5.7
202201031220,340.0,5.7
202201031223,340.0,5.1
202201031225,320.0,5.1
202201031230,320.0,5.7
202201031235,320.0,5.1
202201031240,310.0,6.2
202201031245,310.0,6.2
202201031250,310.0,5.7
202201031253,310.0,5.7
202201031255,320.0,5.7
202201031300,320.0,5.1
202201031305,320.0,4.6
202201031308,340.0,5.1
202201031310,330.0,4.6
202201031315,340.0,5.7
202201031320,330.0,4.1
202201031325,330.0,3.6
202201031330,320.0,4.6
202201031335,340.0,4.1
202201031615,290.0,3.1
202201031620,290.0,3.1
202201031625,300.0,2.6
202201031630,310.0,3.1
202201031635,330.0,1.5
202201031640,290.0,2.1
202201031645,300.0,2.1
202201031650,340.0,1.5
202201031653,,2.1
202201031655,320.0,2.1
202201031700,0.0,0.0
202201031705,0.0,0.0
202201031708,0.0,0.0
202201031710,0.0,0.0
202201031715,0.0,0.0
202201031720,40.0,2.1
202201031725,110.0,1.5
202201031730,0.0,0.0
202201031735,,1.5
202201031740,310.0,1.5
202201031745,350.0,2.1
202201031750,0.0,0.0
202201031753,0.0,0.0
202201031755,0.0,0.0
202201031800,0.0,0.0
202201031805,0.0,0.0
202201031810,0.0,0.0
202201031815,0.0,0.0
202201031820,310.0,1.5
202201031823,,1.5
202201031825,0.0,0.0
202201031830,210.0,2.1
202201031835,210.0,1.5
202201031840,250.0,1.5
202201031844,,1.5
202201031850,150.0,1.5
202201031853,0.0,0.0
202201031855,210.0,1.5
202201031900,190.0,2.1
202201031905,0.0,0.0
202201031910,230.0,2.6
202201031912,200.0,2.6
202201031915,0.0,0.0
202201031920,230.0,3.1
202201031930,170.0,2.1
202201031935,150.0,2.1
202201031940,0.0,0.0
202201031945,20.0,1.5
202201031950,220.0,1.5
202201031953,220.0,1.5
202201031955,160.0,2.1
202201032000,0.0,0.0
202201032005,130.0,2.1
202201032010,200.0,3.1
202201032015,200.0,3.1
202201032020,190.0,2.6
202201032025,180.0,2.6
202201032030,170.0,2.6
202201032031,170.0,3.1
202201032035,170.0,2.6
202201032040,170.0,2.6
202201032045,160.0,2.1
202201032050,230.0,2.1
202201032053,250.0,2.6
202201032055,260.0,3.1
202201032100,260.0,2.6
202201032105,260.0,2.1
202201032110,250.0,1.5
202201032115,200.0,3.1
202201032120,190.0,3.1
202201032125,200.0,3.1
202201032130,210.0,3.1
202201032135,230.0,2.1
202201032140,220.0,3.1
202201032145,210.0,3.6
202201032150,220.0,2.6
202201032153,240.0,2.1
202201032155,240.0,2.1
202201032200,220.0,4.1
202201032205,210.0,3.1
202201032210,200.0,3.1
202201032215,210.0,3.1
202201032220,230.0,3.1
202201032225,220.0,3.6
202201032230,220.0,3.1
202201032235,220.0,2.6
202201032240,220.0,2.6
202201032245,210.0,2.6
202201032250,210.0,2.1
202201032253,200.0,2.1
202201032255,200.0,2.1
202201032300,210.0,2.1
202201032305,220.0,2.1
202201032310,220.0,2.6
202201032315,220.0,2.6
202201032320,210.0,2.6
202201032325,200.0,2.1
202201032330,200.0,2.1
202201032335,200.0,2.1
202201032340,200.0,2.1
202201032345,190.0,2.1
202201032350,200.0,2.1
202201032353,200.0,2.1
202201032355,200.0,2.1
202201040000,200.0,2.6
202201040005,200.0,2.1
202201040010,200.0,2.1
202201040015,200.0,2.1
202201040020,190.0,2.1
202201040025,200.0,2.6
202201040030,200.0,2.6
202201040035,200.0,2.6
202201040040,200.0,2.6
202201040045,200.0,2.6
202201040050,200.0,2.6
202201040053,200.0,2.6
202201040055,200.0,2.6
202201040105,190.0,3.1
202201040110,180.0,3.1
202201040115,180.0,3.1
202201040120,180.0,3.1
202201040125,190.0,3.6
202201040130,190.0,3.6
202201040135,200.0,3.1
202201040140,200.0,3.1
202201040145,200.0,3.1
202201040150,200.0,3.6
202201040153,200.0,3.6
202201040155,200.0,3.6
202201040200,200.0,3.6
202201040205,200.0,3.6
202201040210,200.0,3.6
202201040215,200.0,3.6
202201040220,200.0,3.6
202201040225,200.0,3.6
202201040230,190.0,3.6
202201040235,190.0,3.6
202201040240,190.0,3.1
202201040245,190.0,3.1
202201040250,190.0,3.1
202201040253,190.0,3.1
202201040255,190.0,3.1
202201040300,190.0,2.6
202201040305,190.0,2.6
202201040310,190.0,2.6
202201040315,190.0,2.6
202201040320,190.0,2.6
202201040325,180.0,2.6
202201040330,180.0,2.1
202201040335,170.0,2.1
202201040340,170.0,2.6
202201040345,170.0,2.6
202201040350,170.0,2.6
202201040353,180.0,2.6
202201040355,180.0,2.6
202201040400,170.0,2.6
202201040405,170.0,2.6
202201040410,180.0,2.6
202201040415,180.0,2.6
202201040420,180.0,2.6
202201040425,180.0,2.6
202201040430,170.0,3.1
202201040435,170.0,3.1
202201040440,170.0,3.1
202201040445,170.0,3.1
202201040450,170.0,3.1
202201040453,170.0,3.1
202201040455,170.0,3.1
202201040500,170.0,3.1
202201040505,170.0,3.1
202201040510,170.0,3.1
202201040515,170.0,3.6
202201040520,170.0,3.1
202201040530,180.0,2.6
202201040535,180.0,2.6
202201040540,180.0,2.6
202201040545,180.0,2.1
202201040553,190.0,2.1
202201040555,190.0,2.1
202201040600,190.0,2.1
202201040605,190.0,2.1
202201040610,180.0,2.6
202201040615,190.0,2.6
202201040620,180.0,2.1
202201040625,180.0,2.6
202201040630,180.0,2.6
202201040635,170.0,2.6
202201040640,170.0,2.6
202201040645,160.0,3.1
202201040650,160.0,3.1
202201040653,170.0,3.6
202201040655,170.0,3.1
202201040700,170.0,3.1
202201040705,170.0,4.1
202201040710,170.0,4.6
202201040715,170.0,4.6
202201040720,170.0,4.6
202201040725,170.0,4.6
202201040730,170.0,4.6
202201040735,170.0,4.1
202201040740,170.0,4.1
202201040745,170.0,4.1
202201040750,170.0,4.1
202201040753,170.0,4.6
202201040755,170.0,4.1
202201040800,170.0,4.1
202201040805,170.0,4.1
202201040810,170.0,4.1
202201040815,170.0,4.1
202201040820,170.0,4.1
202201040825,170.0,4.1
202201040830,170.0,4.1
202201040835,170.0,4.6
202201040840,160.0,4.1
202201040845,160.0,4.1
202201040850,160.0,4.1
202201040853,160.0,3.6
202201040855,160.0,3.6
202201040900,160.0,4.1
202201040905,160.0,4.1
202201040915,160.0,4.1
202201040920,170.0,4.1
202201040925,170.0,3.1
202201040930,170.0,3.6
202201040935,160.0,3.1
202201040940,160.0,3.1
202201040945,160.0,3.6
202201040950,160.0,3.6
202201040953,160.0,3.6
202201040955,160.0,3.1
202201041000,160.0,3.6
202201041005,160.0,3.6
202201041010,160.0,4.1
202201041015,160.0,3.6
202201041020,170.0,3.6
202201041025,170.0,3.6
202201041030,170.0,3.6
202201041035,160.0,3.1
202201041040,170.0,3.1
202201041045,170.0,3.6
202201041050,170.0,3.6
202201041053,170.0,3.6
202201041055,170.0,3.6
202201041100,170.0,3.6
202201041105,160.0,3.6
202201041110,160.0,3.6
202201041115,160.0,3.6
202201041120,160.0,3.6
202201041125,160.0,3.6
202201041130,150.0,3.6
202201041135,150.0,3.6
202201041140,160.0,3.1
202201041145,160.0,3.1
202201041150,160.0,3.6
202201041155,160.0,3.6
202201041200,160.0,3.1
202201041205,170.0,2.6
202201041210,170.0,3.1
202201041215,160.0,3.1
202201041220,170.0,2.6
202201041225,170.0,2.6
202201041235,170.0,3.1
202201041240,170.0,3.6
202201041245,170.0,3.6
202201041250,160.0,3.6
202201041253,160.0,3.6
202201041255,160.0,3.6
202201041300,170.0,3.1
