timestamp string,wind direction,wind speed
202201010051,0.0,0.0
202201010056,0.0,0.0
202201010141,0.0,0.0
202201010156,0.0,0.0
202201010226,0.0,0.0
202201010241,0.0,0.0
202201010256,0.0,0.0
202201010311,0.0,0.0
202201010336,0.0,0.0
202201010351,180.0,1.5
202201010356,180.0,1.5
202201010456,180.0,1.5
202201010526,190.0,1.5
202201010541,200.0,2.6
202201010556,200.0,3.6
202201010618,210.0,4.1
202201010656,210.0,4.6
202201010756,240.0,3.6
202201010856,230.0,4.1
202201010956,220.0,3.6
202201011056,220.0,3.6
202201011156,210.0,3.6
202201011256,220.0,3.6
202201011356,210.0,4.1
202201011456,210.0,3.1
202201011556,220.0,6.2
202201011656,210.0,5.1
202201011756,210.0,6.2
202201011856,210.0,6.7
202201011956,230.0,5.1
202201012056,220.0,3.6
202201012139,200.0,5.7
202201012148,190.0,3.6
202201012156,220.0,4.1
202201012218,190.0,3.1
202201012227,200.0,2.6
202201012256,190.0,3.6
202201012356,200.0,5.7
202201020056,200.0,5.7
202201020156,210.0,5.7
202201020256,210.0,6.2
202201020356,200.0,6.2
202201020456,200.0,5.1
202201020556,220.0,5.7
202201020656,220.0,6.7
202201020740,220.0,7.2
202201020742,220.0,6.7
202201020811,240.0,4.6
202201020827,210.0,6.7
202201020856,210.0,4.6
202201020936,300.0,10.8
202201020938,280.0,12.3
202201020953,290.0,8.2
202201020956,290.0,8.7
202201021026,270.0,3.1
202201021041,230.0,1.5
202201021042,230.0,2.1
202201021056,260.0,2.1
202201021156,240.0,2.6
202201021242,0.0,0.0
202201021249,180.0,1.0
202201021256,0.0,0.0
202201021307,190.0,2.1
202201021356,180.0,2.6
202201021437,210.0,2.6
202201021449,210.0,1.5
202201021456,230.0,1.5
202201021556,230.0,1.5
202201021652,210.0,2.1
202201021656,200.0,1.5
202201021756,170.0,3.6
202201021849,,2.6
202201021910,260.0,2.1
202201021949,220.0,3.1
202201021956,230.0,1.5
202201022056,0.0,0.0
202201022156,0.0,0.0
202201022256,0.0,0.0
202201022356,0.0,0.0
202201030056,100.0,1.5
202201030156,140.0,2.6
202201030256,140.0,2.6
202201030306,320.0,1.0
202201030312,270.0,3.1
202201030328,290.0,6.7
202201030356,300.0,8.7
202201030426,300.0,8.7
202201030441,310.0,9.3
202201030456,310.0,7.7
202201030511,320.0,6.7
202201030536,300.0,7.7
202201030556,300.0,8.2
202201030656,290.0,13.4
202201030711,290.0,12.9
202201030756,280.0,12.9
202201030826,290.0,10.8
202201030841,290.0,9.8
202201030845,280.0,11.8
202201030856,280.0,9.8
202201030956,300.0,10.3
202201031021,300.0,8.7
202201031023,310.0,7.2
202201031025,300.0,6.2
202201031055,300.0,8.2
202201031056,300.0,8.2
202201031111,310.0,7.2
202201031126,300.0,8.2
202201031147,310.0,7.7
202201031156,310.0,7.7
202201031243,300.0,6.2
202201031350,310.0,10.8
202201031356,320.0,8.7
202201031404,320.0,8.2
202201031456,330.0,7.7
202201031556,320.0,7.2
202201031648,310.0,9.3
202201031656,310.0,6.7
202201031756,310.0,8.2
202201031856,320.0,5.7
202201031956,300.0,6.2
202201032037,320.0,6.2
202201032056,320.0,7.2
202201032156,320.0,4.6
202201032256,320.0,4.1
202201032356,330.0,3.6
202201040056,330.0,5.1
202201040156,320.0,2.6
202201040256,310.0,2.1
202201040356,300.0,2.1
202201040456,300.0,3.6
202201040556,300.0,2.6
202201040656,290.0,2.1
202201040756,290.0,2.6
202201040856,0.0,0.0
202201040956,0.0,0.0
202201041056,0.0,0.0
202201041156,80.0,1.0
202201041256,0.0,0.0
202201041356,100.0,3.6
202201041456,120.0,4.1
202201041556,140.0,5.1
202201041656,120.0,6.2
202201041756,120.0,6.2
202201041856,110.0,5.7
202201041956,110.0,4.1
202201042056,110.0,5.7
202201042156,140.0,4.6
202201042256,120.0,5.1
202201042356,100.0,4.1
202201050056,100.0,3.6
202201050156,110.0,5.7
202201050256,100.0,5.1
202201050356,100.0,4.1
202201050441,100.0,3.1
202201050456,110.0,3.6
202201050556,100.0,2.1
202201050626,90.0,1.5
202201050656,100.0,3.1
202201050711,80.0,1.5
202201050726,90.0,2.6
202201050741,100.0,3.6
202201050756,120.0,3.6
202201050841,90.0,2.1
202201050856,100.0,2.1
202201050956,0.0,0.0
202201051026,110.0,2.1
202201051056,110.0,1.5
202201051156,100.0,2.1
202201051248,0.0,0.0
202201051256,130.0,1.0
202201051356,0.0,0.0
202201051413,210.0,2.1
202201051456,240.0,3.1
202201051541,280.0,3.1
202201051558,270.0,3.6
202201051636,280.0,3.1
202201051651,260.0,3.6
202201051656,240.0,2.6
202201051756,290.0,4.1
202201051856,260.0,3.6
202201051925,280.0,2.6
202201051956,270.0,4.1
202201052056,270.0,4.6
202201052156,300.0,4.6
202201052356,0.0,0.0
202201060056,300.0,1.0
202201060156,280.0,1.0
202201060256,270.0,1.0
202201060356,0.0,0.0
202201060456,300.0,1.5
202201060556,280.0,2.1
202201060656,0.0,0.0
202201060756,290.0,3.1
202201060856,0.0,0.0
202201060956,0.0,0.0
202201061011,0.0,0.0
202201061026,0.0,0.0
202201061041,0.0,0.0
202201061056,0.0,0.0
202201061156,120.0,1.5
202201061256,260.0,1.0
202201061356,300.0,1.5
202201061456,140.0,1.0
202201061556,160.0,2.1
202201061656,120.0,3.6
202201061756,170.0,4.6
202201061856,160.0,5.7
202201061933,210.0,2.1
202201061950,190.0,2.1
202201061956,190.0,3.6
202201062019,220.0,2.6
202201062046,250.0,3.1
202201062056,270.0,4.1
202201062122,280.0,3.6
202201062141,310.0,3.6
202201062145,310.0,4.6
202201062153,320.0,3.6
202201062156,320.0,2.6
202201062219,290.0,3.6
202201062245,290.0,8.2
202201062256,290.0,7.7
202201062320,270.0,7.7
202201062351,290.0,5.7
202201062356,290.0,7.2
202201070044,330.0,7.2
202201070056,300.0,6.7
202201070120,290.0,7.7
202201070156,320.0,6.7
202201070233,330.0,6.7
202201070256,320.0,7.2
202201070352,300.0,7.2
202201070356,300.0,5.7
202201070456,320.0,5.1
202201070556,310.0,5.1
202201070656,320.0,5.1
202201070756,320.0,4.1
202201070856,310.0,5.7
202201070956,300.0,4.1
202201071056,330.0,4.6
202201071156,310.0,5.7
202201071256,330.0,4.6
202201071356,300.0,4.1
202201071456,290.0,4.6
202201071556,330.0,5.1
202201071656,340.0,4.1
202201071756,330.0,5.1
202201071856,290.0,4.1
202201071956,300.0,4.1
202201072056,300.0,3.6
202201072156,300.0,3.1
202201072256,300.0,2.6
202201072356,310.0,2.6
202201080056,320.0,2.6
202201080156,330.0,3.1
202201080256,310.0,1.5
202201080356,300.0,1.5
202201080556,20.0,1.5
202201080656,0.0,0.0
202201080756,0.0,0.0
202201080856,0.0,0.0
202201080956,40.0,1.5
202201081056,80.0,3.1
202201081156,80.0,2.6
202201081256,90.0,3.1
202201081356,100.0,3.1
202201081456,100.0,6.2
202201081556,80.0,3.6
202201081656,100.0,5.1
202201081756,90.0,3.6
202201081856,110.0,5.1
202201081956,120.0,6.2
202201082056,110.0,5.1
202201082156,120.0,5.7
202201082256,110.0,5.1
