timestamp string,wind direction,wind speed
202201010015,0.0,0.0
202201010035,230.0,1.5
202201010055,0.0,0.0
202201010115,0.0,0.0
202201010135,0.0,0.0
202201010155,0.0,0.0
202201010215,260.0,2.1
202201010235,0.0,0.0
202201010255,0.0,0.0
202201010315,240.0,1.5
202201010335,0.0,0.0
202201010355,,2.1
202201010415,0.0,0.0
202201010435,240.0,3.6
202201010455,,2.1
202201010515,230.0,2.1
202201010535,240.0,1.5
202201010555,,2.1
202201010615,,3.1
202201010655,,3.1
202201010715,220.0,3.6
202201010735,220.0,3.6
202201010755,,2.6
202201010815,220.0,2.6
202201010835,230.0,4.1
202201010855,220.0,4.1
202201010910,230.0,4.1
202201010935,240.0,4.1
202201010955,230.0,5.1
202201011015,230.0,4.6
202201011035,230.0,4.6
202201011055,,3.1
202201011115,,3.1
202201011135,220.0,4.1
202201011155,220.0,3.6
202201011215,230.0,3.6
202201011235,,3.1
202201011255,,3.1
202201011315,,3.1
202201011335,230.0,4.1
202201011355,200.0,4.1
202201011415,220.0,3.6
202201011435,,3.1
202201011455,210.0,4.6
202201011515,210.0,4.6
202201011535,210.0,3.6
202201011555,220.0,5.1
202201011610,,3.1
202201011635,210.0,5.7
202201011655,230.0,4.6
202201011715,220.0,6.2
202201011735,230.0,6.2
202201011755,220.0,6.7
202201011815,210.0,6.2
202201011835,230.0,8.2
202201011855,230.0,6.2
202201011915,220.0,8.7
202201011935,230.0,6.7
202201011955,220.0,7.7
202201012015,220.0,5.1
202201012035,240.0,6.7
202201012055,220.0,4.6
202201012115,230.0,7.7
202201012135,230.0,5.7
202201012155,200.0,3.6
202201012215,220.0,4.1
202201012235,,2.6
202201012255,290.0,5.1
202201012315,220.0,3.1
202201012335,,3.1
202201012355,,2.6
202201020015,210.0,5.1
202201020035,220.0,5.1
202201020055,270.0,4.6
202201020115,,3.1
202201020135,,3.1
202201020155,210.0,4.1
202201020215,200.0,6.2
202201020235,210.0,6.7
202201020315,240.0,6.2
202201020355,340.0,6.2
202201020415,0.0,0.0
202201020435,250.0,1.5
202201020455,0.0,0.0
202201020515,0.0,0.0
202201020535,0.0,0.0
202201020615,0.0,0.0
202201020635,120.0,1.5
202201020655,0.0,0.0
202201020715,,1.5
202201020735,0.0,0.0
202201020755,0.0,0.0
202201020815,0.0,0.0
202201020835,0.0,0.0
202201020855,0.0,0.0
202201020915,0.0,0.0
202201020935,0.0,0.0
202201020955,0.0,0.0
202201021015,0.0,0.0
202201021035,310.0,2.1
202201021055,0.0,0.0
202201021115,0.0,0.0
202201021135,0.0,0.0
202201021155,0.0,0.0
202201021215,0.0,0.0
202201021235,0.0,0.0
202201021315,0.0,0.0
202201021335,0.0,0.0
202201021355,260.0,1.5
202201021435,0.0,0.0
202201021455,0.0,0.0
202201021515,0.0,0.0
202201021535,0.0,0.0
202201021555,0.0,0.0
202201021635,230.0,2.1
202201021655,240.0,2.1
202201021715,0.0,0.0
202201021735,280.0,2.1
202201021755,0.0,0.0
202201021815,240.0,1.5
202201021835,0.0,0.0
202201021855,,1.5
202201021915,0.0,0.0
202201021935,,1.5
202201021955,,2.1
202201022015,340.0,6.2
202201022035,340.0,6.2
202201022055,,3.1
202201022115,,2.6
202201022135,,1.5
202201022155,0.0,0.0
202201022215,50.0,4.1
202201022255,50.0,4.6
202201022315,0.0,0.0
202201022335,350.0,4.1
202201022355,,3.6
202201030015,0.0,0.0
202201030035,,2.1
202201030055,,2.1
202201030115,,2.1
202201030155,,1.5
202201030215,,2.1
202201030235,,2.6
202201030255,,2.6
202201030315,20.0,3.6
202201030335,10.0,3.1
202201030355,,4.1
202201030415,350.0,7.2
202201030435,10.0,4.1
202201030515,340.0,6.7
202201030535,,2.6
202201030615,350.0,3.6
202201030635,,5.1
202201030655,,4.1
202201030715,340.0,9.3
202201030735,340.0,9.3
202201030755,340.0,6.7
202201030815,,
202201030835,340.0,9.8
202201030855,,
202201030915,350.0,10.3
202201030935,350.0,7.2
202201030955,350.0,7.7
202201031015,340.0,9.3
202201031035,350.0,4.1
202201031055,350.0,6.7
202201031115,340.0,5.1
202201031135,,3.6
202201031155,,4.1
202201031215,350.0,4.1
202201031235,350.0,6.2
202201031255,,6.7
202201031315,,2.6
202201031335,,2.6
202201031355,30.0,2.1
202201031415,350.0,3.6
202201031435,,3.6
202201031455,20.0,1.5
202201031515,350.0,6.2
202201031535,,6.2
202201031555,350.0,5.7
202201031615,,2.6
202201031635,,2.1
202201031655,,2.6
202201031715,,3.1
202201031735,350.0,5.7
202201031755,350.0,5.1
202201031815,,2.1
202201031835,,2.6
202201031855,10.0,1.5
202201031915,0.0,0.0
202201031935,0.0,0.0
202201031955,40.0,2.1
202201032015,0.0,0.0
202201032035,50.0,2.6
202201032055,0.0,0.0
202201032115,0.0,0.0
202201032135,0.0,0.0
202201032155,0.0,0.0
202201032215,0.0,0.0
202201032235,0.0,0.0
202201032255,0.0,0.0
202201032315,0.0,0.0
202201032335,0.0,0.0
202201032355,0.0,0.0
202201040015,0.0,0.0
202201040055,50.0,2.1
202201040115,50.0,3.6
202201040135,40.0,2.6
202201040155,0.0,0.0
202201040215,0.0,0.0
202201040235,0.0,0.0
202201040255,0.0,0.0
202201040315,0.0,0.0
202201040335,,2.1
202201040355,30.0,1.5
202201040415,40.0,2.1
202201040455,40.0,2.1
202201040515,40.0,2.1
202201040535,0.0,0.0
202201040555,0.0,0.0
202201040615,30.0,2.1
202201040635,0.0,0.0
202201040655,,1.5
202201040715,0.0,0.0
202201040755,0.0,0.0
202201040835,40.0,2.1
202201040855,,1.5
202201040915,50.0,2.1
202201040930,40.0,1.5
202201040955,,2.6
202201041035,,2.1
202201041055,50.0,2.1
202201041115,70.0,2.1
202201041135,70.0,1.5
202201041155,0.0,0.0
202201041215,50.0,2.6
202201041235,0.0,0.0
202201041255,0.0,0.0
202201041315,0.0,0.0
202201041335,0.0,0.0
202201041355,0.0,0.0
202201041415,0.0,0.0
202201041435,0.0,0.0
202201041455,0.0,0.0
202201041515,0.0,0.0
202201041535,240.0,2.1
202201041555,170.0,3.1
202201041635,,1.5
202201041655,0.0,0.0
202201041715,0.0,0.0
202201041735,240.0,2.1
202201041755,,2.6
202201041815,,2.6
202201041835,240.0,4.1
202201041855,230.0,3.6
202201041915,240.0,4.1
202201041935,240.0,3.6
202201041955,210.0,3.6
202201042015,180.0,3.6
202201042035,,3.1
202201042055,210.0,4.1
202201042115,200.0,2.6
202201042135,,3.1
202201042155,,3.1
202201042215,,2.1
202201042255,,2.1
202201042315,,2.1
202201042335,,1.5
202201042355,,2.1
202201050015,0.0,0.0
202201050035,0.0,0.0
202201050055,0.0,0.0
202201050115,0.0,0.0
202201050155,0.0,0.0
202201050215,0.0,0.0
202201050235,0.0,0.0
202201050255,0.0,0.0
202201050315,0.0,0.0
202201050335,0.0,0.0
202201050355,0.0,0.0
202201050415,0.0,0.0
202201050435,0.0,0.0
202201050455,0.0,0.0
202201050515,0.0,0.0
202201050535,230.0,2.1
202201050555,,2.1
202201050615,,2.1
202201050655,,3.1
202201050715,0.0,0.0
202201050735,,2.1
202201050815,260.0,2.6
202201050835,260.0,1.5
202201050855,260.0,3.1
202201050915,0.0,0.0
202201050935,0.0,0.0
202201050955,0.0,0.0
202201051015,230.0,2.1
202201051035,,1.5
202201051055,240.0,2.1
202201051115,0.0,0.0
202201051135,230.0,2.6
202201051155,220.0,2.6
202201051215,230.0,2.6
202201051235,,2.1
202201051255,,2.6
202201051335,240.0,2.6
202201051355,220.0,3.1
202201051415,230.0,5.1
