timestamp string,wind direction,wind speed
202201010000,190.0,2.1
202201010005,190.0,2.6
202201010010,180.0,2.6
202201010015,180.0,2.1
202201010020,180.0,2.6
202201010025,170.0,3.1
202201010030,180.0,3.1
202201010035,190.0,2.6
202201010040,190.0,2.6
202201010045,180.0,3.6
202201010050,180.0,3.6
202201010055,180.0,3.6
202201010056,180.0,3.1
202201010100,180.0,2.6
202201010105,180.0,4.1
202201010110,180.0,3.1
202201010115,180.0,2.1
202201010120,170.0,2.6
202201010125,180.0,3.1
202201010130,180.0,2.6
202201010135,180.0,3.1
202201010140,180.0,3.6
202201010145,180.0,3.1
202201010150,180.0,3.1
202201010155,180.0,2.6
202201010156,180.0,2.6
202201010205,180.0,3.1
202201010210,180.0,3.6
202201010215,170.0,3.6
202201010220,170.0,2.6
202201010225,180.0,2.6
202201010230,180.0,2.1
202201010235,180.0,2.1
202201010240,170.0,2.1
202201010245,180.0,2.1
202201010250,170.0,2.6
202201010255,170.0,2.6
202201010256,170.0,2.6
202201010300,170.0,2.6
202201010305,170.0,3.1
202201010310,170.0,3.6
202201010315,170.0,3.6
202201010320,170.0,2.6
202201010325,170.0,2.6
202201010330,170.0,3.1
202201010335,170.0,3.1
202201010340,170.0,3.1
202201010345,170.0,3.1
202201010355,180.0,2.6
202201010356,180.0,2.6
202201010400,170.0,2.6
202201010405,180.0,2.6
202201010410,170.0,2.6
202201010415,170.0,2.6
202201010420,160.0,3.6
202201010425,160.0,2.6
202201010430,160.0,3.1
202201010435,160.0,3.6
202201010440,160.0,3.1
202201010445,160.0,3.6
202201010450,170.0,3.1
202201010455,160.0,3.6
202201010500,170.0,3.1
202201010505,160.0,3.6
202201010510,170.0,3.6
202201010515,170.0,3.1
202201010520,170.0,3.1
202201010525,170.0,3.1
202201010530,170.0,2.6
202201010535,170.0,2.6
202201010540,170.0,3.1
202201010545,170.0,3.1
202201010550,170.0,3.1
202201010555,170.0,3.1
202201010556,180.0,3.1
202201010600,180.0,3.1
202201010605,170.0,2.6
202201010610,180.0,2.6
202201010615,180.0,3.1
202201010620,170.0,2.6
202201010625,180.0,3.1
202201010630,180.0,3.1
202201010635,180.0,3.6
202201010640,180.0,3.1
202201010645,170.0,3.6
202201010650,180.0,3.6
202201010655,180.0,3.1
202201010656,170.0,3.1
202201010700,180.0,4.1
202201010705,170.0,2.6
202201010710,170.0,3.6
202201010715,180.0,2.6
202201010720,180.0,2.6
202201010725,180.0,2.6
202201010730,170.0,3.6
202201010735,170.0,3.6
202201010740,180.0,3.1
202201010745,180.0,3.1
202201010750,170.0,3.1
202201010755,170.0,3.6
202201010756,180.0,3.1
202201010800,190.0,3.1
202201010805,180.0,3.6
202201010810,200.0,4.1
202201010815,190.0,4.1
202201010820,200.0,4.6
202201010825,200.0,5.1
202201010830,200.0,5.1
202201010835,200.0,4.1
202201010840,200.0,4.1
202201010845,190.0,4.1
202201010850,200.0,4.6
202201010855,200.0,5.1
202201010856,200.0,5.1
202201010900,200.0,4.6
202201010905,200.0,3.6
202201010910,200.0,3.6
202201010915,190.0,4.1
202201010920,190.0,4.6
202201010925,190.0,4.6
202201010930,200.0,3.6
202201010935,210.0,5.7
202201010940,200.0,6.2
202201010945,200.0,6.2
202201010950,200.0,4.1
202201010955,200.0,5.1
202201010956,200.0,5.7
202201011000,200.0,3.6
202201011005,210.0,6.2
202201011010,210.0,6.2
202201011015,200.0,4.6
202201011020,200.0,5.1
202201011025,200.0,4.6
202201011030,200.0,4.6
202201011035,200.0,4.6
202201011045,210.0,5.1
202201011050,210.0,5.1
202201011055,220.0,4.6
202201011056,210.0,5.1
202201011100,210.0,4.6
202201011105,200.0,4.1
202201011110,200.0,4.1
202201011115,200.0,3.6
202201011120,200.0,3.6
202201011125,210.0,4.6
202201011130,200.0,3.6
202201011135,200.0,1.5
202201011140,200.0,3.6
202201011145,200.0,3.1
202201011150,190.0,2.6
202201011153,170.0,3.6
202201011155,180.0,3.6
202201011156,190.0,3.6
202201011200,200.0,3.6
202201011205,190.0,3.6
202201011210,180.0,3.6
202201011215,170.0,3.6
202201011216,180.0,3.1
202201011220,180.0,3.6
202201011225,180.0,3.6
202201011230,180.0,4.1
202201011235,170.0,3.1
202201011240,180.0,3.1
202201011245,180.0,3.6
202201011250,190.0,3.6
202201011256,180.0,2.6
202201011300,180.0,3.1
202201011305,170.0,3.6
202201011310,170.0,3.6
202201011315,170.0,3.1
202201011320,170.0,4.1
202201011325,170.0,4.1
202201011335,180.0,3.6
202201011340,170.0,4.6
202201011345,170.0,4.6
202201011350,180.0,3.6
202201011355,170.0,5.1
202201011356,180.0,5.1
202201011400,180.0,5.1
202201011405,180.0,4.1
202201011410,170.0,4.1
202201011415,180.0,4.1
202201011420,190.0,3.6
202201011422,180.0,4.6
202201011425,180.0,4.6
202201011430,190.0,4.1
202201011435,190.0,5.7
202201011438,190.0,5.1
202201011440,190.0,5.7
202201011445,190.0,4.1
202201011450,190.0,5.1
202201011455,190.0,4.6
202201011500,190.0,4.6
202201011505,190.0,5.7
202201011510,190.0,4.1
202201011515,180.0,5.7
202201011525,190.0,5.7
202201011530,190.0,4.6
202201011540,190.0,4.1
202201011545,200.0,5.7
202201011550,190.0,6.2
202201011555,180.0,5.7
202201011556,190.0,6.2
202201011600,190.0,7.2
202201011605,190.0,5.1
202201011610,190.0,7.2
202201011615,190.0,7.7
202201011620,200.0,6.7
202201011625,200.0,7.2
202201011630,200.0,8.2
202201011635,200.0,5.7
202201011640,200.0,5.7
202201011645,200.0,7.2
202201011650,200.0,8.2
202201011655,210.0,8.7
202201011656,200.0,8.7
202201011700,210.0,8.7
202201011705,200.0,6.7
202201011710,210.0,7.2
202201011715,190.0,6.7
202201011720,200.0,8.7
202201011725,190.0,9.8
202201011730,210.0,8.7
202201011735,200.0,7.7
202201011745,200.0,9.3
202201011750,200.0,7.2
202201011755,200.0,9.8
202201011756,200.0,9.8
202201011805,200.0,8.2
202201011810,210.0,7.7
202201011815,210.0,9.3
202201011820,210.0,7.2
202201011830,210.0,8.7
202201011835,210.0,10.8
202201011840,210.0,10.8
202201011845,230.0,10.3
202201011850,220.0,8.2
202201011855,200.0,9.3
202201011856,200.0,8.2
202201011900,200.0,8.2
202201011905,210.0,6.2
202201011910,200.0,8.7
202201011915,200.0,7.2
202201011920,210.0,8.2
202201011925,210.0,5.1
202201011930,220.0,4.6
202201011935,210.0,6.7
202201011940,220.0,7.2
202201011945,230.0,10.8
202201011950,230.0,9.3
202201011955,250.0,8.2
202201011956,260.0,11.3
202201012000,310.0,10.8
202201012005,310.0,7.7
202201012006,320.0,8.2
202201012010,310.0,8.7
202201012015,320.0,7.2
202201012017,320.0,7.7
202201012020,320.0,7.2
202201012025,320.0,8.2
202201012035,320.0,6.7
202201012045,330.0,7.2
202201012050,320.0,6.2
202201012054,320.0,5.7
202201012055,320.0,4.6
202201012056,320.0,4.6
202201012100,320.0,5.1
202201012105,340.0,4.6
202201012110,,3.1
202201012114,350.0,4.6
202201012115,350.0,3.6
202201012120,340.0,3.1
202201012125,330.0,3.6
202201012130,320.0,4.1
202201012135,330.0,4.1
202201012145,340.0,4.1
202201012150,350.0,3.1
202201012155,330.0,4.1
202201012156,330.0,4.1
202201012200,320.0,3.1
202201012205,330.0,3.1
202201012210,340.0,3.6
202201012215,350.0,3.1
202201012220,340.0,3.1
202201012225,340.0,3.6
202201012230,340.0,2.6
202201012235,340.0,3.1
202201012240,330.0,4.1
202201012245,340.0,3.6
202201012250,330.0,4.1
202201012255,340.0,4.1
202201012256,340.0,3.6
202201012300,,3.1
202201012303,10.0,3.1
202201012305,10.0,3.1
202201012315,340.0,3.1
202201012318,340.0,3.1
202201012320,330.0,3.1
202201012325,300.0,2.1
202201012330,290.0,2.6
202201012335,340.0,3.6
202201012340,340.0,2.6
202201012345,330.0,2.6
202201012350,10.0,3.1
202201012355,20.0,2.6
202201012356,20.0,2.6
202201020003,10.0,2.1
202201020005,10.0,2.1
202201020010,40.0,2.6
202201020015,70.0,2.6
202201020020,90.0,2.6
202201020025,80.0,2.6
202201020030,80.0,2.6
202201020035,90.0,2.6
202201020038,90.0,3.1
202201020040,80.0,3.1
202201020045,100.0,2.6
202201020050,80.0,2.1
202201020055,90.0,2.6
202201020056,90.0,3.1
202201020105,80.0,2.6
202201020110,40.0,1.5
202201020115,30.0,2.1
202201020125,0.0,0.0
202201020130,0.0,0.0
202201020135,0.0,0.0
202201020140,140.0,1.5
202201020145,150.0,2.1
202201020155,170.0,2.1
202201020156,170.0,2.6
202201020200,130.0,3.1
202201020210,110.0,2.1
202201020215,120.0,2.1
202201020220,150.0,2.6
202201020225,180.0,2.1
202201020230,190.0,1.5
202201020235,170.0,2.1
202201020240,170.0,2.1
202201020245,0.0,0.0
202201020250,140.0,3.1
202201020255,160.0,3.1
202201020256,160.0,2.6
202201020300,160.0,3.1
