timestamp string,wind direction,wind speed
202201010015,180.0,2.6
202201010035,190.0,2.6
202201010055,190.0,2.6
202201010115,180.0,2.6
202201010135,170.0,3.1
202201010155,170.0,2.6
202201010215,170.0,3.6
202201010235,190.0,2.1
202201010255,180.0,3.6
202201010315,180.0,2.6
202201010335,180.0,3.1
202201010355,190.0,3.1
202201010415,190.0,3.1
202201010435,200.0,3.1
202201010455,200.0,2.6
202201010515,200.0,2.6
202201010535,200.0,3.1
202201010555,220.0,2.6
202201010615,210.0,2.1
202201010635,210.0,2.1
202201010655,210.0,2.6
202201010715,200.0,3.6
202201010735,190.0,2.1
202201010755,180.0,2.1
202201010815,190.0,3.6
202201010835,200.0,3.6
202201010855,200.0,3.1
202201010915,180.0,2.6
202201010935,200.0,3.1
202201010955,180.0,4.1
202201011015,200.0,4.1
202201011035,210.0,4.1
202201011055,210.0,4.1
202201011115,210.0,3.6
202201011135,210.0,4.1
202201011155,200.0,4.1
202201011215,210.0,4.1
202201011235,220.0,4.1
202201011255,210.0,5.1
202201011315,210.0,5.1
202201011335,210.0,4.1
202201011355,210.0,3.6
202201011415,200.0,3.6
202201011435,200.0,3.6
202201011455,190.0,4.1
202201011515,210.0,5.1
202201011535,210.0,4.1
202201011555,210.0,4.6
202201011615,220.0,5.7
202201011635,210.0,5.7
202201011655,200.0,5.7
202201011715,220.0,5.7
202201011735,200.0,6.2
202201011755,220.0,4.6
202201011815,200.0,5.7
202201011835,210.0,5.7
202201011855,200.0,4.6
202201011915,210.0,4.6
202201011935,220.0,4.6
202201011955,240.0,6.2
202201012015,220.0,6.7
202201012035,230.0,7.7
202201012055,210.0,5.7
202201012115,210.0,5.7
202201012135,210.0,6.7
202201012155,210.0,4.1
202201012235,190.0,4.1
202201012255,190.0,4.1
202201012315,190.0,3.1
202201012335,180.0,4.1
202201012355,180.0,3.1
202201020015,200.0,3.6
202201020035,200.0,4.1
202201020055,180.0,5.1
202201020115,190.0,4.6
202201020135,190.0,3.6
202201020155,190.0,5.1
202201020215,190.0,5.1
202201020235,190.0,4.1
202201020315,200.0,4.6
202201020335,200.0,5.1
202201020355,200.0,5.1
202201020415,200.0,5.1
202201020435,190.0,4.6
202201020455,190.0,5.7
202201020515,210.0,6.7
202201020535,210.0,5.1
202201020555,210.0,5.1
202201020615,200.0,5.7
202201020635,200.0,5.7
202201020655,210.0,5.7
202201020715,210.0,5.7
202201020735,230.0,7.7
202201020755,220.0,6.7
202201020815,220.0,6.2
202201020835,220.0,6.7
202201020855,220.0,6.2
202201020915,220.0,4.6
202201020935,220.0,5.7
202201020955,210.0,4.6
202201021015,220.0,5.1
202201021055,210.0,3.6
202201021135,210.0,4.6
202201021155,210.0,4.1
202201021215,210.0,4.1
202201021235,210.0,4.1
202201021255,210.0,3.6
202201021315,220.0,4.1
202201021335,200.0,4.6
202201021355,210.0,4.6
202201021415,220.0,3.6
202201021435,320.0,6.7
202201021455,350.0,3.6
202201021515,350.0,2.1
202201021535,30.0,1.5
202201021555,50.0,2.6
202201021615,80.0,2.1
202201021635,0.0,0.0
202201021655,0.0,0.0
202201021735,,2.6
202201021755,340.0,2.6
202201021815,30.0,1.5
202201021835,30.0,1.5
202201021855,330.0,2.6
202201021915,0.0,0.0
202201021935,50.0,2.1
202201021955,,2.1
202201022015,0.0,0.0
202201022035,140.0,2.6
202201022055,120.0,3.6
202201022115,100.0,3.6
202201022135,70.0,2.1
202201022155,100.0,3.1
202201022215,40.0,1.5
202201022235,50.0,2.1
202201022255,300.0,5.7
202201022315,110.0,4.6
202201022335,90.0,4.1
202201022355,110.0,5.1
202201030015,100.0,5.1
202201030035,90.0,5.1
202201030055,120.0,4.6
202201030115,90.0,4.6
202201030135,120.0,6.2
202201030155,110.0,8.7
202201030215,100.0,4.1
202201030315,120.0,5.1
202201030335,120.0,5.7
202201030355,140.0,5.1
202201030415,140.0,3.6
202201030435,140.0,5.7
202201030455,150.0,5.1
202201030515,150.0,6.2
202201030535,170.0,5.1
202201030555,190.0,5.7
202201030615,190.0,5.7
202201030635,210.0,7.7
202201030655,230.0,9.3
202201030715,240.0,9.8
202201030735,240.0,10.3
202201030755,240.0,10.3
202201030815,250.0,10.8
202201030835,250.0,10.3
202201030915,260.0,12.3
202201030935,270.0,10.8
202201030955,270.0,11.3
202201031015,280.0,12.9
202201031035,280.0,11.8
202201031055,270.0,10.3
202201031115,280.0,10.8
202201031135,270.0,7.7
202201031155,280.0,8.2
202201031215,270.0,10.3
202201031315,280.0,7.7
202201031335,280.0,7.7
202201031355,280.0,8.7
202201031415,290.0,9.3
202201031435,290.0,8.2
