timestamp string,wind direction,wind speed
202201010015,200.0,3.1
202201010035,190.0,2.6
202201010055,190.0,2.1
202201010115,190.0,2.6
202201010135,190.0,3.1
202201010155,180.0,2.1
202201010215,170.0,3.1
202201010235,160.0,2.6
202201010255,180.0,2.1
202201010315,220.0,2.6
202201010335,220.0,3.6
202201010355,220.0,2.1
202201010415,210.0,3.6
202201010435,200.0,4.1
202201010455,180.0,4.1
202201010515,190.0,3.6
202201010535,190.0,4.1
202201010555,190.0,3.1
202201010615,200.0,4.1
202201010635,210.0,3.6
202201010655,220.0,3.1
202201010715,210.0,4.1
202201010735,200.0,3.1
202201010755,220.0,2.6
202201010815,220.0,1.5
202201010835,230.0,2.6
202201010855,240.0,2.6
202201010915,0.0,0.0
202201010935,260.0,2.1
202201010955,340.0,6.2
202201011015,340.0,3.6
202201011035,320.0,5.7
202201011055,320.0,4.6
202201011155,,3.6
202201011215,,3.1
202201011235,10.0,2.6
202201011255,350.0,2.6
202201011315,,2.1
202201011335,0.0,0.0
202201011355,340.0,4.6
202201011415,20.0,2.6
202201011435,30.0,3.1
202201011455,,2.6
202201011515,10.0,2.1
202201011535,10.0,2.6
202201011555,350.0,2.6
202201011615,0.0,0.0
202201011635,0.0,0.0
202201011655,0.0,0.0
202201011715,40.0,2.1
202201011735,30.0,1.5
202201011755,70.0,2.1
202201011815,90.0,1.5
202201011835,90.0,2.1
202201011855,100.0,1.5
202201011915,0.0,0.0
202201011935,130.0,1.5
202201011955,150.0,2.1
202201012015,0.0,0.0
202201012035,270.0,2.1
202201012055,290.0,5.1
202201012115,280.0,3.1
202201012135,300.0,2.1
202201012155,320.0,1.5
202201012215,320.0,4.1
202201012235,350.0,2.6
202201012255,20.0,2.1
202201012315,,2.1
202201012335,40.0,2.6
202201012355,10.0,2.6
202201020015,10.0,2.1
202201020035,320.0,3.6
202201020055,320.0,4.1
202201020115,320.0,4.6
202201020135,340.0,5.7
202201020155,340.0,6.7
202201020215,350.0,4.1
202201020255,340.0,4.1
202201020315,340.0,5.1
202201020335,340.0,5.1
202201020355,330.0,6.2
202201020415,330.0,4.6
202201020435,340.0,4.6
202201020455,340.0,4.6
202201020515,320.0,4.1
202201020535,320.0,5.7
202201020555,330.0,6.7
202201020615,310.0,7.2
202201020635,310.0,6.7
202201020655,330.0,4.1
202201020715,330.0,6.2
202201020735,320.0,5.7
202201020755,300.0,7.7
202201020815,320.0,5.1
202201020835,320.0,7.2
202201020855,320.0,6.7
202201020915,310.0,6.2
202201020935,320.0,6.7
202201020955,330.0,6.7
202201021015,320.0,6.2
202201021035,330.0,6.2
202201021055,320.0,7.2
202201021115,330.0,7.7
202201021135,330.0,7.7
202201021155,330.0,6.2
202201021215,330.0,6.2
202201021235,330.0,6.7
202201021255,320.0,6.2
202201021315,330.0,7.7
202201021335,340.0,8.2
202201021355,330.0,6.2
202201021415,330.0,7.7
202201021435,330.0,7.2
202201021515,340.0,5.7
202201021535,340.0,6.2
202201021555,330.0,5.1
202201021615,340.0,5.1
202201021635,350.0,5.1
202201021655,330.0,5.1
202201021715,330.0,6.2
202201021735,330.0,5.7
202201021755,330.0,5.7
202201021835,330.0,4.6
202201021855,300.0,6.2
202201021915,330.0,5.1
202201021935,330.0,6.2
202201021955,330.0,5.7
202201022015,340.0,6.2
202201022035,330.0,6.2
202201022055,340.0,5.7
202201022115,340.0,6.2
202201022135,350.0,5.7
202201022155,340.0,5.7
202201022215,350.0,4.1
202201022235,350.0,6.2
202201022255,,6.2
202201022315,,4.1
202201022335,,5.7
202201022355,340.0,6.2
202201030015,,4.6
202201030035,350.0,5.7
202201030055,350.0,5.1
202201030115,10.0,4.1
202201030135,350.0,6.2
202201030155,350.0,5.7
202201030215,350.0,5.7
202201030235,350.0,6.2
202201030255,330.0,5.1
202201030315,330.0,6.2
202201030335,330.0,4.6
202201030355,330.0,5.7
202201030415,340.0,5.1
202201030435,330.0,7.7
202201030455,330.0,5.7
202201030515,330.0,6.7
202201030535,330.0,5.1
202201030615,330.0,5.1
202201030635,330.0,5.7
202201030655,330.0,6.2
202201030715,320.0,5.1
202201030735,310.0,5.1
202201030755,320.0,4.6
202201030815,310.0,4.6
202201030835,320.0,5.1
202201030855,310.0,4.6
202201030915,320.0,4.1
202201030935,330.0,4.1
202201030955,310.0,5.1
202201031015,310.0,5.1
202201031055,320.0,4.1
202201031135,310.0,4.6
202201031155,320.0,4.6
202201031215,310.0,5.7
202201031235,320.0,4.6
202201031255,320.0,4.1
202201031315,320.0,3.1
202201031335,300.0,4.6
202201031355,300.0,4.6
202201031415,300.0,3.6
202201031435,300.0,3.1
202201031455,290.0,2.1
202201031515,300.0,1.5
202201031535,330.0,2.1
202201031555,310.0,1.5
202201031615,0.0,0.0
202201031635,0.0,0.0
202201031655,0.0,0.0
202201031715,0.0,0.0
202201031735,0.0,0.0
202201031755,0.0,0.0
202201031815,0.0,0.0
202201031835,240.0,2.1
202201031855,0.0,0.0
202201031915,220.0,2.6
202201031935,0.0,0.0
202201031955,180.0,1.5
202201032015,200.0,2.1
202201032035,220.0,2.1
202201032055,210.0,2.1
202201032115,200.0,1.5
202201032135,230.0,1.5
202201032155,210.0,2.6
202201032215,230.0,2.1
202201032235,0.0,0.0
202201032255,210.0,1.5
202201032315,0.0,0.0
202201032335,0.0,0.0
202201032355,0.0,0.0
202201040015,0.0,0.0
202201040035,0.0,0.0
202201040055,0.0,0.0
202201040115,180.0,1.5
202201040135,190.0,1.5
202201040155,180.0,1.5
202201040215,170.0,2.1
202201040235,0.0,0.0
202201040255,170.0,1.5
202201040315,0.0,0.0
202201040335,0.0,0.0
202201040355,0.0,0.0
202201040415,140.0,1.5
202201040435,0.0,0.0
202201040455,150.0,1.5
202201040515,160.0,1.5
202201040535,160.0,1.5
202201040555,160.0,2.1
202201040615,160.0,1.5
202201040635,160.0,2.1
202201040655,150.0,2.1
202201040715,160.0,2.1
202201040735,160.0,2.1
202201040755,160.0,2.1
202201040815,150.0,2.1
202201040835,150.0,2.1
202201040855,150.0,2.1
202201040915,150.0,1.5
202201040935,150.0,2.1
202201040955,160.0,1.5
202201041015,170.0,2.6
202201041030,170.0,3.1
202201041055,160.0,2.6
202201041115,170.0,2.6
202201041135,150.0,2.1
202201041155,160.0,1.5
202201041215,170.0,2.6
202201041235,170.0,3.6
202201041255,170.0,3.1
202201041315,170.0,3.1
202201041335,170.0,2.6
202201041355,170.0,3.6
202201041415,170.0,6.7
202201041435,180.0,4.6
202201041455,160.0,4.6
202201041515,160.0,4.1
202201041555,170.0,4.1
202201041615,160.0,6.2
202201041635,160.0,4.6
202201041655,160.0,4.6
202201041715,160.0,5.1
202201041735,160.0,4.6
202201041755,170.0,5.1
202201041815,160.0,5.1
202201041835,150.0,4.6
202201041855,150.0,5.7
202201041915,170.0,5.7
202201041935,180.0,6.7
202201041955,180.0,7.7
202201042015,180.0,5.7
202201042035,160.0,7.7
202201042055,160.0,5.1
202201042115,160.0,7.7
202201042135,150.0,5.7
202201042155,160.0,5.1
202201042215,160.0,4.1
202201042235,160.0,5.1
202201042255,160.0,4.6
202201042315,160.0,5.1
202201042335,160.0,6.2
202201042355,150.0,6.7
202201050015,170.0,6.7
202201050035,170.0,7.7
202201050055,180.0,6.7
202201050115,180.0,6.7
202201050135,170.0,8.2
202201050155,180.0,7.2
202201050215,180.0,7.2
202201050235,190.0,5.1
202201050255,200.0,5.1
202201050315,200.0,5.7
202201050335,190.0,6.2
202201050355,190.0,5.7
202201050415,190.0,6.7
202201050435,200.0,5.7
202201050455,200.0,6.7
202201050515,200.0,5.7
202201050535,200.0,7.2
202201050555,200.0,5.7
202201050615,200.0,4.1
202201050635,200.0,4.6
202201050655,200.0,5.1
202201050715,200.0,4.6
202201050735,200.0,4.1
202201050755,200.0,4.1
202201050815,210.0,3.6
202201050835,210.0,5.7
202201050855,210.0,4.6
202201050915,210.0,4.6
202201050935,200.0,4.1
202201050955,210.0,4.1
202201051015,210.0,4.6
202201051035,220.0,4.1
202201051055,220.0,4.1
202201051115,220.0,3.6
202201051135,230.0,3.1
202201051155,240.0,3.1
202201051215,250.0,3.1
202201051235,260.0,4.6
202201051250,270.0,7.7
202201051315,270.0,7.7
202201051335,270.0,6.7
202201051355,280.0,6.2
202201051415,280.0,6.2
202201051430,270.0,6.2
202201051455,280.0,8.7
202201051515,,
202201051535,280.0,7.2
202201051555,270.0,5.7
202201051615,260.0,6.7
202201051635,260.0,8.7
202201051655,260.0,6.2
202201051715,260.0,8.2
202201051735,250.0,8.2
202201051755,250.0,5.7
202201051815,260.0,6.2
202201051835,250.0,5.1
202201051855,260.0,7.2
202201051915,260.0,5.1
202201051935,250.0,6.2
202201051955,260.0,8.7
202201052015,250.0,7.7
202201052035,260.0,6.7
202201052055,270.0,6.2
202201052115,260.0,7.2
202201052135,280.0,8.7
202201052155,280.0,8.7
202201052215,280.0,8.2
202201052235,280.0,6.2
202201052255,290.0,5.1
202201052315,280.0,5.1
202201052335,300.0,7.7
202201052355,290.0,7.2
202201060015,320.0,4.6
202201060035,330.0,4.1
202201060055,320.0,4.6
202201060115,330.0,6.2
202201060135,310.0,5.7
202201060155,320.0,5.1
202201060215,310.0,5.1
202201060235,310.0,6.7
202201060315,310.0,5.7
202201060335,310.0,7.2
202201060355,300.0,8.2
202201060415,320.0,5.7
202201060435,310.0,6.2
202201060455,310.0,6.2
202201060515,310.0,5.1
202201060535,310.0,5.1
202201060555,330.0,5.7
202201060615,320.0,5.7
202201060635,320.0,5.1
202201060655,320.0,5.1
202201060735,320.0,4.1
202201060755,300.0,5.7
202201060815,320.0,5.1
202201060835,310.0,4.1
202201060855,310.0,4.1
202201060915,300.0,5.7
202201060935,320.0,4.1
202201060955,330.0,4.1
202201061015,330.0,3.6
202201061035,330.0,3.1
202201061055,310.0,3.1
202201061115,320.0,3.1
202201061135,310.0,2.6
202201061155,290.0,4.1
202201061215,300.0,3.1
202201061235,310.0,3.6
202201061255,320.0,3.6
202201061315,310.0,3.6
202201061335,300.0,4.1
202201061355,300.0,3.6
202201061415,310.0,4.6
202201061435,310.0,4.6
202201061455,310.0,3.1
202201061515,290.0,4.1
202201061535,300.0,3.6
202201061555,290.0,4.1
202201061615,290.0,3.1
202201061635,310.0,4.1
202201061655,310.0,4.6
202201061715,310.0,5.7
202201061735,300.0,6.2
202201061755,310.0,6.7
202201061815,300.0,5.1
202201061835,310.0,6.7
202201061855,300.0,4.6
202201061915,300.0,6.2
202201061935,300.0,6.7
202201061955,310.0,5.7
202201062015,290.0,6.2
202201062035,300.0,5.7
202201062055,320.0,5.7
202201062115,300.0,5.7
202201062135,300.0,6.7
202201062155,310.0,5.1
202201062215,290.0,5.7
202201062235,300.0,6.2
202201062255,310.0,4.6
202201062315,290.0,5.1
202201062335,290.0,6.7
202201062355,290.0,6.2
202201070015,290.0,5.7
202201070035,290.0,5.7
202201070055,290.0,5.7
202201070115,300.0,5.1
202201070135,290.0,6.2
202201070215,290.0,7.2
202201070235,300.0,6.7
202201070255,310.0,6.7
202201070315,300.0,8.2
202201070335,300.0,8.2
202201070355,310.0,5.1
202201070415,300.0,8.2
202201070435,300.0,7.2
202201070455,310.0,6.7
202201070515,310.0,5.1
202201070535,310.0,5.1
202201070555,310.0,6.2
202201070615,310.0,6.7
202201070635,310.0,4.1
202201070655,320.0,5.1
202201070715,310.0,5.1
202201070735,310.0,4.6
202201070755,310.0,5.1
202201070835,310.0,4.1
202201070855,310.0,3.6
202201070915,300.0,5.1
202201070935,300.0,4.1
202201070955,300.0,4.1
202201071015,300.0,3.1
202201071035,330.0,2.1
202201071055,330.0,3.6
202201071115,300.0,3.1
202201071135,280.0,2.1
202201071155,300.0,3.1
202201071215,280.0,1.5
202201071235,260.0,2.6
202201071255,250.0,2.1
202201071315,260.0,3.1
202201071335,260.0,3.6
202201071355,250.0,3.6
202201071415,260.0,3.6
202201071435,250.0,4.1
202201071455,260.0,3.6
202201071535,300.0,3.1
202201071555,300.0,2.6
202201071615,240.0,1.5
202201071635,260.0,1.5
202201071655,290.0,2.6
202201071715,0.0,0.0
202201071755,0.0,0.0
202201071815,290.0,1.5
202201071835,0.0,0.0
202201071855,300.0,1.5
202201071915,0.0,0.0
202201071935,320.0,1.5
202201071955,0.0,0.0
202201072015,0.0,0.0
202201072035,0.0,0.0
202201072055,,1.5
202201072115,0.0,0.0
202201072135,0.0,0.0
202201072155,0.0,0.0
202201072215,160.0,1.5
202201072235,110.0,2.1
202201072255,130.0,2.6
202201072315,0.0,0.0
202201072335,0.0,0.0
202201072355,90.0,1.5
202201080015,110.0,2.1
202201080035,120.0,2.1
202201080055,100.0,2.6
202201080115,120.0,2.6
202201080135,120.0,2.6
202201080155,130.0,2.1
202201080215,130.0,2.1
202201080235,150.0,3.6
202201080255,130.0,2.6
202201080335,140.0,2.6
