timestamp string,wind direction,wind speed
202201010000,0.0,0.0
202201010005,0.0,0.0
202201010010,0.0,0.0
202201010015,0.0,0.0
202201010020,0.0,0.0
202201010025,0.0,0.0
202201010030,0.0,0.0
202201010035,0.0,0.0
202201010040,0.0,0.0
202201010045,0.0,0.0
202201010050,0.0,0.0
202201010055,190.0,1.5
202201010100,200.0,1.5
202201010105,200.0,1.5
202201010110,190.0,2.1
202201010115,190.0,2.1
202201010125,190.0,1.5
202201010130,210.0,2.1
202201010135,200.0,2.1
202201010140,200.0,2.6
202201010145,200.0,2.1
202201010150,200.0,1.5
202201010155,200.0,1.5
202201010200,230.0,1.5
202201010205,220.0,1.5
202201010210,210.0,1.5
202201010215,0.0,0.0
202201010220,0.0,0.0
202201010225,0.0,0.0
202201010230,0.0,0.0
202201010235,0.0,0.0
202201010240,0.0,0.0
202201010300,0.0,0.0
202201010310,210.0,2.1
202201010320,210.0,1.5
202201010325,210.0,1.5
202201010330,220.0,2.1
202201010335,220.0,2.1
202201010340,220.0,2.1
202201010345,210.0,1.5
202201010350,210.0,2.1
202201010355,210.0,2.1
202201010400,200.0,2.1
202201010405,210.0,2.1
202201010410,200.0,2.1
202201010415,210.0,2.1
202201010420,210.0,1.5
202201010425,210.0,2.1
202201010430,200.0,2.1
202201010440,210.0,2.1
202201010445,200.0,2.1
202201010455,210.0,2.6
202201010505,210.0,2.6
202201010510,200.0,2.6
202201010515,210.0,2.1
202201010520,210.0,3.1
202201010525,210.0,3.1
202201010530,210.0,2.6
202201010535,200.0,3.1
202201010540,210.0,3.1
202201010541,210.0,2.6
202201010545,210.0,3.1
202201010550,210.0,2.6
202201010555,220.0,3.6
202201010600,210.0,3.6
202201010605,210.0,3.1
202201010610,220.0,3.1
202201010615,210.0,3.1
202201010620,210.0,2.6
202201010625,210.0,3.6
202201010630,210.0,3.1
202201010631,210.0,2.6
202201010635,210.0,3.1
202201010640,220.0,2.6
202201010645,220.0,2.6
202201010650,220.0,3.1
202201010655,220.0,2.6
202201010700,220.0,3.6
202201010705,220.0,2.6
202201010710,210.0,2.6
202201010715,210.0,2.1
202201010720,220.0,2.1
202201010725,220.0,3.1
202201010728,210.0,3.1
202201010730,210.0,2.6
202201010735,210.0,3.1
202201010740,210.0,2.6
202201010745,220.0,3.1
202201010750,230.0,2.6
202201010755,210.0,2.6
202201010810,210.0,2.6
202201010815,210.0,2.6
202201010820,210.0,2.1
202201010825,220.0,3.1
202201010830,220.0,2.6
202201010835,220.0,2.6
202201010839,220.0,2.1
202201010840,220.0,2.6
202201010845,220.0,2.6
202201010850,210.0,3.1
202201010855,210.0,3.1
202201010900,200.0,3.1
202201010905,200.0,2.6
202201010910,210.0,3.1
202201010915,210.0,2.1
202201010920,220.0,2.1
202201010925,210.0,2.1
202201010930,220.0,2.1
202201010940,190.0,3.1
202201010945,200.0,2.1
202201010950,200.0,2.1
202201010955,220.0,2.1
202201011000,210.0,2.6
202201011005,210.0,2.6
202201011010,210.0,2.1
202201011012,210.0,2.1
202201011015,230.0,2.1
202201011020,230.0,1.5
202201011030,220.0,1.5
202201011035,230.0,1.5
202201011040,230.0,1.5
202201011045,230.0,1.5
202201011050,0.0,0.0
202201011055,230.0,1.5
202201011100,220.0,1.5
202201011105,210.0,1.5
202201011110,210.0,1.5
202201011115,220.0,1.5
202201011120,220.0,2.1
202201011125,210.0,1.5
202201011130,210.0,1.5
202201011135,220.0,1.5
202201011140,200.0,1.5
202201011145,200.0,1.5
202201011155,210.0,2.1
202201011200,210.0,2.6
202201011205,210.0,2.1
202201011210,210.0,2.1
202201011220,210.0,2.1
202201011225,210.0,2.1
202201011230,210.0,2.1
202201011235,210.0,2.6
202201011240,210.0,2.1
202201011245,220.0,2.1
202201011250,220.0,2.6
202201011255,210.0,2.1
202201011258,210.0,2.1
202201011300,220.0,2.6
202201011305,210.0,2.6
202201011310,200.0,3.1
202201011315,210.0,2.6
202201011320,210.0,2.1
202201011325,200.0,2.6
202201011330,210.0,2.1
202201011335,210.0,2.6
202201011340,220.0,2.1
202201011345,220.0,2.6
202201011350,220.0,2.6
202201011355,200.0,3.1
202201011400,210.0,2.6
202201011405,200.0,3.1
202201011410,210.0,3.6
202201011415,210.0,2.6
202201011420,210.0,3.1
202201011425,200.0,2.6
202201011430,200.0,3.6
202201011435,210.0,4.1
202201011440,210.0,4.1
202201011445,210.0,4.6
202201011450,200.0,4.6
202201011455,210.0,3.6
202201011500,200.0,3.6
202201011505,200.0,4.1
202201011510,210.0,2.6
202201011515,210.0,4.1
202201011525,210.0,4.6
202201011530,220.0,3.6
202201011535,210.0,4.6
202201011540,220.0,4.1
202201011545,200.0,3.6
202201011550,220.0,4.1
202201011555,200.0,3.1
202201011600,210.0,4.6
202201011605,210.0,4.6
202201011610,200.0,4.6
202201011615,210.0,4.1
202201011625,210.0,3.6
202201011640,210.0,5.1
202201011645,210.0,6.2
202201011655,220.0,4.6
202201011700,210.0,4.6
202201011705,230.0,5.1
202201011710,220.0,5.7
202201011715,220.0,5.7
202201011720,230.0,6.2
202201011725,200.0,5.1
202201011730,220.0,4.1
202201011735,210.0,4.6
202201011740,220.0,5.7
202201011745,230.0,5.7
202201011750,210.0,6.2
202201011755,210.0,5.1
202201011800,210.0,6.2
202201011805,230.0,5.1
202201011810,220.0,4.6
202201011815,220.0,4.6
202201011820,230.0,7.7
202201011825,230.0,5.7
202201011828,230.0,6.2
202201011830,210.0,4.6
202201011835,220.0,6.2
202201011840,210.0,5.7
202201011845,230.0,5.7
202201011850,230.0,6.7
202201011855,230.0,4.6
202201011900,230.0,5.1
202201011905,230.0,6.7
202201011910,210.0,6.2
202201011915,220.0,4.1
202201011920,220.0,4.6
202201011925,220.0,4.1
202201011930,220.0,5.7
202201011935,210.0,6.2
202201011940,220.0,4.1
202201011950,220.0,4.1
202201011955,210.0,4.6
202201011957,220.0,4.1
202201012005,220.0,3.6
202201012008,220.0,5.1
202201012010,220.0,5.1
202201012015,200.0,4.1
202201012020,210.0,5.1
202201012025,230.0,4.6
202201012030,210.0,3.6
202201012035,210.0,3.6
202201012045,200.0,4.6
202201012050,220.0,4.1
202201012055,220.0,5.1
202201012057,210.0,3.6
202201012100,210.0,4.6
202201012105,210.0,3.1
202201012110,210.0,3.6
202201012115,200.0,3.6
202201012120,210.0,5.1
202201012125,200.0,3.1
202201012130,210.0,2.1
202201012135,210.0,4.1
202201012140,210.0,3.6
202201012145,200.0,2.1
202201012150,190.0,3.1
202201012155,190.0,3.1
202201012200,200.0,3.6
202201012205,220.0,4.1
202201012210,210.0,3.6
202201012215,200.0,5.1
202201012220,200.0,3.1
202201012225,200.0,3.6
202201012230,210.0,4.1
202201012235,210.0,4.1
202201012240,200.0,3.6
202201012245,200.0,3.6
202201012250,200.0,4.6
202201012255,190.0,4.1
202201012300,190.0,3.1
202201012305,200.0,3.6
202201012310,200.0,3.1
202201012315,180.0,2.6
202201012320,180.0,2.1
202201012325,200.0,3.6
202201012330,190.0,4.1
202201012335,210.0,2.6
202201012340,190.0,3.6
202201012345,200.0,3.6
202201012350,200.0,4.6
202201012355,190.0,5.1
202201020005,200.0,6.7
202201020010,200.0,5.1
202201020015,200.0,3.6
202201020020,210.0,4.6
202201020025,210.0,5.1
202201020030,200.0,5.1
202201020035,200.0,5.1
202201020040,210.0,5.1
202201020045,210.0,5.1
202201020050,200.0,5.1
202201020055,200.0,6.7
202201020100,210.0,5.1
202201020105,210.0,6.2
202201020110,190.0,5.7
202201020115,200.0,5.1
202201020120,210.0,5.1
202201020130,210.0,5.1
202201020135,210.0,4.6
202201020140,210.0,5.1
202201020145,220.0,5.7
202201020150,220.0,5.7
202201020155,210.0,4.6
202201020200,220.0,4.1
202201020205,240.0,6.7
202201020210,200.0,4.6
202201020215,210.0,5.1
202201020220,210.0,4.6
202201020225,200.0,5.1
202201020230,210.0,6.2
202201020235,210.0,5.1
202201020240,200.0,5.1
202201020245,210.0,5.1
202201020250,200.0,6.2
202201020255,220.0,4.1
202201020300,210.0,5.1
202201020305,200.0,5.7
202201020310,220.0,4.1
202201020315,220.0,3.6
202201020320,210.0,6.2
202201020325,210.0,6.2
202201020330,220.0,5.7
202201020335,220.0,5.1
202201020337,210.0,4.6
202201020340,230.0,5.7
202201020345,210.0,4.6
202201020350,210.0,5.1
202201020355,210.0,6.7
202201020400,210.0,4.6
202201020405,220.0,5.1
202201020410,220.0,5.1
202201020415,220.0,5.1
202201020420,220.0,5.1
202201020425,220.0,4.6
202201020430,220.0,3.6
202201020435,220.0,5.7
202201020440,210.0,5.1
202201020445,210.0,6.2
202201020450,220.0,5.1
202201020455,210.0,4.6
202201020457,210.0,4.1
202201020500,200.0,6.2
202201020505,220.0,4.6
202201020510,210.0,3.6
202201020515,220.0,5.7
202201020520,220.0,4.1
202201020525,220.0,5.7
202201020530,220.0,7.7
202201020535,220.0,7.2
202201020538,230.0,5.1
202201020540,220.0,5.1
202201020545,230.0,5.1
202201020550,240.0,5.1
202201020555,230.0,6.2
202201020605,220.0,6.2
202201020610,220.0,4.6
202201020620,230.0,6.2
202201020625,230.0,6.7
202201020630,230.0,6.2
202201020635,220.0,6.2
202201020638,220.0,5.7
202201020640,220.0,6.2
202201020650,220.0,6.2
202201020655,220.0,6.2
202201020700,220.0,5.1
202201020702,230.0,5.1
202201020705,230.0,4.1
202201020710,220.0,5.1
202201020715,220.0,6.2
202201020720,220.0,5.7
202201020725,220.0,5.1
202201020727,220.0,5.1
202201020730,210.0,6.2
202201020735,210.0,6.2
202201020740,220.0,4.1
202201020745,220.0,6.2
202201020750,230.0,5.1
202201020755,230.0,6.2
202201020800,220.0,4.1
202201020805,220.0,4.6
202201020810,220.0,4.1
202201020811,220.0,5.1
202201020815,220.0,4.6
202201020820,230.0,4.1
202201020825,230.0,3.6
202201020830,230.0,5.1
202201020840,220.0,3.6
202201020845,220.0,2.6
202201020850,210.0,3.6
202201020855,210.0,3.6
202201020900,220.0,3.6
202201020905,220.0,4.6
202201020910,230.0,5.1
202201020915,310.0,6.2
202201020917,320.0,8.2
202201020920,270.0,11.8
202201020925,280.0,7.7
202201020927,280.0,7.2
202201020930,280.0,5.1
202201020932,280.0,4.6
202201020935,270.0,4.6
202201020936,270.0,4.6
202201020940,280.0,5.7
202201020945,280.0,6.2
202201020947,270.0,6.2
202201020950,270.0,6.2
202201020955,280.0,4.6
202201020959,280.0,2.6
202201021000,280.0,2.1
202201021004,260.0,3.1
202201021010,270.0,3.6
202201021015,270.0,3.6
202201021020,270.0,3.6
202201021025,260.0,2.6
202201021030,220.0,2.1
202201021035,220.0,2.6
202201021040,220.0,3.1
202201021045,220.0,3.1
202201021050,260.0,1.5
202201021055,270.0,1.5
202201021100,230.0,3.1
202201021115,220.0,2.1
202201021120,240.0,1.5
202201021122,250.0,2.1
202201021125,240.0,2.1
202201021130,230.0,2.6
202201021135,230.0,3.1
202201021140,240.0,3.6
202201021145,270.0,2.6
202201021150,280.0,2.1
202201021155,250.0,2.1
202201021200,260.0,1.5
202201021205,230.0,2.1
202201021207,200.0,2.1
202201021210,200.0,2.6
202201021215,190.0,1.5
202201021220,0.0,0.0
202201021225,200.0,1.5
202201021230,0.0,0.0
202201021235,0.0,0.0
202201021240,310.0,1.5
202201021245,0.0,0.0
202201021246,0.0,0.0
202201021250,0.0,0.0
202201021255,210.0,1.5
202201021300,200.0,2.6
202201021305,200.0,1.5
202201021310,220.0,2.1
202201021315,230.0,1.5
202201021320,240.0,2.6
202201021325,250.0,3.1
202201021331,210.0,3.1
202201021338,220.0,2.6
202201021340,210.0,2.1
202201021345,210.0,1.5
202201021350,220.0,1.5
202201021355,230.0,1.5
202201021400,230.0,1.5
202201021405,220.0,2.1
202201021410,0.0,0.0
202201021415,220.0,1.5
202201021420,230.0,1.5
202201021425,210.0,1.5
202201021430,220.0,1.5
202201021435,240.0,2.6
202201021440,230.0,2.6
202201021450,230.0,2.1
202201021453,220.0,2.1
202201021455,0.0,0.0
202201021500,240.0,1.5
202201021505,240.0,1.5
202201021510,250.0,2.1
202201021515,,
202201021520,,
202201021525,,
202201021530,,
202201021535,,
202201021540,,
202201021545,250.0,3.6
202201021550,250.0,3.1
202201021555,230.0,2.1
202201021600,230.0,1.5
202201021605,230.0,2.1
202201021610,230.0,2.6
202201021615,240.0,3.6
202201021620,190.0,3.1
202201021625,180.0,2.6
202201021630,190.0,2.1
202201021635,230.0,1.5
202201021640,230.0,2.1
202201021645,210.0,2.6
202201021650,180.0,2.6
202201021654,,1.5
202201021655,190.0,1.5
202201021700,230.0,2.1
202201021705,230.0,2.6
202201021710,220.0,3.1
202201021715,220.0,4.1
202201021720,220.0,3.1
202201021725,230.0,3.6
202201021730,220.0,2.6
202201021732,,1.5
202201021735,230.0,2.1
202201021740,190.0,2.6
202201021742,170.0,2.1
202201021745,140.0,1.5
202201021750,210.0,2.6
202201021755,190.0,2.1
202201021800,160.0,1.5
202201021805,160.0,2.1
202201021810,210.0,3.6
202201021815,160.0,3.6
202201021820,210.0,3.6
202201021825,180.0,2.6
202201021830,150.0,2.6
202201021835,130.0,2.6
202201021840,170.0,2.1
202201021845,0.0,0.0
202201021850,250.0,3.1
202201021855,210.0,2.1
202201021900,,
202201021905,240.0,4.1
202201021910,220.0,1.5
202201021915,270.0,1.5
202201021920,0.0,0.0
202201021925,0.0,0.0
202201021930,260.0,1.5
202201021935,220.0,2.1
202201021940,220.0,2.6
202201021945,230.0,3.6
202201021950,230.0,3.6
202201021955,200.0,2.6
202201022000,220.0,2.6
202201022005,190.0,3.1
202201022010,190.0,3.6
202201022015,190.0,2.6
202201022025,190.0,2.1
202201022035,170.0,2.1
202201022040,210.0,2.1
202201022045,0.0,0.0
202201022050,0.0,0.0
202201022055,0.0,0.0
202201022100,200.0,1.5
202201022110,0.0,0.0
202201022120,200.0,1.5
202201022125,0.0,0.0
202201022130,170.0,1.5
202201022135,170.0,2.1
202201022140,140.0,1.5
202201022142,0.0,0.0
202201022145,0.0,0.0
202201022150,0.0,0.0
202201022155,170.0,1.5
202201022200,0.0,0.0
202201022205,0.0,0.0
202201022210,170.0,1.5
202201022215,0.0,0.0
202201022220,0.0,0.0
202201022225,0.0,0.0
202201022230,0.0,0.0
202201022235,0.0,0.0
202201022240,0.0,0.0
202201022245,0.0,0.0
202201022250,0.0,0.0
202201022255,0.0,0.0
202201022300,0.0,0.0
202201022305,180.0,1.5
202201022310,0.0,0.0
202201022315,0.0,0.0
202201022320,0.0,0.0
202201022325,230.0,1.5
202201022330,230.0,1.5
202201022335,210.0,1.5
202201022340,230.0,1.5
202201022345,0.0,0.0
202201022350,0.0,0.0
202201022355,240.0,1.5
202201030000,250.0,1.5
202201030005,260.0,1.5
202201030010,0.0,0.0
202201030015,190.0,1.5
202201030020,0.0,0.0
202201030025,0.0,0.0
202201030030,0.0,0.0
202201030035,0.0,0.0
202201030040,320.0,2.6
202201030045,340.0,2.1
202201030050,330.0,2.6
202201030055,320.0,3.1
202201030100,320.0,2.6
