timestamp string,wind direction,wind speed
202201010015,200.0,4.6
202201010035,210.0,3.1
202201010055,230.0,4.1
202201010115,220.0,4.1
202201010135,220.0,3.6
202201010155,220.0,3.6
202201010215,230.0,3.6
202201010235,230.0,2.6
202201010255,210.0,3.1
202201010355,250.0,2.1
202201010415,230.0,2.1
202201010455,220.0,2.6
202201010515,220.0,2.1
202201010535,210.0,1.5
202201010555,200.0,1.5
202201010615,200.0,2.1
202201010635,0.0,0.0
202201010655,0.0,0.0
202201010715,0.0,0.0
202201010735,270.0,2.6
202201010755,0.0,0.0
202201010815,0.0,0.0
202201010835,0.0,0.0
202201010855,,
202201010915,0.0,0.0
202201010935,120.0,3.1
202201010955,0.0,0.0
202201011015,70.0,1.5
202201011035,0.0,0.0
202201011055,0.0,0.0
202201011115,0.0,0.0
202201011135,0.0,0.0
202201011155,150.0,1.5
202201011215,0.0,0.0
202201011235,0.0,0.0
202201011255,0.0,0.0
202201011315,0.0,0.0
202201011335,30.0,2.6
202201011355,50.0,2.6
202201011415,90.0,2.1
202201011435,0.0,0.0
202201011455,0.0,0.0
202201011515,0.0,0.0
202201011535,0.0,0.0
202201011555,0.0,0.0
202201011615,0.0,0.0
202201011635,120.0,1.5
202201011655,130.0,2.1
202201011715,190.0,3.1
202201011735,190.0,3.1
202201011755,180.0,3.1
202201011835,210.0,1.5
202201011855,200.0,2.1
202201011915,210.0,5.1
202201011935,210.0,5.7
202201011955,230.0,5.7
202201012015,240.0,11.8
202201012035,240.0,6.7
202201012055,240.0,4.6
202201012115,260.0,2.1
202201012135,310.0,6.7
202201012155,310.0,3.6
202201012215,340.0,2.1
202201012255,340.0,2.6
202201012315,330.0,3.1
202201012335,10.0,3.6
202201012355,,3.1
202201020015,30.0,2.6
202201020035,0.0,0.0
202201020055,0.0,0.0
202201020115,0.0,0.0
202201020135,270.0,1.5
202201020155,0.0,0.0
202201020235,0.0,0.0
202201020255,140.0,2.6
202201020315,160.0,2.1
202201020335,260.0,1.5
202201020355,0.0,0.0
202201020415,190.0,1.5
202201020435,170.0,2.6
202201020455,180.0,3.6
202201020515,180.0,4.6
202201020535,160.0,4.6
202201020555,170.0,5.1
202201020615,160.0,4.1
202201020635,170.0,3.1
202201020655,210.0,2.1
202201020715,0.0,0.0
202201020735,210.0,2.1
202201020815,230.0,1.5
202201020835,240.0,1.5
202201020855,230.0,2.1
202201020935,0.0,0.0
202201020955,250.0,1.5
202201021015,0.0,0.0
202201021035,0.0,0.0
202201021055,250.0,2.1
202201021115,250.0,2.1
202201021135,270.0,2.1
202201021155,280.0,3.1
202201021215,270.0,3.6
202201021235,270.0,2.6
202201021255,260.0,2.6
202201021315,280.0,1.5
202201021335,270.0,2.6
202201021355,260.0,2.1
202201021415,260.0,3.1
202201021435,250.0,2.6
202201021455,250.0,3.6
202201021515,260.0,3.1
202201021535,350.0,5.1
202201021555,320.0,2.1
202201021615,320.0,2.1
202201021635,330.0,2.6
202201021655,320.0,2.6
202201021715,320.0,3.6
202201021735,300.0,2.6
202201021755,320.0,4.6
202201021815,350.0,3.6
202201021835,330.0,3.6
202201021855,350.0,3.1
202201021915,350.0,3.1
202201021935,,2.1
202201021955,340.0,3.1
202201022015,340.0,3.6
202201022035,350.0,2.1
202201022055,340.0,2.1
202201022115,320.0,1.5
202201022135,350.0,2.6
202201022155,,2.1
202201022215,30.0,3.6
202201022235,20.0,3.1
202201022255,30.0,2.1
202201022315,20.0,2.6
202201022335,30.0,4.1
202201022355,20.0,3.1
202201030015,20.0,3.6
202201030035,30.0,5.7
202201030115,30.0,3.1
202201030135,30.0,2.1
202201030155,20.0,1.5
202201030215,30.0,2.6
202201030235,30.0,2.6
202201030255,40.0,3.6
202201030315,40.0,3.1
202201030335,30.0,2.6
202201030355,10.0,4.6
202201030415,20.0,4.1
202201030430,30.0,4.6
202201030455,30.0,2.6
202201030515,50.0,3.6
202201030535,20.0,3.1
202201030555,,2.1
202201030615,20.0,4.1
202201030635,10.0,3.1
202201030655,30.0,3.6
202201030715,30.0,4.6
202201030735,40.0,2.6
202201030755,40.0,5.1
202201030815,20.0,3.1
202201030835,10.0,3.6
202201030855,10.0,3.6
202201030915,40.0,3.1
202201030935,20.0,5.1
202201030955,10.0,3.6
202201031015,20.0,4.1
202201031035,20.0,5.1
202201031055,10.0,2.6
202201031115,,4.1
202201031135,30.0,4.6
202201031155,10.0,4.1
202201031215,20.0,2.6
202201031235,30.0,4.6
202201031255,10.0,2.6
202201031315,350.0,4.1
202201031335,10.0,2.6
202201031415,,3.6
202201031435,340.0,4.1
202201031455,340.0,3.1
202201031515,340.0,3.1
202201031535,330.0,3.1
202201031555,10.0,1.5
202201031615,340.0,2.6
202201031635,350.0,2.6
202201031655,350.0,3.1
202201031715,,2.6
202201031735,350.0,1.5
202201031755,0.0,0.0
202201031815,340.0,1.5
202201031855,320.0,2.6
202201031935,290.0,3.1
202201031955,330.0,1.5
202201032015,310.0,1.5
202201032035,0.0,0.0
202201032055,270.0,1.5
202201032115,260.0,1.5
202201032135,260.0,2.1
202201032155,260.0,1.5
202201032215,250.0,1.5
202201032235,0.0,0.0
202201032255,200.0,1.5
202201032315,210.0,1.5
202201032335,200.0,1.5
202201032355,190.0,1.5
202201040015,210.0,1.5
202201040035,210.0,1.5
202201040055,0.0,0.0
202201040115,0.0,0.0
202201040135,0.0,0.0
202201040155,220.0,1.5
202201040215,0.0,0.0
202201040235,210.0,1.5
202201040255,210.0,1.5
202201040315,220.0,2.1
202201040335,220.0,1.5
202201040355,180.0,1.5
202201040415,180.0,1.5
202201040435,200.0,2.1
202201040455,200.0,1.5
202201040515,0.0,0.0
202201040535,0.0,0.0
202201040555,0.0,0.0
202201040615,0.0,0.0
202201040635,0.0,0.0
202201040655,0.0,0.0
202201040715,0.0,0.0
202201040735,0.0,0.0
202201040755,0.0,0.0
202201040815,0.0,0.0
202201040835,0.0,0.0
202201040855,0.0,0.0
202201040915,0.0,0.0
202201040955,0.0,0.0
202201041015,0.0,0.0
202201041055,110.0,1.5
202201041115,130.0,1.5
202201041135,120.0,1.5
202201041155,0.0,0.0
202201041215,100.0,1.5
202201041235,0.0,0.0
202201041255,0.0,0.0
202201041315,130.0,1.5
202201041335,0.0,0.0
202201041355,0.0,0.0
202201041415,120.0,1.5
202201041435,140.0,1.5
202201041455,150.0,2.1
202201041515,170.0,3.1
202201041535,170.0,2.6
202201041555,180.0,2.1
202201041615,150.0,3.6
202201041635,150.0,3.1
202201041655,200.0,1.5
202201041715,200.0,2.6
202201041735,180.0,3.6
202201041755,190.0,3.6
202201041815,220.0,3.1
202201041835,210.0,2.6
202201041855,0.0,0.0
202201041915,210.0,3.1
202201041935,210.0,2.6
202201041955,230.0,1.5
202201042015,180.0,3.1
202201042035,190.0,3.1
202201042055,170.0,2.6
202201042115,170.0,2.6
202201042135,200.0,2.6
202201042155,0.0,0.0
202201042215,180.0,1.5
202201042235,180.0,1.5
202201042255,180.0,2.1
202201042315,180.0,2.6
202201042355,190.0,3.1
202201050015,200.0,3.1
202201050035,190.0,3.6
202201050055,190.0,3.6
202201050115,190.0,3.6
202201050135,190.0,4.1
202201050155,200.0,3.1
202201050215,180.0,2.6
202201050235,170.0,2.6
202201050335,190.0,4.1
202201050355,190.0,4.6
202201050415,200.0,4.1
202201050435,210.0,2.1
202201050455,200.0,2.6
202201050515,210.0,3.1
202201050535,190.0,3.6
202201050555,210.0,2.6
202201050615,210.0,3.1
202201050635,200.0,4.6
202201050655,200.0,4.1
202201050715,200.0,4.1
202201050735,200.0,4.6
202201050755,200.0,4.1
202201050815,200.0,4.1
202201050835,210.0,4.6
202201050855,220.0,5.1
202201050915,220.0,5.1
202201050935,230.0,6.7
202201050955,220.0,6.2
202201051015,230.0,5.1
202201051035,230.0,5.7
202201051055,230.0,4.6
202201051115,220.0,5.1
202201051135,220.0,5.7
202201051155,210.0,7.2
202201051215,240.0,4.1
202201051235,240.0,4.1
202201051255,230.0,6.2
202201051315,220.0,5.7
202201051335,240.0,4.6
202201051355,230.0,3.6
202201051435,230.0,5.7
202201051455,230.0,5.7
202201051515,250.0,6.7
202201051535,250.0,6.2
202201051555,240.0,6.2
202201051615,260.0,6.7
202201051635,250.0,4.1
202201051655,260.0,6.2
202201051720,230.0,5.7
202201051735,240.0,6.2
202201051755,250.0,5.7
202201051810,240.0,4.1
202201051835,230.0,4.6
202201051855,250.0,4.1
202201051915,250.0,4.6
202201051935,230.0,5.7
202201051955,250.0,4.1
202201052015,260.0,4.1
202201052055,270.0,4.6
202201052115,260.0,3.6
202201052135,260.0,7.2
202201052155,250.0,7.2
202201052215,250.0,3.1
202201052255,250.0,3.1
202201052315,250.0,3.6
202201052335,270.0,2.6
202201052355,270.0,4.6
202201060015,270.0,5.1
202201060035,280.0,6.2
202201060055,280.0,5.1
202201060135,280.0,4.6
202201060155,270.0,2.6
202201060215,260.0,4.6
202201060235,260.0,4.6
202201060315,290.0,4.1
202201060335,300.0,3.6
202201060355,290.0,4.6
202201060415,300.0,3.6
202201060435,290.0,3.6
202201060515,310.0,2.6
202201060535,300.0,3.6
202201060615,300.0,5.7
202201060630,300.0,4.1
202201060655,310.0,3.1
202201060715,320.0,3.1
202201060735,300.0,3.1
202201060755,310.0,2.6
202201060815,310.0,3.6
202201060835,290.0,3.1
202201060855,290.0,2.1
202201060915,300.0,1.5
202201060955,280.0,3.1
202201061015,0.0,0.0
202201061035,320.0,1.5
202201061055,310.0,1.5
202201061115,290.0,1.5
202201061135,300.0,2.6
202201061155,0.0,0.0
202201061215,0.0,0.0
202201061235,0.0,0.0
202201061255,0.0,0.0
202201061335,0.0,0.0
202201061355,0.0,0.0
202201061415,40.0,1.5
202201061435,40.0,1.5
202201061455,0.0,0.0
202201061515,310.0,1.5
202201061535,0.0,0.0
202201061555,0.0,0.0
202201061635,30.0,2.1
202201061655,0.0,0.0
202201061715,0.0,0.0
202201061755,330.0,2.1
202201061815,0.0,0.0
202201061835,0.0,0.0
202201061855,0.0,0.0
202201061915,0.0,0.0
202201061935,0.0,0.0
202201061955,0.0,0.0
202201062015,60.0,2.1
202201062035,0.0,0.0
202201062055,0.0,0.0
202201062115,0.0,0.0
202201062155,0.0,0.0
202201062215,330.0,1.5
202201062235,30.0,2.1
202201062255,340.0,2.1
202201062315,340.0,3.1
202201062335,340.0,2.1
202201062355,340.0,2.6
202201070035,340.0,3.1
202201070055,0.0,0.0
202201070115,0.0,0.0
202201070135,300.0,2.1
202201070155,320.0,2.6
202201070235,290.0,4.1
202201070255,290.0,2.1
202201070315,0.0,0.0
202201070335,0.0,0.0
202201070355,0.0,0.0
202201070415,0.0,0.0
202201070435,270.0,4.1
202201070455,300.0,3.1
202201070520,290.0,4.1
202201070535,310.0,2.6
202201070555,310.0,4.1
202201070615,310.0,4.1
202201070635,310.0,3.6
202201070655,320.0,3.6
202201070715,320.0,3.1
202201070735,300.0,1.5
202201070755,290.0,3.1
202201070815,310.0,2.1
202201070855,310.0,1.5
202201070915,280.0,2.1
202201070935,290.0,3.6
202201070955,290.0,2.6
202201071015,290.0,3.6
202201071115,300.0,3.6
202201071135,300.0,2.6
202201071155,310.0,3.1
202201071215,280.0,3.6
202201071235,300.0,2.6
202201071255,320.0,2.6
202201071315,300.0,2.1
202201071335,300.0,2.6
202201071355,310.0,2.6
202201071415,290.0,2.6
202201071435,310.0,2.1
202201071455,300.0,2.1
202201071535,300.0,3.6
202201071555,290.0,2.1
202201071635,270.0,2.6
202201071655,300.0,2.6
202201071730,250.0,4.1
202201071755,270.0,3.6
202201071815,260.0,3.1
202201071855,280.0,3.1
202201071915,260.0,2.1
202201071935,290.0,2.6
202201071955,300.0,3.6
202201072015,270.0,2.1
202201072035,290.0,2.1
202201072055,0.0,0.0
202201072115,0.0,0.0
202201072135,300.0,1.5
202201072155,320.0,1.5
202201072215,0.0,0.0
202201072235,0.0,0.0
202201072255,0.0,0.0
202201072315,0.0,0.0
202201072335,0.0,0.0
202201072355,0.0,0.0
202201080015,0.0,0.0
202201080035,60.0,1.5
202201080055,0.0,0.0
202201080115,70.0,2.1
202201080135,0.0,0.0
202201080155,90.0,2.1
202201080215,80.0,1.5
202201080230,0.0,0.0
202201080255,0.0,0.0
202201080315,0.0,0.0
202201080335,0.0,0.0
202201080355,0.0,0.0
202201080415,0.0,0.0
202201080435,0.0,0.0
202201080455,110.0,1.5
202201080515,0.0,0.0
202201080535,0.0,0.0
202201080555,0.0,0.0
202201080615,0.0,0.0
202201080635,0.0,0.0
202201080655,0.0,0.0
202201080715,0.0,0.0
202201080735,0.0,0.0
202201080755,0.0,0.0
202201080815,0.0,0.0
202201080835,0.0,0.0
202201080855,0.0,0.0
202201080915,0.0,0.0
202201080935,0.0,0.0
202201081015,0.0,0.0
202201081035,0.0,0.0
202201081055,0.0,0.0
202201081135,0.0,0.0
202201081155,0.0,0.0
202201081215,0.0,0.0
202201081235,0.0,0.0
202201081255,0.0,0.0
202201081315,0.0,0.0
202201081335,0.0,0.0
202201081355,0.0,0.0
202201081415,0.0,0.0
202201081435,0.0,0.0
202201081455,0.0,0.0
202201081515,140.0,2.1
202201081535,160.0,2.1
202201081555,180.0,2.1
202201081655,0.0,0.0
202201081715,200.0,1.5
202201081735,160.0,3.1
202201081755,160.0,1.5
202201081815,180.0,1.5
202201081835,190.0,2.6
202201081855,160.0,2.1
202201081915,160.0,3.6
202201081935,150.0,2.6
202201081955,160.0,2.1
202201082015,150.0,2.6
202201082055,170.0,2.1
202201082115,170.0,2.6
202201082135,170.0,2.1
202201082155,170.0,2.1
202201082215,160.0,2.6
202201082235,170.0,2.1
202201082250,160.0,3.1
202201082315,170.0,2.1
202201082335,160.0,2.1
202201082355,180.0,2.1
202201090015,190.0,2.1
202201090035,190.0,2.6
202201090055,170.0,3.6
202201090115,190.0,3.6
202201090135,180.0,2.1
202201090155,190.0,1.5
202201090215,180.0,2.1
202201090235,170.0,2.6
202201090255,170.0,2.6
202201090315,170.0,3.1
202201090335,180.0,4.6
202201090355,190.0,3.6
202201090415,190.0,3.6
202201090435,200.0,3.1
202201090455,320.0,1.5
202201090515,320.0,1.5
202201090535,0.0,0.0
202201090555,0.0,0.0
202201090615,0.0,0.0
202201090635,280.0,1.5
202201090655,0.0,0.0
202201090715,110.0,1.5
202201090735,130.0,1.5
202201090755,0.0,0.0
202201090815,150.0,1.5
202201090835,0.0,0.0
202201090855,200.0,2.1
202201090915,200.0,3.1
202201090935,200.0,3.1
202201090955,230.0,2.6
202201091015,230.0,3.6
202201091035,250.0,2.1
202201091055,0.0,0.0
202201091115,0.0,0.0
202201091135,180.0,2.6
202201091155,340.0,1.5
202201091215,150.0,3.6
202201091235,160.0,2.1
202201091255,200.0,2.1
202201091315,190.0,4.6
202201091335,190.0,5.1
202201091355,200.0,6.2
202201091415,200.0,5.1
202201091435,190.0,5.1
202201091455,210.0,4.1
202201091515,340.0,2.1
202201091535,340.0,3.1
202201091555,0.0,0.0
202201091615,0.0,0.0
202201091635,0.0,0.0
202201091655,0.0,0.0
202201091715,0.0,0.0
202201091735,0.0,0.0
202201091755,0.0,0.0
202201091815,160.0,2.1
202201091835,0.0,0.0
202201091855,0.0,0.0
202201091915,220.0,1.5
202201091935,0.0,0.0
202201091955,260.0,1.5
202201092015,0.0,0.0
202201092035,0.0,0.0
202201092055,320.0,1.5
202201092115,320.0,2.1
202201092135,320.0,3.1
202201092155,330.0,4.6
202201092215,350.0,4.6
202201092235,330.0,6.7
202201092255,350.0,4.1
202201092315,350.0,3.1
202201092335,340.0,3.6
202201092355,350.0,2.1
202201100015,0.0,0.0
202201100035,340.0,3.1
202201100055,0.0,0.0
202201100115,340.0,3.1
202201100135,340.0,2.1
202201100215,310.0,1.5
202201100235,,2.6
202201100255,340.0,2.1
202201100315,0.0,0.0
202201100335,310.0,1.5
202201100355,310.0,1.5
202201100415,330.0,2.6
202201100435,350.0,1.5
202201100455,330.0,2.6
202201100515,330.0,3.6
202201100535,0.0,0.0
202201100555,330.0,3.1
202201100615,340.0,3.1
202201100635,330.0,3.1
202201100655,340.0,3.1
202201100715,340.0,3.6
202201100735,330.0,1.5
202201100755,0.0,0.0
