timestamp string,wind direction,wind speed
202201010015,190.0,2.6
202201010035,190.0,2.6
202201010055,190.0,3.1
202201010115,170.0,3.6
202201010135,170.0,3.1
202201010155,170.0,3.1
202201010215,170.0,3.6
202201010235,180.0,3.1
202201010255,180.0,3.6
202201010315,190.0,4.1
202201010335,180.0,4.1
202201010355,170.0,4.1
202201010415,190.0,3.6
202201010435,180.0,4.6
202201010455,180.0,4.6
202201010515,190.0,4.1
202201010535,190.0,4.6
202201010555,190.0,4.6
202201010615,200.0,4.6
202201010635,190.0,6.2
202201010655,200.0,6.2
202201010715,190.0,6.2
202201010735,200.0,6.2
202201010755,200.0,6.7
202201010815,210.0,5.7
202201010835,210.0,7.2
202201010855,210.0,6.2
202201010915,200.0,5.1
202201010935,200.0,4.6
202201010955,200.0,5.1
202201011015,190.0,4.6
202201011035,180.0,4.6
202201011055,190.0,4.1
202201011115,190.0,4.1
202201011135,180.0,3.6
202201011155,200.0,5.1
202201011215,190.0,6.2
202201011235,200.0,4.6
202201011255,190.0,5.1
202201011315,190.0,6.2
202201011335,200.0,5.7
202201011355,190.0,7.2
202201011415,190.0,6.7
202201011435,200.0,7.7
202201011515,190.0,9.8
202201011535,210.0,9.3
202201011555,200.0,9.8
202201011615,200.0,9.8
202201011635,220.0,10.3
202201011655,210.0,11.3
202201011715,210.0,8.7
202201011735,220.0,10.8
202201011755,210.0,8.2
202201011815,210.0,8.7
202201011835,210.0,6.2
202201011855,220.0,7.2
202201011915,210.0,7.2
202201011935,340.0,6.7
202201011955,,5.7
202201012015,10.0,4.1
202201012035,340.0,5.1
202201012055,20.0,3.1
202201012115,20.0,5.1
202201012135,30.0,4.6
202201012155,20.0,3.1
202201012215,10.0,5.1
202201012235,20.0,2.6
202201012255,40.0,4.1
202201012315,,2.1
202201012335,40.0,3.6
202201012355,,2.1
202201020015,,2.6
202201020035,,2.1
202201020055,80.0,2.1
202201020115,20.0,3.1
202201020135,0.0,0.0
202201020155,,1.5
202201020215,190.0,2.1
202201020235,0.0,0.0
202201020255,160.0,2.1
202201020315,140.0,1.5
202201020335,,2.1
202201020355,210.0,2.1
202201020415,0.0,0.0
202201020435,0.0,0.0
202201020515,0.0,0.0
202201020555,0.0,0.0
202201020615,270.0,2.1
202201020635,0.0,0.0
202201020655,270.0,2.1
202201020715,270.0,2.6
202201020735,,2.6
202201020755,310.0,1.5
202201020815,320.0,3.1
202201020835,0.0,0.0
202201020855,320.0,3.6
202201020915,320.0,3.6
202201020935,330.0,3.1
202201020955,350.0,5.1
202201021015,350.0,5.1
202201021035,330.0,4.6
202201021055,330.0,5.1
202201021115,320.0,3.6
202201021135,340.0,4.6
202201021155,320.0,4.6
202201021215,330.0,3.1
202201021235,330.0,3.1
202201021315,340.0,4.6
202201021335,350.0,4.1
202201021415,350.0,4.6
202201021435,340.0,5.7
202201021455,340.0,5.1
202201021515,340.0,6.7
202201021535,330.0,4.1
202201021555,340.0,4.1
202201021615,330.0,4.1
202201021635,310.0,4.1
202201021655,340.0,3.6
202201021715,300.0,2.6
202201021735,320.0,2.6
202201021755,320.0,3.6
202201021815,350.0,3.6
202201021835,340.0,4.1
202201021855,330.0,3.6
202201021915,330.0,3.6
202201021935,350.0,4.6
202201021955,,5.1
202201022015,350.0,4.6
202201022035,10.0,5.1
202201022055,350.0,5.7
202201022115,350.0,6.7
202201022135,350.0,4.1
202201022155,350.0,5.7
202201022215,340.0,4.1
202201022235,10.0,4.6
202201022255,350.0,5.1
202201022315,340.0,7.2
202201022335,,
202201022355,,
202201030015,,
202201030035,,
202201030055,,
202201030115,,
202201030135,,
202201030215,,
202201030235,,
202201030255,,
202201030315,,
202201030335,320.0,4.6
202201030355,330.0,6.2
202201030415,320.0,4.1
202201030435,330.0,7.7
202201030455,340.0,8.2
202201030515,340.0,9.3
202201030535,,
202201030555,,
202201030635,,
202201030655,,
202201030715,320.0,4.1
202201030735,330.0,5.7
202201030755,330.0,5.7
202201030815,330.0,8.2
202201030835,,5.1
202201030855,350.0,6.7
202201030915,350.0,7.2
202201030935,350.0,7.2
202201030955,330.0,4.6
202201031015,330.0,3.1
202201031035,340.0,5.1
202201031055,340.0,4.6
202201031115,340.0,3.6
202201031135,330.0,4.1
202201031155,340.0,5.7
202201031215,340.0,6.2
202201031235,340.0,4.1
202201031255,,4.1
202201031315,,3.6
202201031335,10.0,4.6
202201031355,20.0,4.1
202201031415,10.0,6.2
202201031435,330.0,4.6
202201031455,320.0,3.1
202201031515,340.0,3.1
202201031535,330.0,3.1
202201031555,,3.1
202201031615,350.0,3.6
202201031635,,3.1
202201031655,30.0,2.6
202201031715,,2.6
202201031735,,3.1
202201031755,20.0,2.1
202201031815,20.0,2.6
202201031835,,3.6
202201031855,340.0,3.1
202201031915,340.0,2.1
202201031935,30.0,2.1
202201031955,0.0,0.0
202201032015,330.0,2.6
202201032035,330.0,1.5
202201032055,,2.1
202201032115,0.0,0.0
202201032135,,3.1
202201032155,0.0,0.0
202201032215,0.0,0.0
202201032235,0.0,0.0
202201032255,0.0,0.0
202201032315,0.0,0.0
202201032335,0.0,0.0
202201032355,0.0,0.0
202201040015,0.0,0.0
202201040035,40.0,2.1
202201040055,50.0,1.5
202201040135,0.0,0.0
202201040155,0.0,0.0
202201040215,40.0,2.6
202201040235,0.0,0.0
202201040255,0.0,0.0
202201040315,0.0,0.0
202201040335,0.0,0.0
202201040415,,1.5
202201040435,0.0,0.0
202201040455,0.0,0.0
202201040515,0.0,0.0
202201040535,120.0,2.1
202201040555,70.0,2.6
202201040615,,2.1
202201040635,130.0,3.1
202201040655,,1.5
202201040715,140.0,2.1
202201040735,130.0,2.6
202201040755,130.0,3.1
202201040815,,1.5
202201040835,120.0,1.5
202201040855,140.0,2.1
202201040915,140.0,2.1
202201040935,0.0,0.0
202201040955,0.0,0.0
202201041015,0.0,0.0
202201041035,0.0,0.0
202201041055,0.0,0.0
202201041115,0.0,0.0
202201041135,0.0,0.0
202201041155,0.0,0.0
202201041215,0.0,0.0
202201041235,0.0,0.0
202201041255,0.0,0.0
202201041315,0.0,0.0
202201041335,170.0,1.5
202201041355,190.0,2.1
202201041415,170.0,2.1
202201041435,180.0,2.1
202201041455,,2.1
202201041515,160.0,3.1
202201041535,130.0,3.6
202201041555,180.0,3.6
202201041615,160.0,3.6
202201041635,200.0,3.1
202201041655,170.0,3.6
202201041715,170.0,5.1
202201041735,180.0,5.1
202201041755,170.0,4.6
202201041815,180.0,5.1
202201041835,180.0,4.6
202201041855,150.0,4.6
202201041915,160.0,4.6
202201041935,170.0,5.1
202201041955,170.0,6.2
202201042015,190.0,6.2
202201042055,170.0,4.1
202201042115,180.0,5.1
202201042135,180.0,5.1
202201042155,180.0,3.6
202201042215,200.0,3.6
202201042235,200.0,2.6
202201042255,190.0,2.6
202201042315,170.0,1.5
202201042335,0.0,0.0
202201042355,160.0,2.1
202201050015,160.0,3.1
202201050035,170.0,4.1
202201050055,170.0,4.1
202201050115,180.0,3.6
202201050135,190.0,5.7
202201050155,190.0,6.2
202201050215,190.0,6.2
202201050235,190.0,6.2
202201050255,190.0,6.7
202201050315,190.0,7.2
202201050335,190.0,6.7
202201050355,190.0,6.2
202201050415,190.0,5.7
202201050435,190.0,6.2
202201050455,200.0,6.7
202201050515,210.0,4.1
202201050535,200.0,4.6
202201050555,190.0,6.7
202201050615,190.0,6.2
202201050635,200.0,5.7
202201050655,190.0,6.7
202201050715,190.0,6.7
202201050735,190.0,5.7
202201050755,200.0,6.2
202201050815,200.0,5.7
202201050835,190.0,5.1
202201050855,190.0,6.2
202201050935,190.0,4.6
202201050955,160.0,4.1
202201051035,180.0,3.6
202201051055,190.0,3.6
202201051115,180.0,3.1
