timestamp string,wind direction,wind speed
202201010000,170.0,4.1
202201010005,170.0,4.1
202201010010,170.0,3.6
202201010015,170.0,3.6
202201010025,170.0,3.1
202201010030,170.0,3.6
202201010035,170.0,3.6
202201010040,170.0,3.1
202201010045,180.0,3.6
202201010050,170.0,3.6
202201010053,170.0,3.6
202201010055,170.0,4.1
202201010100,170.0,4.6
202201010105,170.0,4.1
202201010110,170.0,4.6
202201010115,170.0,3.6
202201010120,170.0,4.1
202201010125,180.0,3.6
202201010130,170.0,3.6
202201010135,170.0,3.1
202201010140,170.0,3.6
202201010145,170.0,3.1
202201010150,170.0,3.1
202201010153,170.0,3.1
202201010155,170.0,3.1
202201010200,170.0,3.1
202201010205,170.0,3.6
202201010210,170.0,3.1
202201010215,170.0,4.1
202201010220,170.0,3.6
202201010225,170.0,3.6
202201010230,170.0,4.1
202201010235,170.0,4.1
202201010240,170.0,4.1
202201010245,170.0,3.1
202201010250,170.0,4.1
202201010253,180.0,4.1
202201010255,170.0,3.6
202201010300,180.0,3.6
202201010305,180.0,3.6
202201010310,180.0,3.1
202201010315,170.0,3.6
202201010320,180.0,4.1
202201010325,170.0,3.6
202201010330,180.0,3.6
202201010335,180.0,3.6
202201010340,180.0,3.6
202201010345,170.0,3.6
202201010350,180.0,4.1
202201010353,180.0,3.6
202201010355,180.0,4.1
202201010400,170.0,4.1
202201010405,180.0,4.6
202201010410,180.0,4.1
202201010415,180.0,4.1
202201010420,180.0,4.6
202201010425,180.0,5.1
202201010430,180.0,5.1
202201010435,180.0,4.6
202201010436,180.0,4.6
202201010440,170.0,4.6
202201010445,180.0,5.1
202201010450,180.0,4.6
202201010453,180.0,6.2
202201010455,180.0,4.6
202201010500,180.0,5.1
202201010505,180.0,4.6
202201010509,180.0,4.1
202201010510,180.0,4.1
202201010515,180.0,5.1
202201010520,180.0,5.1
202201010525,170.0,4.6
202201010530,180.0,5.1
202201010535,180.0,4.6
202201010540,170.0,4.6
202201010545,170.0,5.1
202201010550,170.0,5.1
202201010553,180.0,5.1
202201010555,180.0,5.1
202201010600,180.0,4.6
202201010605,190.0,4.6
202201010610,180.0,4.6
202201010620,180.0,5.1
202201010625,180.0,5.1
202201010630,180.0,5.1
202201010631,180.0,5.1
202201010635,180.0,4.6
202201010640,180.0,4.6
202201010645,170.0,5.1
202201010650,180.0,4.6
202201010653,180.0,4.6
202201010655,180.0,4.6
202201010700,180.0,5.1
202201010705,180.0,4.1
202201010710,180.0,4.6
202201010715,180.0,4.1
202201010720,190.0,4.6
202201010725,180.0,4.6
202201010730,180.0,4.6
202201010735,190.0,5.7
202201010740,180.0,5.1
202201010745,180.0,5.7
202201010753,180.0,4.6
202201010755,180.0,4.6
202201010800,180.0,5.1
202201010805,180.0,5.1
