timestamp string,wind direction,wind speed
202201010015,210.0,4.6
202201010035,210.0,4.1
202201010055,220.0,7.7
202201010135,200.0,5.1
202201010235,210.0,4.6
202201010255,220.0,4.1
202201010315,220.0,4.6
202201010335,220.0,4.6
202201010355,210.0,1.5
202201010415,200.0,2.6
202201010435,210.0,1.5
202201010455,0.0,0.0
202201010515,200.0,1.5
202201010535,0.0,0.0
202201010555,0.0,0.0
202201010615,330.0,1.5
202201010635,0.0,0.0
202201010655,0.0,0.0
202201010715,0.0,0.0
202201010735,0.0,0.0
202201010755,0.0,0.0
202201010835,0.0,0.0
202201010855,0.0,0.0
202201010935,320.0,2.1
202201010955,330.0,3.6
202201011015,320.0,3.1
202201011035,0.0,0.0
202201011055,0.0,0.0
202201011115,70.0,1.5
202201011155,0.0,0.0
202201011215,0.0,0.0
202201011235,110.0,2.6
202201011255,140.0,2.1
202201011315,110.0,2.1
202201011335,0.0,0.0
202201011355,110.0,1.5
202201011415,120.0,2.6
202201011435,0.0,0.0
202201011455,0.0,0.0
202201011515,0.0,0.0
202201011535,60.0,2.6
202201011615,310.0,1.5
202201011635,290.0,2.6
202201011655,300.0,2.1
202201011715,290.0,1.5
202201011735,0.0,0.0
202201011755,320.0,2.6
202201011815,330.0,3.1
202201011835,300.0,1.5
202201011855,290.0,2.1
202201011915,330.0,1.5
202201011935,280.0,2.1
202201011955,0.0,0.0
202201012015,200.0,1.5
202201012035,0.0,0.0
202201012055,130.0,2.6
202201012115,140.0,3.6
202201012135,160.0,2.1
202201012155,140.0,2.1
202201012235,130.0,2.1
202201012255,130.0,2.1
202201012315,120.0,2.1
202201012335,140.0,2.6
202201012355,150.0,3.6
202201020015,180.0,4.1
202201020035,170.0,3.6
202201020055,180.0,4.1
202201020115,190.0,2.1
202201020135,220.0,1.5
202201020155,220.0,2.1
202201020215,320.0,6.2
202201020235,310.0,5.1
202201020255,310.0,4.1
202201020315,310.0,5.1
202201020335,310.0,4.6
202201020355,310.0,6.2
202201020415,320.0,5.1
202201020435,310.0,3.6
202201020455,310.0,3.6
202201020515,310.0,3.6
202201020535,300.0,4.6
202201020555,310.0,5.1
202201020615,310.0,5.1
202201020635,310.0,6.2
202201020655,320.0,7.2
202201020715,320.0,7.2
202201020735,310.0,5.7
202201020755,310.0,6.2
202201020815,320.0,4.6
202201020835,300.0,4.6
202201020855,300.0,5.7
202201020915,310.0,7.7
202201020935,300.0,7.2
202201020955,300.0,7.7
202201021015,310.0,6.7
202201021035,320.0,7.2
202201021055,320.0,4.6
