timestamp string,wind direction,wind speed
202201010000,30.0,1.5
202201010005,30.0,1.5
202201010010,10.0,1.5
202201010015,20.0,1.5
202201010020,20.0,2.1
202201010025,10.0,2.1
202201010030,10.0,1.5
202201010035,20.0,1.5
202201010045,0.0,0.0
202201010050,0.0,0.0
202201010053,0.0,0.0
202201010055,0.0,0.0
202201010100,0.0,0.0
202201010105,0.0,0.0
202201010120,,1.5
202201010125,,1.5
202201010130,,1.5
202201010135,0.0,0.0
202201010140,0.0,0.0
202201010145,0.0,0.0
202201010150,0.0,0.0
202201010153,20.0,1.5
202201010155,20.0,2.1
202201010200,40.0,1.5
202201010205,30.0,2.1
202201010210,30.0,2.1
202201010215,40.0,2.1
202201010220,40.0,1.5
202201010225,50.0,2.1
202201010230,50.0,1.5
202201010235,60.0,1.5
202201010240,70.0,1.5
202201010245,70.0,1.5
202201010250,0.0,0.0
202201010255,0.0,0.0
202201010300,10.0,1.5
202201010305,0.0,0.0
202201010310,50.0,1.5
202201010315,0.0,0.0
202201010320,0.0,0.0
202201010325,0.0,0.0
202201010330,0.0,0.0
202201010335,0.0,0.0
202201010340,50.0,1.5
202201010345,10.0,1.5
202201010350,20.0,1.5
202201010353,10.0,1.5
202201010355,20.0,1.5
202201010400,10.0,1.5
202201010410,0.0,0.0
202201010420,30.0,1.5
202201010425,90.0,1.5
202201010430,80.0,1.5
202201010435,0.0,0.0
202201010440,0.0,0.0
202201010445,0.0,0.0
202201010450,0.0,0.0
202201010455,0.0,0.0
202201010500,0.0,0.0
202201010505,0.0,0.0
202201010508,0.0,0.0
202201010510,0.0,0.0
202201010515,160.0,1.5
202201010520,150.0,2.6
202201010525,150.0,2.1
202201010530,140.0,2.6
202201010535,150.0,2.1
202201010540,140.0,2.6
202201010545,140.0,2.1
202201010550,140.0,2.1
202201010553,150.0,1.5
202201010555,150.0,1.5
202201010600,150.0,2.1
202201010605,150.0,2.6
202201010610,150.0,1.5
202201010615,0.0,0.0
202201010620,0.0,0.0
202201010630,0.0,0.0
202201010635,0.0,0.0
202201010640,0.0,0.0
202201010645,0.0,0.0
202201010650,0.0,0.0
202201010653,190.0,1.5
202201010655,200.0,1.5
202201010700,200.0,2.1
202201010705,200.0,3.6
202201010715,200.0,5.1
202201010720,200.0,5.7
202201010725,200.0,5.7
202201010730,200.0,5.7
202201010735,200.0,5.7
202201010740,200.0,6.7
202201010745,200.0,7.2
202201010750,200.0,6.7
202201010753,200.0,6.7
202201010800,210.0,6.7
202201010805,210.0,6.2
202201010810,220.0,6.7
202201010815,220.0,7.2
202201010820,220.0,8.2
202201010825,220.0,8.2
202201010830,220.0,8.7
202201010835,220.0,8.2
202201010840,220.0,8.2
202201010845,220.0,9.3
202201010850,220.0,8.7
202201010853,230.0,8.2
202201010855,230.0,8.7
202201010900,230.0,8.7
202201010905,230.0,8.2
202201010910,230.0,8.2
202201010915,230.0,8.2
202201010920,230.0,7.2
202201010925,230.0,8.2
202201010930,220.0,8.2
202201010935,220.0,8.2
202201010940,210.0,8.2
202201010945,210.0,8.7
202201010950,210.0,8.2
202201010953,210.0,8.2
202201010955,210.0,9.8
202201011000,210.0,7.7
202201011005,210.0,7.7
202201011010,210.0,7.2
202201011015,210.0,7.7
202201011020,210.0,9.3
202201011025,210.0,8.7
202201011030,210.0,10.8
202201011035,210.0,9.3
202201011040,220.0,7.7
202201011045,220.0,8.7
202201011050,220.0,7.2
202201011053,210.0,8.2
202201011055,210.0,7.7
202201011100,210.0,8.7
202201011105,210.0,8.7
202201011115,220.0,8.7
202201011125,210.0,10.3
202201011130,210.0,8.2
202201011135,210.0,9.8
202201011140,210.0,8.2
202201011145,210.0,8.7
202201011153,210.0,10.3
202201011155,210.0,9.3
202201011200,220.0,8.7
202201011205,210.0,8.7
202201011210,210.0,9.3
202201011215,210.0,9.3
202201011220,210.0,8.7
202201011225,210.0,8.7
202201011230,210.0,8.7
202201011235,210.0,7.7
202201011240,210.0,8.2
202201011245,210.0,8.2
202201011250,210.0,7.2
202201011253,210.0,8.2
202201011255,210.0,9.8
202201011300,210.0,8.7
202201011305,210.0,7.7
202201011310,210.0,8.2
202201011315,210.0,8.2
202201011320,210.0,8.7
202201011325,210.0,8.7
202201011330,210.0,8.7
202201011335,210.0,9.3
202201011340,210.0,8.2
202201011345,210.0,8.2
202201011350,210.0,7.7
202201011353,210.0,8.7
202201011355,210.0,7.7
202201011400,210.0,7.7
202201011405,210.0,8.2
202201011410,210.0,7.2
202201011415,210.0,7.2
202201011420,210.0,7.2
202201011425,210.0,8.2
202201011430,210.0,8.2
202201011435,210.0,6.7
202201011445,210.0,8.2
202201011450,210.0,8.7
202201011453,200.0,8.2
202201011455,200.0,8.7
202201011500,210.0,7.7
202201011505,210.0,7.7
202201011510,210.0,7.7
202201011515,210.0,6.2
202201011520,210.0,7.7
202201011525,210.0,8.2
202201011530,210.0,7.2
202201011535,200.0,10.3
202201011540,210.0,9.8
202201011545,210.0,8.7
202201011550,210.0,9.3
202201011553,210.0,10.3
202201011555,200.0,12.3
202201011600,200.0,10.8
202201011605,210.0,13.4
202201011610,210.0,13.4
202201011615,210.0,12.3
202201011620,210.0,11.3
202201011625,210.0,10.3
202201011630,210.0,11.8
202201011635,220.0,12.9
202201011640,220.0,11.3
202201011645,220.0,14.4
202201011650,210.0,10.8
202201011653,210.0,13.4
202201011655,210.0,10.3
202201011700,210.0,13.4
202201011705,210.0,10.3
202201011710,210.0,14.9
202201011715,210.0,13.9
202201011720,210.0,12.3
202201011725,210.0,13.9
202201011730,210.0,12.3
202201011735,200.0,14.4
202201011745,220.0,13.4
202201011750,210.0,11.8
202201011753,210.0,13.4
202201011755,210.0,12.3
202201011800,210.0,11.8
202201011805,210.0,13.4
202201011810,210.0,15.9
202201011815,210.0,11.8
202201011820,210.0,11.8
202201011825,210.0,13.4
202201011830,210.0,11.8
202201011835,210.0,12.9
202201011840,210.0,11.3
202201011845,210.0,12.9
202201011850,210.0,15.9
202201011853,210.0,13.4
202201011855,210.0,15.9
202201011900,210.0,13.9
202201011905,210.0,13.4
202201011910,220.0,14.9
202201011915,210.0,12.9
202201011920,210.0,14.9
202201011925,210.0,10.8
202201011930,210.0,12.3
202201011940,210.0,10.3
202201011950,210.0,11.8
202201011953,210.0,12.9
202201011955,210.0,11.3
202201012000,220.0,11.3
202201012010,210.0,11.8
202201012015,210.0,9.3
202201012020,210.0,12.9
202201012025,210.0,12.9
202201012030,210.0,12.3
202201012035,220.0,12.9
202201012040,210.0,12.3
202201012045,210.0,11.3
202201012050,220.0,11.3
202201012053,230.0,11.3
202201012055,220.0,8.7
202201012100,220.0,9.3
202201012105,210.0,8.7
202201012110,210.0,12.9
202201012115,220.0,12.3
202201012125,230.0,16.5
202201012130,240.0,9.3
202201012140,250.0,10.3
202201012145,230.0,10.3
202201012150,220.0,10.3
202201012151,220.0,10.3
202201012153,220.0,9.8
202201012155,230.0,9.8
202201012200,220.0,9.3
202201012205,220.0,8.2
202201012210,220.0,8.2
202201012215,220.0,7.2
202201012220,220.0,6.2
202201012225,220.0,5.7
202201012230,220.0,6.2
202201012235,210.0,6.2
202201012240,210.0,6.7
202201012245,210.0,7.7
202201012250,210.0,7.7
202201012253,210.0,7.7
202201012255,210.0,8.7
202201012300,210.0,7.7
202201012305,210.0,8.2
202201012310,200.0,9.3
202201012315,200.0,11.3
202201012320,200.0,12.3
202201012325,220.0,12.3
202201012335,220.0,9.3
202201012340,220.0,9.3
202201012345,210.0,8.7
202201012350,210.0,7.2
202201012353,200.0,5.7
202201012355,200.0,5.1
202201020000,210.0,6.2
202201020005,210.0,5.7
202201020015,230.0,3.6
202201020020,240.0,3.1
202201020025,230.0,2.6
202201020030,220.0,2.6
202201020035,190.0,2.6
202201020040,200.0,3.6
202201020045,210.0,3.6
202201020050,210.0,4.1
202201020053,200.0,4.6
202201020055,200.0,5.1
202201020100,210.0,6.2
202201020105,210.0,7.7
202201020110,210.0,8.7
202201020115,220.0,9.8
202201020120,210.0,10.3
202201020121,210.0,10.3
202201020125,210.0,10.3
202201020128,220.0,9.3
202201020130,220.0,9.3
202201020135,220.0,8.7
202201020140,220.0,8.7
202201020145,200.0,8.7
202201020149,190.0,7.2
202201020150,190.0,6.7
202201020153,190.0,6.2
202201020155,180.0,6.2
202201020200,200.0,8.2
202201020205,190.0,8.2
202201020210,200.0,6.7
202201020215,200.0,5.7
202201020220,210.0,6.2
202201020225,220.0,6.2
202201020230,210.0,6.2
202201020235,210.0,6.2
202201020240,210.0,6.2
202201020245,200.0,5.7
202201020250,210.0,5.7
202201020253,200.0,5.7
202201020255,200.0,6.2
202201020300,210.0,6.2
202201020301,210.0,6.7
202201020305,210.0,6.7
202201020310,210.0,7.2
202201020315,230.0,7.2
202201020320,270.0,9.8
202201020325,270.0,6.2
202201020330,260.0,10.8
202201020333,260.0,8.2
202201020335,260.0,7.2
202201020340,290.0,4.1
202201020345,290.0,5.1
202201020350,300.0,6.7
202201020353,290.0,4.6
202201020355,290.0,3.1
202201020400,310.0,5.1
202201020401,320.0,5.1
202201020405,330.0,4.6
202201020410,350.0,5.1
202201020420,340.0,4.1
202201020425,350.0,3.6
202201020430,,3.1
202201020435,,3.1
202201020440,10.0,1.5
202201020445,30.0,2.1
202201020450,20.0,3.6
202201020453,10.0,4.6
202201020455,,3.6
202201020500,30.0,3.1
202201020505,40.0,3.1
202201020510,10.0,2.6
202201020515,30.0,1.5
202201020520,0.0,0.0
202201020525,0.0,0.0
202201020530,0.0,0.0
202201020535,0.0,0.0
202201020540,0.0,0.0
202201020550,0.0,0.0
202201020553,0.0,0.0
202201020555,0.0,0.0
202201020600,0.0,0.0
202201020605,0.0,0.0
202201020610,0.0,0.0
202201020615,0.0,0.0
202201020620,0.0,0.0
202201020625,0.0,0.0
202201020630,0.0,0.0
202201020635,0.0,0.0
202201020645,160.0,2.1
202201020650,0.0,0.0
202201020653,120.0,1.5
202201020655,130.0,2.6
202201020700,150.0,2.1
202201020705,130.0,2.6
202201020710,150.0,2.6
202201020715,130.0,4.1
202201020720,130.0,5.1
202201020725,120.0,3.1
202201020730,140.0,3.1
202201020735,150.0,3.6
202201020745,150.0,3.6
202201020750,140.0,3.1
202201020753,160.0,2.6
202201020755,160.0,2.6
202201020800,120.0,2.1
202201020805,0.0,0.0
202201020810,0.0,0.0
202201020815,130.0,1.5
202201020820,0.0,0.0
202201020825,130.0,2.6
202201020830,120.0,3.1
202201020845,140.0,1.5
202201020850,0.0,0.0
202201020853,0.0,0.0
202201020855,240.0,1.5
202201020900,0.0,0.0
202201020905,230.0,2.1
202201020910,240.0,3.1
202201020915,250.0,3.1
202201020920,260.0,2.6
202201020925,270.0,2.1
202201020930,280.0,2.1
202201020935,290.0,2.1
202201020940,280.0,3.1
202201020945,280.0,2.6
202201020950,280.0,2.6
202201020953,290.0,2.6
202201020955,290.0,3.6
202201021000,280.0,3.6
202201021005,290.0,3.6
202201021010,280.0,3.6
202201021015,280.0,4.1
202201021020,280.0,4.6
202201021025,280.0,4.6
202201021030,280.0,4.6
202201021032,270.0,4.6
202201021035,270.0,5.1
202201021040,270.0,4.6
202201021045,270.0,5.1
202201021050,270.0,4.1
202201021053,270.0,4.1
202201021055,260.0,4.6
202201021100,270.0,3.6
202201021105,270.0,3.6
202201021110,250.0,3.1
202201021115,250.0,2.6
202201021120,220.0,2.1
202201021125,220.0,2.1
202201021130,230.0,2.6
202201021135,240.0,2.1
202201021140,230.0,2.1
202201021145,210.0,2.1
202201021150,210.0,2.6
202201021153,220.0,2.6
202201021155,220.0,2.6
202201021200,200.0,2.1
202201021205,200.0,2.6
202201021210,220.0,2.6
202201021215,220.0,2.6
202201021220,240.0,2.6
202201021225,240.0,2.6
202201021230,220.0,2.1
202201021235,220.0,2.1
202201021240,220.0,2.6
202201021245,210.0,2.6
202201021250,210.0,2.6
202201021253,210.0,2.6
202201021300,220.0,2.1
202201021305,220.0,2.6
202201021310,230.0,2.6
202201021315,220.0,2.6
202201021320,220.0,3.1
202201021330,220.0,4.1
202201021335,230.0,4.1
202201021340,240.0,3.6
202201021345,230.0,3.6
202201021350,240.0,3.6
202201021353,260.0,3.6
202201021355,250.0,4.6
202201021400,250.0,4.6
202201021405,250.0,4.1
202201021409,240.0,4.6
202201021410,240.0,4.1
202201021415,250.0,4.1
202201021420,260.0,4.1
