timestamp string,wind direction,wind speed
202201010015,0.0,0.0
202201010035,70.0,2.1
202201010055,0.0,0.0
202201010115,70.0,1.5
202201010135,0.0,0.0
202201010155,70.0,2.6
202201010215,80.0,2.1
202201010235,100.0,1.5
202201010255,0.0,0.0
202201010315,0.0,0.0
202201010335,0.0,0.0
202201010415,0.0,0.0
202201010435,0.0,0.0
202201010455,0.0,0.0
202201010535,,2.1
202201010555,190.0,3.6
202201010615,190.0,2.6
202201010635,0.0,0.0
202201010655,170.0,1.5
202201010715,170.0,1.5
202201010735,160.0,2.6
202201010755,180.0,3.1
202201010815,190.0,2.6
202201010835,200.0,2.1
202201010855,180.0,3.1
202201010915,190.0,3.1
202201010935,190.0,3.1
202201010955,,2.1
202201011015,190.0,3.1
202201011035,190.0,3.1
202201011055,200.0,2.1
202201011115,200.0,2.1
202201011135,190.0,1.5
202201011155,190.0,2.1
202201011235,200.0,2.1
202201011315,200.0,1.5
202201011335,180.0,2.6
202201011355,200.0,3.6
202201011415,200.0,3.6
202201011435,200.0,2.6
202201011455,220.0,3.1
202201011515,220.0,4.6
202201011535,210.0,6.2
202201011555,200.0,4.6
202201011615,220.0,4.1
202201011635,220.0,5.7
202201011715,210.0,4.1
202201011735,,2.6
202201011755,,2.6
202201011815,220.0,6.7
202201011835,,3.1
202201011855,220.0,4.1
202201011915,230.0,4.1
202201011935,210.0,6.2
202201011955,210.0,4.6
202201012015,200.0,5.1
202201012035,200.0,5.1
202201012055,200.0,4.6
202201012115,210.0,4.1
202201012135,190.0,6.2
202201012235,180.0,7.7
202201012255,190.0,4.6
202201012315,180.0,3.1
202201012335,180.0,4.1
202201012355,180.0,5.1
202201020015,180.0,5.7
202201020035,190.0,6.2
202201020055,200.0,5.7
202201020115,190.0,5.7
202201020135,190.0,7.2
202201020155,190.0,5.7
202201020215,200.0,6.7
202201020235,190.0,3.6
202201020255,200.0,6.2
202201020315,200.0,5.7
202201020335,200.0,5.7
202201020355,210.0,3.6
202201020415,200.0,7.7
202201020435,200.0,5.1
202201020455,210.0,5.7
202201020515,210.0,6.2
202201020535,200.0,7.7
202201020555,210.0,5.1
202201020615,220.0,5.7
202201020635,200.0,5.7
202201020655,200.0,7.7
202201020715,210.0,3.6
202201020755,,2.6
202201020815,0.0,0.0
202201020835,0.0,0.0
202201020855,280.0,5.1
202201020915,260.0,7.7
202201020935,260.0,3.1
202201020955,,2.1
202201021015,,1.5
202201021055,210.0,2.1
202201021115,220.0,1.5
202201021135,240.0,2.1
202201021155,0.0,0.0
202201021215,0.0,0.0
202201021235,180.0,2.6
202201021315,190.0,1.5
202201021335,220.0,2.1
202201021355,240.0,2.1
202201021415,200.0,1.5
202201021435,0.0,0.0
202201021455,0.0,0.0
202201021515,0.0,0.0
202201021535,,1.5
202201021555,250.0,2.1
202201021615,230.0,2.1
202201021635,270.0,2.1
202201021655,250.0,2.1
202201021715,180.0,1.5
202201021735,280.0,2.1
202201021755,0.0,0.0
202201021815,0.0,0.0
202201021835,0.0,0.0
202201021855,280.0,2.6
202201021915,,2.1
202201021935,280.0,3.6
202201021955,270.0,4.1
202201022015,290.0,4.1
202201022035,290.0,4.1
202201022055,,1.5
202201022115,0.0,0.0
202201022135,0.0,0.0
202201022155,0.0,0.0
202201022215,0.0,0.0
202201022235,0.0,0.0
202201022255,0.0,0.0
202201022315,0.0,0.0
202201022335,20.0,5.1
202201022355,10.0,6.2
202201030015,,3.1
202201030035,0.0,0.0
202201030055,20.0,4.6
202201030115,,2.6
202201030135,30.0,3.6
202201030155,0.0,0.0
202201030215,20.0,2.1
202201030235,,3.1
202201030255,280.0,4.1
202201030315,260.0,6.2
202201030335,280.0,5.7
202201030355,300.0,5.1
202201030415,280.0,5.1
202201030435,280.0,6.2
202201030455,280.0,6.2
202201030515,300.0,5.1
202201030535,270.0,6.2
202201030555,280.0,8.2
202201030615,280.0,11.8
202201030635,280.0,10.3
202201030655,280.0,9.8
202201030715,280.0,8.7
202201030735,280.0,9.8
202201030755,280.0,9.3
202201030815,290.0,9.3
202201030855,280.0,9.3
202201030915,280.0,7.7
202201030935,280.0,6.7
202201030955,280.0,6.2
202201031015,280.0,6.2
202201031035,290.0,5.1
202201031055,300.0,5.1
202201031115,300.0,5.7
202201031135,300.0,5.1
202201031155,300.0,6.7
202201031215,310.0,4.6
202201031235,310.0,7.2
202201031255,300.0,6.7
202201031315,290.0,5.7
202201031335,310.0,4.6
202201031355,300.0,6.2
202201031415,310.0,5.1
202201031435,,3.1
202201031455,350.0,4.6
202201031515,340.0,5.7
202201031535,320.0,5.1
202201031555,,4.1
202201031615,10.0,4.1
202201031635,,3.1
202201031655,350.0,4.6
202201031715,320.0,3.6
202201031735,0.0,0.0
202201031755,330.0,5.7
202201031815,,2.6
202201031835,320.0,4.1
202201031855,320.0,5.1
202201031915,310.0,5.1
202201031935,320.0,4.6
202201031955,340.0,4.6
202201032015,320.0,3.6
202201032035,,3.1
202201032055,,2.6
202201032115,330.0,4.6
202201032135,330.0,4.1
202201032155,,3.1
202201032215,,2.6
202201032235,,2.6
202201032315,0.0,0.0
202201032335,0.0,0.0
202201040015,0.0,0.0
202201040035,,2.6
202201040055,0.0,0.0
202201040115,310.0,2.1
202201040135,0.0,0.0
202201040155,0.0,0.0
202201040215,0.0,0.0
202201040235,290.0,2.1
202201040255,280.0,2.1
202201040315,290.0,2.1
202201040335,270.0,2.1
202201040355,270.0,2.6
202201040415,280.0,3.1
202201040435,280.0,2.6
202201040455,270.0,3.1
202201040515,270.0,2.1
202201040535,270.0,1.5
202201040555,270.0,2.1
202201040615,0.0,0.0
202201040635,270.0,1.5
202201040655,270.0,2.1
202201040735,0.0,0.0
202201040755,0.0,0.0
202201040815,0.0,0.0
202201040835,0.0,0.0
202201040855,0.0,0.0
202201040915,0.0,0.0
202201040935,60.0,2.1
202201040955,0.0,0.0
202201041015,0.0,0.0
202201041035,0.0,0.0
202201041055,0.0,0.0
202201041115,0.0,0.0
202201041135,0.0,0.0
202201041155,0.0,0.0
202201041215,0.0,0.0
202201041235,0.0,0.0
202201041255,0.0,0.0
202201041315,0.0,0.0
202201041335,110.0,2.1
202201041355,100.0,2.6
202201041415,100.0,3.1
202201041435,100.0,3.1
202201041455,100.0,3.6
202201041515,,2.1
202201041535,,2.1
202201041555,130.0,3.6
202201041615,130.0,3.6
202201041635,150.0,5.1
202201041655,130.0,4.1
202201041715,150.0,4.1
202201041735,160.0,4.1
202201041755,110.0,4.6
202201041815,130.0,5.1
202201041835,130.0,5.1
202201041855,140.0,4.1
