timestamp string,wind direction,wind speed
202201010003,299.0,0.5
202201010008,281.0,0.6
202201010013,252.0,1.2
202201010018,275.0,0.6
202201010023,292.0,0.3
202201010028,283.0,0.4
202201010033,273.0,0.5
202201010038,256.0,0.5
202201010043,262.0,0.4
202201010048,290.0,0.5
202201010053,288.0,0.6
202201010058,273.0,0.4
202201010103,296.0,0.2
202201010118,279.0,0.6
202201010123,259.0,0.3
202201010128,185.0,0.3
202201010133,294.0,0.3
202201010138,272.0,0.1
202201010143,273.0,0.4
202201010148,290.0,0.2
202201010158,166.0,0.3
202201010208,219.0,0.5
202201010213,4.0,0.7
202201010218,88.0,0.7
202201010223,19.0,0.2
202201010228,283.0,0.3
202201010233,198.0,0.8
202201010238,127.0,0.6
202201010243,3.0,0.8
202201010248,307.0,0.3
202201010258,34.0,0.1
202201010303,111.0,1.6
202201010308,274.0,0.4
202201010313,119.0,0.3
202201010318,348.0,0.1
202201010323,19.0,1.0
202201010328,54.0,1.9
202201010333,171.0,0.6
202201010338,198.0,0.6
202201010408,6.0,1.0
202201010413,349.0,0.5
202201010418,24.0,1.6
202201010423,7.0,1.0
202201010428,54.0,0.8
202201010433,1.0,1.4
202201010438,51.0,2.2
202201010443,82.0,1.3
202201010449,87.0,0.5
202201010454,239.0,1.3
202201010504,13.0,1.0
202201010509,347.0,1.6
202201010514,252.0,1.3
202201010519,17.0,1.9
202201010524,20.0,1.0
202201010529,302.0,0.3
202201010534,33.0,1.4
202201010539,359.0,1.2
202201010544,336.0,0.6
202201010549,350.0,0.3
202201010554,349.0,0.3
202201010559,29.0,2.3
202201010604,349.0,1.1
202201010609,140.0,2.3
202201010914,202.0,0.4
202201010919,35.0,0.4
202201010924,263.0,0.3
202201010929,148.0,1.8
202201010934,99.0,0.8
202201010939,0.0,1.4
202201010944,261.0,0.4
202201010950,99.0,0.9
202201010955,62.0,1.1
202201011000,208.0,1.0
202201011005,84.0,0.3
202201011010,46.0,1.1
202201011015,19.0,1.5
202201011020,47.0,1.9
202201011025,57.0,2.1
202201011030,17.0,1.0
202201011035,12.0,0.3
202201011040,56.0,2.0
202201011045,179.0,1.0
202201011050,102.0,0.5
202201011055,276.0,0.2
202201011100,88.0,0.5
202201011105,331.0,0.3
202201011220,233.0,0.2
202201011225,303.0,0.2
202201011230,84.0,0.6
202201011235,244.0,0.2
202201011240,357.0,0.6
202201011245,76.0,0.8
202201011250,297.0,0.4
202201011255,117.0,0.5
202201011300,0.0,0.5
202201011305,122.0,0.9
202201011310,75.0,0.2
202201011315,39.0,1.0
202201011320,300.0,0.6
202201011325,305.0,0.8
202201011330,3.0,0.8
202201011335,354.0,0.8
202201011340,56.0,0.7
202201011345,63.0,1.8
202201011350,157.0,0.2
202201011400,9.0,0.6
202201011405,7.0,0.9
202201011410,26.0,1.6
202201011415,339.0,0.9
202201011420,355.0,0.3
202201011425,42.0,0.4
202201011430,54.0,1.6
202201011435,98.0,0.8
202201011440,103.0,2.7
202201011445,21.0,0.7
202201011451,110.0,1.1
202201011456,344.0,1.1
202201011501,40.0,0.6
202201011506,32.0,0.6
202201011511,48.0,1.6
202201011516,13.0,1.3
202201011521,39.0,0.8
202201011526,22.0,0.8
202201011531,39.0,1.1
202201011536,58.0,0.8
202201011541,8.0,0.9
202201011546,53.0,1.0
202201011551,73.0,1.5
202201011601,224.0,0.9
202201011606,97.0,0.6
202201011611,320.0,0.5
202201011616,44.0,1.5
202201011621,64.0,1.3
202201011626,48.0,2.0
202201011631,84.0,1.5
202201011636,21.0,2.2
202201011641,326.0,1.9
202201011646,36.0,1.0
202201011651,276.0,0.3
202201011656,349.0,0.7
202201011701,39.0,2.9
202201011706,51.0,3.2
202201011711,95.0,0.4
202201011716,352.0,0.7
202201011721,272.0,1.2
202201011726,72.0,2.3
202201011731,7.0,1.9
202201011736,350.0,2.0
202201011741,274.0,1.2
202201011746,72.0,1.0
202201011751,69.0,0.6
202201011756,233.0,2.1
202201011801,80.0,2.0
202201011806,0.0,1.6
202201011811,288.0,1.7
202201011816,75.0,2.0
202201011821,18.0,2.4
202201011826,115.0,0.4
202201011831,223.0,2.9
202201011836,219.0,0.4
202201011841,37.0,2.5
202201011846,66.0,0.7
202201011856,119.0,2.7
202201011901,286.0,1.3
202201011906,359.0,1.6
202201011911,259.0,1.2
202201011916,340.0,0.6
202201011921,157.0,1.5
202201011926,108.0,0.6
202201011936,86.0,1.0
202201011941,32.0,2.0
202201011946,284.0,1.5
202201011952,28.0,1.6
202201011957,117.0,0.5
202201012002,22.0,0.6
202201012007,1.0,2.6
202201012012,347.0,0.2
202201012017,263.0,0.9
202201012022,237.0,1.8
202201012027,57.0,0.4
202201012032,352.0,2.0
202201012037,286.0,0.8
202201012042,332.0,0.3
202201012047,106.0,2.4
202201012052,45.0,7.2
202201012057,40.0,3.1
202201012102,47.0,1.0
202201012107,46.0,2.1
202201012112,28.0,1.5
202201012117,77.0,0.9
202201012122,47.0,2.5
202201012127,50.0,2.1
202201012132,113.0,1.2
202201012137,73.0,1.2
202201012142,269.0,2.2
202201012147,288.0,0.6
202201012152,32.0,1.0
202201012157,255.0,1.7
202201012202,57.0,0.9
202201012207,239.0,0.6
202201012212,286.0,1.1
202201012217,239.0,0.4
202201012222,61.0,1.5
202201012227,76.0,1.0
202201012232,74.0,1.1
202201012237,71.0,0.4
202201012242,264.0,0.3
202201012247,60.0,2.1
202201012257,220.0,0.4
202201012302,348.0,0.5
202201012307,245.0,2.4
202201012312,349.0,0.8
202201012317,286.0,0.1
202201012322,55.0,1.0
202201012327,271.0,0.2
202201012332,290.0,0.7
202201012337,244.0,1.5
202201012342,41.0,1.0
202201012347,283.0,0.7
202201012352,254.0,0.4
202201012357,342.0,1.2
202201020002,16.0,0.8
202201020007,270.0,1.3
202201020012,346.0,1.5
202201020017,248.0,0.5
202201020022,41.0,2.6
202201020027,285.0,1.8
202201020032,69.0,1.4
202201020037,75.0,1.6
202201020043,348.0,0.7
202201020048,297.0,0.9
202201020053,197.0,1.1
202201020058,145.0,1.7
202201020103,219.0,1.1
202201020108,332.0,0.3
202201020113,80.0,1.7
202201020118,191.0,0.5
202201020123,4.0,1.6
202201020128,228.0,0.3
202201020133,45.0,3.2
202201020138,10.0,0.5
202201020143,13.0,1.2
202201020148,172.0,0.3
202201020153,231.0,1.1
