timestamp string,wind direction,wind speed
202201010000,,2.4
202201010010,,2.1
202201010015,,2.4
202201010020,,2.4
202201010025,,3.2
202201010030,,2.7
202201010035,,2.7
202201010040,,2.6
202201010045,,2.3
202201010050,,1.9
202201010055,,2.0
202201010100,,2.0
202201010105,,2.0
202201010110,,2.0
202201010115,,2.1
202201010120,,2.4
202201010125,,2.3
202201010130,,2.1
202201010135,,2.2
202201010140,,2.0
202201010145,,2.4
202201010150,,2.4
202201010155,,2.6
202201010200,,2.7
202201010205,,2.4
202201010210,,2.4
202201010215,,2.5
202201010220,,2.8
202201010225,,2.8
202201010230,,3.1
202201010235,,2.9
202201010240,,2.7
202201010245,,2.7
202201010250,,3.2
202201010255,,3.3
202201010300,,3.1
202201010305,,3.2
202201010310,,3.1
202201010315,,2.7
202201010325,,2.4
202201010330,,2.3
202201010335,,1.8
202201010340,,1.4
202201010345,,1.2
202201010350,,1.7
202201010355,,2.1
202201010400,,2.2
202201010405,,2.7
202201010410,,2.3
202201010420,,2.5
202201010425,,2.3
202201010430,,2.2
202201010435,,2.4
202201010440,,2.4
202201010445,,2.7
202201010450,,2.8
202201010455,,2.6
202201010500,,2.5
202201010505,,2.1
202201010510,,2.7
202201010515,,2.7
202201010520,,3.0
202201010530,,3.1
202201010535,,2.6
202201010540,,2.8
202201010545,,2.4
202201010550,,2.8
202201010555,,2.4
202201010600,,2.4
202201010610,,2.5
202201010615,,2.4
202201010620,,2.9
202201010625,,3.0
202201010630,,3.0
202201010635,,2.5
202201010640,,2.9
202201010650,,3.5
202201010655,,3.5
202201010705,,3.1
202201010710,,2.8
202201010715,,3.3
202201010720,,2.5
202201010725,,2.6
202201010730,,2.4
202201010735,,2.5
202201010745,,2.7
202201010750,,3.0
202201010755,,2.6
202201010800,,3.1
202201010805,,2.7
202201010810,,3.1
202201010815,,2.9
202201010820,,3.1
202201010825,,3.5
202201010830,,3.0
202201010835,,3.1
202201010840,,3.4
202201010845,,3.0
202201010850,,2.8
202201010855,,3.0
202201010900,,3.3
202201010905,,3.2
202201010910,,2.7
202201010915,,3.3
202201010920,,3.2
202201010925,,3.2
202201010930,,3.0
202201010935,,3.1
202201010940,,3.3
202201010945,,3.2
202201010950,,2.8
202201010955,,3.0
202201011005,,2.7
202201011015,,2.6
202201011020,,2.5
202201011025,,1.9
202201011030,,2.5
202201011035,,2.4
202201011040,,2.5
202201011045,,2.4
202201011050,,2.5
202201011055,,2.1
202201011100,,1.9
202201011105,,1.8
202201011110,,2.3
202201011115,,2.4
202201011120,,2.5
202201011125,,2.6
202201011130,,2.8
202201011135,,3.2
202201011140,,2.7
202201011150,,2.9
202201011155,,2.9
202201011200,,3.0
202201011205,,2.7
202201011210,,2.7
202201011215,,2.5
202201011220,,3.0
202201011225,,2.8
202201011230,,3.0
202201011235,,2.9
202201011240,,2.5
202201011245,,2.6
202201011250,,2.6
202201011255,,2.5
202201011300,,2.7
202201011305,,2.5
202201011310,,3.0
202201011315,,2.7
202201011320,,3.3
202201011325,,3.0
202201011330,,3.3
202201011335,,3.1
202201011340,,3.0
202201011345,,3.2
202201011350,,3.7
202201011355,,3.1
202201011400,,3.5
202201011405,,3.0
202201011410,,3.1
202201011415,,3.6
202201011420,,4.1
202201011425,,3.9
202201011430,,3.3
202201011435,,3.9
202201011440,,3.2
202201011445,,3.4
202201011450,,3.6
202201011455,,4.1
202201011500,,3.7
202201011505,,3.6
202201011510,,4.5
202201011515,,4.1
202201011520,,3.9
202201011525,,4.9
202201011530,,5.4
202201011535,,4.7
202201011540,,5.8
202201011545,,5.2
202201011550,,5.1
202201011555,,5.3
202201011600,,4.5
202201011610,,5.3
202201011615,,5.3
202201011620,,4.7
202201011625,,4.3
202201011635,,6.0
202201011640,,5.7
202201011645,,5.2
202201011650,,6.9
202201011655,,5.8
202201011700,,4.3
202201011705,,5.2
202201011710,,4.7
202201011715,,4.4
202201011720,,5.2
202201011725,,4.8
202201011730,,4.6
202201011735,,5.1
202201011740,,5.8
202201011745,,5.7
202201011750,,4.7
202201011755,,5.1
202201011800,,4.9
202201011805,,5.4
202201011810,,5.4
202201011815,,6.5
202201011820,,6.3
202201011825,,6.1
202201011830,,5.2
202201011835,,5.3
202201011840,,4.7
202201011845,,5.4
202201011850,,6.7
202201011855,,4.9
202201011900,,6.4
202201011905,,4.9
202201011910,,6.0
202201011915,,6.0
202201011925,,5.5
202201011935,,5.1
202201011940,,4.8
202201011945,,4.5
202201011950,,5.2
202201011955,,4.1
202201012000,,4.2
202201012005,,4.3
202201012010,,6.2
202201012015,,5.0
202201012020,,4.5
202201012025,,4.1
202201012030,,3.8
202201012035,,4.5
202201012040,,4.5
202201012045,,4.0
202201012050,,3.2
202201012055,,3.1
202201012100,,3.5
202201012105,,2.9
202201012110,,3.7
202201012115,,3.6
202201012120,,3.8
202201012125,,3.1
202201012130,,2.9
202201012135,,2.8
202201012140,,2.6
202201012145,,1.5
202201012150,,2.4
202201012155,,2.6
202201012200,,4.4
202201012205,,5.4
202201012210,,5.1
202201012215,,4.5
202201012220,,4.8
202201012225,,4.4
202201012230,,4.6
202201012235,,4.9
202201012240,,5.9
202201012245,,5.4
202201012250,,6.0
202201012255,,4.9
202201012300,,5.3
202201012305,,4.7
202201012310,,4.6
202201012315,,5.1
202201012320,,5.1
202201012325,,5.0
202201012330,,4.1
202201012335,,3.7
202201012340,,4.0
202201012345,,3.8
202201012350,,3.8
202201012355,,3.6
202201020000,,3.6
202201020005,,3.0
202201020010,,3.7
202201020015,,4.3
202201020020,,3.8
202201020025,,4.8
202201020035,,4.4
202201020040,,4.3
202201020045,,4.9
202201020050,,5.0
202201020055,,4.2
202201020100,,3.6
202201020105,,4.3
202201020110,,3.9
202201020120,,4.2
202201020125,,4.0
202201020130,,4.5
202201020135,,4.8
202201020140,,3.5
202201020145,,4.0
202201020150,,3.9
202201020155,,4.2
202201020200,,3.9
202201020205,,3.8
202201020215,,5.9
202201020220,,5.1
202201020225,,4.1
202201020230,,4.6
202201020235,,5.4
202201020240,,4.3
202201020245,,4.4
202201020250,,4.4
202201020255,,3.9
202201020300,,4.5
202201020305,,4.4
202201020310,,5.4
202201020315,,4.6
202201020320,,4.2
202201020325,,4.4
202201020330,,5.5
202201020335,,4.0
202201020340,,5.8
202201020345,,4.3
202201020350,,4.4
202201020355,,5.0
202201020400,,5.0
202201020405,,5.5
202201020410,,3.7
202201020415,,4.9
202201020420,,4.1
202201020425,,5.2
202201020430,,4.8
202201020435,,4.3
202201020440,,3.9
202201020445,,4.7
202201020450,,4.7
202201020455,,4.3
202201020505,,3.9
202201020510,,4.6
202201020515,,5.0
202201020520,,5.4
202201020530,,3.7
202201020535,,3.3
202201020540,,4.7
202201020545,,4.7
202201020550,,4.6
202201020555,,5.4
202201020600,,5.2
202201020605,,6.2
202201020610,,6.4
202201020615,,6.5
202201020625,,6.3
202201020630,,4.2
202201020635,,2.3
202201020640,,4.6
202201020645,,5.0
202201020650,,4.6
202201020655,,5.2
202201020700,,5.4
202201020705,,4.3
202201020710,,5.3
202201020715,,5.3
202201020720,,5.1
202201020725,,5.6
202201020730,,4.1
202201020740,,2.9
202201020745,,2.7
202201020750,,3.3
202201020755,,3.0
202201020800,,5.3
202201020805,,2.2
202201020810,,2.6
202201020815,,3.3
202201020820,,1.5
202201020825,,2.4
202201020830,,2.3
202201020835,,0.7
202201020840,,0.5
202201020845,,1.4
202201020850,,1.2
202201020900,,0.8
202201020905,,1.4
202201020910,,0.5
202201020915,,0.9
202201020920,,0.5
202201020925,,0.8
202201020930,,1.3
202201020935,,1.6
202201020940,,1.3
202201020945,,1.6
202201020950,,1.6
202201020955,90.0,2.1
202201021000,,1.5
202201021010,,1.4
202201021015,,1.1
202201021020,301.0,1.2
202201021025,,1.1
202201021030,,0.7
202201021035,,0.8
202201021040,,0.6
202201021045,,0.8
202201021050,,1.2
202201021055,,0.7
202201021100,,0.2
202201021105,,0.3
202201021110,,0.1
202201021115,,0.0
202201021120,,0.0
202201021125,,0.0
202201021130,,0.0
202201021135,,0.7
202201021140,,1.2
202201021145,,1.3
202201021155,,0.4
202201021200,,1.3
202201021205,,1.0
202201021210,,1.0
202201021215,208.0,0.9
202201021220,,0.9
202201021225,,0.5
202201021230,,0.6
202201021235,,1.0
202201021240,,0.2
202201021245,,1.3
202201021250,,1.3
202201021255,131.0,0.8
202201021300,,1.4
202201021305,,1.6
202201021310,,1.4
202201021315,,0.5
202201021320,,0.2
202201021325,,0.1
202201021330,,0.4
202201021335,,0.0
202201021340,,0.0
202201021345,,0.0
202201021350,,0.0
202201021355,,0.0
202201021400,,0.4
202201021405,,0.8
202201021410,,1.0
202201021415,,1.1
202201021420,,1.3
202201021425,,1.2
202201021430,,1.0
202201021440,,0.9
202201021445,,0.6
202201021450,,0.2
202201021455,,0.6
202201021500,,0.3
202201021505,,0.0
202201021510,,1.0
202201021515,,1.7
202201021520,,0.2
202201021525,,0.0
202201021530,,0.5
202201021535,,0.7
202201021540,66.0,1.2
202201021545,,1.3
202201021550,,1.4
202201021555,,0.9
202201021600,,1.1
202201021605,,1.2
202201021610,,0.3
202201021615,,0.6
202201021620,,1.1
202201021625,,1.0
202201021630,,1.0
202201021635,,1.1
202201021640,,2.2
202201021645,,2.2
202201021650,183.0,1.7
202201021655,307.0,1.7
202201021700,,1.2
202201021705,,1.1
202201021710,,2.2
202201021715,,1.3
202201021720,,1.7
202201021725,,1.7
202201021730,,1.4
