timestamp string,wind direction,wind speed
202201111800,182.2,2.6
202201111900,199.0,3.1
202201112000,186.8,3.2
202201112100,186.3,3.3
202201112200,186.4,3.5
202201112300,173.6,2.7
202201120000,161.9,2.6
202201120100,166.0,2.7
202201120200,192.2,3.6
202201120300,180.7,4.2
202201120400,190.5,3.9
202201120500,198.6,3.4
202201120600,198.8,2.7
202201120700,189.3,3.0
202201120800,186.9,3.4
202201120900,185.3,3.1
202201121000,178.4,3.4
202201121100,192.2,3.4
202201121200,196.1,3.4
202201121300,197.6,2.6
202201121400,194.6,2.6
202201121500,193.5,3.4
202201121600,208.5,4.5
202201121700,212.0,4.5
202201121800,204.1,3.4
202201121900,220.6,4.2
202201122000,215.8,4.0
202201122100,220.9,3.8
202201122200,211.5,3.2
202201122300,194.6,1.1
202201130000,155.8,0.6
202201130100,164.0,1.1
202201130200,182.6,0.9
202201130300,184.1,1.3
202201130400,169.3,1.3
202201130500,166.3,0.8
202201130600,194.9,1.6
202201130700,191.9,1.3
202201130800,188.5,1.5
202201130900,208.9,1.5
202201131000,187.9,1.2
202201131100,183.7,1.1
202201131200,207.0,1.1
202201131300,193.3,0.6
202201131400,181.1,0.2
202201131500,234.0,1.2
202201131600,241.4,1.6
202201131700,270.6,2.2
202201131800,291.1,2.7
202201131900,284.7,2.9
202201132100,322.1,3.8
202201132200,302.6,2.9
202201132300,311.8,2.6
202201140000,306.4,1.6
202201140100,303.8,2.0
202201140200,320.0,2.3
202201140300,315.3,2.1
202201140400,327.7,1.9
202201140500,328.3,1.4
202201140600,286.0,1.4
202201140700,116.3,1.3
202201140800,172.1,1.9
202201140900,233.3,1.1
202201141000,21.6,0.2
202201141100,6.7,0.1
202201141200,83.0,0.7
202201141300,216.5,0.9
202201141500,29.8,1.6
202201141600,36.1,1.5
202201141700,52.9,1.6
202201141800,63.5,1.5
202201141900,86.6,1.5
202201142000,48.5,1.3
202201142100,31.6,1.6
202201142200,63.9,1.7
202201142300,44.7,1.2
202201150000,57.6,1.1
202201150100,65.1,1.7
202201150200,57.9,1.5
202201150300,64.9,1.5
202201150400,55.6,1.0
202201150500,73.5,1.7
202201150600,80.8,2.5
202201150700,82.7,2.9
202201150800,89.8,2.9
202201150900,101.3,3.0
202201151000,72.8,2.6
202201151100,80.0,2.8
202201151200,76.6,3.1
202201151300,72.4,3.3
202201151400,79.1,3.6
202201151500,75.7,4.1
202201151600,69.1,4.5
202201151700,62.8,4.0
202201151800,67.3,3.8
202201151900,60.5,3.9
202201152000,73.6,4.1
202201152100,57.0,4.3
202201152200,68.1,3.7
202201152300,37.5,3.3
202201160000,50.4,3.1
202201160100,61.6,3.1
202201160200,37.7,3.4
202201160300,36.1,3.8
202201160400,58.5,3.5
202201160500,69.4,3.9
202201160600,39.7,3.2
202201160700,37.4,2.9
202201160800,25.4,2.8
202201160900,32.8,2.8
202201161000,37.2,2.8
202201161100,43.5,2.9
202201161200,82.5,2.9
202201161300,34.0,1.9
202201161400,25.3,2.2
202201161500,20.6,2.8
202201161600,141.8,3.4
202201161700,285.7,3.8
202201161800,263.5,3.8
202201161900,291.0,4.4
202201162000,274.4,4.0
202201162100,317.2,4.2
202201162200,270.4,4.8
202201162300,327.5,4.3
202201170000,315.9,3.4
202201170100,322.4,3.1
202201170200,312.3,3.3
202201170300,307.5,3.3
202201170400,311.8,3.4
202201170500,310.2,3.5
202201170600,309.4,3.5
202201170700,297.1,3.1
202201170800,293.5,2.1
202201170900,291.0,2.5
202201171000,251.7,2.2
202201171100,298.6,3.3
202201171200,313.8,3.2
202201171300,298.9,2.2
202201171400,290.4,2.4
202201171500,300.1,3.1
202201171600,286.2,2.5
202201171700,302.3,2.8
202201171800,291.6,2.9
202201171900,305.9,2.5
202201172000,272.5,2.7
202201172100,280.8,2.8
202201172200,277.5,3.0
202201172300,288.8,2.7
202201180000,292.9,1.7
202201180100,285.7,1.0
202201180200,252.0,0.5
202201180300,217.9,0.4
202201180500,189.6,0.4
202201180600,169.3,0.3
202201180700,187.4,0.4
202201180800,202.8,0.2
202201180900,149.2,0.2
202201181000,177.0,0.2
202201181100,159.3,0.3
202201181200,94.4,0.3
202201181300,144.6,0.5
202201181400,128.0,0.9
202201181500,155.2,1.3
202201181700,172.6,2.6
202201181800,181.1,2.8
202201181900,165.6,3.3
202201182000,154.9,3.2
202201182100,158.9,3.4
202201182200,165.3,3.2
202201182300,157.4,2.6
202201190000,169.7,2.7
202201190100,168.1,3.5
202201190200,170.1,4.1
202201190300,178.7,4.7
202201190400,180.7,4.6
202201190500,190.2,3.8
202201190600,182.3,3.4
202201190700,172.7,3.6
202201190800,180.6,3.5
202201190900,178.7,3.5
202201191000,187.8,2.9
202201191100,183.8,2.6
202201191200,176.3,2.6
202201191300,176.9,2.1
202201191400,187.9,1.8
202201191500,201.5,1.8
202201191600,217.1,2.7
202201191700,254.8,2.5
202201191800,301.0,2.2
202201191900,318.0,3.1
202201192000,319.8,3.6
202201192100,315.9,2.4
202201192200,300.2,3.7
202201192300,325.9,5.4
202201200000,330.1,5.6
202201200200,222.8,5.7
202201200400,337.4,5.6
202201200500,223.7,6.0
202201200600,292.0,5.9
202201200700,342.9,5.3
202201200800,335.9,5.2
202201200900,329.7,5.4
202201201000,281.7,5.3
202201201100,327.2,5.0
202201201200,278.8,3.9
202201201300,347.1,4.0
202201201400,340.2,4.1
202201201500,176.3,4.2
202201201600,176.0,4.0
202201201700,279.5,4.2
202201201800,172.3,3.9
202201201900,121.6,3.6
202201202000,165.7,3.2
202201202100,328.0,3.4
202201202200,273.3,3.3
202201202300,174.5,2.6
202201210000,71.5,2.7
202201210100,21.6,3.2
202201210200,27.3,2.6
202201210300,34.8,2.4
202201210400,81.7,2.0
202201210500,21.5,1.9
202201210600,31.9,2.0
202201210700,37.2,2.0
202201210800,52.8,1.8
202201210900,76.4,2.0
202201211000,42.1,1.6
202201211100,64.6,1.6
202201211300,70.7,2.2
202201211400,40.2,2.7
202201211500,34.1,3.0
202201211600,41.5,2.9
202201211700,86.4,2.7
202201211800,104.0,2.7
202201211900,90.7,2.5
202201212000,143.8,2.3
202201212100,82.8,2.3
202201212200,147.8,1.7
202201212300,28.5,1.5
202201220000,86.2,1.2
202201220100,44.5,1.0
202201220200,44.7,0.9
202201220300,63.8,0.8
202201220400,50.2,1.2
202201220500,48.5,1.4
202201220600,25.0,1.2
202201220700,129.3,0.3
202201220800,137.6,0.4
202201220900,39.9,0.4
202201221000,96.7,0.2
202201221100,87.0,0.0
202201221300,123.3,0.1
202201221400,175.9,0.6
202201221500,204.2,1.7
202201221600,217.3,2.2
202201221700,229.6,3.0
202201221800,208.7,3.8
202201221900,236.6,3.3
202201222000,204.2,3.5
202201222100,219.8,3.6
202201222200,222.0,4.0
202201222300,205.1,3.3
202201230000,206.5,1.6
202201230100,187.3,1.0
202201230200,181.7,0.8
202201230300,188.9,1.1
202201230400,200.4,1.3
202201230500,197.3,1.5
202201230600,192.2,1.7
202201230700,198.1,1.9
202201230800,190.8,2.2
202201230900,174.9,2.0
202201231000,181.5,2.3
202201231200,187.0,2.8
202201231300,200.6,2.8
202201231400,194.8,3.8
202201231500,205.5,4.1
202201231600,216.2,3.7
202201231700,226.1,3.3
202201231900,296.7,4.4
202201232000,324.7,5.4
202201232100,322.3,6.0
202201232200,269.8,4.6
202201232300,278.4,3.7
202201240000,322.8,1.7
202201240100,335.4,2.6
202201240200,273.3,1.9
202201240300,220.7,0.1
202201240500,241.5,0.0
202201240600,168.2,0.1
202201240700,122.6,0.1
202201240800,167.0,0.1
202201240900,169.7,0.9
202201241000,168.5,2.3
202201241100,183.4,2.6
202201241200,187.1,3.1
202201241300,172.4,2.8
202201241400,185.0,3.3
202201241500,183.1,3.8
202201241600,189.2,3.9
202201241700,198.4,3.7
202201241800,224.3,4.5
202201241900,231.6,4.1
202201242000,228.9,4.1
202201242100,232.8,2.7
202201242200,244.5,2.1
202201242300,240.4,1.4
202201250000,230.0,1.4
202201250100,263.6,1.6
202201250200,295.0,1.4
202201250300,308.2,4.0
202201250400,307.9,3.8
202201250500,313.0,3.6
202201250600,329.1,4.3
202201250700,330.2,4.3
202201250800,169.6,5.2
202201250900,169.4,5.2
202201251000,230.2,4.8
202201251100,283.4,4.3
202201251200,284.7,3.2
202201251300,282.5,3.0
202201251400,224.6,3.3
202201251500,333.9,3.5
202201251600,284.2,3.4
202201251700,276.0,3.2
202201251800,337.0,4.2
