timestamp string,wind direction,wind speed
202201010010,195.3,5.2
202201010019,198.6,4.8
202201010029,205.1,4.3
202201010040,208.6,4.0
202201010049,217.0,4.1
202201010059,218.9,3.8
202201010109,212.3,4.2
202201010119,201.9,7.1
202201010129,202.8,6.6
202201010139,205.5,4.8
202201010150,204.6,5.6
202201010200,203.7,6.4
202201010209,209.8,7.0
202201010220,226.0,6.8
202201010229,215.8,4.9
202201010239,211.0,4.0
202201010249,212.4,6.5
202201010300,218.2,5.2
202201010309,227.3,5.2
202201010319,228.3,6.9
202201010330,230.0,4.2
202201010339,215.0,4.9
202201010350,212.0,4.5
202201010400,232.2,3.5
202201010409,247.9,5.8
202201010419,241.7,2.6
202201010440,239.3,8.1
202201010449,237.6,9.0
202201010459,229.3,5.7
202201010510,237.3,3.8
202201010519,232.7,3.8
202201010539,235.6,3.2
202201010549,235.2,4.1
202201010559,245.5,2.7
202201010610,250.5,3.3
202201010619,245.2,2.7
202201010629,247.4,2.7
202201010639,245.3,2.8
202201010650,248.7,3.0
202201010700,265.4,3.9
202201010709,271.4,1.9
202201010720,271.8,2.6
202201010730,278.4,1.3
202201010740,270.7,1.4
202201010749,266.8,1.0
202201010759,265.7,0.4
202201010809,274.5,0.6
202201010819,271.2,1.1
202201010829,254.7,1.9
202201010839,229.9,1.0
202201010849,235.6,1.5
202201010859,251.5,1.6
202201010910,222.4,2.1
202201010920,177.5,1.1
202201010929,195.1,1.3
202201010939,232.2,1.7
202201010949,204.0,1.3
202201010959,239.0,3.8
202201011009,259.5,1.6
202201011019,246.0,2.2
202201011029,273.9,1.1
202201011049,260.2,2.3
202201011059,309.5,0.5
202201011109,235.7,2.0
202201011119,222.8,2.1
202201011129,226.3,0.6
202201011139,350.1,1.6
202201011149,239.7,1.4
202201011159,193.4,2.9
202201011209,187.5,0.8
202201011219,129.6,1.5
202201011230,146.8,1.7
202201011239,169.5,1.3
202201011249,69.9,1.8
202201011309,189.4,2.7
202201011320,184.8,2.4
202201011339,224.0,2.5
202201011350,198.8,1.3
202201011359,150.2,2.3
202201011409,150.2,2.4
202201011419,124.4,0.9
202201011429,174.7,2.9
202201011439,176.1,1.8
202201011449,192.6,1.5
202201011459,142.2,1.4
202201011509,197.5,2.8
202201011519,152.1,1.9
202201011530,169.3,1.5
202201011539,176.8,1.6
202201011549,148.5,0.7
202201011559,119.8,1.2
202201011609,83.7,0.7
202201011619,105.8,0.7
202201011629,114.6,1.2
202201011639,73.5,1.5
202201011649,9.5,1.4
202201011659,14.1,1.5
202201011709,27.5,4.6
202201011719,34.4,6.5
202201011729,24.5,3.9
202201011739,1.4,2.8
202201011749,334.4,4.5
202201011759,343.7,2.8
202201011810,352.3,5.8
202201011819,349.4,2.3
202201011830,349.4,1.5
202201011839,350.7,3.3
202201011849,344.9,2.2
202201011900,355.1,2.1
202201011910,4.6,1.9
202201011919,20.4,4.0
202201011929,14.9,2.1
202201011939,29.0,0.9
202201011949,344.2,1.7
202201011959,16.0,1.8
202201012009,19.0,1.5
202201012029,102.9,0.8
202201012039,20.1,1.2
202201012049,13.0,0.9
202201012059,122.2,1.9
202201012109,191.2,1.8
202201012119,197.9,2.4
202201012129,160.3,1.7
202201012139,152.1,1.7
202201012149,166.5,2.6
202201012200,147.4,1.6
202201012209,142.8,1.1
202201012219,155.7,1.6
202201012229,163.1,2.4
202201012239,176.7,2.0
202201012249,169.5,1.5
202201012259,151.6,1.1
202201012309,149.6,1.9
202201012329,179.4,1.4
202201012339,176.2,3.7
202201012350,174.3,3.1
202201012359,179.6,3.2
202201020010,182.8,4.3
202201020019,164.2,6.0
202201020029,163.1,3.5
202201020049,,
202201020059,180.6,3.9
202201020109,168.3,4.9
202201020119,191.0,4.4
202201020129,172.5,4.5
202201020139,182.8,3.8
202201020149,169.3,5.0
202201020159,187.8,3.5
202201020209,189.6,3.2
202201020230,186.1,0.4
202201020240,218.7,1.8
202201020249,256.0,1.5
202201020300,293.6,3.2
202201020309,303.8,3.7
202201020320,295.0,1.5
202201020330,288.9,1.8
202201020339,248.3,1.6
202201020349,228.4,
202201020359,218.5,2.0
202201020410,221.1,1.2
202201020420,204.5,2.5
202201020429,211.0,1.4
202201020439,230.6,1.2
202201020449,221.0,2.4
202201020459,223.1,2.2
202201020509,210.5,2.7
202201020519,213.3,2.0
202201020539,245.6,3.3
202201020559,292.4,3.9
202201020609,297.3,6.1
202201020619,299.3,4.2
202201020629,308.0,6.1
202201020639,326.3,5.1
202201020649,327.1,3.8
202201020659,315.5,3.0
202201020709,302.5,4.4
202201020719,308.2,3.0
202201020729,313.5,3.4
202201020739,298.9,2.8
202201020749,287.2,3.8
202201020759,289.5,3.5
202201020809,288.9,3.8
202201020819,282.2,3.8
202201020829,286.4,3.1
202201020839,284.7,3.5
202201020850,288.4,4.8
202201020859,298.7,2.8
202201020909,305.1,4.2
202201020919,307.0,3.4
202201020929,305.7,3.0
202201020939,300.7,5.0
202201020949,311.5,4.6
202201021000,300.2,4.2
202201021009,292.4,2.5
202201021019,293.3,4.5
202201021030,301.4,7.2
202201021039,293.2,6.9
202201021049,298.9,5.4
202201021059,294.0,5.3
202201021110,303.9,6.0
202201021119,295.3,4.3
202201021129,301.2,2.7
202201021139,306.2,4.2
202201021149,292.0,3.4
202201021159,289.0,3.7
202201021209,305.2,2.4
202201021219,308.1,3.8
202201021229,304.5,2.5
202201021239,288.5,
202201021249,284.2,3.1
202201021259,296.2,3.2
202201021309,299.5,3.8
202201021319,300.2,4.1
202201021329,303.3,4.5
202201021339,300.6,3.2
202201021349,298.2,4.5
202201021359,290.5,2.7
202201021409,295.2,5.4
202201021419,308.5,7.0
202201021429,322.4,5.6
202201021440,326.4,3.4
202201021449,334.9,3.4
202201021459,317.9,4.4
202201021509,323.1,5.6
202201021519,323.7,3.6
202201021530,312.3,2.9
202201021539,315.7,5.3
202201021549,334.9,4.4
202201021559,343.2,2.1
202201021609,317.8,2.7
202201021619,330.5,2.8
202201021629,330.2,2.4
202201021639,336.2,2.3
202201021649,330.7,4.2
202201021659,317.8,2.0
202201021709,315.6,3.2
202201021719,331.5,3.6
202201021730,333.7,3.9
202201021739,351.9,4.3
202201021749,336.9,4.6
202201021800,344.4,3.3
202201021809,347.0,4.0
202201021830,352.1,3.7
202201021840,332.9,3.3
202201021849,327.1,4.6
202201021859,341.6,4.5
202201021909,335.9,3.0
202201021919,346.9,3.9
202201021929,338.0,2.9
202201021939,340.8,3.0
202201021949,341.4,5.8
202201021959,355.5,2.7
202201022009,351.9,4.3
202201022019,1.2,4.5
202201022029,1.3,4.1
202201022039,4.1,3.1
202201022049,10.8,5.0
202201022059,12.3,4.4
202201022110,7.7,3.2
202201022120,17.3,6.3
202201022130,16.0,5.2
202201022139,15.6,6.1
202201022149,13.1,6.0
