timestamp string,wind direction,wind speed
202201010000,180.0,2.7
202201010005,180.0,1.3
202201010010,202.5,2.7
202201010015,202.5,1.8
202201010020,202.5,1.8
202201010025,180.0,2.7
202201010030,180.0,1.8
202201010035,202.5,2.7
202201010040,202.5,2.2
202201010045,202.5,2.7
202201010050,202.5,2.7
202201010055,202.5,2.7
202201010100,202.5,1.3
202201010105,202.5,2.2
202201010110,202.5,2.7
202201010115,225.0,1.8
202201010120,202.5,1.8
202201010125,202.5,1.8
202201010130,202.5,0.9
202201010135,202.5,1.3
202201010140,202.5,2.2
202201010145,202.5,1.8
202201010150,202.5,2.2
202201010155,225.0,1.8
202201010200,225.0,1.8
202201010205,202.5,1.8
202201010210,202.5,1.3
202201010215,202.5,3.1
202201010220,225.0,1.8
202201010225,202.5,1.8
202201010230,202.5,1.8
202201010235,202.5,2.2
202201010240,225.0,1.8
202201010245,225.0,1.8
202201010250,202.5,2.2
202201010255,202.5,2.7
202201010300,202.5,2.7
202201010305,225.0,1.8
202201010310,202.5,1.8
202201010315,202.5,2.2
202201010320,225.0,1.3
202201010330,247.5,1.3
202201010335,270.0,0.9
202201010340,270.0,0.9
202201010345,247.5,1.3
202201010350,225.0,0.9
202201010355,202.5,0.9
202201010405,247.5,0.9
202201010410,247.5,0.9
202201010415,292.5,0.9
202201010420,270.0,0.4
202201010425,270.0,0.4
202201010430,292.5,0.4
202201010435,225.0,1.3
202201010440,270.0,0.9
202201010445,202.5,0.4
202201010450,202.5,0.9
202201010500,247.5,0.9
202201010505,247.5,0.9
202201010510,247.5,0.4
202201010515,202.5,0.0
202201010520,0.0,0.0
202201010525,67.5,0.4
202201010530,112.5,0.0
202201010535,45.0,0.0
202201010540,247.5,0.0
202201010545,225.0,0.0
202201010550,157.5,0.0
202201010555,157.5,0.0
202201010600,157.5,0.0
202201010605,0.0,0.0
202201010610,337.5,0.4
202201010615,270.0,0.4
202201010620,292.5,0.4
202201010625,270.0,0.4
202201010630,202.5,0.0
202201010635,292.5,0.9
202201010640,292.5,0.9
202201010645,292.5,1.3
202201010650,292.5,0.9
202201010655,225.0,1.3
202201010700,202.5,0.4
202201010705,135.0,1.3
202201010710,112.5,0.9
202201010715,202.5,0.9
202201010720,135.0,0.9
202201010730,315.0,0.9
202201010735,270.0,0.0
202201010740,202.5,0.4
202201010745,112.5,0.0
202201010750,135.0,0.4
202201010755,135.0,0.4
202201010800,180.0,0.4
202201010805,0.0,0.0
