timestamp string,wind direction,wind speed
202201010000,202.5,2.7
202201010005,202.5,2.7
202201010010,202.5,2.2
202201010015,225.0,2.2
202201010020,225.0,2.2
202201010025,225.0,3.1
202201010030,225.0,3.6
202201010035,202.5,3.6
202201010040,202.5,4.0
202201010045,202.5,4.5
202201010050,202.5,4.5
202201010055,202.5,4.5
202201010100,202.5,4.0
202201010110,202.5,4.0
202201010115,202.5,4.5
202201010120,225.0,4.5
202201010125,225.0,4.0
202201010130,225.0,3.6
202201010135,225.0,3.6
202201010140,225.0,4.0
202201010145,225.0,3.6
202201010150,225.0,4.0
202201010155,225.0,3.6
202201010200,225.0,3.1
202201010205,202.5,3.1
202201010210,225.0,3.1
202201010220,225.0,2.2
202201010225,225.0,1.8
202201010230,202.5,1.8
202201010235,202.5,1.8
202201010240,202.5,1.8
202201010245,202.5,2.2
202201010250,225.0,2.7
202201010255,202.5,2.2
202201010300,202.5,2.7
202201010305,180.0,3.1
202201010310,180.0,2.7
202201010315,180.0,2.2
202201010320,180.0,2.7
202201010325,180.0,2.7
202201010330,180.0,2.7
202201010335,202.5,2.7
202201010340,202.5,2.7
202201010345,202.5,2.2
202201010350,202.5,2.2
202201010355,202.5,1.8
202201010400,202.5,1.8
202201010405,202.5,2.2
202201010410,202.5,2.2
202201010415,202.5,2.2
202201010420,202.5,1.8
202201010425,202.5,2.2
202201010430,202.5,2.2
202201010435,202.5,1.8
202201010440,202.5,1.8
202201010445,180.0,2.2
202201010450,202.5,1.8
202201010455,202.5,1.8
202201010500,202.5,1.3
202201010505,202.5,1.3
202201010510,202.5,1.3
202201010515,202.5,1.8
202201010520,202.5,1.8
202201010525,180.0,1.8
202201010530,180.0,2.2
202201010535,180.0,2.2
202201010540,180.0,2.2
202201010545,180.0,2.2
202201010550,202.5,1.3
202201010555,247.5,0.9
202201010600,247.5,0.9
202201010605,292.5,1.8
202201010615,292.5,1.8
202201010620,270.0,1.8
202201010625,247.5,0.9
202201010630,315.0,0.9
202201010635,225.0,0.9
202201010640,135.0,0.9
202201010645,157.5,1.8
202201010650,90.0,1.3
202201010655,22.5,1.3
202201010700,22.5,1.3
202201010705,90.0,0.9
202201010710,135.0,1.3
202201010715,157.5,2.7
202201010720,135.0,1.3
202201010725,45.0,0.9
202201010730,225.0,0.9
202201010735,292.5,1.3
202201010740,157.5,1.8
202201010745,180.0,3.1
202201010750,202.5,4.5
202201010755,225.0,2.7
202201010800,225.0,1.8
202201010805,292.5,0.4
202201010810,247.5,1.3
202201010815,225.0,0.9
202201010820,157.5,2.2
202201010825,247.5,1.3
202201010830,292.5,1.8
202201010835,270.0,1.3
202201010845,135.0,0.9
202201010850,180.0,1.3
202201010855,225.0,1.8
202201010900,247.5,0.9
202201010910,315.0,3.6
202201010915,315.0,3.1
202201010920,337.5,2.7
202201010925,315.0,2.7
202201010930,0.0,2.7
202201010935,315.0,4.5
202201010940,315.0,4.9
202201010945,337.5,5.4
202201010950,315.0,2.7
202201010955,315.0,2.2
202201011000,315.0,2.2
202201011005,315.0,1.3
202201011015,157.5,0.4
202201011020,202.5,0.4
202201011025,67.5,0.4
202201011030,270.0,0.4
202201011035,292.5,3.1
202201011040,292.5,2.7
202201011045,337.5,2.7
202201011050,270.0,1.8
202201011055,202.5,1.8
202201011100,180.0,1.3
202201011105,157.5,1.3
202201011110,157.5,1.8
202201011115,157.5,2.2
202201011120,157.5,2.2
202201011125,157.5,1.8
202201011130,135.0,2.2
202201011135,157.5,1.8
202201011140,135.0,1.8
202201011145,157.5,2.2
202201011150,157.5,2.2
202201011155,112.5,2.2
202201011200,112.5,1.8
202201011205,135.0,2.7
202201011210,112.5,3.6
202201011215,135.0,1.8
202201011220,135.0,1.8
202201011225,112.5,2.2
202201011230,112.5,3.1
202201011240,135.0,2.7
202201011245,135.0,4.0
202201011250,135.0,4.5
202201011255,135.0,4.5
202201011300,135.0,4.5
202201011305,135.0,3.6
202201011310,180.0,4.0
202201011315,337.5,6.3
202201011320,315.0,4.5
202201011325,45.0,2.7
202201011330,315.0,3.1
202201011340,270.0,1.8
202201011345,112.5,1.3
202201011350,90.0,2.2
202201011355,112.5,4.0
202201011400,112.5,3.6
202201011405,90.0,3.6
202201011410,22.5,2.2
202201011415,0.0,4.0
202201011420,292.5,4.9
202201011425,225.0,2.7
202201011430,292.5,2.7
202201011435,0.0,2.2
202201011440,337.5,2.7
202201011445,0.0,5.4
202201011450,315.0,4.5
202201011455,315.0,3.1
202201011500,337.5,2.2
202201011505,337.5,4.0
202201011510,0.0,5.4
202201011515,337.5,4.9
202201011520,22.5,5.4
202201011525,337.5,4.5
202201011530,337.5,5.8
202201011540,337.5,4.0
202201011545,0.0,5.8
202201011550,0.0,3.1
202201011555,0.0,3.1
202201011600,22.5,3.1
202201011605,0.0,2.2
202201011610,0.0,3.1
202201011615,0.0,3.1
202201011620,337.5,2.7
202201011625,337.5,2.2
202201011630,315.0,3.1
202201011635,315.0,4.5
202201011640,315.0,4.9
202201011645,315.0,4.0
202201011650,315.0,4.5
202201011655,315.0,4.0
202201011700,337.5,3.6
202201011705,337.5,3.6
202201011710,315.0,2.2
202201011715,337.5,4.0
202201011720,337.5,2.7
202201011725,315.0,1.8
202201011730,315.0,1.8
202201011735,315.0,1.8
202201011740,292.5,2.2
202201011745,315.0,2.2
202201011750,292.5,2.7
202201011755,315.0,2.2
202201011800,292.5,1.8
202201011810,270.0,1.8
202201011815,292.5,1.8
202201011820,315.0,1.8
202201011825,315.0,2.2
202201011830,315.0,2.2
202201011835,292.5,2.7
202201011840,315.0,1.3
202201011845,292.5,0.9
202201011850,292.5,1.3
202201011900,292.5,0.9
202201011905,270.0,0.9
202201011915,292.5,1.8
202201011920,292.5,2.2
202201011925,292.5,2.2
202201011930,292.5,1.3
202201011935,292.5,0.9
202201011940,292.5,1.3
202201011945,270.0,1.3
202201011955,270.0,0.9
202201012000,247.5,1.3
202201012005,247.5,1.3
202201012010,270.0,0.9
202201012015,270.0,0.9
202201012020,247.5,0.9
202201012025,247.5,1.8
202201012030,247.5,1.8
202201012035,225.0,1.8
202201012040,202.5,2.2
202201012045,180.0,2.2
202201012050,157.5,2.7
202201012055,180.0,2.7
202201012100,180.0,2.2
202201012105,157.5,1.3
202201012110,157.5,1.8
202201012115,157.5,1.8
202201012120,180.0,3.1
202201012125,135.0,3.1
202201012130,157.5,2.2
202201012135,135.0,2.2
202201012140,135.0,1.8
202201012145,112.5,1.8
202201012150,135.0,2.2
202201012155,135.0,2.2
202201012200,180.0,2.2
202201012205,180.0,2.2
202201012210,135.0,1.3
202201012215,135.0,1.3
202201012220,157.5,1.3
202201012225,157.5,0.9
202201012230,135.0,1.8
202201012235,135.0,2.2
202201012240,112.5,2.2
202201012245,135.0,2.2
202201012250,135.0,1.8
202201012255,112.5,1.8
202201012300,135.0,1.8
202201012305,157.5,1.8
202201012310,135.0,2.2
202201012315,157.5,2.2
202201012320,112.5,2.7
202201012325,112.5,2.2
202201012330,135.0,2.2
202201012335,135.0,3.1
202201012340,157.5,2.7
202201012345,112.5,1.8
202201012350,135.0,2.2
202201012355,112.5,1.8
202201020000,135.0,0.9
202201020005,157.5,1.8
202201020010,157.5,1.3
202201020015,157.5,0.9
202201020020,157.5,1.3
202201020025,180.0,0.9
202201020030,202.5,0.4
202201020035,202.5,0.9
202201020040,180.0,1.3
202201020050,180.0,0.9
202201020055,135.0,1.3
202201020100,112.5,2.2
202201020105,135.0,2.7
202201020110,135.0,2.2
202201020115,157.5,1.8
202201020120,157.5,2.2
202201020125,157.5,2.2
202201020130,180.0,2.2
202201020135,180.0,3.1
202201020140,180.0,2.7
202201020145,180.0,2.7
202201020150,180.0,3.1
202201020155,180.0,2.7
202201020200,180.0,2.7
202201020205,180.0,2.7
202201020210,180.0,3.1
202201020215,180.0,3.6
202201020220,202.5,3.6
202201020225,180.0,3.6
202201020230,180.0,3.1
202201020235,180.0,3.6
202201020240,202.5,2.7
202201020245,202.5,2.2
202201020250,202.5,2.2
202201020255,225.0,1.3
202201020300,247.5,1.3
202201020305,247.5,1.3
202201020310,225.0,1.8
202201020315,247.5,1.8
202201020320,270.0,1.3
202201020325,270.0,1.8
202201020330,247.5,1.3
202201020335,225.0,1.3
202201020340,225.0,1.8
202201020345,225.0,1.3
202201020350,202.5,1.3
202201020355,202.5,1.3
202201020400,202.5,1.3
202201020405,202.5,1.8
202201020410,225.0,2.2
202201020415,225.0,2.2
202201020420,247.5,1.8
202201020425,247.5,2.2
202201020430,225.0,2.7
202201020435,225.0,3.1
202201020440,225.0,3.1
202201020445,225.0,2.7
202201020450,225.0,2.7
202201020455,225.0,2.7
202201020500,225.0,2.2
202201020505,225.0,2.7
202201020510,225.0,2.7
202201020515,225.0,2.7
202201020520,225.0,2.7
202201020530,247.5,1.8
202201020535,247.5,1.8
202201020540,247.5,2.2
202201020545,247.5,2.7
202201020550,247.5,2.2
202201020555,247.5,2.7
202201020600,292.5,4.5
202201020605,292.5,4.5
202201020610,292.5,4.5
202201020615,315.0,4.9
202201020620,315.0,4.0
202201020625,315.0,4.5
202201020630,315.0,5.4
202201020635,315.0,4.9
202201020640,315.0,4.9
202201020645,315.0,4.9
202201020650,315.0,5.4
202201020655,315.0,5.4
202201020700,315.0,5.4
202201020705,315.0,4.5
202201020710,315.0,4.9
202201020715,315.0,3.6
202201020720,315.0,3.6
202201020725,315.0,4.5
202201020730,315.0,4.9
202201020735,315.0,4.9
202201020740,315.0,4.0
202201020745,315.0,4.0
202201020750,315.0,4.9
202201020755,315.0,3.6
202201020800,315.0,3.6
202201020805,315.0,3.6
202201020810,315.0,2.7
202201020815,315.0,2.7
202201020820,315.0,4.0
202201020825,337.5,3.6
202201020830,337.5,4.5
202201020835,315.0,4.5
202201020840,315.0,3.6
202201020845,315.0,3.1
202201020850,337.5,2.7
202201020855,337.5,2.7
202201020900,315.0,3.6
202201020905,337.5,3.6
202201020915,337.5,3.1
202201020920,337.5,3.6
202201020925,337.5,4.5
202201020930,315.0,4.0
202201020935,337.5,3.6
202201020940,337.5,4.0
202201020945,337.5,4.5
202201020950,337.5,3.6
202201020955,337.5,4.0
202201021000,337.5,4.0
202201021005,315.0,3.6
202201021010,315.0,2.7
202201021015,315.0,3.6
202201021020,315.0,4.5
202201021025,315.0,4.5
202201021035,315.0,4.0
202201021040,337.5,4.5
202201021045,337.5,4.5
202201021050,337.5,3.6
202201021055,337.5,4.5
202201021100,337.5,5.4
202201021105,337.5,5.4
202201021110,337.5,4.0
202201021115,337.5,4.0
202201021120,337.5,4.5
202201021125,337.5,4.0
202201021130,337.5,4.9
202201021140,337.5,5.4
202201021145,337.5,5.4
202201021150,337.5,4.5
202201021155,0.0,3.1
202201021200,0.0,3.6
202201021205,337.5,4.0
202201021210,337.5,2.7
202201021215,337.5,2.7
202201021220,315.0,3.6
202201021225,315.0,4.0
202201021230,315.0,3.6
202201021235,315.0,3.6
202201021240,315.0,3.6
202201021245,315.0,3.1
202201021250,315.0,4.0
202201021255,315.0,4.0
202201021300,337.5,3.1
202201021305,315.0,2.7
202201021310,315.0,3.6
202201021315,315.0,3.6
202201021320,315.0,4.5
202201021325,315.0,3.6
202201021330,315.0,4.0
202201021335,315.0,4.0
202201021340,315.0,4.5
202201021345,315.0,4.0
202201021350,315.0,4.5
202201021355,337.5,4.5
202201021400,337.5,4.5
202201021405,337.5,3.6
202201021410,337.5,3.6
202201021415,337.5,3.1
202201021420,337.5,5.4
202201021425,337.5,4.0
202201021430,337.5,3.6
202201021435,337.5,3.1
202201021440,315.0,2.2
202201021445,337.5,3.6
202201021450,337.5,4.5
202201021455,337.5,4.5
202201021500,315.0,4.5
202201021505,337.5,4.5
202201021510,337.5,4.0
202201021515,337.5,4.0
202201021520,337.5,4.0
202201021525,337.5,4.9
202201021530,315.0,4.0
202201021535,337.5,3.1
202201021540,337.5,2.7
202201021545,337.5,2.7
202201021550,315.0,3.1
202201021555,315.0,2.7
202201021600,315.0,3.1
202201021605,337.5,4.0
202201021610,337.5,3.6
202201021615,0.0,2.7
202201021620,337.5,3.1
202201021625,0.0,2.7
202201021630,22.5,2.2
202201021635,315.0,2.2
202201021640,315.0,2.7
202201021645,337.5,2.2
202201021650,337.5,3.1
202201021655,337.5,3.1
202201021700,337.5,2.7
202201021705,337.5,3.6
202201021710,315.0,3.6
202201021715,337.5,3.1
202201021720,315.0,4.0
202201021725,315.0,4.0
202201021730,315.0,3.1
202201021735,337.5,4.5
202201021740,337.5,5.4
202201021745,337.5,4.9
202201021750,337.5,3.6
202201021755,337.5,5.4
202201021800,337.5,4.9
202201021805,337.5,4.9
202201021810,337.5,4.9
202201021815,337.5,4.5
202201021820,315.0,4.5
202201021825,315.0,4.0
202201021830,337.5,4.0
202201021835,337.5,3.6
202201021840,337.5,4.0
202201021845,0.0,4.0
202201021855,0.0,4.5
202201021900,0.0,4.0
202201021905,337.5,4.5
202201021910,0.0,3.6
202201021915,0.0,3.1
202201021920,337.5,5.4
202201021925,337.5,4.0
202201021930,337.5,4.5
202201021935,337.5,5.8
202201021940,0.0,4.0
202201021945,337.5,4.5
202201021950,337.5,4.5
202201021955,337.5,4.9
202201022000,337.5,3.6
202201022005,315.0,4.0
202201022010,337.5,3.6
202201022015,337.5,3.6
202201022020,337.5,5.4
202201022025,0.0,4.5
202201022030,337.5,4.5
202201022035,0.0,3.6
202201022040,337.5,4.5
202201022045,337.5,5.4
202201022050,337.5,4.0
202201022055,0.0,5.8
202201022100,337.5,4.5
202201022105,0.0,4.5
202201022110,0.0,4.0
202201022115,0.0,4.5
202201022120,0.0,4.9
202201022125,0.0,4.0
202201022135,337.5,4.0
202201022140,337.5,4.5
202201022145,337.5,5.4
202201022150,337.5,4.5
202201022155,337.5,4.5
202201022200,0.0,4.5
202201022205,337.5,5.4
202201022210,0.0,4.0
202201022215,337.5,4.9
202201022220,0.0,4.5
202201022225,0.0,3.6
202201022230,0.0,3.6
202201022235,0.0,3.6
202201022240,0.0,3.1
202201022245,0.0,4.0
202201022255,0.0,4.9
202201022300,0.0,5.8
202201022305,0.0,4.5
202201022310,0.0,4.0
202201022315,337.5,4.0
202201022320,337.5,4.5
202201022325,337.5,5.4
202201022330,337.5,3.6
202201022335,0.0,4.9
202201022340,0.0,5.4
202201022345,0.0,4.5
202201022350,0.0,4.5
202201022355,337.5,4.9
202201030000,337.5,4.5
202201030005,337.5,4.0
202201030010,337.5,4.9
202201030015,337.5,5.8
202201030020,315.0,4.5
202201030025,337.5,3.6
202201030030,337.5,3.6
202201030035,337.5,4.9
202201030040,337.5,4.5
202201030045,337.5,4.0
202201030050,337.5,4.5
202201030055,337.5,5.4
202201030100,337.5,4.9
202201030105,337.5,4.9
202201030110,337.5,5.4
202201030115,337.5,3.6
202201030120,337.5,5.4
202201030125,337.5,5.4
202201030130,337.5,4.9
202201030150,337.5,5.4
202201030155,337.5,4.5
202201030200,337.5,5.4
202201030205,337.5,4.5
202201030210,337.5,5.4
202201030215,337.5,4.9
202201030220,337.5,4.9
