timestamp string,wind direction,wind speed
202201010000,225.0,6.3
202201010005,225.0,6.7
202201010010,225.0,5.8
202201010015,225.0,6.3
202201010020,225.0,5.8
202201010025,225.0,6.3
202201010030,225.0,5.8
202201010035,225.0,5.8
202201010040,202.5,5.8
202201010045,225.0,5.8
202201010050,225.0,5.4
202201010055,202.5,5.4
202201010100,225.0,5.8
202201010105,225.0,6.7
202201010110,225.0,5.8
202201010115,225.0,6.7
202201010120,225.0,6.3
202201010125,225.0,6.3
202201010130,225.0,6.3
202201010135,225.0,6.7
202201010140,225.0,6.7
202201010145,225.0,6.7
202201010155,202.5,6.7
202201010200,202.5,7.2
202201010205,225.0,7.2
202201010210,202.5,6.7
202201010215,202.5,8.0
202201010220,202.5,7.6
202201010225,202.5,8.0
202201010230,202.5,8.0
202201010235,202.5,6.3
202201010240,225.0,6.7
202201010245,225.0,6.7
202201010250,202.5,5.8
202201010255,225.0,5.8
202201010300,225.0,5.8
202201010305,225.0,5.4
202201010310,225.0,6.7
202201010315,225.0,5.4
202201010325,202.5,7.2
202201010330,202.5,6.7
202201010335,225.0,6.3
202201010340,202.5,5.4
202201010345,202.5,7.2
202201010350,225.0,6.7
202201010355,225.0,7.2
202201010405,225.0,7.2
202201010410,225.0,7.2
202201010415,225.0,6.7
202201010420,225.0,7.2
202201010425,225.0,6.3
202201010430,225.0,6.3
202201010435,225.0,7.6
202201010440,247.5,6.3
202201010445,247.5,6.7
202201010450,247.5,7.6
202201010455,247.5,6.7
202201010500,247.5,6.3
202201010510,247.5,7.6
202201010515,225.0,6.7
202201010520,225.0,6.7
202201010525,225.0,5.8
202201010530,225.0,5.4
202201010535,225.0,5.8
202201010540,247.5,5.8
202201010545,247.5,5.4
202201010550,247.5,5.4
202201010555,247.5,5.8
202201010600,247.5,5.8
202201010605,247.5,4.9
202201010610,247.5,4.0
202201010615,247.5,4.5
202201010620,247.5,3.6
202201010625,247.5,3.6
202201010630,225.0,3.6
202201010635,247.5,3.6
202201010640,247.5,4.0
202201010645,225.0,3.6
202201010650,225.0,3.6
202201010655,225.0,3.6
202201010700,225.0,3.6
202201010705,202.5,3.1
202201010710,202.5,3.6
202201010715,202.5,3.6
202201010720,202.5,4.9
202201010725,202.5,4.5
202201010730,202.5,4.0
202201010735,202.5,3.6
202201010740,225.0,4.0
202201010745,247.5,4.5
202201010750,247.5,4.5
202201010755,247.5,3.6
202201010800,247.5,3.1
202201010805,247.5,2.7
202201010810,247.5,2.2
202201010815,247.5,2.2
202201010820,225.0,2.2
202201010825,202.5,2.2
202201010830,180.0,2.2
202201010835,180.0,2.7
202201010840,202.5,2.7
202201010845,180.0,1.8
202201010850,180.0,0.9
202201010855,135.0,0.9
202201010900,90.0,1.3
202201010905,90.0,1.8
202201010910,135.0,1.8
202201010915,135.0,1.8
202201010920,157.5,1.8
202201010925,157.5,2.2
202201010930,135.0,2.2
202201010935,135.0,2.2
202201010940,112.5,1.8
202201010945,135.0,2.2
202201010950,135.0,2.2
202201010955,112.5,2.7
202201011000,135.0,3.1
202201011005,135.0,3.1
202201011010,135.0,2.7
202201011015,135.0,2.7
202201011020,157.5,3.1
202201011025,180.0,4.0
202201011030,180.0,4.9
202201011035,202.5,5.4
202201011040,225.0,4.9
202201011045,225.0,4.5
202201011050,225.0,4.5
202201011055,225.0,4.5
202201011100,225.0,4.5
202201011105,225.0,4.0
202201011110,180.0,4.5
202201011115,180.0,4.0
202201011120,202.5,4.5
202201011125,202.5,5.4
202201011130,202.5,5.8
202201011135,202.5,6.7
202201011140,225.0,7.2
202201011145,225.0,8.0
202201011150,225.0,7.6
202201011155,225.0,7.6
202201011200,247.5,7.2
202201011205,247.5,7.6
202201011210,247.5,6.7
202201011215,270.0,4.0
202201011220,270.0,4.0
202201011225,247.5,5.8
202201011230,247.5,7.2
202201011235,247.5,6.7
202201011240,247.5,7.6
202201011245,247.5,6.7
202201011250,247.5,6.3
202201011300,247.5,6.7
202201011305,247.5,6.3
202201011310,292.5,5.4
202201011315,337.5,3.6
202201011320,225.0,3.1
202201011325,247.5,4.0
202201011330,337.5,2.7
202201011335,270.0,2.2
202201011340,315.0,3.1
202201011345,22.5,1.8
202201011350,315.0,2.2
202201011355,270.0,3.1
202201011400,247.5,4.0
202201011405,292.5,2.7
202201011410,270.0,2.7
202201011415,247.5,3.1
202201011420,225.0,3.6
202201011425,292.5,2.7
202201011430,0.0,1.8
202201011435,202.5,3.6
202201011440,225.0,5.4
202201011445,315.0,6.3
202201011450,315.0,2.2
202201011455,0.0,1.8
202201011500,315.0,3.1
202201011505,292.5,4.0
202201011515,270.0,4.9
202201011520,270.0,4.9
202201011525,247.5,4.9
202201011530,247.5,3.6
202201011540,247.5,3.1
202201011545,247.5,4.0
202201011550,247.5,5.4
202201011600,225.0,5.8
202201011605,225.0,5.8
202201011610,225.0,7.2
202201011615,225.0,7.2
202201011620,247.5,6.7
202201011625,247.5,6.3
202201011630,247.5,8.0
202201011635,247.5,7.2
202201011640,247.5,7.2
202201011645,247.5,5.8
202201011650,247.5,6.7
202201011655,247.5,6.3
202201011700,225.0,7.6
202201011705,247.5,6.3
202201011710,247.5,7.2
202201011715,225.0,5.4
202201011720,225.0,8.0
202201011725,247.5,9.8
202201011730,247.5,8.9
202201011735,247.5,10.3
202201011740,247.5,8.9
202201011745,247.5,7.6
202201011750,225.0,6.7
202201011755,225.0,5.8
202201011800,225.0,8.0
202201011805,225.0,8.5
202201011810,225.0,8.5
202201011815,225.0,6.7
202201011820,225.0,6.7
202201011825,225.0,7.6
202201011830,247.5,7.6
202201011835,225.0,7.6
202201011840,225.0,10.7
202201011845,225.0,7.2
202201011850,225.0,7.6
202201011855,225.0,8.5
202201011900,247.5,12.1
202201011905,225.0,7.6
202201011910,247.5,10.3
202201011915,247.5,9.8
202201011920,247.5,10.3
202201011925,225.0,8.9
202201011930,225.0,7.2
202201011935,225.0,8.9
202201011940,225.0,9.8
202201011950,225.0,10.7
202201012000,225.0,11.2
202201012005,225.0,8.9
202201012010,225.0,10.3
202201012015,225.0,10.7
202201012020,225.0,10.7
202201012025,225.0,10.7
202201012030,225.0,11.6
202201012035,225.0,11.2
202201012040,225.0,10.7
202201012045,225.0,10.3
202201012050,225.0,8.9
202201012055,225.0,9.8
202201012100,225.0,10.7
202201012105,225.0,10.7
202201012110,225.0,11.2
202201012120,225.0,9.4
202201012125,225.0,9.4
202201012130,225.0,9.8
202201012135,225.0,8.5
202201012140,225.0,8.5
202201012145,247.5,9.8
202201012150,247.5,8.9
202201012155,247.5,9.4
202201012200,247.5,8.5
202201012205,225.0,8.9
202201012210,225.0,8.9
202201012215,225.0,9.8
202201012225,225.0,8.0
202201012230,225.0,6.3
202201012235,225.0,6.3
202201012240,202.5,4.9
202201012245,202.5,6.7
202201012250,225.0,7.2
202201012300,292.5,4.9
202201012305,270.0,6.3
202201012310,292.5,3.6
202201012315,292.5,3.6
202201012320,315.0,3.1
202201012325,292.5,4.0
202201012330,292.5,4.0
202201012335,292.5,2.2
202201012340,315.0,3.1
202201012345,292.5,2.2
202201012350,270.0,5.4
202201020000,315.0,5.4
202201020005,292.5,4.9
202201020015,292.5,4.9
202201020020,292.5,5.4
202201020025,270.0,4.9
202201020035,292.5,3.1
202201020040,292.5,4.5
202201020045,292.5,2.7
202201020050,315.0,2.2
202201020055,315.0,2.2
202201020100,337.5,3.1
202201020105,337.5,1.8
202201020110,337.5,2.2
202201020115,337.5,3.1
202201020120,337.5,2.2
202201020125,337.5,2.7
202201020130,0.0,1.3
202201020135,22.5,0.9
202201020140,337.5,1.3
202201020145,0.0,0.9
202201020150,0.0,1.3
202201020155,0.0,0.9
202201020200,0.0,0.9
202201020205,0.0,0.9
202201020210,0.0,0.9
202201020215,0.0,0.9
202201020220,0.0,0.9
202201020225,22.5,0.9
202201020230,22.5,0.9
202201020235,0.0,0.9
202201020240,0.0,0.9
202201020245,45.0,0.4
202201020250,45.0,0.9
202201020255,45.0,0.9
202201020300,45.0,0.9
202201020305,45.0,0.9
202201020310,45.0,0.9
202201020315,67.5,1.3
202201020320,67.5,1.3
202201020325,67.5,1.3
202201020330,67.5,1.3
202201020335,67.5,1.3
202201020340,90.0,1.8
202201020345,67.5,1.3
202201020350,22.5,0.9
202201020355,45.0,1.3
202201020405,22.5,1.3
202201020410,22.5,0.9
202201020415,22.5,1.3
202201020420,22.5,0.4
202201020430,45.0,1.3
202201020435,22.5,0.9
202201020440,45.0,1.3
202201020445,45.0,0.9
202201020455,45.0,0.9
202201020500,22.5,0.4
202201020505,67.5,0.4
202201020510,67.5,0.9
202201020515,67.5,0.9
202201020520,67.5,0.4
202201020530,90.0,1.8
202201020535,90.0,0.9
202201020540,112.5,0.9
202201020545,90.0,1.3
202201020550,67.5,0.0
202201020555,112.5,1.3
202201020600,135.0,2.7
202201020605,135.0,2.7
202201020610,135.0,3.1
202201020615,135.0,2.7
202201020620,135.0,3.1
202201020625,135.0,2.7
202201020630,135.0,3.1
202201020635,157.5,2.7
202201020640,157.5,4.9
202201020645,157.5,5.4
202201020650,157.5,5.8
202201020655,157.5,5.8
202201020700,157.5,5.8
202201020705,157.5,6.3
202201020710,157.5,6.3
202201020715,180.0,5.4
202201020720,180.0,4.0
202201020725,180.0,4.9
202201020735,180.0,3.6
202201020740,180.0,5.4
202201020745,180.0,4.9
202201020755,180.0,4.5
202201020800,180.0,4.9
202201020805,180.0,4.9
