timestamp string,wind direction,wind speed
202201010000,202.5,3.6
202201010005,225.0,3.1
202201010010,225.0,3.1
202201010020,202.5,2.7
202201010025,202.5,3.1
202201010030,225.0,3.1
202201010035,202.5,2.2
202201010040,225.0,2.7
202201010045,202.5,2.2
202201010050,225.0,3.6
202201010100,225.0,3.1
202201010105,225.0,3.1
202201010110,225.0,3.6
202201010115,225.0,2.7
202201010120,225.0,3.1
202201010125,225.0,3.6
202201010130,202.5,2.7
202201010135,202.5,3.1
202201010140,202.5,4.0
202201010145,225.0,3.1
202201010150,225.0,2.7
202201010155,225.0,3.1
202201010200,225.0,2.7
202201010205,225.0,3.1
202201010210,225.0,3.1
202201010215,225.0,2.7
202201010220,225.0,2.7
202201010225,225.0,3.1
202201010235,225.0,2.7
202201010240,225.0,2.7
202201010245,225.0,3.1
202201010250,225.0,4.0
202201010255,225.0,3.6
202201010320,225.0,2.7
202201010325,225.0,2.7
202201010330,225.0,2.7
202201010335,225.0,3.6
202201010340,225.0,3.6
202201010345,225.0,2.2
202201010350,225.0,3.6
202201010355,202.5,4.0
202201010400,202.5,3.6
202201010405,202.5,2.7
202201010410,225.0,2.7
202201010415,202.5,2.2
202201010425,225.0,2.2
202201010430,225.0,1.8
202201010435,247.5,1.3
202201010440,225.0,1.8
202201010445,247.5,2.2
202201010450,225.0,2.2
202201010455,225.0,2.2
202201010500,225.0,1.8
202201010505,225.0,2.2
202201010510,225.0,3.1
202201010515,225.0,2.2
202201010520,225.0,2.7
202201010530,225.0,2.2
202201010535,225.0,2.2
202201010540,202.5,1.8
202201010545,202.5,1.8
202201010550,202.5,2.2
202201010600,202.5,1.8
202201010605,202.5,1.8
202201010610,225.0,1.8
202201010615,225.0,2.2
202201010620,225.0,2.2
202201010625,202.5,2.2
202201010630,225.0,1.8
202201010635,225.0,2.2
202201010640,247.5,2.2
202201010645,225.0,2.2
202201010650,225.0,2.7
202201010655,225.0,2.7
202201010700,225.0,2.2
202201010705,225.0,2.2
202201010710,225.0,2.2
202201010730,225.0,2.7
202201010740,202.5,2.7
202201010745,202.5,2.2
202201010750,225.0,2.7
202201010755,202.5,2.2
202201010800,225.0,2.7
202201010805,225.0,2.2
202201010810,225.0,1.8
202201010815,202.5,3.1
202201010820,202.5,2.2
202201010825,202.5,2.7
202201010830,202.5,2.2
202201010835,202.5,3.6
202201010840,225.0,3.1
202201010850,225.0,2.7
202201010855,202.5,2.7
202201010900,202.5,2.7
202201010905,225.0,2.7
202201010910,225.0,2.7
202201010915,202.5,2.7
202201010920,202.5,3.1
202201010925,202.5,3.6
202201010930,202.5,2.2
