timestamp string,wind direction,wind speed
202201010000,180.0,2.2
202201010005,180.0,2.2
202201010010,180.0,2.7
202201010015,180.0,2.2
202201010020,180.0,2.2
202201010025,180.0,2.2
202201010030,180.0,1.8
202201010035,180.0,1.8
202201010040,180.0,1.8
202201010045,180.0,2.2
202201010050,180.0,2.2
202201010055,180.0,2.2
202201010100,180.0,2.7
202201010105,180.0,2.2
202201010110,180.0,2.2
202201010115,180.0,2.7
202201010120,180.0,2.2
202201010125,180.0,3.1
202201010130,180.0,3.1
202201010135,180.0,2.7
202201010140,180.0,2.7
202201010145,180.0,3.1
202201010150,202.5,2.2
202201010155,202.5,2.2
202201010210,180.0,2.7
202201010215,202.5,2.2
202201010220,202.5,2.2
202201010230,202.5,2.2
202201010235,202.5,2.7
202201010240,202.5,2.2
202201010245,202.5,2.7
202201010250,202.5,2.7
202201010255,202.5,2.2
202201010300,202.5,2.2
202201010305,202.5,2.2
202201010310,202.5,2.2
202201010315,225.0,1.8
202201010320,202.5,1.8
202201010325,202.5,2.2
202201010330,202.5,2.2
202201010335,202.5,2.7
202201010340,202.5,1.8
202201010345,202.5,1.8
202201010350,180.0,1.8
202201010400,180.0,1.8
202201010405,180.0,1.8
202201010410,180.0,1.3
202201010415,202.5,1.3
202201010420,202.5,1.3
202201010425,180.0,1.3
202201010430,180.0,1.3
202201010435,180.0,1.3
202201010440,180.0,1.3
202201010445,180.0,1.8
202201010450,180.0,1.3
202201010455,180.0,1.3
202201010500,180.0,0.9
202201010505,270.0,1.3
202201010510,180.0,2.7
202201010515,202.5,2.2
202201010520,225.0,2.7
202201010525,225.0,2.7
202201010530,225.0,3.1
202201010535,225.0,4.5
202201010540,225.0,4.0
202201010545,225.0,3.6
202201010550,247.5,2.7
202201010555,270.0,2.7
202201010600,292.5,2.7
202201010605,270.0,2.7
202201010610,247.5,1.8
202201010630,202.5,1.8
202201010635,202.5,1.8
202201010640,202.5,2.7
202201010645,180.0,2.2
202201010650,202.5,2.2
202201010655,225.0,2.2
202201010700,225.0,1.8
202201010705,202.5,2.2
202201010715,202.5,1.8
202201010720,202.5,1.3
202201010725,315.0,0.9
202201010730,225.0,0.9
202201010735,202.5,1.3
202201010740,180.0,1.8
202201010745,157.5,1.8
202201010750,157.5,2.2
202201010755,135.0,2.2
202201010800,45.0,0.9
202201010805,315.0,2.2
202201010810,180.0,2.2
202201010815,270.0,2.7
202201010820,202.5,2.2
202201010825,202.5,1.3
202201010830,225.0,1.8
202201010835,202.5,1.8
202201010840,270.0,1.3
202201010845,315.0,1.3
202201010850,22.5,0.9
202201010855,202.5,1.8
202201010900,202.5,2.2
202201010905,157.5,1.3
202201010910,112.5,0.9
202201010915,202.5,0.9
202201010920,270.0,2.2
202201010925,337.5,0.4
202201010930,157.5,1.8
202201010935,157.5,0.9
202201010940,67.5,0.9
202201010945,180.0,0.9
202201010950,270.0,1.3
202201010955,67.5,0.9
202201011000,202.5,0.4
202201011005,22.5,1.3
202201011010,270.0,2.2
202201011015,337.5,1.8
202201011020,135.0,0.9
202201011025,247.5,3.1
202201011030,315.0,2.2
202201011045,337.5,1.8
202201011050,112.5,1.8
202201011055,0.0,2.2
202201011100,22.5,2.2
202201011105,90.0,1.8
202201011110,67.5,1.8
202201011115,157.5,1.8
202201011120,135.0,2.2
202201011125,22.5,1.8
202201011130,180.0,0.4
202201011135,90.0,1.8
202201011140,90.0,1.3
202201011145,315.0,0.9
202201011150,135.0,0.9
202201011155,135.0,1.8
202201011200,45.0,1.8
202201011205,22.5,1.3
202201011210,45.0,0.9
202201011215,90.0,1.3
202201011220,0.0,0.4
202201011225,22.5,0.4
202201011230,157.5,1.3
202201011235,135.0,1.8
202201011245,157.5,0.9
202201011250,112.5,1.3
202201011255,67.5,1.8
202201011300,0.0,1.3
202201011305,0.0,0.9
202201011310,22.5,0.4
202201011315,22.5,0.4
202201011320,0.0,0.0
202201011325,0.0,0.9
202201011330,22.5,1.8
202201011335,22.5,1.8
202201011345,45.0,2.2
202201011350,67.5,2.2
202201011355,45.0,1.8
202201011405,67.5,2.7
202201011410,22.5,1.8
202201011415,315.0,2.2
202201011420,22.5,1.8
202201011425,22.5,2.2
202201011430,45.0,2.7
202201011435,67.5,1.3
202201011440,45.0,1.8
202201011505,0.0,1.8
202201011510,112.5,0.9
202201011515,90.0,0.4
202201011520,90.0,2.7
202201011525,45.0,1.8
202201011530,90.0,3.6
202201011535,67.5,4.0
202201011540,315.0,1.8
202201011545,315.0,1.8
202201011550,90.0,1.8
202201011555,112.5,2.7
202201011600,135.0,1.8
202201011605,135.0,1.3
202201011610,112.5,1.8
202201011615,135.0,0.9
202201011620,135.0,1.3
202201011625,135.0,1.8
202201011630,157.5,1.3
202201011635,157.5,1.8
202201011640,180.0,2.2
202201011645,180.0,2.2
202201011650,180.0,2.2
202201011655,180.0,3.6
202201011700,180.0,3.6
202201011705,180.0,3.6
202201011710,180.0,4.5
202201011715,180.0,4.9
202201011720,202.5,5.8
202201011725,202.5,6.3
202201011730,202.5,4.9
202201011735,202.5,5.4
202201011740,202.5,6.3
202201011745,202.5,5.8
202201011750,202.5,7.2
202201011800,202.5,6.7
202201011805,202.5,5.4
202201011810,202.5,6.7
202201011815,202.5,8.0
202201011820,202.5,7.2
202201011825,202.5,5.4
202201011830,202.5,6.3
202201011835,202.5,6.7
202201011840,202.5,5.8
202201011845,202.5,5.4
202201011850,202.5,5.8
202201011900,202.5,5.8
202201011905,202.5,6.7
202201011920,225.0,7.6
202201011925,247.5,5.8
202201011930,315.0,4.9
202201011935,315.0,3.1
202201011940,292.5,2.7
202201011945,315.0,2.7
202201011950,315.0,3.1
202201011955,337.5,2.7
202201012000,315.0,2.2
202201012005,337.5,1.8
202201012015,337.5,3.1
202201012020,337.5,2.2
202201012025,337.5,2.2
202201012030,0.0,2.2
202201012035,0.0,2.7
202201012040,22.5,2.7
202201012045,22.5,3.1
202201012050,22.5,2.7
202201012055,22.5,2.7
202201012105,22.5,1.8
202201012110,22.5,1.3
202201012115,0.0,2.2
202201012120,0.0,1.3
202201012125,0.0,1.8
202201012130,337.5,1.3
202201012135,292.5,1.3
202201012145,292.5,1.3
202201012150,315.0,1.3
202201012155,315.0,0.9
202201012200,315.0,1.3
202201012205,315.0,1.3
202201012210,315.0,0.9
202201012215,315.0,0.4
202201012220,292.5,0.4
202201012225,0.0,0.0
202201012230,0.0,0.0
202201012235,0.0,0.0
202201012240,0.0,0.0
202201012245,22.5,0.0
202201012250,22.5,0.4
202201012255,0.0,0.4
202201012300,22.5,0.4
202201012305,45.0,1.3
202201012310,67.5,1.3
202201012315,90.0,1.3
202201012320,90.0,1.3
202201012340,315.0,0.4
202201012345,112.5,0.0
202201012350,45.0,0.4
202201012355,90.0,0.9
202201020000,180.0,0.9
202201020005,157.5,1.8
202201020010,180.0,1.3
202201020015,135.0,0.9
202201020020,202.5,0.4
202201020025,337.5,0.9
202201020030,0.0,0.0
202201020040,135.0,2.2
202201020045,112.5,1.3
202201020050,112.5,0.9
202201020055,135.0,1.3
202201020100,135.0,1.3
202201020105,135.0,1.8
202201020110,135.0,2.2
202201020115,135.0,1.3
202201020120,135.0,2.2
202201020125,135.0,1.3
202201020130,135.0,1.3
202201020135,135.0,1.3
202201020145,112.5,0.4
202201020150,157.5,0.9
202201020155,157.5,1.3
202201020200,180.0,0.9
202201020205,157.5,1.3
202201020210,135.0,1.3
202201020215,157.5,0.9
202201020220,67.5,0.4
202201020225,112.5,0.4
202201020230,90.0,1.3
202201020235,135.0,1.3
202201020240,157.5,0.9
202201020245,157.5,0.9
202201020250,135.0,1.8
202201020255,157.5,1.3
202201020300,135.0,1.8
202201020305,135.0,1.3
202201020310,135.0,2.2
202201020315,135.0,2.7
202201020320,135.0,2.2
202201020325,135.0,2.7
202201020330,157.5,2.7
202201020335,157.5,2.2
202201020340,180.0,2.7
202201020355,157.5,2.2
202201020400,180.0,1.8
202201020405,180.0,2.2
202201020410,180.0,1.8
202201020415,180.0,1.8
202201020420,157.5,2.2
202201020430,157.5,1.8
202201020435,180.0,2.2
202201020440,180.0,2.7
202201020445,180.0,2.2
202201020450,180.0,2.2
202201020455,180.0,2.2
202201020500,157.5,2.2
202201020505,135.0,0.9
202201020510,157.5,1.3
202201020515,202.5,1.3
202201020520,180.0,1.8
202201020525,180.0,2.2
202201020530,157.5,2.7
202201020535,180.0,2.2
202201020540,157.5,2.2
202201020545,180.0,2.2
202201020550,202.5,1.8
202201020555,202.5,1.8
202201020600,180.0,1.8
202201020605,202.5,2.2
202201020610,202.5,1.8
202201020615,180.0,1.3
202201020620,180.0,1.8
202201020625,180.0,1.3
202201020630,225.0,0.4
202201020635,270.0,0.9
202201020640,247.5,1.3
202201020645,225.0,1.3
202201020650,225.0,1.3
202201020655,270.0,0.9
202201020700,292.5,0.4
202201020705,270.0,0.9
202201020710,225.0,1.3
202201020715,247.5,1.3
202201020720,202.5,0.9
202201020725,202.5,0.9
202201020730,202.5,1.3
202201020735,202.5,0.9
202201020740,225.0,0.9
202201020745,225.0,1.3
202201020750,225.0,0.9
202201020755,225.0,1.8
202201020815,270.0,1.3
202201020820,225.0,1.3
202201020825,247.5,1.3
202201020830,247.5,1.3
202201020835,247.5,1.3
202201020840,247.5,1.3
202201020845,270.0,1.8
202201020850,247.5,0.9
202201020855,247.5,1.3
202201020900,270.0,1.8
202201020905,270.0,1.8
202201020910,247.5,1.8
202201020915,247.5,1.8
202201020920,292.5,1.8
202201020925,247.5,1.8
202201020930,225.0,2.2
202201020935,225.0,2.2
202201020940,225.0,2.7
202201020945,247.5,1.8
202201020950,225.0,1.8
202201020955,225.0,1.3
202201021000,225.0,1.3
202201021005,225.0,2.2
202201021010,247.5,2.2
202201021015,225.0,1.8
202201021020,225.0,1.8
202201021025,225.0,1.8
202201021030,225.0,2.2
202201021035,225.0,1.8
202201021040,225.0,2.2
202201021045,247.5,1.8
202201021050,225.0,1.8
202201021055,247.5,2.2
202201021100,247.5,2.2
202201021105,225.0,1.8
202201021110,225.0,1.8
202201021115,247.5,1.3
202201021120,225.0,1.8
202201021125,225.0,1.8
202201021130,270.0,4.0
202201021135,315.0,3.6
202201021140,315.0,2.7
202201021145,292.5,3.1
202201021150,292.5,3.1
202201021155,292.5,3.6
202201021200,315.0,2.7
202201021205,315.0,2.7
202201021210,315.0,2.7
202201021215,315.0,2.2
202201021230,315.0,3.1
202201021235,315.0,2.2
202201021240,337.5,2.2
202201021245,315.0,1.8
202201021250,315.0,1.3
202201021255,337.5,1.8
202201021300,315.0,1.8
202201021305,315.0,1.3
202201021315,337.5,1.3
202201021320,337.5,1.3
202201021325,337.5,1.3
202201021330,315.0,0.9
202201021335,315.0,0.9
202201021340,292.5,1.3
202201021345,315.0,1.3
202201021350,292.5,0.9
202201021355,292.5,2.2
202201021400,292.5,1.8
202201021405,292.5,2.7
202201021410,292.5,1.8
202201021415,292.5,2.2
202201021420,292.5,3.6
202201021425,292.5,3.6
202201021430,292.5,2.7
202201021440,292.5,3.1
202201021445,292.5,2.7
202201021450,315.0,2.2
202201021455,292.5,1.8
202201021500,315.0,1.3
202201021505,315.0,2.2
202201021510,292.5,2.7
202201021515,315.0,1.8
202201021520,315.0,2.2
202201021525,315.0,2.2
202201021530,337.5,1.8
202201021535,337.5,2.2
202201021540,337.5,1.8
202201021545,315.0,2.7
202201021550,315.0,2.7
202201021555,315.0,3.1
202201021600,315.0,2.7
202201021605,315.0,3.6
202201021610,315.0,3.1
202201021615,315.0,2.7
202201021620,315.0,3.6
202201021625,315.0,2.7
202201021630,292.5,3.1
202201021650,315.0,3.6
202201021655,315.0,3.6
202201021700,315.0,4.0
202201021705,315.0,2.2
202201021710,337.5,2.2
202201021715,315.0,2.7
202201021720,315.0,2.2
202201021725,315.0,2.7
202201021730,315.0,2.7
202201021735,315.0,1.8
202201021740,315.0,2.2
202201021745,292.5,2.7
202201021750,315.0,2.7
202201021755,292.5,2.2
202201021800,315.0,2.7
202201021805,315.0,2.2
202201021810,315.0,1.3
202201021815,292.5,1.3
202201021820,292.5,2.2
202201021825,292.5,2.2
202201021830,315.0,2.2
