timestamp string,wind direction,wind speed
202201010010,225.0,3.6
202201010015,225.0,3.1
202201010020,225.0,3.1
202201010025,202.5,2.7
202201010030,202.5,3.6
202201010035,202.5,3.6
202201010045,202.5,3.6
202201010050,202.5,3.6
202201010055,202.5,4.0
202201010100,202.5,3.6
202201010105,202.5,3.6
202201010110,202.5,3.1
202201010115,202.5,3.6
202201010120,202.5,3.1
202201010125,225.0,3.6
202201010130,225.0,3.1
202201010140,247.5,3.1
202201010145,247.5,3.1
202201010155,225.0,3.1
202201010200,225.0,3.1
202201010205,225.0,3.6
202201010210,225.0,3.6
202201010215,225.0,3.6
202201010220,225.0,3.6
202201010225,225.0,3.1
202201010230,247.5,3.1
202201010235,225.0,3.1
202201010240,225.0,3.1
202201010245,247.5,3.1
202201010250,270.0,2.2
202201010255,247.5,1.3
202201010300,202.5,1.8
202201010305,225.0,1.8
202201010310,247.5,1.8
202201010315,247.5,2.2
202201010320,225.0,2.2
202201010325,225.0,1.8
202201010330,225.0,2.2
202201010335,202.5,1.8
202201010340,202.5,1.8
202201010345,202.5,2.2
202201010350,202.5,2.2
202201010355,225.0,2.7
202201010400,225.0,2.2
202201010405,225.0,2.2
202201010410,225.0,1.8
202201010425,225.0,2.2
202201010430,225.0,2.2
202201010440,202.5,2.2
202201010445,202.5,1.8
202201010450,202.5,1.3
202201010455,225.0,1.3
202201010500,225.0,1.3
202201010505,202.5,1.3
202201010510,180.0,1.8
202201010515,180.0,2.2
202201010520,180.0,2.2
202201010525,180.0,1.8
202201010535,202.5,1.8
202201010540,202.5,1.3
202201010545,202.5,1.8
202201010550,202.5,2.7
202201010555,225.0,1.3
202201010605,247.5,1.3
202201010610,292.5,0.9
202201010615,292.5,0.4
202201010620,292.5,0.9
202201010625,247.5,0.4
202201010630,247.5,1.8
202201010635,225.0,2.2
202201010640,225.0,1.8
202201010645,225.0,2.2
202201010650,247.5,2.2
202201010655,270.0,2.2
202201010700,292.5,1.8
202201010710,270.0,1.3
202201010715,247.5,1.8
202201010725,292.5,3.1
202201010735,270.0,1.8
202201010740,292.5,1.3
202201010745,270.0,2.2
202201010750,247.5,1.8
202201010755,225.0,3.1
202201010800,180.0,0.4
202201010805,225.0,2.7
202201010810,225.0,2.7
202201010815,180.0,1.3
202201010820,135.0,0.4
202201010825,22.5,1.8
202201010845,0.0,2.7
202201010850,22.5,2.7
202201010855,90.0,1.8
202201010905,135.0,2.7
202201010910,90.0,2.2
202201010920,315.0,2.2
202201010925,0.0,1.8
202201010930,270.0,2.2
202201010935,337.5,1.3
202201010940,0.0,1.3
202201010945,337.5,4.5
202201010950,0.0,4.9
202201010955,315.0,6.7
202201011000,337.5,4.0
202201011005,0.0,2.7
202201011010,22.5,3.6
202201011015,0.0,3.6
202201011020,337.5,3.1
202201011025,0.0,1.3
202201011030,315.0,2.2
202201011035,0.0,2.2
202201011040,45.0,1.3
202201011045,67.5,0.4
202201011050,135.0,0.9
202201011055,292.5,3.1
202201011100,315.0,3.6
202201011105,337.5,1.3
202201011110,45.0,0.0
202201011120,135.0,1.3
202201011125,157.5,1.3
202201011130,180.0,1.8
202201011135,180.0,1.8
202201011140,157.5,2.2
202201011145,157.5,2.2
202201011150,157.5,1.8
202201011155,180.0,1.3
202201011200,157.5,1.8
202201011205,135.0,1.8
202201011210,135.0,1.8
202201011215,157.5,3.1
202201011220,157.5,4.0
202201011225,135.0,3.1
202201011230,135.0,3.1
202201011235,135.0,2.7
202201011240,135.0,3.6
202201011245,135.0,3.6
202201011300,135.0,4.5
202201011310,157.5,4.5
202201011315,157.5,4.9
202201011320,157.5,4.9
202201011325,157.5,4.5
202201011330,157.5,4.9
202201011335,135.0,3.1
202201011340,22.5,3.6
202201011345,270.0,4.5
202201011350,112.5,2.7
202201011355,22.5,4.9
202201011400,22.5,4.0
202201011410,337.5,1.3
202201011415,90.0,0.4
202201011420,112.5,1.8
202201011425,135.0,1.3
202201011430,157.5,1.8
202201011435,157.5,2.7
202201011440,157.5,3.6
202201011450,315.0,8.5
202201011455,0.0,4.9
202201011500,292.5,3.6
202201011505,0.0,8.0
202201011510,45.0,6.3
202201011520,337.5,5.4
202201011525,0.0,5.8
202201011530,45.0,6.7
202201011535,45.0,7.6
202201011540,45.0,7.2
202201011545,22.5,6.7
202201011550,22.5,7.2
202201011555,22.5,8.0
202201011600,45.0,8.0
202201011605,22.5,7.2
202201011610,22.5,6.3
202201011620,45.0,6.3
202201011625,45.0,4.9
202201011635,67.5,4.5
202201011640,45.0,4.0
202201011645,45.0,4.5
202201011650,22.5,4.9
202201011655,0.0,4.5
202201011700,337.5,4.5
