timestamp string,wind direction,wind speed
202201010000,202.5,3.6
202201010010,202.5,4.0
202201010020,202.5,3.6
202201010030,202.5,4.5
202201010040,202.5,4.0
202201010050,202.5,3.6
202201010100,202.5,4.0
202201010110,180.0,5.4
202201010120,180.0,4.5
202201010130,180.0,4.0
202201010140,180.0,4.5
202201010150,202.5,4.0
202201010200,202.5,3.1
202201010210,202.5,4.0
202201010220,202.5,3.6
202201010230,202.5,4.9
202201010240,202.5,4.5
202201010250,202.5,4.5
202201010300,202.5,4.0
202201010310,202.5,4.0
202201010320,202.5,4.5
202201010330,202.5,4.5
202201010340,202.5,4.5
202201010350,202.5,4.0
202201010400,225.0,4.5
202201010410,225.0,3.6
202201010420,225.0,3.1
202201010430,225.0,3.1
202201010440,225.0,3.6
202201010450,225.0,3.1
202201010500,225.0,2.7
202201010510,225.0,2.7
202201010520,202.5,2.7
202201010530,202.5,2.7
202201010540,202.5,2.2
202201010550,202.5,2.2
202201010600,202.5,2.7
202201010610,180.0,1.8
202201010620,180.0,2.2
202201010630,157.5,2.2
202201010640,157.5,2.2
202201010650,180.0,2.2
202201010700,180.0,3.1
202201010710,202.5,3.1
202201010720,180.0,2.7
202201010730,225.0,1.3
202201010740,247.5,0.9
202201010750,270.0,1.3
202201010800,292.5,1.8
202201010820,180.0,1.8
202201010830,337.5,2.7
202201010840,90.0,0.9
202201010850,0.0,2.2
202201010900,315.0,1.3
202201010910,112.5,0.4
202201010920,337.5,0.0
202201010930,0.0,1.8
202201010940,337.5,2.7
202201010950,337.5,2.2
202201011000,157.5,2.2
202201011010,90.0,0.9
202201011015,112.5,1.8
202201011020,157.5,1.8
202201011030,135.0,2.2
202201011040,135.0,1.8
202201011050,247.5,0.4
202201011100,22.5,2.7
202201011110,292.5,3.1
202201011120,225.0,2.7
202201011130,315.0,2.7
202201011140,315.0,2.2
202201011145,180.0,1.8
202201011150,0.0,1.8
202201011200,0.0,1.8
202201011210,337.5,5.4
202201011215,315.0,6.3
202201011220,292.5,4.5
202201011230,292.5,4.0
202201011250,247.5,1.8
202201011255,225.0,1.8
202201011300,270.0,1.3
202201011310,315.0,1.8
202201011320,225.0,0.9
202201011330,157.5,0.0
202201011340,157.5,0.4
202201011350,180.0,0.9
202201011400,292.5,0.9
202201011410,135.0,1.3
202201011420,157.5,0.4
202201011430,157.5,2.2
202201011440,135.0,1.3
202201011450,135.0,1.8
202201011500,112.5,2.2
202201011510,202.5,1.8
202201011520,135.0,2.7
202201011530,135.0,0.9
202201011535,247.5,0.9
202201011540,337.5,1.3
202201011550,292.5,0.4
202201011600,180.0,0.9
202201011605,157.5,1.3
202201011610,135.0,1.8
202201011615,135.0,1.3
202201011620,135.0,1.8
202201011630,157.5,1.8
202201011635,157.5,1.8
202201011640,157.5,1.3
202201011650,202.5,1.3
202201011700,157.5,1.8
202201011710,157.5,2.2
202201011715,180.0,1.8
202201011720,202.5,1.8
202201011730,180.0,2.2
202201011740,180.0,2.2
202201011745,180.0,2.7
202201011750,202.5,4.9
202201011800,202.5,5.8
202201011805,202.5,5.4
202201011810,202.5,5.8
202201011815,202.5,5.8
202201011820,225.0,4.0
202201011825,202.5,6.7
202201011830,202.5,4.9
202201011835,202.5,6.3
202201011840,202.5,6.3
202201011850,202.5,4.9
202201011900,202.5,4.5
202201011905,202.5,4.9
202201011910,202.5,4.5
202201011915,202.5,5.8
202201011920,202.5,6.3
202201011930,202.5,5.4
202201011940,202.5,6.3
202201011945,202.5,7.2
202201011950,225.0,4.9
202201012000,225.0,4.9
202201012010,202.5,4.5
202201012020,180.0,3.1
202201012025,180.0,3.6
202201012030,202.5,2.7
202201012040,202.5,2.7
202201012045,202.5,2.2
202201012050,180.0,3.1
202201012110,202.5,3.1
202201012115,292.5,7.2
202201012120,292.5,5.8
202201012130,292.5,4.0
202201012135,292.5,3.1
202201012140,292.5,3.1
202201012150,270.0,2.2
202201012155,292.5,2.7
202201012200,315.0,4.0
202201012210,315.0,5.4
202201012215,292.5,4.5
202201012220,292.5,3.6
202201012225,292.5,4.0
202201012230,292.5,4.0
202201012240,315.0,3.1
202201012250,292.5,2.7
202201012300,315.0,2.7
202201012310,315.0,4.0
202201012315,315.0,3.1
202201012320,315.0,3.1
202201012330,315.0,3.1
202201012340,337.5,4.5
202201012350,337.5,4.0
202201020000,337.5,3.6
202201020010,337.5,3.1
202201020015,337.5,2.7
202201020020,337.5,1.3
202201020025,315.0,1.3
202201020030,0.0,0.9
202201020040,0.0,2.7
202201020045,45.0,1.3
202201020050,135.0,0.4
202201020055,90.0,0.0
202201020100,45.0,0.4
202201020110,112.5,0.9
202201020120,0.0,2.2
202201020130,67.5,0.4
202201020135,135.0,0.4
202201020140,112.5,0.9
202201020145,90.0,0.4
202201020150,337.5,0.9
202201020210,112.5,0.9
202201020220,112.5,1.8
202201020225,112.5,1.8
202201020230,112.5,2.2
202201020240,112.5,2.7
202201020250,112.5,2.7
202201020300,135.0,3.1
202201020305,112.5,2.2
202201020310,90.0,0.9
202201020315,315.0,1.8
202201020320,315.0,1.8
202201020330,337.5,0.9
202201020340,67.5,0.0
202201020350,157.5,0.9
202201020400,135.0,2.2
202201020410,112.5,2.2
202201020420,135.0,2.2
202201020430,135.0,2.2
202201020440,135.0,2.7
202201020500,135.0,4.9
202201020510,135.0,5.4
202201020520,135.0,3.1
202201020530,135.0,2.7
202201020540,135.0,3.1
202201020550,135.0,2.7
202201020600,112.5,3.6
202201020610,135.0,2.2
202201020620,135.0,1.3
202201020630,112.5,2.7
202201020640,225.0,0.9
202201020650,180.0,0.4
202201020700,270.0,0.4
202201020710,135.0,2.2
202201020720,157.5,0.9
202201020730,135.0,2.7
202201020740,180.0,0.9
202201020750,270.0,0.4
202201020800,315.0,0.9
202201020810,270.0,0.9
202201020820,292.5,0.9
202201020830,247.5,0.4
202201020840,247.5,0.9
202201020850,247.5,1.3
202201020900,202.5,1.3
202201020910,225.0,1.8
202201020920,202.5,1.8
202201020930,225.0,1.3
202201020940,225.0,1.8
202201020950,247.5,1.8
202201021000,270.0,1.3
202201021010,247.5,1.3
202201021020,247.5,1.8
202201021030,247.5,2.2
202201021040,247.5,2.2
202201021050,225.0,2.7
202201021100,225.0,2.7
202201021110,247.5,2.2
202201021120,247.5,2.7
202201021130,247.5,1.8
202201021140,247.5,1.8
202201021150,270.0,1.3
202201021200,270.0,1.3
202201021210,270.0,1.8
202201021220,247.5,0.9
202201021230,247.5,2.2
202201021250,247.5,1.8
202201021300,247.5,1.8
202201021310,247.5,2.2
202201021320,225.0,1.8
202201021330,225.0,1.8
202201021340,247.5,1.8
202201021350,247.5,1.8
202201021400,247.5,1.3
202201021410,247.5,1.8
202201021420,247.5,2.2
202201021430,225.0,1.8
202201021440,225.0,1.8
202201021450,225.0,2.7
202201021500,247.5,2.7
202201021510,247.5,2.7
202201021520,247.5,1.8
202201021530,225.0,2.2
202201021540,292.5,2.2
202201021550,315.0,3.6
202201021600,315.0,4.5
202201021610,315.0,3.1
202201021620,315.0,3.6
202201021630,292.5,3.6
202201021640,292.5,3.1
202201021650,315.0,3.6
202201021700,315.0,3.1
202201021710,315.0,4.0
202201021720,315.0,4.9
202201021730,315.0,3.1
202201021740,315.0,3.6
202201021750,315.0,4.0
202201021800,315.0,3.6
202201021810,315.0,3.6
202201021820,292.5,3.1
202201021830,315.0,2.7
202201021840,315.0,3.1
202201021850,315.0,4.0
202201021900,315.0,3.1
202201021910,315.0,3.1
202201021920,315.0,3.6
202201021930,315.0,3.1
202201021940,315.0,4.0
202201021950,315.0,4.9
202201022000,315.0,2.7
202201022010,315.0,2.7
202201022020,315.0,1.8
202201022030,315.0,2.2
202201022040,292.5,1.8
202201022050,292.5,2.7
202201022100,315.0,2.7
202201022110,315.0,2.2
202201022120,315.0,1.8
202201022130,315.0,2.7
202201022140,337.5,1.3
202201022150,337.5,3.1
202201022200,337.5,4.0
202201022210,337.5,2.7
202201022220,315.0,2.7
202201022230,337.5,5.4
202201022240,0.0,2.7
202201022250,337.5,3.6
202201022300,337.5,4.5
202201022310,337.5,4.5
202201022320,0.0,4.5
202201022330,0.0,3.1
202201022340,0.0,3.6
202201022350,337.5,4.9
202201030000,337.5,5.4
202201030010,337.5,3.6
202201030020,337.5,4.5
202201030030,337.5,4.5
202201030040,0.0,3.6
202201030050,337.5,5.4
202201030100,337.5,4.9
202201030110,337.5,4.5
202201030120,337.5,3.6
202201030130,0.0,2.7
202201030140,0.0,3.6
202201030150,0.0,3.1
202201030200,0.0,3.6
202201030210,0.0,3.1
202201030220,0.0,2.7
202201030230,0.0,4.5
202201030240,0.0,4.5
202201030250,0.0,4.0
202201030300,0.0,3.6
202201030310,0.0,4.9
202201030320,0.0,3.1
202201030330,0.0,2.2
202201030340,0.0,2.2
202201030350,0.0,3.6
202201030400,0.0,3.6
202201030410,0.0,3.6
202201030420,0.0,3.1
202201030430,0.0,2.7
202201030440,0.0,2.2
202201030450,0.0,2.2
202201030500,0.0,2.2
202201030510,0.0,3.1
202201030530,337.5,4.0
202201030540,0.0,4.0
202201030550,337.5,3.6
202201030600,337.5,3.6
202201030610,0.0,5.8
202201030620,0.0,4.9
202201030630,0.0,4.0
202201030640,337.5,4.9
202201030650,0.0,4.9
202201030700,0.0,4.0
202201030710,0.0,4.5
202201030720,337.5,5.4
202201030730,337.5,4.5
202201030740,337.5,4.5
202201030750,337.5,4.9
202201030800,337.5,6.3
202201030810,0.0,4.9
202201030820,337.5,4.5
202201030830,0.0,5.8
202201030840,337.5,6.7
202201030850,337.5,5.4
202201030900,0.0,4.0
202201030910,337.5,4.5
202201030920,0.0,6.3
202201030930,0.0,6.3
202201030940,0.0,6.7
202201030950,0.0,4.5
202201031000,0.0,6.3
202201031010,337.5,7.6
202201031020,0.0,4.9
202201031030,337.5,5.8
202201031040,337.5,4.9
202201031050,337.5,6.7
202201031100,337.5,6.3
202201031110,337.5,5.8
202201031120,337.5,7.2
202201031130,337.5,5.8
202201031140,337.5,6.7
202201031150,337.5,5.8
202201031200,315.0,4.5
202201031210,337.5,4.9
202201031220,315.0,3.6
202201031230,337.5,4.5
202201031240,315.0,4.0
202201031250,337.5,4.5
202201031300,337.5,4.9
202201031310,337.5,4.0
202201031320,337.5,3.6
202201031330,315.0,3.6
202201031340,337.5,4.5
202201031350,337.5,4.9
202201031400,315.0,4.5
202201031410,315.0,5.4
202201031420,315.0,4.5
202201031430,315.0,4.5
202201031450,315.0,2.7
202201031500,315.0,4.0
202201031510,315.0,4.0
202201031520,315.0,4.0
202201031530,315.0,3.6
202201031540,337.5,4.0
202201031550,337.5,2.7
202201031600,337.5,3.1
202201031610,315.0,3.1
202201031620,315.0,3.1
202201031630,337.5,3.6
202201031640,337.5,3.1
202201031650,337.5,2.7
202201031700,315.0,2.2
202201031710,315.0,1.8
202201031720,315.0,2.7
202201031730,315.0,1.8
202201031740,292.5,1.8
202201031750,292.5,1.8
202201031800,315.0,1.8
202201031810,315.0,1.8
202201031820,292.5,1.8
202201031830,292.5,1.8
202201031840,292.5,1.8
202201031850,292.5,1.3
202201031910,292.5,2.2
202201031930,292.5,2.2
202201031940,292.5,1.3
202201031950,315.0,1.3
202201032000,270.0,1.3
202201032010,270.0,1.3
202201032020,247.5,1.8
202201032030,247.5,1.8
202201032040,270.0,0.4
202201032050,0.0,0.4
202201032100,247.5,0.0
202201032110,292.5,0.0
202201032120,225.0,0.9
202201032130,225.0,1.3
202201032140,225.0,1.3
202201032150,225.0,2.2
202201032200,225.0,1.3
202201032210,225.0,1.3
202201032220,202.5,1.3
202201032230,225.0,0.9
202201032240,202.5,1.3
202201032250,202.5,1.8
202201032300,202.5,1.8
202201032310,225.0,1.8
202201032320,225.0,1.8
202201032330,225.0,1.8
202201032340,202.5,1.3
202201032350,202.5,1.8
202201040000,202.5,1.3
202201040010,225.0,1.8
202201040020,202.5,2.2
202201040030,202.5,1.3
202201040040,202.5,1.8
202201040050,225.0,1.8
202201040100,225.0,1.3
202201040110,202.5,1.3
202201040120,202.5,1.3
202201040130,202.5,1.3
202201040140,225.0,0.9
202201040150,225.0,0.9
202201040200,202.5,0.9
202201040210,202.5,0.9
202201040220,202.5,0.9
202201040230,180.0,1.3
202201040240,157.5,0.9
202201040250,157.5,0.9
202201040300,157.5,1.3
202201040320,157.5,1.3
202201040330,135.0,1.3
202201040340,135.0,1.3
202201040350,135.0,1.3
202201040400,135.0,2.2
202201040410,135.0,1.8
202201040420,135.0,1.8
202201040430,112.5,1.8
202201040440,112.5,1.8
202201040450,112.5,1.8
202201040500,112.5,1.8
202201040510,90.0,1.3
202201040520,112.5,1.3
202201040530,112.5,1.3
202201040540,112.5,1.3
202201040550,112.5,1.3
202201040600,112.5,1.8
202201040610,112.5,1.8
202201040620,112.5,1.3
202201040630,112.5,1.3
202201040640,112.5,1.3
202201040650,90.0,1.3
202201040700,90.0,1.8
202201040710,90.0,1.3
202201040720,112.5,1.3
202201040730,90.0,0.4
202201040740,0.0,0.0
202201040750,0.0,0.0
202201040800,0.0,0.0
202201040810,0.0,0.0
202201040820,135.0,0.9
202201040830,135.0,1.3
202201040840,112.5,0.9
202201040850,112.5,1.3
202201040900,67.5,0.9
202201040920,67.5,1.3
202201040930,67.5,1.8
202201040940,90.0,0.9
202201040950,67.5,0.4
202201041000,112.5,0.9
202201041010,112.5,0.9
202201041020,135.0,1.3
202201041030,112.5,1.3
202201041040,90.0,1.3
202201041050,90.0,1.3
202201041100,112.5,2.2
202201041110,112.5,1.3
202201041120,112.5,1.3
202201041130,112.5,0.9
202201041140,112.5,0.9
202201041150,90.0,0.4
202201041200,112.5,1.3
202201041210,90.0,0.9
202201041220,112.5,0.9
202201041230,112.5,0.9
202201041240,135.0,0.9
202201041250,112.5,0.4
202201041300,112.5,0.9
202201041310,337.5,0.4
202201041320,0.0,0.0
202201041330,157.5,0.9
202201041340,157.5,0.0
202201041350,135.0,1.3
202201041400,157.5,0.9
202201041410,112.5,1.3
202201041420,135.0,1.8
202201041430,135.0,2.2
202201041440,135.0,1.8
202201041450,135.0,1.8
202201041500,202.5,1.3
202201041510,180.0,1.3
202201041520,180.0,0.9
202201041530,180.0,1.3
202201041540,202.5,0.9
202201041550,135.0,0.9
202201041600,157.5,1.3
202201041610,157.5,0.9
202201041620,135.0,1.8
202201041630,135.0,1.8
202201041640,112.5,1.8
202201041650,157.5,0.9
202201041700,202.5,1.3
202201041710,202.5,1.3
202201041720,202.5,1.3
202201041730,225.0,0.9
202201041740,202.5,1.8
202201041750,157.5,1.8
202201041800,157.5,1.8
202201041810,180.0,1.8
202201041820,180.0,2.2
202201041830,180.0,2.2
202201041840,247.5,0.9
202201041850,225.0,1.3
202201041900,202.5,3.1
202201041910,202.5,3.1
202201041930,225.0,2.7
202201041940,202.5,3.1
202201041950,225.0,2.2
202201042000,225.0,2.7
202201042010,202.5,2.7
202201042020,202.5,3.1
202201042030,202.5,4.0
202201042040,202.5,3.1
202201042050,225.0,3.6
202201042100,180.0,2.7
202201042110,180.0,4.0
202201042120,180.0,3.6
202201042130,180.0,3.1
202201042140,202.5,3.1
202201042150,202.5,3.1
202201042200,202.5,2.2
202201042210,180.0,2.2
202201042220,180.0,2.2
202201042230,202.5,1.8
202201042240,202.5,2.7
202201042250,225.0,1.8
202201042310,202.5,2.2
202201042320,202.5,2.7
202201042330,225.0,2.7
202201042340,225.0,3.1
202201042350,225.0,3.1
202201050000,225.0,2.7
202201050010,202.5,3.6
202201050020,180.0,2.7
202201050030,180.0,2.7
202201050040,180.0,2.7
202201050050,180.0,3.1
202201050100,180.0,2.7
202201050110,180.0,2.2
202201050120,180.0,2.2
202201050130,180.0,2.2
202201050140,180.0,1.8
202201050150,180.0,2.2
202201050200,180.0,1.8
202201050210,180.0,2.2
202201050220,180.0,2.2
202201050230,157.5,2.7
202201050240,180.0,2.7
202201050250,180.0,2.7
202201050300,157.5,2.7
202201050310,180.0,2.7
202201050320,202.5,3.1
202201050330,202.5,3.6
202201050340,202.5,3.1
202201050350,202.5,3.6
202201050410,202.5,3.6
202201050420,180.0,3.6
202201050430,180.0,3.6
202201050440,180.0,3.6
202201050450,180.0,4.0
202201050500,180.0,4.5
202201050510,180.0,3.6
202201050520,180.0,3.6
202201050540,180.0,3.6
202201050550,180.0,3.1
202201050600,180.0,3.1
202201050610,180.0,3.6
202201050620,157.5,2.7
202201050630,180.0,3.6
202201050640,180.0,4.0
202201050650,180.0,4.0
202201050700,202.5,4.0
202201050710,202.5,4.9
202201050720,202.5,5.4
202201050730,202.5,5.8
202201050740,202.5,4.0
202201050750,202.5,7.6
202201050800,202.5,7.2
202201050810,202.5,5.8
202201050820,202.5,6.7
202201050830,202.5,7.2
202201050840,202.5,6.7
202201050850,202.5,6.3
202201050900,202.5,6.7
202201050910,202.5,5.8
202201050920,202.5,6.3
202201050940,202.5,5.4
202201050950,225.0,5.4
202201051000,202.5,4.9
202201051010,202.5,5.4
202201051020,202.5,6.3
202201051030,202.5,4.5
202201051040,202.5,5.4
202201051050,202.5,5.4
202201051100,202.5,4.0
202201051110,202.5,4.9
202201051120,202.5,4.5
202201051130,202.5,5.8
202201051140,180.0,5.4
202201051150,202.5,5.8
202201051200,225.0,6.3
202201051210,225.0,4.5
202201051220,225.0,4.5
202201051230,225.0,4.5
202201051240,202.5,5.8
202201051250,202.5,4.9
202201051300,202.5,5.4
202201051310,225.0,5.4
202201051320,202.5,4.9
202201051330,202.5,5.4
202201051340,202.5,5.4
202201051350,225.0,5.8
202201051410,202.5,4.9
202201051420,225.0,4.9
202201051430,225.0,4.9
202201051440,202.5,5.4
202201051450,202.5,6.3
202201051500,202.5,4.9
202201051510,225.0,4.5
202201051530,225.0,5.4
202201051540,225.0,5.8
202201051550,225.0,4.9
202201051600,225.0,4.9
202201051610,225.0,4.5
202201051620,225.0,4.0
202201051630,225.0,5.4
202201051640,225.0,5.4
202201051650,202.5,6.3
202201051700,225.0,6.3
202201051710,202.5,4.0
202201051720,225.0,3.6
202201051730,202.5,4.9
202201051740,225.0,5.8
202201051750,225.0,5.8
202201051800,225.0,4.5
202201051810,225.0,5.4
202201051820,225.0,5.8
202201051830,225.0,4.9
202201051840,225.0,5.8
202201051850,225.0,4.9
202201051900,225.0,5.4
202201051910,225.0,6.3
202201051920,225.0,5.4
202201051930,225.0,4.9
202201051940,225.0,4.0
202201051950,247.5,4.9
202201052000,225.0,4.5
202201052010,247.5,4.9
202201052020,225.0,4.5
202201052030,225.0,5.8
202201052040,225.0,7.2
202201052050,247.5,3.6
202201052100,247.5,3.6
202201052110,247.5,3.1
202201052120,247.5,4.5
202201052130,247.5,4.0
202201052140,247.5,4.5
202201052150,225.0,4.9
202201052200,225.0,4.0
202201052210,247.5,4.0
202201052220,225.0,4.0
202201052230,225.0,4.5
202201052240,225.0,4.0
202201052250,225.0,4.0
202201052300,247.5,2.2
202201052310,247.5,3.6
202201052330,247.5,3.1
202201052340,270.0,2.7
202201052350,270.0,1.8
202201060000,270.0,3.6
202201060010,270.0,3.1
202201060030,247.5,4.5
202201060040,270.0,4.0
202201060050,270.0,4.0
202201060100,270.0,3.1
202201060110,270.0,3.6
202201060120,270.0,3.6
202201060130,270.0,3.6
202201060140,292.5,3.1
202201060150,270.0,2.7
202201060200,270.0,2.7
202201060220,247.5,4.0
202201060230,247.5,2.7
202201060240,247.5,2.7
202201060250,247.5,2.7
202201060300,247.5,3.1
202201060310,270.0,2.2
202201060320,247.5,2.2
202201060330,270.0,1.8
202201060350,270.0,1.8
202201060400,270.0,1.8
202201060410,270.0,1.3
202201060415,270.0,1.3
202201060420,292.5,0.9
202201060430,292.5,1.3
202201060440,315.0,2.2
202201060450,292.5,3.1
202201060500,292.5,3.6
202201060510,315.0,4.9
202201060520,315.0,4.5
202201060530,315.0,4.9
202201060540,315.0,4.9
202201060550,292.5,3.6
202201060600,315.0,2.7
202201060610,315.0,3.1
202201060620,315.0,3.6
202201060630,315.0,4.0
202201060640,315.0,2.7
202201060650,315.0,3.1
202201060700,315.0,4.0
202201060710,315.0,3.6
202201060720,315.0,3.1
202201060740,292.5,3.6
202201060750,292.5,2.7
202201060800,292.5,2.2
202201060810,292.5,1.8
202201060820,292.5,0.9
202201060830,270.0,1.3
202201060840,270.0,0.9
202201060850,270.0,1.3
202201060900,315.0,1.3
202201060910,315.0,1.8
202201060920,315.0,1.8
202201060930,315.0,1.8
202201060940,315.0,1.8
202201060950,315.0,1.3
202201061000,292.5,0.9
202201061010,315.0,1.3
202201061020,315.0,1.3
202201061030,315.0,1.3
202201061040,292.5,0.9
202201061050,315.0,0.9
202201061100,315.0,1.3
202201061110,315.0,1.8
202201061130,315.0,0.9
202201061140,337.5,0.4
202201061150,22.5,0.4
202201061200,22.5,0.4
202201061210,135.0,0.0
202201061220,112.5,0.0
202201061230,0.0,0.4
202201061240,292.5,0.4
202201061250,315.0,0.9
202201061300,0.0,1.3
202201061310,45.0,0.9
202201061320,0.0,0.4
202201061330,22.5,0.9
202201061340,22.5,0.9
202201061350,0.0,1.3
202201061400,22.5,1.8
202201061410,112.5,2.7
202201061420,315.0,1.8
202201061430,337.5,1.8
202201061440,292.5,1.3
202201061450,247.5,0.9
202201061500,292.5,0.4
202201061510,315.0,1.3
202201061520,337.5,2.2
202201061530,315.0,1.8
202201061540,315.0,2.2
202201061550,337.5,2.2
202201061600,337.5,2.2
202201061610,337.5,2.7
202201061620,0.0,2.7
202201061630,0.0,1.3
202201061640,0.0,1.3
202201061650,292.5,1.3
202201061700,180.0,0.9
202201061705,315.0,0.4
202201061710,315.0,0.9
202201061720,315.0,1.8
202201061730,315.0,2.2
202201061750,315.0,1.8
202201061800,0.0,2.2
202201061805,337.5,2.2
202201061810,337.5,1.8
202201061815,337.5,1.8
202201061820,315.0,1.8
202201061825,337.5,1.8
202201061830,337.5,1.8
202201061835,0.0,1.8
202201061840,337.5,1.3
202201061845,337.5,1.3
202201061850,0.0,1.3
202201061855,337.5,1.3
202201061900,0.0,1.3
202201061905,337.5,0.9
202201061910,337.5,1.3
202201061920,0.0,1.8
202201061930,0.0,1.3
202201061940,0.0,1.8
202201061950,0.0,1.3
202201062000,0.0,0.4
202201062005,0.0,0.4
202201062010,292.5,0.0
202201062020,0.0,0.4
202201062025,0.0,0.9
202201062030,337.5,1.8
202201062040,0.0,1.3
202201062045,337.5,1.8
202201062050,315.0,1.8
202201062100,315.0,2.7
