timestamp string,wind direction,wind speed
202201010000,202.5,5.4
202201010010,202.5,5.4
202201010020,202.5,4.9
202201010040,202.5,5.4
202201010050,202.5,4.9
202201010100,202.5,5.4
202201010110,202.5,5.4
202201010120,202.5,5.4
202201010130,202.5,5.4
202201010140,202.5,5.4
202201010150,202.5,5.4
202201010200,225.0,4.9
202201010210,225.0,4.9
202201010220,202.5,4.9
202201010230,225.0,4.5
202201010240,225.0,4.9
202201010250,202.5,5.4
202201010300,202.5,5.4
202201010310,202.5,6.3
202201010320,202.5,5.4
202201010330,202.5,4.9
202201010340,202.5,4.9
202201010405,202.5,6.7
202201010415,202.5,6.3
202201010425,225.0,5.8
202201010435,202.5,4.5
202201010445,225.0,4.0
202201010455,225.0,4.0
202201010505,225.0,2.7
202201010515,270.0,3.6
202201010525,247.5,3.6
202201010535,270.0,3.6
202201010545,292.5,2.2
202201010555,337.5,4.5
202201010605,315.0,2.7
202201010615,0.0,2.2
202201010625,22.5,2.2
202201010635,22.5,0.9
202201010645,45.0,0.9
202201010655,135.0,0.9
202201010705,157.5,1.8
202201010715,180.0,0.9
202201010735,180.0,2.7
202201010745,135.0,1.8
202201010755,157.5,1.8
202201010805,135.0,1.8
202201010825,135.0,1.8
202201010835,225.0,0.9
202201010845,157.5,2.2
202201010855,135.0,1.8
202201010915,247.5,0.9
202201010925,315.0,2.2
202201010935,22.5,0.9
202201010945,45.0,0.4
202201010955,22.5,0.9
202201011005,22.5,0.9
202201011015,0.0,1.3
202201011025,315.0,0.9
202201011035,337.5,0.9
202201011045,315.0,1.3
202201011055,292.5,1.3
202201011105,247.5,0.4
202201011115,270.0,1.3
202201011125,292.5,2.2
202201011135,315.0,1.3
202201011145,292.5,0.4
202201011155,225.0,0.9
202201011205,270.0,1.3
202201011215,292.5,2.2
202201011240,292.5,2.2
202201011245,315.0,1.3
202201011255,315.0,0.9
202201011305,0.0,0.4
202201011315,180.0,0.4
202201011325,202.5,2.2
202201011335,225.0,2.7
202201011345,225.0,1.8
202201011355,202.5,1.3
202201011405,135.0,1.8
202201011415,180.0,1.8
202201011425,180.0,2.7
202201011435,180.0,2.2
202201011445,180.0,2.7
202201011455,180.0,2.2
202201011505,202.5,2.2
202201011515,202.5,2.2
202201011525,135.0,1.8
202201011535,157.5,2.7
202201011545,135.0,3.6
202201011555,157.5,3.1
202201011605,157.5,1.8
202201011615,247.5,2.2
202201011625,135.0,2.2
202201011635,157.5,3.1
202201011700,135.0,3.6
202201011710,135.0,4.5
202201011720,135.0,4.0
202201011730,135.0,4.0
202201011740,135.0,4.5
202201011750,135.0,5.4
202201011800,202.5,3.1
202201011820,67.5,2.2
202201011830,0.0,4.5
202201011840,0.0,9.4
202201011850,337.5,5.8
202201011900,0.0,5.4
202201011910,337.5,5.4
202201011920,0.0,4.9
202201011930,337.5,4.0
202201011940,0.0,4.9
202201011950,0.0,5.4
202201012000,0.0,4.9
202201012010,337.5,4.9
202201012020,337.5,5.4
202201012030,337.5,5.4
202201012040,337.5,4.0
202201012050,315.0,4.9
202201012115,337.5,3.6
202201012120,0.0,3.6
202201012130,0.0,3.1
202201012140,0.0,4.5
202201012150,0.0,3.6
202201012210,337.5,3.6
202201012220,0.0,3.1
202201012230,337.5,2.2
202201012240,22.5,0.9
202201012250,315.0,1.3
202201012300,292.5,1.3
202201012310,270.0,0.4
202201012340,157.5,1.3
202201012350,157.5,0.9
202201020000,157.5,1.3
202201020010,247.5,0.9
202201020020,292.5,0.9
202201020030,180.0,1.3
202201020040,180.0,3.1
202201020050,202.5,2.2
202201020100,202.5,2.2
202201020110,180.0,2.2
202201020135,135.0,2.2
202201020145,135.0,1.8
202201020155,157.5,1.8
202201020205,180.0,1.8
202201020215,180.0,2.2
202201020225,202.5,2.2
202201020235,180.0,2.2
202201020255,180.0,2.2
202201020305,157.5,3.1
202201020315,157.5,3.1
202201020325,135.0,5.8
202201020335,157.5,4.9
202201020345,157.5,5.8
202201020355,157.5,5.8
202201020405,157.5,6.3
202201020415,180.0,4.9
202201020425,202.5,4.5
202201020435,180.0,4.5
202201020445,202.5,4.5
