timestamp string,wind direction,wind speed
202201010000,180.0,2.2
202201010010,180.0,2.7
202201010015,180.0,2.7
202201010020,202.5,2.2
202201010030,180.0,2.7
202201010035,180.0,3.1
202201010040,180.0,3.1
202201010045,180.0,2.7
202201010050,180.0,2.7
202201010055,180.0,2.7
202201010100,180.0,2.2
202201010105,180.0,2.2
202201010110,180.0,2.2
202201010115,180.0,2.2
202201010120,202.5,2.2
202201010125,180.0,2.2
202201010130,180.0,2.2
202201010135,180.0,2.7
202201010140,180.0,2.7
202201010145,180.0,3.1
202201010155,202.5,3.1
202201010200,202.5,2.7
202201010205,202.5,2.2
202201010210,225.0,2.2
202201010215,225.0,1.8
202201010220,225.0,2.2
202201010225,202.5,1.3
202201010230,202.5,1.3
202201010235,202.5,1.8
202201010240,202.5,1.3
202201010305,225.0,0.9
202201010310,225.0,1.3
202201010315,225.0,1.3
202201010320,247.5,0.9
202201010325,247.5,0.9
202201010330,225.0,0.9
202201010335,202.5,0.4
202201010340,180.0,0.4
202201010345,180.0,0.4
202201010350,180.0,0.0
202201010355,202.5,0.0
202201010400,0.0,0.0
202201010405,202.5,0.0
202201010410,0.0,0.0
202201010415,0.0,0.0
202201010420,225.0,0.0
202201010425,202.5,0.0
202201010430,0.0,0.0
202201010435,0.0,0.4
202201010440,0.0,0.9
202201010445,0.0,0.4
202201010455,0.0,0.0
202201010500,22.5,0.4
202201010505,0.0,0.9
202201010515,157.5,0.9
202201010520,112.5,0.9
202201010525,0.0,0.0
202201010530,0.0,0.0
202201010535,0.0,0.4
202201010540,45.0,0.0
202201010545,90.0,0.4
202201010550,67.5,0.4
202201010555,0.0,0.9
202201010600,0.0,0.9
202201010605,0.0,0.9
202201010610,22.5,1.3
202201010615,247.5,0.4
202201010620,135.0,1.8
202201010625,135.0,0.9
202201010630,135.0,1.3
202201010635,112.5,1.3
202201010640,90.0,0.9
202201010645,225.0,0.9
202201010650,225.0,0.9
202201010655,247.5,0.4
202201010700,225.0,0.9
202201010720,22.5,1.3
202201010725,22.5,1.8
202201010730,90.0,1.3
202201010735,90.0,0.9
202201010740,90.0,0.9
202201010745,292.5,1.8
202201010750,292.5,1.3
202201010755,247.5,0.9
202201010805,0.0,0.9
202201010810,292.5,0.9
202201010815,112.5,1.3
202201010820,0.0,0.0
202201010825,0.0,2.2
202201010830,0.0,3.1
202201010835,0.0,3.1
202201010840,0.0,3.6
202201010845,0.0,3.6
202201010850,0.0,2.2
202201010855,0.0,2.2
202201010900,45.0,1.8
202201010905,0.0,1.8
202201010910,90.0,1.3
202201010920,22.5,2.7
202201010925,337.5,4.0
202201010930,0.0,3.6
202201010935,337.5,4.9
202201010940,315.0,1.8
202201010945,270.0,2.7
202201010950,292.5,3.6
202201010955,270.0,2.7
202201011000,270.0,1.8
202201011005,247.5,1.3
202201011010,270.0,0.4
202201011015,202.5,1.3
202201011020,202.5,1.8
202201011025,247.5,2.2
202201011030,315.0,4.5
202201011035,315.0,2.2
202201011040,315.0,4.5
202201011045,315.0,6.3
202201011050,337.5,3.6
202201011055,337.5,4.0
202201011100,337.5,3.1
202201011105,315.0,1.3
202201011110,337.5,1.3
202201011115,315.0,2.2
202201011130,292.5,3.6
202201011135,292.5,3.1
202201011140,315.0,3.1
202201011145,315.0,2.7
