timestamp string,wind direction,wind speed
202205010500,165.3,7.7
202205010515,167.6,8.3
202205010530,161.4,8.9
202205010545,162.8,8.7
202205010600,165.3,7.8
202205010615,161.6,8.4
202205010630,164.4,7.8
202205010700,160.5,9.0
202205010715,162.8,8.6
202205010730,159.9,8.4
202205010745,163.9,9.0
202205010800,160.9,9.6
202205010815,163.6,9.1
202205010830,166.0,9.5
202205010845,168.9,9.9
202205010900,163.4,9.4
202205010915,163.1,10.2
202205010930,165.4,8.7
202205010945,168.8,8.8
202205011000,162.5,8.8
202205011015,163.3,7.8
202205011030,162.4,7.1
202205011045,163.1,7.3
202205011100,163.7,7.1
202205011115,171.1,6.5
202205011145,169.7,7.4
202205011200,170.9,6.7
202205011215,165.0,6.7
202205011245,173.4,6.3
202205011300,172.9,5.5
202205011345,176.0,6.4
202205011400,172.4,6.8
202205011415,185.6,5.5
202205011430,211.6,4.7
202205011500,210.1,4.1
202205011515,273.9,2.6
202205011530,268.9,1.6
202205011545,241.4,1.5
202205011600,211.1,1.4
202205011615,137.4,1.8
202205011630,155.4,1.6
202205011645,205.7,2.0
202205011700,195.8,2.3
202205011715,168.6,2.2
202205011730,171.0,1.8
202205011745,217.8,1.5
202205011800,247.8,0.9
202205011815,308.8,1.3
202205011830,286.5,1.4
202205011845,217.3,2.2
202205011900,256.7,2.1
202205011915,243.0,2.8
202205011930,275.1,2.1
202205011945,277.1,1.6
202205012000,300.1,1.8
202205012015,284.1,1.6
202205012030,259.9,2.0
202205012045,240.8,1.2
202205012100,260.4,1.1
202205012115,252.6,1.5
202205012130,266.4,2.3
202205012145,270.2,2.1
202205012200,286.8,2.0
202205012215,246.7,2.2
202205012230,227.7,2.0
202205012245,217.8,2.0
202205012300,227.7,1.8
202205012315,239.3,1.3
202205012330,260.5,0.8
202205012345,230.5,0.7
202205020000,176.6,1.2
202205020015,164.0,1.7
202205020030,168.3,1.6
202205020045,175.6,1.7
202205020100,174.5,1.2
202205020115,183.2,2.4
202205020130,184.1,2.6
202205020145,191.7,3.0
202205020200,198.0,3.1
202205020230,191.7,3.3
202205020245,197.2,3.4
202205020300,197.4,3.7
202205020315,198.0,3.6
202205020330,203.4,3.7
202205020345,200.5,3.1
202205020415,263.3,1.5
202205020430,178.1,2.5
