timestamp string,wind direction,wind speed
202201010000,221.1,6.2
202201010005,208.4,6.3
202201010010,233.2,6.0
202201010015,219.4,6.5
202201010020,232.9,6.2
202201010025,242.4,6.5
202201010030,220.7,7.0
202201010035,221.8,5.5
202201010040,208.0,5.6
202201010050,218.5,5.9
202201010100,234.9,5.8
202201010110,233.5,7.1
202201010115,261.8,6.2
202201010120,243.1,5.9
202201010125,246.8,6.8
202201010130,246.4,6.4
202201010135,232.5,6.4
202201010145,246.3,5.3
202201010155,229.7,6.6
202201010200,217.2,6.8
202201010210,221.8,6.5
202201010215,236.6,6.0
202201010220,232.6,6.1
202201010225,219.8,6.9
202201010230,234.5,6.5
202201010235,220.9,6.2
202201010240,238.3,7.3
202201010245,244.1,6.9
202201010250,248.1,6.9
202201010255,221.6,6.1
202201010300,234.2,5.1
202201010305,247.8,6.4
202201010310,245.7,7.1
202201010315,228.4,5.2
202201010320,238.5,7.1
202201010325,231.0,7.1
202201010330,232.4,5.3
202201010335,232.5,4.8
202201010340,218.8,5.4
202201010345,230.4,4.9
202201010350,257.1,6.1
202201010355,251.8,6.1
202201010400,230.2,4.7
202201010405,225.4,3.8
202201010415,235.9,5.9
202201010420,232.2,6.6
202201010425,218.6,6.5
202201010430,239.6,6.2
202201010435,231.0,6.2
202201010440,250.7,6.9
202201010445,221.0,6.1
202201010450,230.0,5.8
202201010455,217.3,6.5
202201010500,211.2,6.3
202201010505,231.8,7.2
202201010510,244.6,6.4
202201010515,234.9,6.4
202201010520,235.5,6.7
202201010525,217.8,5.7
202201010530,210.8,6.6
202201010535,221.4,5.5
202201010540,209.6,6.1
202201010545,247.7,6.5
202201010550,215.0,5.9
202201010555,221.4,5.3
202201010600,221.3,5.0
202201010605,214.9,6.1
202201010610,228.9,5.8
202201010615,216.6,4.7
202201010620,231.0,6.1
202201010625,219.0,6.0
202201010630,215.2,6.4
202201010635,209.4,6.7
202201010640,228.0,5.2
202201010645,220.1,6.4
202201010650,214.1,6.8
202201010655,226.7,5.3
202201010700,225.4,6.8
202201010705,218.5,5.9
202201010710,214.9,6.6
202201010715,230.1,6.6
202201010720,180.4,5.4
202201010725,206.9,6.8
202201010730,214.3,6.9
202201010735,222.8,6.7
202201010740,211.4,7.0
202201010750,199.6,6.8
202201010755,220.9,6.8
202201010800,219.4,7.3
202201010805,216.9,7.1
202201010810,220.6,7.0
202201010820,200.9,7.1
202201010825,205.3,7.5
202201010830,230.5,7.3
202201010835,195.5,7.6
202201010840,211.2,8.3
202201010845,216.8,7.3
202201010850,242.3,6.9
202201010855,217.6,7.7
202201010900,200.7,9.0
202201010905,212.8,6.9
202201010910,223.4,7.9
202201010915,227.8,6.2
202201010920,210.4,7.0
202201010925,238.9,6.8
202201010930,204.7,7.3
202201010935,202.9,7.2
202201010940,234.2,7.0
202201010945,216.3,6.9
202201010950,227.4,6.9
202201010955,237.7,7.1
202201011000,196.6,6.9
202201011005,219.5,7.1
202201011010,231.3,6.6
202201011015,209.6,7.5
202201011020,205.9,7.4
202201011025,214.1,7.0
202201011030,192.6,7.2
202201011035,224.3,7.2
202201011040,224.0,7.2
202201011045,227.0,8.5
202201011050,214.0,5.5
202201011105,219.0,7.2
202201011110,225.2,6.7
202201011115,221.2,6.9
202201011120,215.9,6.7
202201011125,198.1,7.7
202201011130,216.7,7.2
202201011135,220.6,6.5
202201011140,214.4,7.0
202201011145,209.4,6.9
202201011150,220.6,7.4
202201011155,225.9,6.5
202201011200,230.5,6.0
202201011205,226.6,7.1
202201011210,244.8,7.0
202201011215,251.0,6.9
202201011220,252.5,6.4
202201011225,237.0,6.1
202201011230,220.7,6.4
202201011235,239.8,6.5
202201011240,221.1,7.2
202201011245,225.8,5.8
202201011250,227.4,7.0
202201011255,239.5,5.6
202201011300,239.0,7.0
202201011305,245.9,6.3
202201011310,236.3,5.6
202201011315,222.1,6.8
202201011320,248.0,5.8
202201011325,243.5,4.9
202201011330,223.5,6.1
202201011335,236.1,5.4
202201011340,225.4,4.1
202201011345,218.7,5.3
202201011350,227.1,5.8
202201011355,240.9,5.3
202201011400,217.4,3.6
202201011405,238.3,5.4
202201011410,221.3,4.7
202201011415,234.2,5.6
202201011420,196.9,4.0
202201011425,247.9,4.3
202201011430,204.2,4.6
202201011435,218.2,4.8
202201011440,218.6,4.4
202201011445,237.3,5.5
202201011455,217.9,3.5
202201011500,233.4,7.0
202201011505,218.4,6.9
202201011510,212.0,5.1
202201011515,233.4,6.0
202201011520,227.6,6.9
202201011525,233.7,3.7
202201011530,210.2,5.9
202201011540,182.1,6.8
202201011545,220.1,6.7
202201011550,212.7,6.9
202201011555,199.5,6.8
202201011600,213.5,7.2
202201011605,236.4,5.3
202201011610,235.9,6.9
202201011620,226.2,5.1
202201011625,192.4,5.7
202201011630,191.8,6.7
202201011635,230.8,7.3
202201011640,189.3,6.2
202201011650,206.5,6.4
202201011655,210.9,7.5
202201011700,226.7,8.0
202201011705,220.2,6.6
202201011710,215.2,5.8
202201011720,199.7,7.5
202201011725,199.2,7.4
202201011730,195.4,8.1
202201011735,197.7,7.6
202201011740,232.7,6.8
202201011745,270.5,7.9
202201011750,230.0,6.6
202201011755,201.6,7.0
202201011800,194.3,7.1
202201011810,224.1,6.9
202201011815,214.9,6.9
202201011820,226.1,7.0
202201011825,223.0,7.2
202201011830,206.4,7.2
202201011835,217.2,9.2
202201011840,217.0,6.8
202201011845,230.7,6.8
202201011850,224.7,7.9
202201011855,204.6,12.1
202201011900,212.5,7.1
202201011905,222.0,7.2
202201011910,232.7,8.2
202201011915,215.4,7.3
202201011920,210.2,8.8
202201011925,192.5,7.0
202201011930,206.7,9.3
202201011935,223.4,9.0
202201011940,220.9,9.3
202201011945,231.3,8.4
202201011950,227.6,6.4
202201011955,206.6,10.8
202201012000,231.2,7.7
202201012010,203.2,9.2
202201012015,268.2,9.0
202201012020,229.9,8.4
202201012025,215.6,7.3
202201012030,215.0,9.0
202201012035,237.4,8.3
202201012040,204.8,8.0
202201012045,207.6,8.7
202201012050,225.4,9.4
202201012055,176.0,9.0
202201012100,225.7,8.1
202201012105,214.3,7.7
202201012110,228.6,7.2
202201012115,227.7,9.1
202201012120,218.3,7.5
202201012125,212.5,7.5
202201012130,198.7,7.0
202201012135,212.6,6.6
202201012140,224.2,9.7
202201012145,225.0,7.3
202201012150,210.4,9.4
202201012155,212.8,8.6
202201012200,208.4,7.1
202201012205,208.8,8.7
202201012210,218.8,7.8
202201012215,224.0,7.3
202201012220,194.8,8.0
202201012225,217.1,8.0
202201012230,212.0,7.4
202201012235,215.4,9.4
202201012240,195.7,10.0
202201012245,204.3,11.3
202201012250,208.0,11.1
202201012255,234.4,10.5
202201012300,221.7,10.7
202201012305,188.8,7.5
202201012310,198.5,10.5
202201012315,230.2,8.1
202201012320,236.4,7.6
202201012325,206.4,6.9
202201012330,221.6,8.2
202201012335,221.6,8.5
202201012340,237.7,8.8
202201012345,206.7,12.0
202201012350,224.5,7.7
202201012355,221.5,10.4
202201020000,227.8,9.5
202201020005,220.6,7.4
202201020010,223.3,7.3
202201020015,242.6,8.3
202201020020,230.3,7.2
202201020025,213.1,7.4
202201020030,211.0,6.9
202201020035,241.2,6.0
202201020040,197.8,6.3
202201020045,220.3,6.0
202201020050,213.7,7.0
202201020055,213.8,6.3
202201020100,241.5,6.9
202201020105,220.5,7.2
202201020110,245.7,6.4
202201020115,189.3,9.8
202201020120,213.3,12.1
202201020125,204.8,6.4
202201020130,207.4,7.3
202201020135,207.1,9.0
202201020140,208.8,10.2
202201020145,220.8,7.5
202201020150,219.5,10.3
202201020155,199.2,15.9
202201020200,228.0,9.5
202201020205,179.8,8.7
202201020210,202.6,12.1
202201020215,216.9,9.7
202201020220,206.3,11.0
202201020225,221.4,9.9
202201020230,217.8,11.0
202201020235,210.2,11.8
202201020240,205.8,10.3
202201020245,224.9,11.4
202201020250,218.4,10.1
202201020255,214.7,8.2
202201020300,215.3,7.7
202201020305,186.1,10.1
202201020310,226.6,8.6
202201020315,205.3,8.0
202201020320,211.9,12.4
202201020325,212.9,12.9
202201020330,230.7,10.6
202201020335,201.4,10.0
202201020340,202.2,8.9
202201020345,199.5,9.5
202201020350,229.5,9.2
202201020355,220.7,13.3
202201020400,212.5,9.3
202201020405,220.7,8.0
202201020410,229.2,8.2
202201020415,211.4,10.9
202201020420,203.3,9.1
202201020430,171.4,7.2
202201020435,221.1,8.3
202201020440,225.7,9.5
202201020445,220.2,7.3
202201020450,229.3,10.6
202201020455,208.3,8.8
202201020500,215.5,7.6
202201020505,208.4,7.6
202201020510,225.6,8.8
202201020515,243.4,9.0
202201020520,228.7,10.6
202201020530,229.1,9.1
202201020535,207.9,7.6
202201020540,218.4,7.8
202201020545,215.6,7.7
202201020550,199.9,10.3
202201020600,233.6,7.4
202201020605,219.8,8.2
202201020610,247.6,10.3
202201020615,223.2,9.5
202201020620,210.9,9.0
202201020625,207.6,12.8
202201020630,219.8,9.2
202201020635,240.0,9.0
202201020640,202.5,7.4
202201020645,192.5,8.4
202201020650,230.6,9.2
202201020655,224.8,8.0
202201020700,260.0,8.9
202201020705,232.6,7.2
202201020710,210.0,9.6
202201020715,226.7,7.1
202201020720,230.9,8.9
202201020725,201.3,10.6
202201020730,233.9,9.1
202201020735,246.4,9.2
202201020740,218.3,13.2
202201020745,213.0,9.4
202201020750,233.7,8.8
202201020755,237.6,10.1
202201020800,228.2,7.7
202201020805,224.4,7.9
202201020810,252.2,6.8
202201020815,282.8,6.3
202201020820,268.5,6.0
202201020825,313.9,7.2
202201020830,295.4,5.3
202201020835,296.2,6.0
202201020840,323.7,7.3
202201020845,325.5,9.2
202201020850,341.5,12.2
202201020855,319.1,12.7
202201020900,326.3,7.3
202201020905,320.6,9.6
