timestamp string,wind direction,wind speed
202201010000,157.3,2.0
202201010005,205.4,1.8
202201010015,283.9,1.5
202201010020,161.6,1.5
202201010025,302.6,2.7
202201010030,226.4,2.5
202201010035,166.1,2.0
202201010040,307.9,1.0
202201010045,282.1,1.7
202201010050,187.1,1.6
202201010055,153.5,1.6
202201010100,250.4,2.2
202201010105,11.7,1.3
202201010110,285.1,2.1
202201010115,278.8,2.2
202201010120,186.8,1.6
202201010125,250.5,1.8
202201010130,165.7,0.9
202201010135,336.6,0.9
202201010140,207.0,1.2
202201010145,308.0,1.7
202201010150,116.8,1.4
202201010155,283.1,1.0
202201010205,190.0,1.8
202201010210,109.7,1.0
202201010215,190.4,0.6
202201010220,221.8,0.5
202201010225,237.5,1.5
202201010230,178.4,2.2
202201010235,235.0,2.2
202201010245,242.7,1.4
202201010250,267.1,1.6
202201010255,162.9,1.8
202201010300,225.4,2.8
202201010305,131.8,1.2
202201010310,163.0,2.1
202201010315,263.5,1.3
202201010320,273.6,0.9
202201010325,213.8,1.2
202201010330,216.1,2.7
202201010335,170.6,2.7
202201010340,144.6,1.7
202201010345,302.3,3.2
202201010350,166.0,2.2
202201010355,242.0,2.9
202201010400,169.6,3.4
202201010405,311.8,1.0
202201010410,255.1,1.2
202201010415,149.4,1.3
202201010420,0.1,2.6
202201010425,158.9,1.3
202201010430,189.0,1.8
202201010435,215.6,1.9
202201010440,243.4,0.9
202201010445,207.6,1.1
202201010450,199.8,1.2
202201010455,219.4,0.9
202201010500,172.7,2.1
202201010505,158.0,1.5
202201010510,183.0,1.6
202201010515,241.1,1.5
202201010520,267.0,2.4
202201010525,176.2,2.4
202201010530,259.9,1.8
202201010535,218.9,2.5
202201010540,297.9,2.2
202201010545,298.1,1.2
202201010550,297.9,1.4
202201010555,246.4,1.5
202201010605,162.4,1.7
202201010610,219.7,3.5
202201010615,294.6,2.3
202201010620,220.9,2.6
202201010625,223.6,1.4
202201010630,292.2,1.1
202201010635,348.0,0.8
202201010640,192.9,1.6
202201010645,289.4,1.0
202201010650,268.8,1.8
202201010655,182.3,1.1
202201010700,238.0,1.5
202201010705,175.3,0.8
202201010710,201.9,1.5
202201010715,293.5,2.5
202201010720,197.3,2.2
202201010725,163.5,3.1
202201010730,199.4,2.4
202201010735,243.9,3.0
202201010740,177.1,2.5
202201010745,202.4,3.3
202201010750,177.8,3.0
202201010755,218.1,2.6
202201010800,189.5,3.5
202201010805,204.8,3.7
202201010810,173.5,4.2
202201010815,225.4,2.5
202201010820,143.8,4.3
202201010830,234.6,3.5
202201010835,189.1,2.3
202201010840,248.4,3.4
202201010850,241.1,3.7
202201010855,191.8,2.6
202201010900,230.1,2.2
202201010905,169.2,3.3
202201010925,181.0,3.5
202201010930,184.2,2.0
202201010935,164.2,2.9
202201010940,189.5,3.0
202201010945,185.6,2.2
202201010950,171.2,3.1
202201010955,206.0,2.2
202201011000,181.9,2.6
202201011005,164.2,3.3
202201011010,198.3,3.8
202201011015,80.6,2.1
