timestamp string,wind direction,wind speed
202201010000,243.0,6.6
202201010005,246.1,5.9
202201010010,249.8,5.3
202201010015,257.1,7.2
202201010020,259.9,4.8
202201010025,267.9,6.3
202201010030,250.7,5.8
202201010035,226.1,6.3
202201010040,264.2,5.8
202201010045,269.6,6.0
202201010050,272.1,6.0
202201010055,257.6,6.0
202201010100,250.1,5.9
202201010105,271.8,6.5
202201010110,264.0,6.2
202201010115,260.7,6.3
202201010120,258.4,5.8
202201010125,257.4,6.1
202201010135,274.7,7.9
202201010140,238.3,6.3
202201010145,242.8,5.3
202201010150,277.1,6.7
202201010155,241.0,6.4
202201010200,255.3,6.7
202201010205,246.7,6.8
202201010210,240.7,5.9
202201010215,257.7,6.7
202201010220,240.8,5.3
202201010225,244.0,7.2
202201010230,245.2,6.8
202201010235,246.8,6.2
202201010240,253.6,6.8
202201010245,257.3,4.8
202201010255,239.3,5.6
202201010300,254.9,5.8
202201010305,245.6,5.1
202201010310,250.4,5.7
202201010315,264.9,4.6
202201010320,250.9,6.5
202201010325,245.7,5.2
202201010330,251.0,5.1
202201010335,250.5,6.1
202201010340,235.8,6.1
202201010345,242.6,5.6
202201010350,242.5,5.0
202201010355,254.2,6.3
202201010400,216.1,5.9
202201010405,254.2,6.8
202201010410,252.8,6.9
202201010415,279.8,6.2
202201010420,240.6,7.2
202201010425,245.6,6.2
202201010430,249.3,6.7
202201010435,258.3,6.1
202201010440,244.6,7.2
202201010445,260.0,6.9
202201010500,270.0,8.6
202201010505,251.9,7.8
202201010510,266.5,5.6
202201010515,257.6,6.9
202201010520,262.9,6.8
202201010525,237.6,7.6
202201010530,226.3,5.5
202201010535,255.6,6.1
202201010540,229.3,6.0
202201010545,272.7,6.9
202201010550,252.2,6.8
202201010555,253.9,6.2
202201010600,237.1,8.2
202201010605,259.0,6.1
202201010610,267.0,6.9
202201010615,246.7,7.4
202201010620,249.9,6.0
202201010625,252.4,6.9
202201010630,244.6,6.9
202201010635,243.1,7.1
202201010640,248.4,5.3
202201010645,232.2,6.0
202201010650,236.5,4.8
202201010655,251.2,5.6
202201010705,238.2,4.9
202201010710,255.2,5.0
202201010715,274.2,4.8
202201010720,242.6,5.1
202201010725,269.8,4.5
202201010730,245.3,4.7
202201010735,250.6,6.5
202201010740,245.8,4.8
202201010745,227.1,5.6
202201010750,230.5,5.5
202201010755,244.4,5.8
202201010805,256.0,6.2
202201010810,238.1,5.8
202201010815,252.1,5.3
202201010820,234.6,5.6
202201010825,265.8,4.3
202201010830,245.2,5.1
202201010835,223.1,6.4
202201010840,230.0,6.9
202201010845,230.5,6.8
202201010850,232.5,7.2
202201010855,249.4,6.7
202201010900,243.1,7.4
202201010905,282.8,6.2
202201010910,247.5,8.2
202201010915,234.1,7.5
202201010920,237.6,8.0
202201010925,251.9,7.5
202201010930,269.2,5.6
202201010935,238.8,7.2
202201010940,239.6,4.5
202201010945,269.4,6.5
202201010950,271.3,7.3
202201010955,239.5,6.8
202201011000,247.9,6.5
202201011005,274.0,8.0
202201011010,272.7,6.4
202201011015,245.1,7.1
202201011020,285.3,6.9
202201011025,284.3,8.5
202201011030,243.7,8.4
202201011035,251.6,5.8
