timestamp string,wind direction,wind speed
202201010000,145.9,1.6
202201010005,86.6,0.7
202201010010,169.6,1.6
202201010015,175.9,2.2
202201010020,150.2,1.9
202201010025,155.5,1.2
202201010030,169.8,0.8
202201010035,131.0,0.6
202201010040,148.3,1.1
202201010045,144.2,1.4
202201010050,199.6,1.5
202201010055,103.4,0.9
202201010105,184.7,2.1
202201010110,164.4,1.9
202201010115,182.3,0.9
202201010120,272.4,0.9
202201010125,236.1,1.4
202201010130,145.2,1.5
202201010135,172.7,0.9
202201010140,234.5,0.3
202201010145,166.9,1.2
202201010150,201.6,1.8
202201010155,210.4,1.1
202201010200,206.7,1.0
202201010205,174.3,0.1
202201010210,210.2,0.7
202201010215,195.2,0.9
202201010220,184.0,0.9
202201010225,202.5,1.3
202201010230,213.8,1.4
202201010235,185.9,1.4
202201010240,198.0,2.1
202201010245,192.3,2.3
202201010250,181.4,1.7
202201010255,208.1,1.0
202201010300,182.3,1.1
202201010305,57.7,0.2
202201010310,168.7,0.3
202201010315,263.9,1.2
202201010320,313.9,0.4
202201010325,348.0,0.1
202201010330,241.4,0.8
202201010335,270.4,0.8
202201010340,49.2,0.1
202201010345,240.0,0.4
202201010350,256.7,1.1
202201010355,264.3,1.1
202201010400,176.7,1.2
202201010405,318.4,0.7
202201010410,207.1,0.9
202201010415,215.5,0.7
202201010420,143.2,0.2
202201010425,207.4,1.0
202201010430,159.1,0.6
202201010435,225.0,1.2
202201010440,196.3,1.5
202201010445,251.0,1.0
202201010450,203.2,0.1
202201010455,246.5,0.6
202201010500,321.0,0.6
202201010505,142.0,2.4
202201010510,203.0,1.2
202201010515,262.3,0.7
202201010520,103.6,0.6
202201010525,154.0,0.7
202201010530,274.3,1.3
202201010535,243.9,0.6
202201010540,172.4,0.7
202201010545,136.6,1.0
202201010550,191.6,1.1
202201010555,157.0,0.0
202201010600,356.0,0.5
202201010605,10.4,0.0
202201010610,268.3,0.0
202201010615,286.2,0.6
202201010620,220.4,1.3
202201010625,159.2,0.7
202201010630,163.4,0.1
202201010635,214.9,0.6
202201010640,260.5,0.7
202201010645,261.4,0.9
202201010650,209.8,0.7
202201010655,208.8,0.7
202201010700,174.3,1.1
202201010705,202.4,0.7
202201010710,232.3,1.2
202201010715,359.2,0.9
202201010720,91.7,0.7
202201010725,60.1,0.9
202201010730,10.1,2.0
202201010735,45.1,2.2
202201010740,41.2,1.4
202201010745,3.6,1.2
202201010750,38.2,0.7
202201010755,13.9,0.0
202201010800,34.6,2.1
202201010805,58.1,3.3
202201010810,24.4,2.1
202201010815,18.3,1.7
202201010820,33.1,2.2
202201010825,20.3,1.9
202201010830,53.7,1.3
202201010835,2.2,2.4
202201010840,55.7,1.8
202201010845,185.1,1.7
202201010850,140.8,2.3
202201010855,209.4,0.6
202201010900,197.6,3.1
202201010905,169.3,1.9
202201010910,279.9,0.9
202201010915,56.7,1.0
202201010920,83.1,2.2
202201010925,242.0,2.0
202201010930,125.0,2.0
202201010935,155.7,2.5
202201010940,320.1,2.9
202201010945,234.8,3.9
202201010950,138.8,1.4
202201010955,271.5,1.8
202201011000,285.6,1.0
202201011005,3.7,1.7
202201011010,298.9,1.8
202201011015,291.2,2.5
202201011020,94.1,1.7
202201011025,125.9,0.8
202201011030,83.3,2.8
202201011035,173.8,0.8
202201011040,287.1,3.1
202201011045,359.3,2.0
202201011050,268.3,1.0
202201011055,214.4,1.1
202201011100,215.1,1.0
202201011105,99.9,2.0
202201011110,228.6,3.3
202201011115,229.9,2.9
202201011120,247.4,1.3
202201011125,243.6,2.2
202201011130,215.2,0.8
202201011135,240.0,2.0
202201011140,184.7,2.8
202201011145,300.3,3.6
202201011150,271.3,2.7
202201011155,181.7,2.0
202201011200,227.5,3.7
202201011205,240.3,3.0
202201011210,272.2,3.4
202201011215,324.2,2.6
202201011220,197.7,1.6
202201011225,273.1,3.5
202201011230,240.8,4.0
202201011235,262.6,3.2
202201011240,280.8,5.0
202201011245,244.7,4.2
202201011250,293.9,1.3
202201011255,4.2,2.0
202201011300,238.9,3.2
202201011305,335.0,2.0
202201011310,236.6,2.1
202201011315,176.7,2.2
202201011320,234.2,5.7
202201011325,96.9,0.9
202201011330,194.7,1.1
202201011335,248.7,0.9
202201011340,103.0,0.9
202201011345,318.3,1.9
202201011350,273.5,1.9
202201011400,246.5,3.6
202201011405,140.8,2.0
202201011410,178.5,1.3
202201011415,304.5,4.3
202201011420,113.0,0.8
202201011425,253.7,2.6
202201011430,178.0,1.4
202201011435,297.3,5.7
202201011440,358.8,2.0
202201011445,250.9,1.9
202201011450,341.0,1.7
202201011455,321.0,1.2
202201011500,270.5,1.3
202201011505,1.7,0.9
202201011510,238.8,2.0
202201011515,289.3,3.2
202201011520,349.9,1.4
202201011525,92.3,2.7
202201011530,348.1,1.5
202201011535,145.6,2.9
202201011540,328.8,5.9
202201011545,227.0,4.3
202201011550,92.7,4.4
202201011555,239.8,4.7
202201011600,348.2,3.6
202201011605,136.4,0.8
202201011610,143.5,1.2
202201011615,275.3,5.1
202201011620,186.3,1.1
202201011625,284.9,5.0
202201011630,252.5,6.8
202201011635,216.1,4.4
202201011640,275.9,2.8
202201011645,359.0,1.3
202201011650,12.1,0.6
202201011655,216.2,5.8
202201011700,225.9,4.3
202201011705,220.3,5.1
202201011710,304.8,2.6
202201011715,247.8,6.1
202201011720,210.7,4.6
202201011725,296.9,4.5
202201011730,241.3,3.6
202201011735,329.3,6.4
202201011740,219.2,2.9
202201011745,253.2,2.2
202201011750,172.0,5.0
202201011755,234.2,7.0
202201011800,226.2,3.9
202201011805,269.1,5.6
202201011815,206.0,5.6
202201011820,225.7,4.5
202201011825,202.1,4.1
202201011830,269.2,4.9
202201011835,193.3,7.1
202201011840,203.2,3.9
202201011845,227.3,8.9
202201011850,227.7,6.7
202201011855,215.2,3.0
202201011900,205.2,6.4
202201011905,208.8,9.0
202201011910,260.4,5.0
202201011915,229.0,1.1
202201011920,264.9,5.5
202201011925,217.5,8.7
202201011930,254.5,3.4
202201011935,216.2,4.8
202201011940,209.7,7.3
202201011945,236.6,6.4
202201011950,230.7,9.0
202201011955,2.0,3.4
202201012000,238.8,1.5
202201012005,232.8,4.8
202201012010,150.4,3.2
202201012015,248.3,2.0
202201012020,218.1,0.7
202201012025,112.2,1.9
202201012030,240.2,3.9
202201012035,276.0,2.0
202201012040,247.8,2.3
202201012045,275.9,2.5
202201012050,182.3,2.7
202201012055,98.5,1.5
202201012100,257.5,4.4
202201012105,195.4,2.5
202201012110,185.2,3.8
202201012115,259.1,5.2
202201012120,223.9,7.2
202201012125,220.6,5.8
202201012130,272.9,4.9
202201012135,201.8,4.8
202201012140,314.1,2.1
202201012145,200.5,1.8
202201012150,237.3,4.3
202201012155,313.3,4.9
202201012200,241.5,4.4
202201012205,207.2,4.4
202201012210,266.8,3.9
202201012215,141.9,2.2
202201012220,224.5,1.5
202201012225,176.5,6.1
202201012230,272.3,4.2
202201012235,296.4,3.7
202201012240,201.1,2.1
202201012245,190.5,4.7
202201012250,187.6,1.4
202201012255,163.3,3.7
202201012300,212.5,4.5
202201012305,236.9,5.5
202201012310,225.7,5.8
202201012315,200.7,3.4
202201012320,200.7,2.7
202201012325,160.3,3.7
202201012330,235.0,3.8
202201012335,217.3,5.2
202201012340,233.5,3.8
202201012345,240.2,5.0
202201012350,261.4,3.4
202201012355,171.8,3.4
202201020000,212.2,4.0
202201020010,210.3,4.9
202201020015,217.5,2.7
202201020020,269.9,5.2
202201020025,251.1,4.2
202201020035,193.5,3.8
202201020040,247.4,6.1
202201020045,200.4,6.5
202201020050,196.2,1.9
202201020055,296.5,2.0
202201020100,207.1,3.8
202201020105,233.8,2.4
202201020110,264.0,2.1
202201020120,231.8,5.5
202201020125,234.1,5.1
202201020130,268.6,5.1
202201020135,217.5,5.0
202201020140,258.0,3.9
202201020145,211.9,1.8
202201020150,216.6,5.2
202201020155,201.6,2.2
202201020200,190.3,4.7
202201020205,227.5,4.0
202201020210,149.6,3.3
202201020215,166.1,3.2
202201020220,263.4,4.2
202201020225,152.6,3.1
202201020230,259.9,7.1
202201020240,216.8,5.6
202201020245,185.0,5.3
202201020250,228.1,5.9
202201020255,209.1,5.7
202201020300,209.8,7.3
202201020305,208.6,7.1
202201020310,215.0,8.8
202201020315,212.4,7.2
202201020320,215.8,11.2
202201020325,181.8,6.8
202201020330,259.5,7.6
202201020335,222.9,6.0
202201020340,202.0,7.5
202201020345,264.0,7.3
202201020350,208.7,5.9
202201020355,224.4,7.5
202201020400,230.6,8.9
202201020405,238.8,5.7
202201020410,186.0,6.4
202201020415,184.0,4.8
202201020420,236.8,5.1
202201020425,233.6,5.7
202201020430,260.0,3.2
202201020435,222.0,6.3
202201020440,225.5,7.6
202201020445,260.6,5.2
202201020450,165.6,4.2
202201020455,230.7,6.0
202201020500,200.6,4.3
202201020505,217.9,5.4
202201020515,219.9,6.6
202201020520,223.7,7.4
202201020525,223.8,4.4
202201020530,163.6,2.4
