timestamp string,wind direction,wind speed
202201010048,190.0,3.1
202201010053,190.0,3.6
202201010058,190.0,3.1
202201010148,190.0,3.6
202201010153,210.0,4.1
202201010158,210.0,4.6
202201010248,200.0,5.1
202201010253,220.0,5.1
202201010258,220.0,7.7
202201010548,220.0,5.1
202201010553,220.0,4.6
202201010558,220.0,4.6
202201010648,220.0,4.1
202201010653,220.0,4.6
202201010748,230.0,2.6
202201010753,220.0,3.1
202201010758,220.0,3.6
202201011148,220.0,1.5
202201011153,,0.0
202201011158,,0.0
202201011452,170.0,2.1
202201011548,220.0,2.1
202201011553,,0.0
202201011558,210.0,1.5
202201011725,180.0,2.1
202201012138,120.0,2.6
202201012248,,0.0
202201012253,,0.0
202201012258,,0.0
202201020048,190.0,2.6
202201020053,180.0,2.6
202201020058,180.0,4.1
202201020148,190.0,2.6
202201020153,180.0,2.1
202201020158,190.0,3.1
202201020248,250.0,2.6
202201020253,250.0,2.6
202201020258,240.0,1.5
202201020448,20.0,1.5
202201020453,30.0,3.1
202201020458,20.0,2.6
202201020648,10.0,3.1
202201020653,10.0,3.6
202201020658,10.0,3.1
202201020848,10.0,4.1
202201020853,,3.6
202201020858,340.0,4.6
202201020948,20.0,2.1
202201020953,20.0,2.1
202201020958,10.0,3.1
202201021048,10.0,2.6
202201021058,350.0,3.1
202201021348,340.0,3.6
202201021353,340.0,4.1
202201021358,340.0,3.6
202201021407,,3.6
202201021548,340.0,4.1
202201021553,350.0,4.6
202201021558,340.0,3.1
202201021624,340.0,4.6
202201021648,340.0,4.1
202201021721,340.0,5.7
202201021848,330.0,3.6
202201021853,330.0,5.7
202201021858,340.0,4.6
202201021948,350.0,4.6
202201021953,,5.7
202201021958,350.0,5.1
202201022348,10.0,6.2
202201022353,10.0,5.1
202201022358,20.0,5.7
202201030048,,5.1
202201030053,,4.6
202201030058,10.0,5.1
202201030148,20.0,5.7
202201030153,10.0,6.2
202201030158,40.0,3.1
202201030248,20.0,5.7
202201030253,10.0,5.7
202201030258,10.0,6.2
202201030446,50.0,4.6
202201030453,20.0,4.6
202201030458,40.0,4.6
202201030624,10.0,6.2
202201030803,10.0,5.1
202201030855,,5.7
202201031030,,5.1
202201031329,,7.2
202201031348,10.0,4.6
202201031353,20.0,6.2
202201031358,20.0,5.1
202201031419,,5.1
202201031448,10.0,4.6
202201031453,350.0,5.7
202201031458,,5.7
202201031552,10.0,3.6
202201031648,,3.1
202201031653,10.0,2.1
202201031658,350.0,3.1
202201031848,,3.1
202201031853,320.0,2.1
202201031858,320.0,4.1
