timestamp string,wind direction,wind speed
202201010002,137.0,0.9
202201010102,159.0,1.8
202201010202,184.0,1.3
202201010302,200.0,1.8
202201010402,192.0,2.2
202201010502,193.0,2.2
202201010602,207.0,3.6
202201010702,208.0,3.6
202201010802,219.0,2.2
202201010902,216.0,2.7
202201011002,207.0,2.2
202201011102,216.0,2.7
202201011202,199.0,2.7
202201011302,208.0,3.1
202201011402,211.0,3.1
202201011502,215.0,4.0
202201011602,205.0,5.4
202201011702,207.0,4.0
202201011802,213.0,4.9
202201011902,218.0,3.6
202201012002,203.0,4.0
202201012102,212.0,3.1
202201012202,208.0,3.1
202201012302,196.0,2.7
202201020002,196.0,3.6
202201020102,194.0,4.5
202201020202,195.0,4.5
202201020302,209.0,4.0
202201020402,204.0,4.5
202201020502,202.0,4.5
202201020602,199.0,4.5
202201020702,194.0,4.5
202201020802,189.0,3.6
202201020902,186.0,4.5
202201021002,215.0,4.5
202201021102,234.0,4.5
202201021202,276.0,2.2
202201021302,185.0,1.8
202201021402,194.0,2.7
202201021502,170.0,1.8
202201021602,193.0,3.1
202201021702,220.0,2.7
202201021802,212.0,3.1
202201021902,210.0,2.2
202201022002,149.0,2.7
202201022102,180.0,1.3
202201022202,203.0,0.9
202201022302,162.0,0.4
202201030002,60.0,1.3
202201030102,147.0,1.3
202201030202,81.0,0.9
202201030302,106.0,2.2
202201030402,50.0,1.3
202201030502,113.0,2.2
202201030602,114.0,4.0
202201030702,153.0,3.6
202201030802,261.0,9.8
202201030902,267.0,11.2
202201031002,286.0,10.3
202201031102,297.0,8.0
202201031202,279.0,6.3
202201031302,296.0,7.2
202201031402,299.0,7.2
202201031502,298.0,5.8
202201031602,314.0,7.6
202201031702,320.0,6.7
202201031802,317.0,5.8
202201031902,309.0,4.9
202201032002,302.0,4.9
202201032102,322.0,5.4
202201032202,294.0,4.9
202201032302,287.0,3.1
202201040002,278.0,2.7
202201040102,315.0,2.7
202201040202,300.0,2.2
202201040302,318.0,1.8
202201040402,311.0,1.8
202201040502,356.0,1.3
202201040602,358.0,1.3
202201040702,343.0,0.9
202201040802,339.0,1.3
202201040902,353.0,0.4
202201041002,,0.0
202201041202,68.0,0.4
202201041402,111.0,1.8
202201041502,112.0,3.6
202201041602,106.0,2.7
202201041702,120.0,2.7
202201041802,109.0,3.6
202201042002,119.0,2.7
202201042102,114.0,3.1
202201042202,109.0,3.1
202201042302,86.0,1.3
202201050002,66.0,1.3
202201050102,73.0,1.3
202201050202,89.0,1.8
202201050302,95.0,1.8
202201050402,104.0,2.2
202201050502,88.0,1.8
202201050602,81.0,0.4
202201050702,40.0,0.4
202201050802,338.0,1.8
202201050902,74.0,1.3
202201051002,6.0,0.9
202201051102,343.0,1.8
202201051202,29.0,0.4
202201051302,147.0,0.4
202201051402,,0.0
202201051502,,0.0
202201051602,233.0,2.2
202201051702,262.0,3.6
202201051802,272.0,4.0
202201051902,272.0,4.5
202201052002,253.0,5.4
202201052102,288.0,4.5
202201052202,284.0,3.6
202201052302,267.0,1.3
202201060002,255.0,1.3
202201060102,261.0,0.4
202201060202,265.0,0.9
202201060302,264.0,1.3
202201060402,275.0,0.9
202201060502,301.0,1.8
202201060602,292.0,1.3
202201060702,274.0,0.4
202201061002,312.0,1.8
202201061102,348.0,2.7
202201061202,262.0,1.3
202201061302,102.0,0.9
202201061402,119.0,1.3
202201061502,151.0,0.4
202201061602,112.0,2.7
202201061702,197.0,3.6
202201061802,184.0,2.7
202201061902,170.0,4.0
202201062002,179.0,3.6
202201062102,203.0,3.1
202201062202,199.0,2.7
202201062302,299.0,3.1
202201070102,300.0,2.2
202201070202,308.0,8.9
202201070302,292.0,5.8
202201070402,290.0,4.9
