timestamp string,wind direction,wind speed
202203221614,119.0,0.9
202203221714,114.0,0.9
202203221814,116.0,1.3
202203221914,112.0,1.8
202203222214,125.0,2.2
202203222314,106.0,1.3
202203230014,127.0,0.9
202203230114,139.0,0.9
202203230214,135.0,1.3
202203230314,131.0,1.3
202203230414,137.0,2.7
202203230514,138.0,2.7
202203230614,128.0,2.2
202203230714,134.0,2.2
202203230814,137.0,1.8
202203230914,121.0,2.2
202203231014,128.0,1.8
202203231114,126.0,2.2
202203231314,133.0,3.1
202203231414,136.0,2.2
202203231514,136.0,3.6
202203231614,148.0,4.0
202203231814,150.0,4.5
202203231914,141.0,4.0
202203232014,278.0,2.2
202203232114,180.0,0.9
202203232214,310.0,0.9
202203232314,283.0,2.2
202203240014,272.0,1.3
202203240114,279.0,1.3
202203240214,280.0,3.1
202203240314,288.0,4.0
202203240514,294.0,3.6
202203240614,294.0,3.6
202203240714,281.0,1.8
202203240814,257.0,0.4
202203241014,328.0,0.9
202203241114,220.0,0.9
202203241214,168.0,1.3
202203241314,163.0,1.3
202203241414,168.0,2.7
202203241514,162.0,2.7
202203241614,296.0,3.1
202203241714,292.0,3.1
202203241814,162.0,3.1
202203241914,268.0,3.1
202203242014,291.0,2.7
202203242114,291.0,4.0
202203242214,299.0,4.0
202203242314,293.0,3.6
202203250014,296.0,3.6
202203250114,287.0,0.9
202203250214,300.0,1.8
202203250314,290.0,1.8
202203250414,258.0,0.9
202203250514,347.0,0.4
202203250614,299.0,0.9
202203250714,278.0,0.4
202203250814,136.0,0.9
202203250914,299.0,0.4
202203251014,292.0,0.4
202203251114,142.0,0.9
202203251214,146.0,0.9
202203251314,296.0,0.9
202203251414,290.0,2.2
202203251514,308.0,1.8
202203251614,281.0,2.2
202203251714,288.0,3.1
202203251814,272.0,3.1
202203251914,291.0,2.7
202203252014,264.0,2.7
202203252114,274.0,3.1
202203252214,281.0,1.8
202203252314,284.0,3.1
202203260014,283.0,1.8
202203260114,263.0,2.2
202203260214,314.0,1.8
202203260314,292.0,1.8
202203260414,266.0,1.8
202203260514,289.0,4.9
202203260614,274.0,1.8
202203260714,278.0,1.3
202203260814,32.0,0.9
202203260914,256.0,1.3
202203261014,117.0,0.9
202203261114,358.0,0.9
202203261214,279.0,1.8
202203261314,309.0,2.2
202203261414,287.0,4.5
202203261514,282.0,3.1
202203261614,296.0,3.6
202203261714,302.0,4.5
202203261814,302.0,4.5
202203261914,277.0,2.7
202203262014,305.0,2.7
202203262114,291.0,4.0
202203262314,290.0,4.0
202203270014,293.0,2.7
202203270114,320.0,3.6
202203270214,301.0,2.7
202203270314,297.0,2.2
202203270414,316.0,2.2
202203270514,271.0,1.3
202203270614,254.0,0.9
202203270714,271.0,1.3
202203270814,284.0,2.2
202203270914,280.0,1.8
202203271014,289.0,1.8
202203271114,290.0,1.8
202203271214,286.0,1.8
202203271314,292.0,2.7
202203271414,283.0,2.7
202203271614,297.0,3.1
202203271714,295.0,3.6
202203271814,303.0,3.6
202203272014,297.0,5.4
202203272114,295.0,4.9
202203272214,295.0,4.0
202203272314,308.0,2.7
202203280014,307.0,1.8
202203280114,314.0,1.8
202203280214,300.0,1.8
202203280314,312.0,1.8
202203280414,311.0,1.3
202203280614,292.0,0.9
202203280714,312.0,0.9
202203280814,309.0,0.9
202203280914,292.0,0.9
202203281014,289.0,0.4
202203281114,283.0,0.9
202203281214,295.0,0.9
202203281314,298.0,2.2
202203281414,315.0,2.7
202203281514,309.0,3.1
202203281614,328.0,4.0
202203281714,305.0,4.0
202203281814,322.0,3.6
202203281914,336.0,4.0
202203282014,338.0,2.7
202203282114,295.0,3.6
202203282214,301.0,4.0
202203282314,317.0,3.6
202203290014,307.0,0.9
202203290114,308.0,0.9
202203290214,356.0,1.8
202203290314,10.0,1.3
202203290414,337.0,0.9
202203290514,22.0,0.9
202203290614,57.0,0.9
202203290714,346.0,0.9
202203290814,95.0,0.9
202203290914,87.0,0.9
202203291014,103.0,0.9
202203291114,94.0,0.9
202203291214,116.0,0.9
202203291314,105.0,0.9
202203291414,113.0,1.8
202203291514,113.0,1.8
202203291614,68.0,1.3
202203291714,55.0,1.3
202203291814,49.0,1.3
202203291914,99.0,1.8
202203292014,103.0,1.3
202203292114,58.0,0.9
202203292214,85.0,0.9
202203292314,103.0,0.9
202203300014,96.0,0.9
202203300214,109.0,0.9
202203300314,123.0,0.9
202203300414,126.0,0.9
202203300514,118.0,0.4
202203300614,121.0,0.9
202203300714,139.0,0.9
202203300814,149.0,0.9
202203300914,151.0,0.9
202203301014,143.0,0.9
202203301114,151.0,0.9
202203301214,158.0,0.9
202203301314,,0.0
202203301414,165.0,3.1
202203301514,158.0,4.9
202203301614,167.0,4.5
202203301714,168.0,3.6
202203301814,163.0,5.4
202203301914,143.0,2.7
202203302014,196.0,4.0
202203302114,159.0,3.6
202203302214,157.0,4.5
202203302314,156.0,4.5
202203310014,148.0,3.1
202203310114,141.0,3.1
202203310214,147.0,4.5
202203310314,153.0,4.9
202203310414,157.0,4.5
202203310514,149.0,3.6
202203310614,154.0,4.5
202203310714,146.0,3.1
202203310814,158.0,3.6
202203310914,150.0,3.1
202203311014,152.0,3.6
202203311114,145.0,2.7
202203311414,295.0,2.7
202203311514,274.0,4.5
202203311614,265.0,4.0
202203311714,285.0,5.4
202203311814,304.0,5.4
202203311914,299.0,6.7
202203312014,298.0,6.3
202203312114,301.0,6.3
202203312214,300.0,4.9
202203312314,299.0,4.9
202204010014,295.0,3.6
202204010114,276.0,2.7
202204010214,285.0,3.6
202204010314,280.0,2.7
202204010414,274.0,2.2
202204010514,267.0,1.3
202204010614,288.0,1.8
202204010714,303.0,2.2
202204010814,296.0,3.6
202204010914,289.0,2.7
202204011014,290.0,3.6
202204011114,281.0,2.7
202204011214,286.0,2.2
202204011314,291.0,2.7
202204011414,291.0,3.6
202204011514,294.0,4.9
202204011614,278.0,1.3
202204011714,309.0,4.5
202204011814,292.0,4.5
202204011914,287.0,3.6
202204012014,286.0,4.5
202204012114,310.0,4.0
202204012214,295.0,3.1
202204012314,322.0,2.7
202204020014,299.0,1.8
202204020114,342.0,0.9
202204020214,301.0,0.4
202204020314,,0.0
202204020414,281.0,0.4
202204020514,,0.0
202204020614,,0.0
