timestamp string,wind direction,wind speed
202201010005,194.0,3.6
202201010105,192.0,4.0
202201010205,193.0,4.5
202201010305,197.0,4.5
202201010405,194.0,4.0
202201010505,197.0,5.4
202201010605,201.0,4.9
202201010705,195.0,5.8
202201010805,198.0,5.8
202201010905,197.0,4.9
202201011005,207.0,6.3
202201011105,198.0,4.5
202201011205,199.0,4.0
202201011305,192.0,5.4
202201011405,200.0,5.8
202201011505,197.0,4.9
202201011605,199.0,4.9
202201011705,200.0,4.5
202201011805,209.0,5.8
202201011905,198.0,5.8
202201012005,192.0,5.8
202201012105,195.0,5.8
202201012205,192.0,5.8
202201012305,191.0,6.3
202201020005,186.0,6.3
202201020105,187.0,8.0
202201020205,194.0,6.7
202201020305,192.0,7.6
202201020405,247.0,5.4
202201020505,335.0,2.7
202201020605,345.0,2.2
202201020705,147.0,0.9
202201020805,142.0,0.9
202201020905,268.0,0.4
202201021105,246.0,1.8
202201021205,307.0,0.9
202201021305,215.0,1.3
202201021405,314.0,1.3
202201021505,323.0,1.3
202201021605,243.0,1.3
202201021705,160.0,1.3
202201021805,237.0,1.8
202201021905,279.0,1.3
202201022005,305.0,1.3
202201022105,351.0,3.1
202201022205,6.0,3.6
202201022305,21.0,0.9
202201030005,14.0,3.6
202201030105,22.0,3.1
202201030205,16.0,3.1
202201030305,20.0,3.1
202201030405,348.0,3.6
202201030505,359.0,3.6
202201030605,357.0,3.6
202201030705,358.0,4.0
202201030905,357.0,3.6
202201031005,338.0,3.1
202201031105,352.0,3.6
202201031205,8.0,3.6
202201031305,332.0,3.6
202201031405,348.0,2.7
202201031505,4.0,3.1
202201031705,22.0,2.2
202201031805,4.0,2.2
202201031905,10.0,2.2
202201032005,22.0,1.3
202201032105,22.0,1.8
202201032205,28.0,1.3
202201040005,31.0,1.3
202201040105,35.0,1.8
202201040205,41.0,1.3
202201040305,84.0,1.3
202201040405,,0.0
202201040505,26.0,0.9
202201040605,31.0,0.9
202201040705,40.0,1.3
202201040905,144.0,1.3
202201041005,145.0,1.3
202201041105,162.0,0.9
202201041205,173.0,0.9
202201041305,184.0,0.4
202201041405,140.0,0.4
202201041505,167.0,1.8
202201041605,144.0,2.2
202201041705,151.0,2.7
202201041805,149.0,2.7
202201041905,144.0,2.7
202201042005,141.0,2.2
202201042105,160.0,1.8
202201042205,156.0,3.1
202201042305,152.0,2.7
202201050005,150.0,2.2
202201050105,147.0,2.7
202201050205,147.0,4.0
202201050305,149.0,4.0
202201050405,147.0,4.0
202201050505,161.0,4.0
202201050605,154.0,2.2
202201050705,158.0,2.7
202201050805,160.0,3.6
202201050905,191.0,5.4
202201051005,198.0,4.5
202201051105,204.0,4.5
202201051305,187.0,3.6
202201051405,195.0,3.6
202201051505,213.0,4.5
202201051605,181.0,2.7
202201051705,228.0,3.6
202201051805,225.0,3.1
202201051905,213.0,2.7
202201052005,199.0,2.7
202201052105,211.0,2.2
202201052205,211.0,1.3
202201052305,224.0,1.3
202201060005,225.0,1.3
202201060105,229.0,1.8
202201060205,224.0,1.8
202201060305,242.0,0.9
202201060405,275.0,0.4
202201060505,280.0,1.3
202201060605,285.0,1.8
202201060705,299.0,1.3
202201060805,353.0,1.8
202201060905,20.0,0.9
202201061005,339.0,0.4
202201061105,158.0,0.4
202201061205,190.0,0.9
202201061305,163.0,0.9
202201061405,139.0,1.3
202201061505,341.0,1.3
202201061605,125.0,1.3
202201061705,171.0,1.3
202201061805,217.0,0.9
202201061905,130.0,0.9
202201062005,333.0,1.8
202201062105,339.0,4.0
202201062305,332.0,2.2
202201070005,348.0,2.2
202201070105,353.0,2.2
202201070205,285.0,2.2
202201070305,11.0,2.7
202201070405,5.0,2.2
202201070505,351.0,2.2
202201070605,335.0,2.2
202201070705,313.0,1.8
202201070805,349.0,2.2
202201071105,354.0,2.7
202201071205,315.0,2.2
202201071305,286.0,1.8
202201071405,298.0,1.8
202201071505,312.0,1.8
202201071605,18.0,1.3
202201071705,22.0,1.8
202201071805,23.0,1.8
202201071905,1.0,2.2
202201072005,5.0,2.2
202201072105,50.0,0.9
202201072305,8.0,1.8
202201080005,14.0,1.8
202201080105,,0.9
202201080205,138.0,0.4
202201080305,334.0,0.9
202201080405,,0.0
202201080505,150.0,1.3
202201080605,184.0,1.3
202201080705,,0.0
202201080805,,0.0
202201080905,186.0,0.9
202201081005,,0.0
202201081105,140.0,0.4
202201081205,165.0,0.9
202201081305,171.0,1.3
202201081405,154.0,2.2
