timestamp string,wind direction,wind speed
202201010053,218.0,0.4
202201010153,211.0,0.9
202201010253,208.0,0.9
202201010353,222.0,0.4
202201010453,221.0,0.9
202201010553,220.0,0.9
202201010653,223.0,0.9
202201010753,219.0,1.3
202201010853,201.0,0.9
202201010953,199.0,1.3
202201011053,196.0,0.9
202201011153,207.0,0.9
202201011253,193.0,1.3
202201011353,189.0,0.9
202201011453,200.0,1.8
202201011553,206.0,1.8
202201011653,201.0,1.8
202201011853,209.0,2.7
202201011953,207.0,2.2
202201012053,201.0,1.3
202201012253,254.0,0.4
202201012353,,0.0
202201020053,52.0,0.9
202201020153,21.0,0.4
202201020253,346.0,0.9
202201020453,168.0,0.4
202201020553,231.0,0.4
202201020653,225.0,0.9
202201020753,,0.0
202201020853,,0.0
202201020953,239.0,0.4
202201021053,,0.0
202201021153,,0.0
202201021453,266.0,0.4
202201021553,315.0,0.9
202201021653,302.0,1.3
202201021753,329.0,1.3
202201021853,342.0,1.8
202201022053,37.0,1.3
202201022153,344.0,0.9
202201022253,353.0,0.9
202201022353,345.0,0.9
202201030053,,1.3
202201030153,26.0,1.8
202201030253,16.0,2.2
202201030353,8.0,1.3
202201030453,22.0,1.8
202201030553,23.0,1.3
202201030653,1.0,2.2
202201030753,14.0,1.8
202201030853,352.0,1.8
202201030953,351.0,2.2
202201031153,6.0,2.2
202201031253,354.0,1.8
202201031353,11.0,1.3
202201031453,7.0,1.8
202201031553,352.0,0.4
202201031653,0.0,0.9
202201031753,1.0,0.9
202201031853,39.0,0.9
202201031953,340.0,0.9
202201032053,335.0,0.9
202201032153,15.0,0.4
202201032253,95.0,0.4
202201032353,,0.0
202201040153,,0.0
202201040253,,0.0
202201040353,,0.0
202201040453,,0.0
202201040553,,0.0
202201040653,,0.0
202201040753,,0.0
202201040853,,0.0
202201040953,,0.0
202201041053,,0.0
202201041153,,0.0
202201041253,,0.0
202201041353,,0.0
202201041453,211.0,0.4
202201041553,208.0,0.9
202201041653,219.0,1.8
202201041753,206.0,1.8
202201041853,197.0,1.8
202201041953,192.0,1.8
